読み (よみ)	reading	date	board	skin
ホーム	platform 	boy 	boat	ball 
ボーイ	boy 	boat	ball 	market
ボート	boat	ball 	market	mike
ボール	ball 	market	mike	mama
マーケット	market	mike	mama	mistake
マイク	mike	mama	mistake	milk
ママ	mama	mistake	milk	memo
ミス	mistake	milk	memo	member
ミルク	milk	memo	member	humor
メモ	memo	member	humor	yacht 
メンバー	member	humor	yacht 	lighter 
ユーモア	humor	yacht 	lighter 	racket
ヨット	yacht 	lighter 	racket	rocket 
ライター	lighter 	racket	rocket 	wine
ラケット	racket	rocket 	wine	to elevate
ロケット	rocket 	wine	to elevate	approximate time
ワイン	wine	to elevate	approximate time	Japan
持ち上げる (もちあげる)	to elevate	approximate time	Japan	very
ころ (頃)	approximate time	Japan	very	here and there
日本 (にほん)	Japan	very	here and there	lunch 
なかなか (中中)	very	here and there	lunch 	beer
あちこち (彼方此方)	here and there	lunch 	beer	wrong
お昼 (おひる)	lunch 	beer	wrong	chattering
ビール	beer	wrong	chattering	may
いけない (行けない)	wrong	chattering	may	feel disappointed
おしゃべり (お喋り)	chattering	may	feel disappointed	properly
かもしれない (かも知れない)	may	feel disappointed	properly	tough
がっかり	feel disappointed	properly	tough	soundly 
きちんと	properly	tough	soundly 	so
きつい	tough	soundly 	so	feeling refreshed
ぐっすり	soundly 	so	feeling refreshed	roughly
こんなに	so	feeling refreshed	roughly	frequently
さっぱり	feeling refreshed	roughly	frequently	often
ざっと	roughly	frequently	often	damn it!
しきりに (頻りに)	frequently	often	damn it!	motionlessly 
しばしば (屡々)	often	damn it!	motionlessly 	continuously in some state 
しまった (仕舞った)	damn it!	motionlessly 	continuously in some state 	and
じっと (凝乎と)	motionlessly 	continuously in some state 	and	before very long
ずっと	continuously in some state 	and	before very long	or
そして (然して)	and	before very long	or	only
そのうち (その内)	before very long	or	only	full
それとも (其れ共)	or	only	full	diligently
たった	only	full	diligently	so
たっぷり	full	diligently	so	even so
ちゃんと	diligently	so	even so	unthinkable
ですから	so	even so	unthinkable	what
ところが (所が)	even so	unthinkable	what	how
とんでもない (とんでも無い)	unthinkable	what	how	because
どんな	what	how	because	carefree
どんなに	how	because	carefree	tightly
なぜなら (何故なら)	because	carefree	tightly	dimly
のんびり	carefree	tightly	dimly	just 
ぴったり	tightly	dimly	just 	before long
ぼんやり	dimly	just 	before long	whisky
まあ	just 	before long	whisky	jet aeroplane
やがて (軈て)	before long	whisky	jet aeroplane	sofa
ウイスキー	whisky	jet aeroplane	sofa	mischief
ジェット機 (ジェットき)	jet aeroplane	sofa	mischief	idea
ソファ	sofa	mischief	idea	throne
いたずら (悪戯)	mischief	idea	throne	to hide
案 (あん)	idea	throne	to hide	forever
位 (くらい)	throne	to hide	forever	somewhere
隠れる (かくれる)	to hide	forever	somewhere	lovely
いつまでも (何時までも)	forever	somewhere	lovely	selfish
どこか (何処か)	somewhere	lovely	selfish	meeting
可愛らしい (かわいらしい)	lovely	selfish	meeting	to untie
わがまま (我が儘)	selfish	meeting	to untie	to be solved 
会 (かい)	meeting	to untie	to be solved 	injury 
解く (とく)	to untie	to be solved 	injury 	ash
解ける (とける)	to be solved 	injury 	ash	horn
けが (怪我)	injury 	ash	horn	forehead
灰 (はい)	ash	horn	forehead	intolerable
角 (つの)	horn	forehead	intolerable	time
額 (ひたい)	forehead	intolerable	time	circle 
たまらない (堪らない)	intolerable	time	circle 	quite
間 (ま)	time	circle 	quite	happy
丸 (まる)	circle 	quite	happy	to shine
まるで (丸で)	quite	happy	to shine	good
嬉しい (うれしい)	happy	to shine	good	to stuff into
輝く (かがやく)	to shine	good	to stuff into	to want
よろしい (宜しい)	good	to stuff into	to want	ex-
詰める (つめる)	to stuff into	to want	ex-	only
求める (もとめる)	to want	ex-	only	lately
旧 (きゅう)	ex-	only	lately	money 
わずか (僅か)	only	lately	money 	gold 
近頃 (ちかごろ)	lately	money 	gold 	to connect
金 (かね)	money 	gold 	to connect	to be chipped
金 (きん)	gold 	to connect	to be chipped	moon 
つなぐ (繋ぐ)	to connect	to be chipped	moon 	prefecture 
欠ける (かける)	to be chipped	moon 	prefecture 	field
月 (つき)	moon 	prefecture 	field	proverb
県 (けん)	prefecture 	field	proverb	later
原 (はら)	field	proverb	later	congratulations!
ことわざ (諺)	proverb	later	congratulations!	to turn toward
のち (後)	later	congratulations!	to turn toward	to turn towards
おめでとう (お目出度う)	congratulations!	to turn toward	to turn towards	at any time
向く (むく)	to turn toward	to turn towards	at any time	hello
向ける (むける)	to turn towards	at any time	hello	to finish
今にも (いまにも)	at any time	hello	to finish	excuse me
こんにちは (今日は)	hello	to finish	excuse me	note
済ませる (すませる)	to finish	excuse me	note	to finish
すみません (済みません)	excuse me	note	to finish	market
札 (さつ)	note	to finish	market	to support
しまう (仕舞う)	to finish	market	to support	to cease
市 (いち)	market	to support	to cease	equation
支える (ささえる)	to support	to cease	equation	to scold
よす (止す)	to cease	equation	to scold	fruit
式 (しき)	equation	to scold	fruit	person
しかる (叱る)	to scold	fruit	person	to come off
実 (み)	fruit	person	to come off	seed 
者 (もの)	person	to come off	seed 	to ascend 
取れる (とれる)	to come off	seed 	to ascend 	stinking
種 (たね)	seed 	to ascend 	stinking	cousin 
就く (つく)	to ascend 	stinking	cousin 	by the way
臭い (くさい)	stinking	cousin 	by the way	what is called
いとこ (従兄弟)	cousin 	by the way	what is called	to remove
ところで (所で)	by the way	what is called	to remove	anything of
いわゆる (所謂)	what is called	to remove	anything of	floor 
除く (のぞく)	to remove	anything of	floor 	to invite
少しも (すこしも)	anything of	floor 	to invite	to omit
床 (ゆか)	floor 	to invite	to omit	elephant 
招く (まねく)	to invite	to omit	elephant 	upper reaches 
省く (はぶく)	to omit	elephant 	upper reaches 	from the standpoint of
象 (ぞう)	elephant 	upper reaches 	from the standpoint of	place
上 (かみ)	upper reaches 	from the standpoint of	place	to touch
上 (じょう)	from the standpoint of	place	to touch	by no means
場 (ば)	place	to touch	by no means	painful
触れる (ふれる)	to touch	by no means	painful	to advance
まさか (真逆)	by no means	painful	to advance	to shiver
つらい (辛い)	painful	to advance	to shiver	finally
進める (すすめる)	to advance	to shiver	finally	nature 
震える (ふるえる)	to shiver	finally	nature 	raw
ついに (遂に)	finally	nature 	raw	unfortunately
性 (せい)	nature 	raw	unfortunately	piece
生 (なま)	raw	unfortunately	piece	to break
あいにく (生憎)	unfortunately	piece	to break	joint
切れ (きれ)	piece	to break	joint	theory
切れる (きれる)	to break	joint	theory	first 
節 (ふし)	joint	theory	first 	to occupy
説 (せつ)	theory	first 	to occupy	really
まず (先ず)	first 	to occupy	really	without change
占める (しめる)	to occupy	really	without change	but 
全く (まったく)	really	without change	but 	so
そのまま (其の儘)	without change	but 	so	to hit 
それでも (其れでも)	but 	so	to hit 	pair
そこで (其処で)	so	to hit 	pair	obi
ぶつ (打つ)	to hit 	pair	obi	to be idle
対 (つい)	pair	obi	to be idle	on purpose
帯 (おび)	obi	to be idle	on purpose	expression of gratitude before meals
怠ける (なまける)	to be idle	on purpose	expression of gratitude before meals	considerable
わざと (態と)	on purpose	expression of gratitude before meals	considerable	to strike
いただきます (頂きます)	expression of gratitude before meals	considerable	to strike	news
大した (たいした)	considerable	to strike	news	to talk
叩く (たたく)	to strike	news	to talk	directly
知らせ (しらせ)	news	to talk	directly	avenue
しゃべる (喋る)	to talk	directly	avenue	to seize
じかに (直に)	directly	avenue	to seize	to give up
通り (とおり)	avenue	to seize	to give up	to drown
つかむ (掴む)	to seize	to give up	to drown	rice field
諦める (あきらめる)	to give up	to drown	rice field	anyhow
おぼれる (溺れる)	to drown	rice field	anyhow	time 
田 (た)	rice field	anyhow	time 	degree 
とにかく (兎に角)	anyhow	time 	degree 	copper coin
度 (たび)	time 	degree 	copper coin	to reach
度 (ど)	degree 	copper coin	to reach	ton 
銅貨 (どうか)	copper coin	to reach	ton 	by all means
届く (とどく)	to reach	ton 	by all means	to entrust 
トン (屯)	ton 	by all means	to entrust 	to sell 
どうしても (如何しても)	by all means	to entrust 	to sell 	enormous
任せる (まかせる)	to entrust 	to sell 	enormous	to pull out
売れる (うれる)	to sell 	enormous	to pull out	to come out
莫大 (ばくだい)	enormous	to pull out	to come out	to smile
抜く (ぬく)	to pull out	to come out	to smile	table 
抜ける (ぬける)	to come out	to smile	table 	suddenly
微笑む (ほほえむ)	to smile	table 	suddenly	to attach
表 (ひょう)	table 	suddenly	to attach	Buddha
ふと (不図)	suddenly	to attach	Buddha	part
付ける (つける)	to attach	Buddha	part	sentence 
仏 (ほとけ)	Buddha	part	sentence 	moreover
分 (ぶん)	part	sentence 	moreover	flatness
文 (ぶん)	sentence 	moreover	flatness	handle
しかも (然も)	moreover	flatness	handle	law
平ら (たいら)	flatness	handle	law	about
柄 (え)	handle	law	about	cotton
法 (ほう)	law	about	cotton	of course
およそ (凡そ)	about	cotton	of course	but then
綿 (めん)	cotton	of course	but then	to surpass
もちろん (勿論)	of course	but then	to surpass	rate
もっとも (尤も)	but then	to surpass	rate	quantity
優れる (すぐれる)	to surpass	rate	quantity	to groan
率 (りつ)	rate	quantity	to groan	dust 
量 (りょう)	quantity	to groan	dust 	where
唸る (うなる)	to groan	dust 	where	a little
ほこり (埃)	dust 	where	a little	scissors
いずれ (何れ)	where	a little	scissors	at any time
やや (稍)	a little	scissors	at any time	gargling
はさみ (鋏)	scissors	at any time	gargling	several
いつでも (何時でも)	at any time	gargling	several	to avoid 
うがい (嗽)	gargling	several	to avoid 	to draw
数 (すう)	several	to avoid 	to draw	article
避ける (さける)	to avoid 	to draw	article	to embrace
描く (えがく)	to draw	article	to embrace	here and there
品 (しな)	article	to embrace	here and there	face 
抱く (いだく)	to embrace	here and there	face 	well
方々 (ほうぼう)	here and there	face 	well	to become less crowded
面 (めん)	face 	well	to become less crowded	all
さて (偖)	well	to become less crowded	all	Thank you
空く (すく)	to become less crowded	all	Thank you	or
あらゆる (有らゆる)	all	Thank you	or	to receive
ありがとう (有り難う)	Thank you	or	to receive	to get irritated
あるいは (或いは)	or	to receive	to get irritated	to get
いただく (頂く)	to receive	to get irritated	to get	to take down 
いらいら (苛々)	to get irritated	to get	to take down 	shade
得る (える)	to get	to take down 	shade	considerably
下ろす (おろす)	to take down 	shade	considerably	to be effective
陰 (かげ)	shade	considerably	to be effective	everything
かなり (可也)	considerably	to be effective	everything	at the most
効く (きく)	to be effective	everything	at the most	each
すべて (全て)	everything	at the most	each	casually
せいぜい (精々)	at the most	each	casually	to bark
それぞれ (夫れ夫れ)	each	casually	to bark	increasingly
たまたま (偶々)	casually	to bark	increasingly	rather
吠える (ほえる)	to bark	increasingly	rather	appearing ...
ますます (益々)	increasingly	rather	appearing ...	all at once
むしろ (寧ろ)	rather	appearing ...	all at once	birth
よう (様)	appearing ...	all at once	birth	to contract 
一度に (いちどに)	all at once	birth	to contract 	consequence
生まれ (うまれ)	birth	to contract 	consequence	phrase sure
かかる (罹る)	to contract 	consequence	phrase sure	rarely
せい (所為)	consequence	phrase sure	rarely	if
違いない (ちがいない)	phrase sure	rarely	if	to run over 
滅多に (めったに)	rarely	if	to run over 	to pour 
もしも (若しも)	if	to run over 	to pour 	after all
ひく (轢く)	to run over 	to pour 	after all	to vomit
つぐ (注ぐ)	to pour 	after all	to vomit	elegance
だって	after all	to vomit	elegance	too
吐く (はく)	to vomit	elegance	too	rotation 
品 (ひん)	elegance	too	rotation 	honorific
やはり (矢張り)	too	rotation 	honorific	body
回り (まわり)	rotation 	honorific	body	come
お (御)	honorific	body	come	these
身体 (しんたい)	body	come	these	all
いらっしゃい	come	these	all	however
これら (これ等)	these	all	however	according to
そっくり	all	however	according to	to be surprised
だけど	however	according to	to be surprised	manners
よると (依ると)	according to	to be surprised	manners	skillful
びっくり (吃驚)	to be surprised	manners	skillful	man
作法 (さほう)	manners	skillful	man	swimming
うまい (上手い)	skillful	man	swimming	medium
男の人 (おとこのひと)	man	swimming	medium	sweetly 
泳ぎ (およぎ)	swimming	medium	sweetly 	native Japanese reading of a Chinese character 
中 (ちゅう)	medium	sweetly 	native Japanese reading of a Chinese character 	number 
にっこり	sweetly 	native Japanese reading of a Chinese character 	number 	but
訓 (くん)	native Japanese reading of a Chinese character 	number 	but	Sunday 
番 (ばん)	number 	but	Sunday 	swiftly
だが	but	Sunday 	swiftly	overcoat 
日 (にち)	Sunday 	swiftly	overcoat 	office
急に (きゅうに)	swiftly	overcoat 	office	car
オーバー	overcoat 	office	car	captain
オフィス	office	car	captain	large 
カー	car	captain	large 	jeans
キャプテン	captain	large 	jeans	bun 
グランド	large 	jeans	bun 	path 
ジーンズ	jeans	bun 	path 	to master 
バン	bun 	path 	to master 	Europe
パス	path 	to master 	Europe	no 
マスター	to master 	Europe	no 	fate
ヨーロッパ (欧羅巴)	Europe	no 	fate	sometime
ノー	no 	fate	sometime	I beg your pardon
縁 (えん)	fate	sometime	I beg your pardon	sandbank
いつか (何時か)	sometime	I beg your pardon	sandbank	straight 
ごめんなさい (御免なさい)	I beg your pardon	sandbank	straight 	one-tenth
州 (す)	sandbank	straight 	one-tenth	face of the earth
直 (なお)	straight 	one-tenth	face of the earth	with a clash
分 (ぶ)	one-tenth	face of the earth	with a clash	un-
率土 (そっと)	face of the earth	with a clash	un-	pole 
ばったり	with a clash	un-	pole 	nothing
不 (ふ)	un-	pole 	nothing	mutual
極 (きょく)	pole 	nothing	mutual	to that extent
無 (む)	nothing	mutual	to that extent	density
お互い (おたがい)	mutual	to that extent	density	translation
あんなに	to that extent	density	translation	yes
密 (みつ)	density	translation	yes	counter for buildings 
訳 (やく)	translation	yes	counter for buildings 	lowness 
はあ	yes	counter for buildings 	lowness 	lower reaches 
軒 (けん)	counter for buildings 	lowness 	lower reaches 	tax
下 (げ)	lowness 	lower reaches 	tax	smallness
下 (しも)	lower reaches 	tax	smallness	after
税 (ぜい)	tax	smallness	after	value-added network
小 (しょう)	smallness	after	value-added network	former
後 (ご)	after	value-added network	former	stinginess
ＶＡＮ (バン)	value-added network	former	stinginess	un-
元 (もと)	former	stinginess	un-	if possible
ケチ	stinginess	un-	if possible	best regards
無 (ぶ)	un-	if possible	best regards	price
できれば (出来れば)	if possible	best regards	price	since
夜露死苦 (よろしく)	best regards	price	since	committee member
値 (ね)	price	since	committee member	maintenance
以来 (いらい)	since	committee member	maintenance	violation
委員 (いいん)	committee member	maintenance	violation	medical care
維持 (いじ)	maintenance	violation	medical care	general
違反 (いはん)	violation	medical care	general	one 
医療 (いりょう)	medical care	general	one 	exercise
一般 (いっぱん)	general	one 	exercise	influence
一方 (いっぽう)	one 	exercise	influence	assistance
運動 (うんどう)	exercise	influence	assistance	price
影響 (えいきょう)	influence	assistance	price	possible
援助 (えんじょ)	assistance	price	possible	the past
価格 (かかく)	price	possible	the past	member
可能 (かのう)	possible	the past	member	settlement
過去 (かこ)	the past	member	settlement	restoration
会員 (かいいん)	member	settlement	restoration	foreign
解決 (かいけつ)	settlement	restoration	foreign	diplomacy 
回復 (かいふく)	restoration	foreign	diplomacy 	magnification
海外 (かいがい)	foreign	diplomacy 	magnification	action
外交 (がいこう)	diplomacy 	magnification	action	patient
拡大 (かくだい)	magnification	action	patient	environment
活動 (かつどう)	action	patient	environment	supervision
患者 (かんじゃ)	patient	environment	supervision	control
環境 (かんきょう)	environment	supervision	control	concern
監督 (かんとく)	supervision	control	concern	relation
管理 (かんり)	control	concern	relation	enterprise
関心 (かんしん)	concern	relation	enterprise	foundation
関連 (かんれん)	relation	enterprise	foundation	period
企業 (きぎょう)	enterprise	foundation	period	expectation
基本 (きほん)	foundation	period	expectation	engine 
期間 (きかん)	period	expectation	engine 	function
期待 (きたい)	expectation	engine 	function	article
機関 (きかん)	engine 	function	article	reporter
機能 (きのう)	function	article	reporter	record
記事 (きじ)	article	reporter	record	member of an assembly
記者 (きしゃ)	reporter	record	member of an assembly	congress
記録 (きろく)	record	member of an assembly	congress	chairman
議員 (ぎいん)	member of an assembly	congress	chairman	professor 
議会 (ぎかい)	congress	chairman	professor 	muscle
議長 (ぎちょう)	chairman	professor 	muscle	finance
教授 (きょうじゅ)	professor 	muscle	finance	contract
筋 (すじ)	muscle	finance	contract	business conditions
金融 (きんゆう)	finance	contract	business conditions	management
契約 (けいやく)	contract	business conditions	management	plan
景気 (けいき)	business conditions	management	plan	decision
経営 (けいえい)	management	plan	decision	result
計画 (けいかく)	plan	decision	result	construction
決定 (けってい)	decision	result	construction	constitution
結果 (けっか)	result	construction	constitution	now
建設 (けんせつ)	construction	constitution	now	reality
憲法 (けんぽう)	constitution	now	reality	actual spot
現在 (げんざい)	now	reality	actual spot	so to speak
現実 (げんじつ)	reality	actual spot	so to speak	individual
現場 (げんば)	actual spot	so to speak	individual	candidate
いわば (言わば)	so to speak	individual	candidate	effect
個人 (こじん)	individual	candidate	effect	attack
候補 (こうほ)	candidate	effect	attack	thinking
効果 (こうか)	effect	attack	thinking	action
攻撃 (こうげき)	attack	thinking	action	state
考え (かんがえ)	thinking	action	state	National Diet
行動 (こうどう)	action	state	National Diet	people 
国家 (こっか)	state	National Diet	people 	now
国会 (こっかい)	National Diet	people 	now	from now on
国民 (こくみん)	people 	now	from now on	most
今回 (こんかい)	now	from now on	most	most
今後 (こんご)	from now on	most	most	last
最も (もっとも)	most	most	last	trial
最高 (さいこう)	most	last	trial	work
最終 (さいしゅう)	last	trial	work	work 
裁判 (さいばん)	trial	work	work 	participation
作業 (さぎょう)	work	work 	participation	figure
作品 (さくひん)	work 	participation	figure	town market 
参加 (さんか)	participation	figure	town market 	guidance
姿 (すがた)	figure	town market 	guidance	event
市場 (いちば)	town market 	guidance	event	fact
指導 (しどう)	guidance	event	fact	circumstances
事件 (じけん)	event	fact	circumstances	office work
事実 (じじつ)	fact	circumstances	office work	time
事情 (じじょう)	circumstances	office work	time	by oneself
事務 (じむ)	office work	time	by oneself	nature 
時期 (じき)	time	by oneself	nature 	enforcement
自身 (じしん)	by oneself	nature 	enforcement	Prime Minister
自然 (しぜん)	nature 	enforcement	Prime Minister	state
実施 (じっし)	enforcement	Prime Minister	state	residence
首相 (しゅしょう)	Prime Minister	state	residence	inhabitant
州 (しゅう)	state	residence	inhabitant	important
住宅 (じゅうたく)	residence	inhabitant	important	person's origin 
住民 (じゅうみん)	inhabitant	important	person's origin 	woman
重要 (じゅうよう)	important	person's origin 	woman	commodity
出身 (しゅっしん)	person's origin 	woman	commodity	information
女子 (じょし)	woman	commodity	information	condition
商品 (しょうひん)	commodity	information	condition	state of affairs 
情報 (じょうほう)	information	condition	state of affairs 	current status
条件 (じょうけん)	condition	state of affairs 	current status	new
状況 (じょうきょう)	state of affairs 	current status	new	human being
状態 (じょうたい)	current status	new	human being	popularity
新た (あらた)	new	human being	popularity	system
人間 (にんげん)	human being	popularity	system	growth
人気 (にんき)	popularity	system	growth	government
制度 (せいど)	system	growth	government	positive
成長 (せいちょう)	growth	government	positive	duty
政府 (せいふ)	government	positive	duty	player 
積極的 (せっきょくてき)	positive	duty	player 	whole
責任 (せきにん)	duty	player 	whole	organization
選手 (せんしゅ)	player 	whole	organization	companion
全体 (ぜんたい)	whole	organization	companion	target
組織 (そしき)	organization	companion	target	representative
相手 (あいて)	companion	target	representative	stand
対象 (たいしょう)	target	representative	stand	convention
代表 (だいひょう)	representative	stand	convention	president 
台 (だい)	stand	convention	president 	organization
大会 (たいかい)	convention	president 	organization	youth
大統領 (だいとうりょう)	president 	organization	youth	prefectural governor
団体 (だんたい)	organization	youth	prefectural governor	area
男子 (だんし)	youth	prefectural governor	area	the earth
知事 (ちじ)	prefectural governor	area	the earth	district
地域 (ちいき)	area	the earth	district	centre
地球 (ちきゅう)	the earth	district	centre	center
地方 (ちほう)	district	centre	center	investigation
中央 (ちゅうおう)	centre	center	investigation	correspondence
中心 (ちゅうしん)	center	investigation	correspondence	degree
調査 (ちょうさ)	investigation	correspondence	degree	town
通信 (つうしん)	correspondence	degree	town	effort
程度 (ていど)	degree	town	effort	plot of land
都市 (とし)	town	effort	plot of land	voting
努力 (どりょく)	effort	plot of land	voting	at that time
土地 (とち)	plot of land	voting	at that time	simultaneous
投票 (とうひょう)	voting	at that time	simultaneous	contents
当時 (とうじ)	at that time	simultaneous	contents	period of a year 
同時 (どうじ)	simultaneous	contents	period of a year 	agriculture
内容 (ないよう)	contents	period of a year 	agriculture	judgment
年間 (ねんかん)	period of a year 	agriculture	judgment	sales
農業 (のうぎょう)	agriculture	judgment	sales	criticism
判断 (はんだん)	judgment	sales	criticism	stage 
販売 (はんばい)	sales	criticism	stage 	portion
批判 (ひはん)	criticism	stage 	portion	field
舞台 (ぶたい)	stage 	portion	field	peace
部分 (ぶぶん)	portion	field	peace	change
分野 (ぶんや)	field	peace	change	report
平和 (へいわ)	peace	change	report	broadcast
変化 (へんか)	change	report	broadcast	direction
報告 (ほうこく)	report	broadcast	direction	method
放送 (ほうそう)	broadcast	direction	method	call
方向 (ほうこう)	direction	method	call	obvious
方法 (ほうほう)	method	call	obvious	purpose
訪問 (ほうもん)	call	obvious	purpose	mark
明らか (あきらか)	obvious	purpose	mark	part
目的 (もくてき)	purpose	mark	part	export 
目標 (もくひょう)	mark	part	export 	importation
役割 (やくわり)	part	export 	importation	overall victory
輸出 (ゆしゅつ)	export 	importation	overall victory	estimate
輸入 (ゆにゅう)	importation	overall victory	estimate	demand
優勝 (ゆうしょう)	overall victory	estimate	demand	position
予算 (よさん)	estimate	demand	position	continuation
要求 (ようきゅう)	demand	position	continuation	one o'clock 
立場 (たちば)	position	continuation	one o'clock 	countrywide
連続 (れんぞく)	continuation	one o'clock 	countrywide	average
一時 (いちじ)	one o'clock 	countrywide	average	doing together 
全国 (ぜんこく)	countrywide	average	doing together 	cooperation
平均 (へいきん)	average	doing together 	cooperation	silver 
共同 (きょうどう)	doing together 	cooperation	silver 	situation
協力 (きょうりょく)	cooperation	silver 	situation	manual labor
銀 (ぎん)	silver 	situation	manual labor	love
事態 (じたい)	situation	manual labor	love	stability
労働 (ろうどう)	manual labor	love	stability	consciousness 
愛 (あい)	love	stability	consciousness 	difference
安定 (あんてい)	stability	consciousness 	difference	doctor
意識 (いしき)	consciousness 	difference	doctor	universe
違い (ちがい)	difference	doctor	universe	operation 
医師 (いし)	doctor	universe	operation 	business
宇宙 (うちゅう)	universe	operation 	business	satellite
運転 (うんてん)	operation 	business	satellite	speech
営業 (えいぎょう)	business	satellite	speech	meeting
衛星 (えいせい)	satellite	speech	meeting	betterment
演説 (えんぜつ)	speech	meeting	betterment	start
会合 (かいごう)	meeting	betterment	start	certainty
改善 (かいぜん)	betterment	start	certainty	feeling
開始 (かいし)	start	certainty	feeling	sightseeing
確実 (かくじつ)	certainty	feeling	sightseeing	hope
感じ (かんじ)	feeling	sightseeing	hope	commemoration
観光 (かんこう)	sightseeing	hope	commemoration	doubt
希望 (きぼう)	hope	commemoration	doubt	argument
記念 (きねん)	commemoration	doubt	argument	game
疑問 (ぎもん)	doubt	argument	game	common
議論 (ぎろん)	argument	game	common	teacher 
競技 (きょうぎ)	game	common	teacher 	chest
共通 (きょうつう)	common	teacher 	chest	prohibition
教師 (きょうし)	teacher 	chest	prohibition	army
胸 (むね)	chest	prohibition	army	tendency
禁止 (きんし)	prohibition	army	tendency	experience
軍 (ぐん)	army	tendency	experience	fine art
傾向 (けいこう)	tendency	experience	fine art	theatre
経験 (けいけん)	experience	fine art	theatre	after all
芸術 (げいじゅつ)	fine art	theatre	after all	conclusion
劇場 (げきじょう)	theatre	after all	conclusion	health 
結局 (けっきょく)	after all	conclusion	health 	inspection 
結論 (けつろん)	conclusion	health 	inspection 	consideration
健康 (けんこう)	health 	inspection 	consideration	right
検査 (けんさ)	inspection 	consideration	right	opinion
検討 (けんとう)	consideration	right	opinion	present condition
権利 (けんり)	right	opinion	present condition	nowadays
見解 (けんかい)	opinion	present condition	nowadays	exchange
現状 (げんじょう)	present condition	nowadays	exchange	advertisement
現代 (げんだい)	nowadays	exchange	advertisement	aviation
交換 (こうかん)	exchange	advertisement	aviation	lecture
広告 (こうこく)	advertisement	aviation	lecture	national border
航空 (こうくう)	aviation	lecture	national border	disorder
講演 (こうえん)	lecture	national border	disorder	difference
国境 (こっきょう)	national border	disorder	difference	again
混乱 (こんらん)	disorder	difference	again	author
差 (さ)	difference	again	author	approval
再び (ふたたび)	again	author	approval	use
作家 (さっか)	author	approval	use	unintentionally
賛成 (さんせい)	approval	use	unintentionally	branch office
使用 (しよう)	use	unintentionally	branch office	experiment
思わず (おもわず)	unintentionally	branch office	experiment	implementation 
支店 (してん)	branch office	experiment	implementation 	practicality
実験 (じっけん)	experiment	implementation 	practicality	doctrine
実現 (じつげん)	implementation 	practicality	doctrine	claim
実際 (じっさい)	practicality	doctrine	claim	housewife
主義 (しゅぎ)	doctrine	claim	housewife	chief
主張 (しゅちょう)	claim	housewife	chief	capital city
主婦 (しゅふ)	housewife	chief	capital city	demand
主要 (しゅよう)	chief	capital city	demand	income
首都 (しゅと)	capital city	demand	income	religion
需要 (じゅよう)	demand	income	religion	amendment
収入 (しゅうにゅう)	income	religion	amendment	group
宗教 (しゅうきょう)	religion	amendment	group	preparation
修正 (しゅうせい)	amendment	group	preparation	processing
集団 (しゅうだん)	group	preparation	processing	boy
準備 (じゅんび)	preparation	processing	boy	recognition
処理 (しょり)	processing	boy	recognition	consumption
少年 (しょうねん)	boy	recognition	consumption	obstacle
承認 (しょうにん)	recognition	consumption	obstacle	serious
消費 (しょうひ)	consumption	obstacle	serious	body 
障害 (しょうがい)	obstacle	serious	body 	human life 
深刻 (しんこく)	serious	body 	human life 	person
身 (み)	body 	human life 	person	recommendation
人生 (じんせい)	human life 	person	recommendation	level
人物 (じんぶつ)	person	recommendation	level	numeral
推薦 (すいせん)	recommendation	level	numeral	due form
水準 (すいじゅん)	level	numeral	due form	mind
数字 (すうじ)	numeral	due form	mind	manufacture
正式 (せいしき)	due form	mind	manufacture	manufactured goods
精神 (せいしん)	mind	manufacture	manufactured goods	oil
製造 (せいぞう)	manufacture	manufactured goods	oil	equipment
製品 (せいひん)	manufactured goods	oil	equipment	all members 
石油 (せきゆ)	oil	equipment	all members 	association
設備 (せつび)	equipment	all members 	association	consultation
全員 (ぜんいん)	all members 	association	consultation	equipment
組合 (くみあい)	association	consultation	equipment	increase
相談 (そうだん)	consultation	equipment	increase	existence
装置 (そうち)	equipment	increase	existence	attitude
増加 (ぞうか)	increase	existence	attitude	arrest
存在 (そんざい)	existence	attitude	arrest	ambassador
態度 (たいど)	attitude	arrest	ambassador	being in charge 
逮捕 (たいほ)	arrest	ambassador	being in charge 	district
大使 (たいし)	ambassador	being in charge 	district	company
担当 (たんとう)	being in charge 	district	company	long-term
地区 (ちく)	district	company	long-term	direct
仲間 (なかま)	company	long-term	direct	proposal
長期 (ちょうき)	long-term	direct	proposal	tradition
直接 (ちょくせつ)	direct	proposal	tradition	party 
提案 (ていあん)	proposal	tradition	party 	identical
伝統 (でんとう)	tradition	party 	identical	road
党 (とう)	party 	identical	road	feature
同様 (どうよう)	identical	road	feature	independence 
道路 (どうろ)	road	feature	independence 	ability
特徴 (とくちょう)	feature	independence 	ability	horse 
独立 (どくりつ)	independence 	ability	horse 	field 
能力 (のうりょく)	ability	horse 	field 	publication
馬 (うま)	horse 	field 	publication	development
畑 (はたけ)	field 	publication	development	announcement
発行 (はっこう)	publication	development	announcement	they
発展 (はってん)	development	announcement	they	suffering damage
発表 (はっぴょう)	announcement	they	suffering damage	cost
彼ら (かれら)	they	suffering damage	cost	emergency 
被害 (ひがい)	suffering damage	cost	emergency 	expression
費用 (ひよう)	cost	emergency 	expression	facial expression
非常 (ひじょう)	emergency 	expression	facial expression	valuation
表現 (ひょうげん)	expression	facial expression	valuation	anxiety
