definite	(adj) 明確的,確切的	(adj) 絕對的;完全的	(adj) 抽象的	(adj) 學術的
technological	(adj) 技術(學)的,工藝(學)的	(adj) 繃緊的	(adj) 徹底的;完全的	(adj) 考慮周到的
tense	(adj) 繃緊的	(adj) 徹底的;完全的	(adj) 考慮周到的	(adj) 膽小的;羞怯的
thorough	(adj) 徹底的;完全的	(adj) 考慮周到的	(adj) 膽小的;羞怯的	(adj) 令人厭倦的
thoughtful	(adj) 考慮周到的	(adj) 膽小的;羞怯的	(adj) 令人厭倦的	(adj) 可忍受的;可容忍的
timid	(adj) 膽小的;羞怯的	(adj) 令人厭倦的	(adj) 可忍受的;可容忍的	(adj) 忍受的,容忍的
tiresome	(adj) 令人厭倦的	(adj) 可忍受的;可容忍的	(adj) 忍受的,容忍的	(adj) 堅韌的,牢固的;頑固的;棘手的
tolerable	(adj) 可忍受的;可容忍的	(adj) 忍受的,容忍的	(adj) 堅韌的,牢固的;頑固的;棘手的	(adj) 悲慘的,不幸的
tolerant	(adj) 忍受的,容忍的	(adj) 堅韌的,牢固的;頑固的;棘手的	(adj) 悲慘的,不幸的	(adj) 巨大的;極度的,驚人的
tough	(adj) 堅韌的,牢固的;頑固的;棘手的	(adj) 悲慘的,不幸的	(adj) 巨大的;極度的,驚人的	(adj) 部落的;種族的
tragic	(adj) 悲慘的,不幸的	(adj) 巨大的;極度的,驚人的	(adj) 部落的;種族的	(adj) 麻煩的,棘手的
tremendous	(adj) 巨大的;極度的,驚人的	(adj) 部落的;種族的	(adj) 麻煩的,棘手的	(adj) 獨特的
tribal	(adj) 部落的;種族的	(adj) 麻煩的,棘手的	(adj) 獨特的	(adj) 宇宙的;通用的
troublesome	(adj) 麻煩的,棘手的	(adj) 獨特的	(adj) 宇宙的;通用的	(adj) 城市的
unique	(adj) 獨特的	(adj) 宇宙的;通用的	(adj) 城市的	(adj) 緊急的,急迫的
universal	(adj) 宇宙的;通用的	(adj) 城市的	(adj) 緊急的,急迫的	(adj) 愛虛榮的;徒然的
urban	(adj) 城市的	(adj) 緊急的,急迫的	(adj) 愛虛榮的;徒然的	(adj) 廣闊的,浩瀚的;非常的
urgent	(adj) 緊急的,急迫的	(adj) 愛虛榮的;徒然的	(adj) 廣闊的,浩瀚的;非常的	(adj) 正是;恰好是;僅僅
vain	(adj) 愛虛榮的;徒然的	(adj) 廣闊的,浩瀚的;非常的	(adj) 正是;恰好是;僅僅	(adj) 未玷污的
vast	(adj) 廣闊的,浩瀚的;非常的	(adj) 正是;恰好是;僅僅	(adj) 未玷污的	(adj) 視力的;光學的
very	(adj) 正是;恰好是;僅僅	(adj) 未玷污的	(adj) 視力的;光學的	(adj) 充滿活力的;致命的
virgin	(adj) 未玷污的	(adj) 視力的;光學的	(adj) 充滿活力的;致命的	(adj) 自願的
visual	(adj) 視力的;光學的	(adj) 充滿活力的;致命的	(adj) 自願的	(adj) 每週的;一週一次的
vital	(adj) 充滿活力的;致命的	(adj) 自願的	(adj) 每週的;一週一次的	(adj) 每年的;按年的
voluntary	(adj) 自願的	(adj) 每週的;一週一次的	(adj) 每年的;按年的	(adj) 年輕的;富青春活力的
weekly	(adj) 每週的;一週一次的	(adj) 正是;恰好是;僅僅	(adj) 未玷污的	(adj) 視力的;光學的
yearly	(adj) 每年的;按年的	(adj) 未玷污的	(adj) 視力的;光學的	(adj) 充滿活力的;致命的
youthful	(adj) 年輕的;富青春活力的	(adj) 視力的;光學的	(adj) 充滿活力的;致命的	(adj) 自願的
