distinctive	(adj) 有特色的;特殊的	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅
estimate	(n) 估計;估價	(n) 評估;估價	(n) 前夕	(n) 證據;證詞;證人;物證
evaluation	(n) 評估;估價	(n) 前夕	(n) 證據;證詞;證人;物證	(n) 應試者;受檢查者
eve	(n) 前夕	(n) 證據;證詞;證人;物證	(n) 應試者;受檢查者	(n) 主考人;檢查人;審查員
evidence	(n) 證據;證詞;證人;物證	(n) 應試者;受檢查者	(n) 主考人;檢查人;審查員	(n) 例外
examinee	(n) 應試者;受檢查者	(n) 主考人;檢查人;審查員	(n) 例外	(n) 排出;排氣
examiner	(n) 主考人;檢查人;審查員	(n) 例外	(n) 排出;排氣	(n) 展示品,陳列品
exception	(n) 例外	(n) 排出;排氣	(n) 展示品,陳列品	(n) 擴展;擴張
exhaust	(n) 排出;排氣	(n) 展示品,陳列品	(n) 擴展;擴張	(n) 說明,解釋
exhibit	(n) 展示品,陳列品	(n) 擴展;擴張	(n) 說明,解釋	(n) 爆發;爆炸
expansion	(n) 擴展;擴張	(n) 說明,解釋	(n) 爆發;爆炸	(n) 爆炸物;炸藥
explanation	(n) 說明,解釋	(n) 爆發;爆炸	(n) 爆炸物;炸藥	(n) 暴露;暴曬
explosion	(n) 爆發;爆炸	(n) 爆炸物;炸藥	(n) 暴露;暴曬	(n) 程度;限度;範圍
explosive	(n) 爆炸物;炸藥	(n) 暴露;暴曬	(n) 程度;限度;範圍	(n) 能力;技能;設備, 設施; 工具;(供特定用途的)場所
exposure	(n) 暴露;暴曬	(n) 程度;限度;範圍	(n) 能力;技能;設備, 設施; 工具;(供特定用途的)場所	(n) 聲譽,名望
extent	(n) 程度;限度;範圍	(n) 能力;技能;設備, 設施; 工具;(供特定用途的)場所	(n) 聲譽,名望	(n) 空想;幻想
facility	(n) 能力;技能;設備, 設施; 工具;(供特定用途的)場所	(n) 聲譽,名望	(n) 空想;幻想	(n) 告別;告別辭
fame	(n) 聲譽,名望	(n) 空想;幻想	(n) 告別;告別辭	(n) 盛宴,筵席
fantasy	(n) 空想;幻想	(n) 告別;告別辭	(n) 盛宴,筵席	(n) 渡輪
farewell	(n) 告別;告別辭	(n) 盛宴,筵席	(n) 渡輪	(n) 活人的魂;鬼
feast	(n) 盛宴,筵席	(n) 渡輪	(n) 活人的魂;鬼	(n) 小說
ferry	(n) 渡輪	(n) 活人的魂;鬼	(n) 小說	(n) 財政;金融
fetch	(n) 活人的魂;鬼	(n) 小說	(n) 財政;金融	(n) 爆竹;鞭炮
fiction	(n) 小說	(n) 財政;金融	(n) 爆竹;鞭炮	(n) 壁爐
finance	(n) 財政;金融	(n) 爆竹;鞭炮	(n) 壁爐	(n) 失敗;不及格
firecracker	(n) 爆竹;鞭炮	(n) 壁爐	(n) 失敗;不及格	(n) 紅暈
fireplace	(n) 壁爐	(n) 失敗;不及格	(n) 紅暈	(n) 泡沫
flunk	(n) 失敗;不及格	(n) 紅暈	(n) 泡沫	(n) 預測
flush	(n) 紅暈	(n) 泡沫	(n) 預測	(n) 形成;構成物; 形態, 結構
foam	(n) 泡沫	(n) 預測	(n) 形成;構成物; 形態, 結構	(n) 配方,處方;公式
forecast	(n) 預測	(n) 形成;構成物; 形態, 結構	(n) 配方,處方;公式	(n) 堡壘,要塞
formation	(n) 形成;構成物; 形態, 結構	(n) 配方,處方;公式	(n) 堡壘,要塞	(n) 化石;守舊的人(或事物)
formula	(n) 配方,處方;公式	(n) 堡壘,要塞	(n) 化石;守舊的人(或事物)	(n) 建立,創辦;基礎;基金會
fort	(n) 堡壘,要塞	(n) 化石;守舊的人(或事物)	(n) 建立,創辦;基礎;基金會	(n) 創立者;奠基者
fossil	(n) 化石;守舊的人(或事物)	(n) 建立,創辦;基礎;基金會	(n) 創立者;奠基者	(n) 芬芳;香味
foundation	(n) 建立,創辦;基礎;基金會	(n) 創立者;奠基者	(n) 芬芳;香味	(n) 骨架;結構
founder	(n) 創立者;奠基者	(n) 芬芳;香味	(n) 骨架;結構	(n) 高速公路
fragrance	(n) 芬芳;香味	(n) 骨架;結構	(n) 高速公路	(n) 頻率,次數
frame	(n) 骨架;結構	(n) 高速公路	(n) 頻率,次數	(n) 一年級生,新生
freeway	(n) 高速公路	(n) 頻率,次數	(n) 一年級生,新生	(n) 霜
frequency	(n) 頻率,次數	(n) 一年級生,新生	(n) 霜	(n) 蹙額;不悅
freshman	(n) 一年級生,新生	(n) 霜	(n) 蹙額;不悅	(n) 失望;挫折
frost	(n) 霜	(n) 蹙額;不悅	(n) 失望;挫折	(n) 燃料
frown	(n) 蹙額;不悅	(n) 失望;挫折	(n) 燃料	(n) 完成,履行;實現;成就(感)
frustration	(n) 失望;挫折	(n) 燃料	(n) 完成,履行;實現;成就(感)	(n) 基本原則(或原理);綱要
fuel	(n) 燃料	(n) 完成,履行;實現;成就(感)	(n) 基本原則(或原理);綱要	(n) 喪葬,葬儀
fulfillment	(n) 完成,履行;實現;成就(感)	(n) 基本原則(或原理);綱要	(n) 喪葬,葬儀	(n) 畫廊,美術館
fundamental	(n) 基本原則(或原理);綱要	(n) 喪葬,葬儀	(n) 畫廊,美術館	(n) 歹徒,匪盜,流氓
funeral	(n) 喪葬,葬儀	(n) 畫廊,美術館	(n) 歹徒,匪盜,流氓	(n) 凝視,注視
gallery	(n) 畫廊,美術館	(n) 歹徒,匪盜,流氓	(n) 凝視,注視	(n) 齒輪;工具;設備
gangster	(n) 歹徒,匪盜,流氓	(n) 凝視,注視	(n) 齒輪;工具;設備	(n) 基因,遺傳因子
gaze	(n) 凝視,注視	(n) 齒輪;工具;設備	(n) 基因,遺傳因子	(n) 世代;產生
gear	(n) 齒輪;工具;設備	(n) 基因,遺傳因子	(n) 世代;產生	(n) 寬宏大量;慷慨
gene	(n) 基因,遺傳因子	(n) 世代;產生	(n) 寬宏大量;慷慨	(n) 天才
generation	(n) 世代;產生	(n) 寬宏大量;慷慨	(n) 天才	(n) 微生物;細菌;病菌
generosity	(n) 寬宏大量;慷慨	(n) 天才	(n) 微生物;細菌;病菌	(n) 咯咯地笑;傻笑
genius	(n) 天才	(n) 微生物;細菌;病菌	(n) 咯咯地笑;傻笑	(n) 生薑,薑
germ	(n) 微生物;細菌;病菌	(n) 咯咯地笑;傻笑	(n) 生薑,薑	(n) 滑翔,下滑
giggle	(n) 咯咯地笑;傻笑	(n) 生薑,薑	(n) 滑翔,下滑	(n) 瞥見;一瞥
ginger	(n) 生薑,薑	(n) 滑翔,下滑	(n) 瞥見;一瞥	(n) 地球儀;地球
glide	(n) 滑翔,下滑	(n) 瞥見;一瞥	(n) 地球儀;地球	(n) 商品;貨物
glimpse	(n) 瞥見;一瞥	(n) 地球儀;地球	(n) 商品;貨物	(n) 優雅;(票據等到期後的)寬限
globe	(n) 地球儀;地球	(n) 商品;貨物	(n) 優雅;(票據等到期後的)寬限	(n) 畢業典禮
goods	(n) 商品;貨物	(n) 優雅;(票據等到期後的)寬限	(n) 畢業典禮	(n) 文法
grace	(n) 優雅;(票據等到期後的)寬限	(n) 畢業典禮	(n) 文法	(n) 葡萄柚
graduation	(n) 畢業典禮	(n) 文法	(n) 葡萄柚	(n) 感激之情,感恩,感謝
grammar	(n) 文法	(n) 葡萄柚	(n) 感激之情,感恩,感謝	(n) 墓穴
grapefruit	(n) 葡萄柚	(n) 感激之情,感恩,感謝	(n) 墓穴	(n) 問候,迎接,招呼;賀詞;問候語
gratitude	(n) 感激之情,感恩,感謝	(n) 墓穴	(n) 問候,迎接,招呼;賀詞;問候語	(n) 悲痛,悲傷
grave	(n) 墓穴	(n) 問候,迎接,招呼;賀詞;問候語	(n) 悲痛,悲傷	(n) 研磨
greeting	(n) 問候,迎接,招呼;賀詞;問候語	(n) 悲痛,悲傷	(n) 研磨	(n) 馬伕;新郎
grief	(n) 悲痛,悲傷	(n) 研磨	(n) 馬伕;新郎	(n) 保證;保證書
grind	(n) 研磨	(n) 馬伕;新郎	(n) 保證;保證書	(n) 有罪;犯罪;過失
groom	(n) 馬伕;新郎	(n) 保證;保證書	(n) 有罪;犯罪;過失	(n) 海灣
guarantee	(n) 保證;保證書	(n) 有罪;犯罪;過失	(n) 海灣	(n) 鷗,海鷗; 易受騙的人
guilt	(n) 有罪;犯罪;過失	(n) 海灣	(n) 鷗,海鷗; 易受騙的人	(n) 暫停,停止;終止
gulf	(n) 海灣	(n) 鷗,海鷗; 易受騙的人	(n) 暫停,停止;終止	(n) 書寫;手寫
gull	(n) 鷗,海鷗; 易受騙的人	(n) 暫停,停止;終止	(n) 書寫;手寫	(n) 艱難,困苦
halt	(n) 暫停,停止;終止	(n) 書寫;手寫	(n) 艱難,困苦	(n) 金屬器件;硬體
handwriting	(n) 書寫;手寫	(n) 艱難,困苦	(n) 金屬器件;硬體	(n) 口琴
hardship	(n) 艱難,困苦	(n) 金屬器件;硬體	(n) 口琴	(n) 和諧;協調
hardware	(n) 金屬器件;硬體	(n) 口琴	(n) 和諧;協調	(n) 急忙;慌忙;性急
harmonica	(n) 口琴	(n) 和諧;協調	(n) 急忙;慌忙;性急	(n) 憎恨,增惡;敵意
harmony	(n) 和諧;協調	(n) 急忙;慌忙;性急	(n) 憎恨,增惡;敵意	(n) 頭戴式耳機
haste	(n) 急忙;慌忙;性急	(n) 憎恨,增惡;敵意	(n) 頭戴式耳機	(n) 直昇機
hatred	(n) 憎恨,增惡;敵意	(n) 頭戴式耳機	(n) 直昇機	(n) 畜群;牧群
headphone	(n) 頭戴式耳機	(n) 直昇機	(n) 畜群;牧群	(n) 躊躇,猶豫
helicopter	(n) 直昇機	(n) 畜群;牧群	(n) 躊躇,猶豫	(n) 祖國;家鄉
herd	(n) 畜群;牧群	(n) 躊躇,猶豫	(n) 祖國;家鄉	(n) 蜜月
hesitation	(n) 躊躇,猶豫	(n) 祖國;家鄉	(n) 蜜月	(n) 鉤,掛鉤
homeland	(n) 祖國;家鄉	(n) 蜜月	(n) 鉤,掛鉤	(n) 地平線
honeymoon	(n) 蜜月	(n) 鉤,掛鉤	(n) 地平線	(n) 軟管;長統襪;短統襪
hook	(n) 鉤,掛鉤	(n) 地平線	(n) 軟管;長統襪;短統襪	(n) 旅舍
horizon	(n) 地平線	(n) 軟管;長統襪;短統襪	(n) 旅舍	(n) 一家人;家眷;家庭,戶
hose	(n) 軟管;長統襪;短統襪	(n) 旅舍	(n) 一家人;家眷;家庭,戶	(n) 家庭主婦
hostel	(n) 旅舍	(n) 一家人;家眷;家庭,戶	(n) 家庭主婦	(n) 家務
household	(n) 一家人;家眷;家庭,戶	(n) 家庭主婦	(n) 家務	(n) 人性;人道;慈愛
housewife	(n) 家庭主婦	(n) 家務	(n) 人性;人道;慈愛	(n) 濕氣,濕度
housework	(n) 家務	(n) 人性;人道;慈愛	(n) 濕氣,濕度	(n) 颶風,暴風雨
humanity	(n) 人性;人道;慈愛	(n) 濕氣,濕度	(n) 颶風,暴風雨	(n) 氫
humidity	(n) 濕氣,濕度	(n) 颶風,暴風雨	(n) 氫	(n) 浮在海洋上的巨大冰塊
hurricane	(n) 颶風,暴風雨	(n) 氫	(n) 浮在海洋上的巨大冰塊	(n) 認出;識別
hydrogen	(n) 氫	(n) 浮在海洋上的巨大冰塊	(n) 認出;識別	(n) 成語
iceberg	(n) 浮在海洋上的巨大冰塊	(n) 認出;識別	(n) 成語	(n) 偶像
identification	(n) 認出;識別	(n) 成語	(n) 偶像	(n) 說明,圖解
idiom	(n) 成語	(n) 偶像	(n) 說明,圖解	(n) 模仿,模擬;仿造;偽造
idol	(n) 偶像	(n) 說明,圖解	(n) 模仿,模擬;仿造;偽造	(n) 移民,僑民
illustration	(n) 說明,圖解	(n) 模仿,模擬;仿造;偽造	(n) 移民,僑民	(n) 移居
imitation	(n) 模仿,模擬;仿造;偽造	(n) 移民,僑民	(n) 移居	(n) 衝擊,撞擊;影響
immigrant	(n) 移民,僑民	(n) 移居	(n) 衝擊,撞擊;影響	(n) 印象
immigration	(n) 移居	(n) 衝擊,撞擊;影響	(n) 印象	(n) 事件;事變
impact	(n) 衝擊,撞擊;影響	(n) 印象	(n) 事件;事變	(n) 指示;指點
impression	(n) 印象	(n) 事件;事變	(n) 指示;指點	(n) 嬰兒
incident	(n) 事件;事變	(n) 指示;指點	(n) 嬰兒	(n) 傳染;侵染
indication	(n) 指示;指點	(n) 嬰兒	(n) 傳染;侵染	(n) 通貨膨脹
infant	(n) 嬰兒	(n) 傳染;侵染	(n) 通貨膨脹	(n) 資訊
infection	(n) 傳染;侵染	(n) 通貨膨脹	(n) 資訊	(n) 要素,因素
inflation	(n) 通貨膨脹	(n) 資訊	(n) 要素,因素	(n) (字的)起首字母
information	(n) 資訊	(n) 要素,因素	(n) (字的)起首字母	(n) 天真無邪
ingredient	(n) 要素,因素	(n) (字的)起首字母	(n) 天真無邪	(n) 輸入
initial	(n) (字的)起首字母	(n) 天真無邪	(n) 輸入	(n) 插入物;夾在報刊中的散頁廣告
innocence	(n) 天真無邪	(n) 輸入	(n) 插入物;夾在報刊中的散頁廣告	(n) 檢查;檢閱;視察
input	(n) 輸入	(n) 插入物;夾在報刊中的散頁廣告	(n) 檢查;檢閱;視察	(n) 靈感
insert	(n) 插入物;夾在報刊中的散頁廣告	(n) 檢查;檢閱;視察	(n) 靈感	(n) 本能;天性;直覺
inspection	(n) 檢查;檢閱;視察	(n) 靈感	(n) 本能;天性;直覺	(n) 教練;指導者
inspiration	(n) 靈感	(n) 本能;天性;直覺	(n) 教練;指導者	(n) 侮辱,羞辱
instinct	(n) 本能;天性;直覺	(n) 教練;指導者	(n) 侮辱,羞辱	(n) 保險;保險契約
instructor	(n) 教練;指導者	(n) 侮辱,羞辱	(n) 保險;保險契約	(n) 知識分子
insult	(n) 侮辱,羞辱	(n) 保險;保險契約	(n) 知識分子	(n) 智能;智慧;理解力
insurance	(n) 保險;保險契約	(n) 知識分子	(n) 智能;智慧;理解力	(n) 強度;極度
intellectual	(n) 知識分子	(n) 智能;智慧;理解力	(n) 強度;極度	(n) 意圖
intelligence	(n) 智能;智慧;理解力	(n) 強度;極度	(n) 意圖	(n) 互動
intensity	(n) 強度;極度	(n) 意圖	(n) 互動	(n) 中間事物;調解人
intention	(n) 意圖	(n) 互動	(n) 中間事物;調解人	(n) 網際網路
interaction	(n) 互動	(n) 中間事物;調解人	(n) 網際網路	(n) 中止;干擾
intermediate	(n) 中間事物;調解人	(n) 網際網路	(n) 中止;干擾	(n) 至交,密友
Internet	(n) 網際網路	(n) 中止;干擾	(n) 至交,密友	(n) 語調;抑揚之聲
interruption	(n) 中止;干擾	(n) 至交,密友	(n) 語調;抑揚之聲	(n) 入侵,侵略
intimate	(n) 至交,密友	(n) 語調;抑揚之聲	(n) 入侵,侵略	(n) 發明,創造
intonation	(n) 語調;抑揚之聲	(n) 入侵,侵略	(n) 發明,創造	(n) 調查
invasion	(n) 入侵,侵略	(n) 發明,創造	(n) 調查	(n) 投資;投資額
invention	(n) 發明,創造	(n) 調查	(n) 投資;投資額	(n) 介入
investigation	(n) 調查	(n) 投資;投資額	(n) 介入	(n) 隔離
investment	(n) 投資;投資額	(n) 介入	(n) 隔離	(n) 癢
involvement	(n) 介入	(n) 隔離	(n) 癢	(n) 妒忌;猜忌
isolation	(n) 隔離	(n) 癢	(n) 妒忌;猜忌	(n) 較年少者;三年級生
itch	(n) 癢	(n) 妒忌;猜忌	(n) 較年少者;三年級生	(n) 關節;肘;蹄;(鉸鏈的)關節
jealousy	(n) 妒忌;猜忌	(n) 較年少者;三年級生	(n) 關節;肘;蹄;(鉸鏈的)關節	(n) 實驗室,研究室
junior	(n) 較年少者;三年級生	(n) 關節;肘;蹄;(鉸鏈的)關節	(n) 實驗室,研究室	(n) 勞工;分娩,陣痛
knuckle	(n) 關節;肘;蹄;(鉸鏈的)關節	(n) 實驗室,研究室	(n) 勞工;分娩,陣痛	(n) 實驗室,研究室
lab	(n) 實驗室,研究室	(n) 勞工;分娩,陣痛	(n) 實驗室,研究室	(n) 滯後;衰退
labor	(n) 勞工;分娩,陣痛	(n) 實驗室,研究室	(n) 滯後;衰退	(n) 地標,陸標;里程碑
laboratory	(n) 實驗室,研究室	(n) 滯後;衰退	(n) 地標,陸標;里程碑	(n) 山崩;(選舉中的)壓倒性大勝利
lag	(n) 滯後;衰退	(n) 地標,陸標;里程碑	(n) 山崩;(選舉中的)壓倒性大勝利	(n) (船的)下水;發射
landmark	(n) 地標,陸標;里程碑	(n) 山崩;(選舉中的)壓倒性大勝利	(n) (船的)下水;發射	(n) 指導;領先地位;線索,鉛筆心
landslide	(n) 山崩;(選舉中的)壓倒性大勝利	(n) (船的)下水;發射	(n) 指導;領先地位;線索,鉛筆心	(n) 學習;學問,學識
launch	(n) (船的)下水;發射	(n) 指導;領先地位;線索,鉛筆心	(n) 學習;學問,學識	(n) 授課;冗長的訓話
lead	(n) 指導;領先地位;線索,鉛筆心	(n) 學習;學問,學識	(n) 授課;冗長的訓話	(n) 講演者
learning	(n) 學習;學問,學識	(n) 授課;冗長的訓話	(n) 講演者	(n) 傳說;傳奇故事
lecture	(n) 授課;冗長的訓話	(n) 講演者	(n) 傳說;傳奇故事	(n) 許可,特許
lecturer	(n) 講演者	(n) 傳說;傳奇故事	(n) 許可,特許	(n) 極限,限度
legend	(n) 傳說;傳奇故事	(n) 許可,特許	(n) 極限,限度	(n) 酒;含酒精飲料
license	(n) 許可,特許	(n) 極限,限度	(n) 酒;含酒精飲料	(n) 文學;文學作品
limitation	(n) 極限,限度	(n) 酒;含酒精飲料	(n) 文學;文學作品	(n) 貸款
liquor	(n) 酒;含酒精飲料	(n) 文學;文學作品	(n) 貸款	(n) 位置;場所
literature	(n) 文學;文學作品	(n) 貸款	(n) 位置;場所	(n) (公共場所的)衣物櫃
loan	(n) 貸款	(n) 位置;場所	(n) (公共場所的)衣物櫃	(n) 邏輯;邏輯學
location	(n) 位置;場所	(n) (公共場所的)衣物櫃	(n) 邏輯;邏輯學	(n) (化妝等用的)化妝水,塗劑
locker	(n) (公共場所的)衣物櫃	(n) 邏輯;邏輯學	(n) (化妝等用的)化妝水,塗劑	(n) 忠誠;忠心
logic	(n) 邏輯;邏輯學	(n) (化妝等用的)化妝水,塗劑	(n) 忠誠;忠心	(n) 奢侈品,奢華;享受,樂趣
lotion	(n) (化妝等用的)化妝水,塗劑	(n) 忠誠;忠心	(n) 奢侈品,奢華;享受,樂趣	(n) 女士
loyalty	(n) 忠誠;忠心	(n) 奢侈品,奢華;享受,樂趣	(n) 女士	(n) 機器;機械
luxury	(n) 奢侈品,奢華;享受,樂趣	(n) 女士	(n) 機器;機械	(n) 夫人,太太
ma'am	(n) 女士	(n) 機器;機械	(n) 夫人,太太	(n) 構造;性格;化妝;補考;排版
machinery	(n) 機器;機械	(n) 夫人,太太	(n) 構造;性格;化妝;補考;排版	(n) 手冊
madam	(n) 夫人,太太	(n) 構造;性格;化妝;補考;排版	(n) 手冊	(n) 製品,產品
makeup	(n) 構造;性格;化妝;補考;排版	(n) 手冊	(n) 製品,產品	(n) 製造業者,廠商
manual	(n) 手冊	(n) 製品,產品	(n) 製造業者,廠商	(n) 馬拉松賽跑
manufacture	(n) 製品,產品	(n) 製造業者,廠商	(n) 馬拉松賽跑	(n) 邊緣;利潤
manufacturer	(n) 製造業者,廠商	(n) 馬拉松賽跑	(n) 邊緣;利潤	(n) 成熟;完善;(支票等的)到期
marathon	(n) 馬拉松賽跑	(n) 邊緣;利潤	(n) 成熟;完善;(支票等的)到期	(n) 最高極限
margin	(n) 邊緣;利潤	(n) 成熟;完善;(支票等的)到期	(n) 最高極限	(n) 尺寸
maturity	(n) 成熟;完善;(支票等的)到期	(n) 最高極限	(n) 尺寸	(n) 技工
maximum	(n) 最高極限	(n) 尺寸	(n) 技工	(n) 紀念碑
measure	(n) 尺寸	(n) 技工	(n) 紀念碑	(n) 慈悲,憐憫;仁慈
mechanic	(n) 技工	(n) 紀念碑	(n) 慈悲,憐憫;仁慈	(n) 長處,優點;法律依據
memorial	(n) 紀念碑	(n) 慈悲,憐憫;仁慈	(n) 長處,優點;法律依據	(n) 送信人
mercy	(n) 慈悲,憐憫;仁慈	(n) 長處,優點;法律依據	(n) 送信人	(n) 顯微鏡
merit	(n) 長處,優點;法律依據	(n) 送信人	(n) 顯微鏡	(n) 礦物
messenger	(n) 送信人	(n) 顯微鏡	(n) 礦物	(n) 最小數;最低限度
microscope	(n) 顯微鏡	(n) 礦物	(n) 最小數;最低限度	(n) 部長;大臣
mineral	(n) 礦物	(n) 最小數;最低限度	(n) 部長;大臣	(n) (常大寫)(政府的)部
minimum	(n) 最小數;最低限度	(n) 部長;大臣	(n) (常大寫)(政府的)部	(n) 頑皮,淘氣
minister	(n) 部長;大臣	(n) (常大寫)(政府的)部	(n) 頑皮,淘氣	(n) 不幸;惡運
ministry	(n) (常大寫)(政府的)部	(n) 頑皮,淘氣	(n) 不幸;惡運	(n) 謙遜,虛心
mischief	(n) 頑皮,淘氣	(n) 不幸;惡運	(n) 謙遜,虛心	(n) 監視器
misfortune	(n) 不幸;惡運	(n) 謙遜,虛心	(n) 監視器	(n) 月刊
modesty	(n) 謙遜,虛心	(n) 監視器	(n) 月刊	(n) 紀念碑,紀念塔,紀念館
monitor	(n) 監視器	(n) 月刊	(n) 紀念碑,紀念塔,紀念館	(n) 刺激;推動
monthly	(n) 月刊	(n) 紀念碑,紀念塔,紀念館	(n) 刺激;推動	(n) 塌方;山崩
monument	(n) 紀念碑,紀念塔,紀念館	(n) 刺激;推動	(n) 塌方;山崩	(n) 謀殺犯,兇手
motivation	(n) 刺激;推動	(n) 塌方;山崩	(n) 謀殺犯,兇手	(n) 低聲抱怨
mudslide	(n) 塌方;山崩	(n) 謀殺犯,兇手	(n) 低聲抱怨	(n) 髭;小鬍子
murderer	(n) 謀殺犯,兇手	(n) 低聲抱怨	(n) 髭;小鬍子	(n) 國籍
murmur	(n) 低聲抱怨	(n) 髭;小鬍子	(n) 國籍	(n) 忽略;疏忽;疏漏
mustache	(n) 髭;小鬍子	(n) 國籍	(n) 忽略;疏忽;疏漏	(n) 夢魘;惡夢
nationality	(n) 國籍	(n) 忽略;疏忽;疏漏	(n) 夢魘;惡夢	(n) 胡說;胡鬧
neglect	(n) 忽略;疏忽;疏漏	(n) 夢魘;惡夢	(n) 胡說;胡鬧	(n) 名詞
nightmare	(n) 夢魘;惡夢	(n) 胡說;胡鬧	(n) 名詞	(n) 托兒所;苗圃
nonsense	(n) 胡說;胡鬧	(n) 名詞	(n) 托兒所;苗圃	(n) 尼龍
noun	(n) 名詞	(n) 托兒所;苗圃	(n) 尼龍	(n) 服從;順從
nursery	(n) 托兒所;苗圃	(n) 尼龍	(n) 服從;順從	(n) 反對;異議
nylon	(n) 尼龍	(n) 服從;順從	(n) 反對;異議	(n) 目的,目標
obedience	(n) 服從;順從	(n) 反對;異議	(n) 目的,目標	(n) 觀察;觀測
objection	(n) 反對;異議	(n) 目的,目標	(n) 觀察;觀測	(n) 障礙(物);妨礙
objective	(n) 目的,目標	(n) 觀察;觀測	(n) 障礙(物);妨礙	(n) 工作,職業;佔領;佔用
observation	(n) 觀察;觀測	(n) 障礙(物);妨礙	(n) 工作,職業;佔領;佔用	(n) 進攻,攻擊;冒犯;觸怒
obstacle	(n) 障礙(物);妨礙	(n) 工作,職業;佔領;佔用	(n) 進攻,攻擊;冒犯;觸怒	(n) 歌劇
occupation	(n) 工作,職業;佔領;佔用	(n) 進攻,攻擊;冒犯;觸怒	(n) 歌劇	(n) 手術;操作
offense	(n) 進攻,攻擊;冒犯;觸怒	(n) 歌劇	(n) 手術;操作	(n) 口試
opera	(n) 歌劇	(n) 手術;操作	(n) 口試	(n) 運行軌道
operation	(n) 手術;操作	(n) 口試	(n) 運行軌道	(n) 管弦樂隊
oral	(n) 口試	(n) 運行軌道	(n) 管弦樂隊	(n) 結果;結局
orbit	(n) 運行軌道	(n) 管弦樂隊	(n) 結果;結局	(n) 卵形(物)
orchestra	(n) 管弦樂隊	(n) 結果;結局	(n) 卵形(物)	(n) 氧;氧氣
outcome	(n) 結果;結局	(n) 卵形(物)	(n) 氧;氧氣	(n) 步速;速度;進度
oval	(n) 卵形(物)	(n) 氧;氧氣	(n) 步速;速度;進度	(n) 鑲板;壁板;專門小組
oxygen	(n) 氧;氧氣	(n) 步速;速度;進度	(n) 鑲板;壁板;專門小組	(n) 降落傘
pace	(n) 步速;速度;進度	(n) 鑲板;壁板;專門小組	(n) 降落傘	(n) (文章的)段,節
panel	(n) 鑲板;壁板;專門小組	(n) 降落傘	(n) (文章的)段,節	(n) 參加
parachute	(n) 降落傘	(n) (文章的)段,節	(n) 參加	(n) 分詞
paragraph	(n) (文章的)段,節	(n) 參加	(n) 分詞	(n) 合夥(或合作)關係
participation	(n) 參加	(n) 分詞	(n) 合夥(或合作)關係	(n) 麵糰
participle	(n) 分詞	(n) 合夥(或合作)關係	(n) 麵糰	(n) 小卵石
partnership	(n) 合夥(或合作)關係	(n) 麵糰	(n) 小卵石	(n) 踏板;腳蹬
pasta	(n) 麵糰	(n) 小卵石	(n) 踏板;腳蹬	(n) 同輩,同事
pebble	(n) 小卵石	(n) 踏板;腳蹬	(n) 同輩,同事	(n) 處罰;刑罰;罰款
pedal	(n) 踏板;腳蹬	(n) 同輩,同事	(n) 處罰;刑罰;罰款	(n) 百分之一
peer	(n) 同輩,同事	(n) 處罰;刑罰;罰款	(n) 百分之一	(n) 百分率,百分比
penalty	(n) 處罰;刑罰;罰款	(n) 百分之一	(n) 百分率,百分比	(n) 完美;盡善盡美
percent	(n) 百分之一	(n) 百分率,百分比	(n) 完美;盡善盡美	(n) 香水;香料
percentage	(n) 百分率,百分比	(n) 完美;盡善盡美	(n) 香水;香料	(n) 說服,勸說
perfection	(n) 完美;盡善盡美	(n) 香水;香料	(n) 說服,勸說	(n) 花瓣
perfume	(n) 香水;香料	(n) 說服,勸說	(n) 花瓣	(n) 現象
persuasion	(n) 說服,勸說	(n) 花瓣	(n) 現象	(n) 哲學家
petal	(n) 花瓣	(n) 現象	(n) 哲學家	(n) 哲學
phenomenon	(n) 現象	(n) 哲學家	(n) 哲學	(n) 照相術,攝影術
philosopher	(n) 哲學家	(n) 哲學	(n) 照相術,攝影術	(n) 醫師
philosophy	(n) 哲學	(n) 照相術,攝影術	(n) 醫師	(n) 物理學家
photography	(n) 照相術,攝影術	(n) 醫師	(n) 物理學家	(n) 物理
physician	(n) 醫師	(n) 物理學家	(n) 物理	(n) 鋼琴家;鋼琴演奏者
physicist	(n) 物理學家	(n) 物理	(n) 鋼琴家;鋼琴演奏者	(n) 扒手
physics	(n) 物理	(n) 鋼琴家;鋼琴演奏者	(n) 扒手	(n) 拓荒者
pianist	(n) 鋼琴家;鋼琴演奏者	(n) 扒手	(n) 拓荒者	(n) 海盜;劫掠者
pickpocket	(n) 扒手	(n) 拓荒者	(n) 海盜;劫掠者	(n) 陰謀;標繪圖
pioneer	(n) 拓荒者	(n) 海盜;劫掠者	(n) 陰謀;標繪圖	(n) 複數
pirate	(n) 海盜;劫掠者	(n) 陰謀;標繪圖	(n) 複數	(n) 磨光,擦亮
plot	(n) 陰謀;標繪圖	(n) 複數	(n) 磨光,擦亮	(n) 污染
plural	(n) 複數	(n) 磨光,擦亮	(n) 污染	(n) 普及;流行;聲望
polish	(n) 磨光,擦亮	(n) 污染	(n) 普及;流行;聲望	(n) 搬運工人,腳夫
pollution	(n) 污染	(n) 普及;流行;聲望	(n) 搬運工人,腳夫	(n) 擁有;佔有;所有物
popularity	(n) 普及;流行;聲望	(n) 搬運工人,腳夫	(n) 擁有;佔有;所有物	(n) 懷孕
