enact	(v) 制定(法律);扮演(角色)	(adj) 不正常的	(adj) 土著的;土著居民的	(adj) 心不在焉的;健忘的
radical	(adj) 基本的;徹底的	(adj) 胡亂的;隨機的	(adj) 輕率的;急躁的	(adj) 理性的;明事理的;合理的
random	(adj) 胡亂的;隨機的	(adj) 輕率的;急躁的	(adj) 理性的;明事理的;合理的	(adj) 接受的;受領的
rash	(adj) 輕率的;急躁的	(adj) 理性的;明事理的;合理的	(adj) 接受的;受領的	(adj) 消遣的;娛樂的;休養的
rational	(adj) 理性的;明事理的;合理的	(adj) 接受的;受領的	(adj) 消遣的;娛樂的;休養的	(adj) 多餘的;過剩的
recipient	(adj) 接受的;受領的	(adj) 消遣的;娛樂的;休養的	(adj) 多餘的;過剩的	(adj) 反射的;沈思的;反映的
recreational	(adj) 消遣的;娛樂的;休養的	(adj) 多餘的;過剩的	(adj) 反射的;沈思的;反映的	(adj) 不注意的,不留心的;不關心的
redundant	(adj) 多餘的;過剩的	(adj) 反射的;沈思的;反映的	(adj) 不注意的,不留心的;不關心的	(adj) 有關的;切題的
reflective	(adj) 反射的;沈思的;反映的	(adj) 不注意的,不留心的;不關心的	(adj) 有關的;切題的	(adj) 有名的;有聲譽的
regardless	(adj) 不注意的,不留心的;不關心的	(adj) 有關的;切題的	(adj) 有名的;有聲譽的	(adj) 居住的;住宅的
relevant	(adj) 有關的;切題的	(adj) 有名的;有聲譽的	(adj) 居住的;住宅的	(adj) 抵抗的
renowned	(adj) 有名的;有聲譽的	(adj) 居住的;住宅的	(adj) 抵抗的	(adj) 堅決的;不屈不撓的
residential	(adj) 居住的;住宅的	(adj) 抵抗的	(adj) 堅決的;不屈不撓的	(adj) 分別的;各自的
resistant	(adj) 抵抗的	(adj) 堅決的;不屈不撓的	(adj) 分別的;各自的	(adj) 零售的
resolute	(adj) 堅決的;不屈不撓的	(adj) 分別的;各自的	(adj) 零售的	(adj) 有節奏的;有韻律的
respective	(adj) 分別的;各自的	(adj) 零售的	(adj) 有節奏的;有韻律的	(adj) 嚴格的;嚴厲的;嚴密的
retail	(adj) 零售的	(adj) 有節奏的;有韻律的	(adj) 嚴格的;嚴厲的;嚴密的	(adj) (宗教)儀式的;典禮的
rhythmic	(adj) 有節奏的;有韻律的	(adj) 嚴格的;嚴厲的;嚴密的	(adj) (宗教)儀式的;典禮的	(adj) 神志正常的;頭腦清楚的
rigorous	(adj) 嚴格的;嚴厲的;嚴密的	(adj) (宗教)儀式的;典禮的	(adj) 神志正常的;頭腦清楚的	(adj) 有選擇性的
ritual	(adj) (宗教)儀式的;典禮的	(adj) 神志正常的;頭腦清楚的	(adj) 有選擇性的	(adj) 情深的;情感;多愁善感的
sane	(adj) 神志正常的;頭腦清楚的	(adj) 有選擇性的	(adj) 情深的;情感;多愁善感的	(adj) 安詳的;寧靜的
selective	(adj) 有選擇性的	(adj) 情深的;情感;多愁善感的	(adj) 安詳的;寧靜的	(adj) 全然的;(紡織物)極薄的;陡峭的
sentimental	(adj) 情深的;情感;多愁善感的	(adj) 安詳的;寧靜的	(adj) 全然的;(紡織物)極薄的;陡峭的	(adj) 精明的;狡猾的;機靈的
serene	(adj) 安詳的;寧靜的	(adj) 全然的;(紡織物)極薄的;陡峭的	(adj) 精明的;狡猾的;機靈的	(adj) 同時發生的;同步的
sheer	(adj) 全然的;(紡織物)極薄的;陡峭的	(adj) 精明的;狡猾的;機靈的	(adj) 同時發生的;同步的	(adj) 懷疑的;多疑的
shrewd	(adj) 精明的;狡猾的;機靈的	(adj) 同時發生的;同步的	(adj) 懷疑的;多疑的	(adj) 鬼鬼祟祟的
simultaneous	(adj) 同時發生的;同步的	(adj) 懷疑的;多疑的	(adj) 鬼鬼祟祟的	(adj) 好交際的;善交際的
skeptical	(adj) 懷疑的;多疑的	(adj) 鬼鬼祟祟的	(adj) 好交際的;善交際的	(adj) 老於世故的;精通的;精密的
sneaky	(adj) 鬼鬼祟祟的	(adj) 好交際的;善交際的	(adj) 老於世故的;精通的;精密的	(adj) 寬敞的;廣闊的
sociable	(adj) 好交際的;善交際的	(adj) 老於世故的;精通的;精密的	(adj) 寬敞的;廣闊的	(adj) 壯觀的;壯麗的
sophisticated	(adj) 老於世故的;精通的;精密的	(adj) 寬敞的;廣闊的	(adj) 壯觀的;壯麗的	(adj) 螺旋(形)的;盤旋的
spacious	(adj) 寬敞的;廣闊的	(adj) 壯觀的;壯麗的	(adj) 螺旋(形)的;盤旋的	(adj) 自發的;自然的
spectacular	(adj) 壯觀的;壯麗的	(adj) 螺旋(形)的;盤旋的	(adj) 自發的;自然的	(adj) 不動的;定居的
spiral	(adj) 螺旋(形)的;盤旋的	(adj) 自發的;自然的	(adj) 不動的;定居的	(adj) 戰略的
spontaneous	(adj) 自發的;自然的	(adj) 不動的;定居的	(adj) 戰略的	(adj) 主觀的;個人的;主詞的
stationary	(adj) 不動的;定居的	(adj) 戰略的	(adj) 主觀的;個人的;主詞的	(adj) 下級的;次要的;從屬的
strategic	(adj) 戰略的	(adj) 主觀的;個人的;主詞的	(adj) 下級的;次要的;從屬的	(adj) 隨後的;接著發生的
subjective	(adj) 主觀的;個人的;主詞的	(adj) 下級的;次要的;從屬的	(adj) 隨後的;接著發生的	(adj) 微妙的;難捉摸的
subordinate	(adj) 下級的;次要的;從屬的	(adj) 隨後的;接著發生的	(adj) 微妙的;難捉摸的	(adj) 郊區的;近郊的
subsequent	(adj) 隨後的;接著發生的	(adj) 微妙的;難捉摸的	(adj) 郊區的;近郊的	(adj) 連續的;後繼的;繼承的
subtle	(adj) 微妙的;難捉摸的	(adj) 郊區的;近郊的	(adj) 連續的;後繼的;繼承的	(adj) 宏偉的;華麗的; 上乘的,一流的
suburban	(adj) 郊區的;近郊的	(adj) 連續的;後繼的;繼承的	(adj) 宏偉的;華麗的; 上乘的,一流的	(adj) 超音波的;超音速的
successive	(adj) 連續的;後繼的;繼承的	(adj) 宏偉的;華麗的; 上乘的,一流的	(adj) 超音波的;超音速的	(adj) 迷信的
superb	(adj) 宏偉的;華麗的; 上乘的,一流的	(adj) 超音波的;超音速的	(adj) 迷信的	(adj) 過剩的;剩餘的
supersonic	(adj) 超音波的;超音速的	(adj) 迷信的	(adj) 過剩的;剩餘的	(adj) 象徵的;符號的
superstitious	(adj) 迷信的	(adj) 過剩的;剩餘的	(adj) 象徵的;符號的	(adj) 綜合(性)的;合成的;人造的
surplus	(adj) 過剩的;剩餘的	(adj) 象徵的;符號的	(adj) 綜合(性)的;合成的;人造的	(adj) 冗長乏味的;使人厭煩的
symbolic	(adj) 象徵的;符號的	(adj) 綜合(性)的;合成的;人造的	(adj) 冗長乏味的;使人厭煩的	(adj) 紡織的
synthetic	(adj) 綜合(性)的;合成的;人造的	(adj) 冗長乏味的;使人厭煩的	(adj) 紡織的	(adj) 劇場的;戲劇的;戲劇性的
tedious	(adj) 冗長乏味的;使人厭煩的	(adj) 紡織的	(adj) 劇場的;戲劇的;戲劇性的	(adj) 理論的;非應用的;假設的
textile	(adj) 紡織的	(adj) 劇場的;戲劇的;戲劇性的	(adj) 理論的;非應用的;假設的	(adj) 節儉的;茂盛的
theatrical	(adj) 劇場的;戲劇的;戲劇性的	(adj) 理論的;非應用的;假設的	(adj) 節儉的;茂盛的	(adj) 平靜的;安靜的;安寧的
theoretical	(adj) 理論的;非應用的;假設的	(adj) 節儉的;茂盛的	(adj) 平靜的;安靜的;安寧的	(adj) 勝利的;得意洋洋的
thrifty	(adj) 節儉的;茂盛的	(adj) 平靜的;安靜的;安寧的	(adj) 勝利的;得意洋洋的	(adj) 瑣細的;平凡的
tranquil	(adj) 平靜的;安靜的;安寧的	(adj) 勝利的;得意洋洋的	(adj) 瑣細的;平凡的	(adj) 熱帶的
triumphant	(adj) 勝利的;得意洋洋的	(adj) 瑣細的;平凡的	(adj) 熱帶的	(adj) 逃學的;玩忽職守的
trivial	(adj) 瑣細的;平凡的	(adj) 熱帶的	(adj) 逃學的;玩忽職守的	(adj) 最後的;最終的
tropic	(adj) 熱帶的	(adj) 逃學的;玩忽職守的	(adj) 最後的;最終的	(adj) 全體一致的
truant	(adj) 逃學的;玩忽職守的	(adj) 最後的;最終的	(adj) 全體一致的	(adj) 最大的;最遠的;極度的
ultimate	(adj) 最後的;最終的	(adj) 全體一致的	(adj) 最大的;最遠的;極度的	(adj) 勇敢的;英勇的
unanimous	(adj) 全體一致的	(adj) 最大的;最遠的;極度的	(adj) 勇敢的;英勇的	(adj) 有根據的;有效的
utmost	(adj) 最大的;最遠的;極度的	(adj) 勇敢的;英勇的	(adj) 有根據的;有效的	(adj) 易變的;變異的
valiant	(adj) 勇敢的;英勇的	(adj) 有根據的;有效的	(adj) 易變的;變異的	(adj) 多才多藝的;多功能的
valid	(adj) 有根據的;有效的	(adj) 易變的;變異的	(adj) 多才多藝的;多功能的	(adj) 惡意的;惡毒的
variable	(adj) 易變的;變異的	(adj) 多才多藝的;多功能的	(adj) 惡意的;惡毒的	(adj) 勝利的
versatile	(adj) 多才多藝的;多功能的	(adj) 惡意的;惡毒的	(adj) 勝利的	(adj) 實質上的;虛擬的
vicious	(adj) 惡意的;惡毒的	(adj) 勝利的	(adj) 實質上的;虛擬的	(adj) 聲音的;用言語表達的
victorious	(adj) 勝利的	(adj) 實質上的;虛擬的	(adj) 聲音的;用言語表達的	(adj) 職業的
virtual	(adj) 實質上的;虛擬的	(adj) 聲音的;用言語表達的	(adj) 職業的	(adj) 粗俗的;下流的
vocal	(adj) 聲音的;用言語表達的	(adj) 職業的	(adj) 粗俗的;下流的	(adj) 易受傷的;有弱點的
vocational	(adj) 職業的	(adj) 粗俗的;下流的	(adj) 易受傷的;有弱點的	(adj) 防水的
vulgar	(adj) 粗俗的;下流的	(adj) 易受傷的;有弱點的	(adj) 防水的	(adj) 不透水的;無懈可擊的
vulnerable	(adj) 易受傷的;有弱點的	(adj) 防水的	(adj) 不透水的;無懈可擊的	(adj) 不管什麼樣的;無論怎麼的
waterproof	(adj) 防水的	(adj) 不透水的;無懈可擊的	(adj) 不管什麼樣的;無論怎麼的	(adj) 機智的;說話風趣的
watertight	(adj) 不透水的;無懈可擊的	(adj) 不管什麼樣的;無論怎麼的	(adj) 機智的;說話風趣的	(v) 縮寫
whatsoever	(adj) 不管什麼樣的;無論怎麼的	(adj) 機智的;說話風趣的	(v) 縮寫	(v) 大量存在;富足;充滿
witty	(adj) 機智的;說話風趣的	(v) 縮寫	(v) 大量存在;富足;充滿	(v) 濫用;虐待
abbreviate	(v) 縮寫	(v) 大量存在;富足;充滿	(v) 濫用;虐待	(v) 加快;增長
abound	(v) 大量存在;富足;充滿	(v) 濫用;虐待	(v) 加快;增長	(v) 能容納;能提供...膳宿;給...方便
abuse	(v) 濫用;虐待	(v) 加快;增長	(v) 能容納;能提供...膳宿;給...方便	(v) (與...)一致;調解
accelerate	(v) 加快;增長	(v) 能容納;能提供...膳宿;給...方便	(v) (與...)一致;調解	(v) 累積;積聚
accommodate	(v) 能容納;能提供...膳宿;給...方便	(v) (與...)一致;調解	(v) 累積;積聚	(v) 使沈溺;使成癮
accord	(v) (與...)一致;調解	(v) 累積;積聚	(v) 使沈溺;使成癮	(v) 管理;給予;執行
accumulate	(v) 累積;積聚	(v) 使沈溺;使成癮	(v) 管理;給予;執行	(v) 管理;支配
addict	(v) 使沈溺;使成癮	(v) 管理;給予;執行	(v) 管理;支配	(v) 擁護;提倡
administer	(v) 管理;給予;執行	(v) 管理;支配	(v) 擁護;提倡	(v) 斷言;申明;堅稱
administrate	(v) 管理;支配	(v) 擁護;提倡	(v) 斷言;申明;堅稱	(v) 使疏遠;離間
advocate	(v) 擁護;提倡	(v) 斷言;申明;堅稱	(v) 使疏遠;離間	(v) 分派;分配
affirm	(v) 斷言;申明;堅稱	(v) 使疏遠;離間	(v) 分派;分配	(v) 埋伏下;伏擊
alienate	(v) 使疏遠;離間	(v) 分派;分配	(v) 埋伏下;伏擊	(v) 放大(聲音等);擴大
allocate	(v) 分派;分配	(v) 埋伏下;伏擊	(v) 放大(聲音等);擴大	(v) 賦予生命;繪製(卡通影片)
ambush	(v) 埋伏下;伏擊	(v) 放大(聲音等);擴大	(v) 賦予生命;繪製(卡通影片)	(v) 預期;預先考慮到
amplify	(v) 放大(聲音等);擴大	(v) 賦予生命;繪製(卡通影片)	(v) 預期;預先考慮到	(v) 當學徒
animate	(v) 賦予生命;繪製(卡通影片)	(v) 預期;預先考慮到	(v) 當學徒	(v) 接近;近似;大致估計
anticipate	(v) 預期;預先考慮到	(v) 當學徒	(v) 接近;近似;大致估計	(v) 清晰地講話;相互連貫
apprentice	(v) 當學徒	(v) 接近;近似;大致估計	(v) 清晰地講話;相互連貫	(v) 暗殺,詆毀
approximate	(v) 接近;近似;大致估計	(v) 清晰地講話;相互連貫	(v) 暗殺,詆毀	(v) 斷言;堅持
articulate	(v) 清晰地講話;相互連貫	(v) 暗殺,詆毀	(v) 斷言;堅持	(v) 估價;評價
assassinate	(v) 暗殺,詆毀	(v) 斷言;堅持	(v) 估價;評價	(v) 達到;獲得
assert	(v) 斷言;堅持	(v) 估價;評價	(v) 達到;獲得	(v) 拍賣
assess	(v) 估價;評價	(v) 達到;獲得	(v) 拍賣	(v) 授權給;批准
attain	(v) 達到;獲得	(v) 拍賣	(v) 授權給;批准	(v) 親筆簽名於
auction	(v) 拍賣	(v) 授權給;批准	(v) 親筆簽名於	(v) (招手或點頭)示意;召喚
authorize	(v) 授權給;批准	(v) 親筆簽名於	(v) (招手或點頭)示意;召喚	(v) 圍攻;圍困;煩擾
autograph	(v) 親筆簽名於	(v) (招手或點頭)示意;召喚	(v) 圍攻;圍困;煩擾	(v) 背叛;出賣
beckon	(v) (招手或點頭)示意;召喚	(v) 圍攻;圍困;煩擾	(v) 背叛;出賣	(v) 使存偏見
besiege	(v) 圍攻;圍困;煩擾	(v) 背叛;出賣	(v) 使存偏見	(v) 犯大錯;出漏子
betray	(v) 背叛;出賣	(v) 使存偏見	(v) 犯大錯;出漏子	(v) 使鈍;使遲鈍;減弱
bias	(v) 使存偏見	(v) 犯大錯;出漏子	(v) 使鈍;使遲鈍;減弱	(v) 砲擊;不斷攻擊;連續提出問題
blunder	(v) 犯大錯;出漏子	(v) 使鈍;使遲鈍;減弱	(v) 砲擊;不斷攻擊;連續提出問題	(v) 舉;抬;推動;促進
blunt	(v) 使鈍;使遲鈍;減弱	(v) 砲擊;不斷攻擊;連續提出問題	(v) 舉;抬;推動;促進	(v) 聯合抵制
bombard	(v) 砲擊;不斷攻擊;連續提出問題	(v) 舉;抬;推動;促進	(v) 聯合抵制	(v) 釀造;醞釀著
boost	(v) 舉;抬;推動;促進	(v) 聯合抵制	(v) 釀造;醞釀著	(v) 扣住;垮掉;讓步
boycott	(v) 聯合抵制	(v) 釀造;醞釀著	(v) 扣住;垮掉;讓步	(v) 用帆布覆蓋;用帆布裝備
brew	(v) 釀造;醞釀著	(v) 扣住;垮掉;讓步	(v) 用帆布覆蓋;用帆布裝備	(v) 加標題於
buckle	(v) 扣住;垮掉;讓步	(v) 用帆布覆蓋;用帆布裝備	(v) 加標題於	(v) 愛撫;撫摸;寵愛
canvas	(v) 用帆布覆蓋;用帆布裝備	(v) 加標題於	(v) 愛撫;撫摸;寵愛	(v) 承辦宴席;迎合
caption	(v) 加標題於	(v) 愛撫;撫摸;寵愛	(v) 承辦宴席;迎合	(v) 證明;保證;發證書(或執照等)
caress	(v) 愛撫;撫摸;寵愛	(v) 承辦宴席;迎合	(v) 證明;保證;發證書(或執照等)	(v) 描繪...的特性;具有...的特徵
cater	(v) 承辦宴席;迎合	(v) 證明;保證;發證書(或執照等)	(v) 描繪...的特性;具有...的特徵	(v) 駕馭(戰車或馬車)
certify	(v) 證明;保證;發證書(或執照等)	(v) 描繪...的特性;具有...的特徵	(v) 駕馭(戰車或馬車)	(v) 咯咯地笑;暗自發笑
characterize	(v) 描繪...的特性;具有...的特徵	(v) 駕馭(戰車或馬車)	(v) 咯咯地笑;暗自發笑	(v) 使文明,使開化
chariot	(v) 駕馭(戰車或馬車)	(v) 咯咯地笑;暗自發笑	(v) 使文明,使開化	(v) 鉗緊;夾住;強行實施;取締
chuckle	(v) 咯咯地笑;暗自發笑	(v) 使文明,使開化	(v) 鉗緊;夾住;強行實施;取締	(v) 清洗;淨化
civilize	(v) 使文明,使開化	(v) 鉗緊;夾住;強行實施;取締	(v) 清洗;淨化	(v) 緊握;緊咬
clamp	(v) 鉗緊;夾住;強行實施;取締	(v) 清洗;淨化	(v) 緊握;緊咬	(v) 複製
cleanse	(v) 清洗;淨化	(v) 緊握;緊咬	(v) 複製	(v) 同時發生;巧合;一致
clench	(v) 緊握;緊咬	(v) 複製	(v) 同時發生;巧合;一致	(v) 相撞;衝突;抵觸
clone	(v) 複製	(v) 同時發生;巧合;一致	(v) 相撞;衝突;抵觸	(v) 慶祝;紀念
coincide	(v) 同時發生;巧合;一致	(v) 相撞;衝突;抵觸	(v) 慶祝;紀念	(v) 開始;著手;得學位
collide	(v) 相撞;衝突;抵觸	(v) 慶祝;紀念	(v) 開始;著手;得學位	(v) 補償;賠償;酬報
commemorate	(v) 慶祝;紀念	(v) 開始;著手;得學位	(v) 補償;賠償;酬報	(v) 匯編;收集(資料等);編譯(程式)
commence	(v) 開始;著手;得學位	(v) 補償;賠償;酬報	(v) 匯編;收集(資料等);編譯(程式)	(v) 補充;補足;與...相配
compensate	(v) 補償;賠償;酬報	(v) 匯編;收集(資料等);編譯(程式)	(v) 補充;補足;與...相配	(v) 包括;由...組成
compile	(v) 匯編;收集(資料等);編譯(程式)	(v) 補充;補足;與...相配	(v) 包括;由...組成	(v) (勉強)承認;讓步;承認失敗
complement	(v) 補充;補足;與...相配	(v) 包括;由...組成	(v) (勉強)承認;讓步;承認失敗	(v) 濃縮;縮短;凝結
comprise	(v) 包括;由...組成	(v) (勉強)承認;讓步;承認失敗	(v) 濃縮;縮短;凝結	(v) 授予(學位等);給予;協商
concede	(v) (勉強)承認;讓步;承認失敗	(v) 濃縮;縮短;凝結	(v) 授予(學位等);給予;協商	(v) 遵照;符合;使一致
condense	(v) 濃縮;縮短;凝結	(v) 授予(學位等);給予;協商	(v) 遵照;符合;使一致	(v) 否定(陳述等);反駁;與...矛盾
confer	(v) 授予(學位等);給予;協商	(v) 遵照;符合;使一致	(v) 否定(陳述等);反駁;與...矛盾	(v) 協調,調節; 協調一致
conform	(v) 遵照;符合;使一致	(v) 否定(陳述等);反駁;與...矛盾	(v) 協調,調節; 協調一致	(v) 挖去...的果核
contradict	(v) 否定(陳述等);反駁;與...矛盾	(v) 協調,調節; 協調一致	(v) 挖去...的果核	(v) 垂涎;貪圖
coordinate	(v) 協調,調節; 協調一致	(v) 挖去...的果核	(v) 垂涎;貪圖	(v) 用夾鉗夾緊;限制;約束
core	(v) 挖去...的果核	(v) 垂涎;貪圖	(v) 用夾鉗夾緊;限制;約束	(v) 使彎曲;成鉤形
covet	(v) 垂涎;貪圖	(v) 用夾鉗夾緊;限制;約束	(v) 使彎曲;成鉤形	(v) 巡航;航遊;緩慢巡行
cramp	(v) 用夾鉗夾緊;限制;約束	(v) 使彎曲;成鉤形	(v) 巡航;航遊;緩慢巡行	(v) 粉碎;崩潰;(希望等)破滅
crook	(v) 使彎曲;成鉤形	(v) 巡航;航遊;緩慢巡行	(v) 粉碎;崩潰;(希望等)破滅	(v) 結成外殼;覆有硬皮
cruise	(v) 巡航;航遊;緩慢巡行	(v) 粉碎;崩潰;(希望等)破滅	(v) 結成外殼;覆有硬皮	(v) 栽培(作物等);養殖(魚等);培育
crumble	(v) 粉碎;崩潰;(希望等)破滅	(v) 結成外殼;覆有硬皮	(v) 栽培(作物等);養殖(魚等);培育	(v) 下降,下跌,衰退,婉拒,謝絕
crust	(v) 結成外殼;覆有硬皮	(v) 栽培(作物等);養殖(魚等);培育	(v) 下降,下跌,衰退,婉拒,謝絕	(v) 奉獻;獻身於;舉行落成典禮
cultivate	(v) 栽培(作物等);養殖(魚等);培育	(v) 下降,下跌,衰退,婉拒,謝絕	(v) 奉獻;獻身於;舉行落成典禮	(v) 認為;視作
decline	(v) 下降,下跌,衰退,婉拒,謝絕	(v) 奉獻;獻身於;舉行落成典禮	(v) 認為;視作	(v) 逃跑;脫離;背叛
dedicate	(v) 奉獻;獻身於;舉行落成典禮	(v) 認為;視作	(v) 逃跑;脫離;背叛	(v) 貶低;降級;降低
deem	(v) 認為;視作	(v) 逃跑;脫離;背叛	(v) 貶低;降級;降低	(v) 仔細考慮;商議
defect	(v) 逃跑;脫離;背叛	(v) 貶低;降級;降低	(v) 仔細考慮;商議	(v) 譴責;告發
degrade	(v) 貶低;降級;降低	(v) 仔細考慮;商議	(v) 譴責;告發	(v) 描畫;雕出;描述
deliberate	(v) 仔細考慮;商議	(v) 譴責;告發	(v) 描畫;雕出;描述	(v) 剝奪
denounce	(v) 譴責;告發	(v) 描畫;雕出;描述	(v) 剝奪	(v) 取得;衍生出
depict	(v) 描畫;雕出;描述	(v) 剝奪	(v) 取得;衍生出	(v) (走)下來;下降;來自於
deprive	(v) 剝奪	(v) 取得;衍生出	(v) (走)下來;下降;來自於	(v) 標出;指定;定名為;委任
derive	(v) 取得;衍生出	(v) (走)下來;下降;來自於	(v) 標出;指定;定名為;委任	(v) 分開;拆卸;派遣
descend	(v) (走)下來;下降;來自於	(v) 標出;指定;定名為;委任	(v) 分開;拆卸;派遣	(v) 留住;扣留
designate	(v) 標出;指定;定名為;委任	(v) 分開;拆卸;派遣	(v) 留住;扣留	(v) 嚇住;使斷念
detach	(v) 分開;拆卸;派遣	(v) 留住;扣留	(v) 嚇住;使斷念	(v) 惡化;(價值)下降;退化;墮落
detain	(v) 留住;扣留	(v) 嚇住;使斷念	(v) 惡化;(價值)下降;退化;墮落	(v) 降低價值;(貨幣)貶值
deter	(v) 嚇住;使斷念	(v) 惡化;(價值)下降;退化;墮落	(v) 降低價值;(貨幣)貶值	(v) 診斷
deteriorate	(v) 惡化;(價值)下降;退化;墮落	(v) 降低價值;(貨幣)貶值	(v) 診斷	(v) 用圖解法表示,圖示
devalue	(v) 降低價值;(貨幣)貶值	(v) 診斷	(v) 用圖解法表示,圖示	(v) 口授,口述,
diagnose	(v) 診斷	(v) 用圖解法表示,圖示	(v) 口授,口述,	(v) 構成差別;區分
diagram	(v) 用圖解法表示,圖示	(v) 口授,口述,	(v) 構成差別;區分	(v) 減少;減小;縮減
dictate	(v) 口授,口述,	(v) 構成差別;區分	(v) 減少;減小;縮減	(v) 使失去能力;使傷殘
differentiate	(v) 構成差別;區分	(v) 減少;減小;縮減	(v) 使失去能力;使傷殘	(v) 不贊成;不同意
diminish	(v) 減少;減小;縮減	(v) 使失去能力;使傷殘	(v) 不贊成;不同意	(v) 卸貨;發射;排出;釋放;解雇
disable	(v) 使失去能力;使傷殘	(v) 不贊成;不同意	(v) 卸貨;發射;排出;釋放;解雇	(v) 使露出;揭發;透露
disapprove	(v) 不贊成;不同意	(v) 卸貨;發射;排出;釋放;解雇	(v) 使露出;揭發;透露	(v) 使不舒服;使不安
discharge	(v) 卸貨;發射;排出;釋放;解雇	(v) 使露出;揭發;透露	(v) 使不舒服;使不安	(v) 使丟臉
disclose	(v) 使露出;揭發;透露	(v) 使不舒服;使不安	(v) 使丟臉	(v) 去掉覆蓋物;拆除
discomfort	(v) 使不舒服;使不安	(v) 使丟臉	(v) 去掉覆蓋物;拆除	(v) 使驚慌;使沮喪
disgrace	(v) 使丟臉	(v) 去掉覆蓋物;拆除	(v) 使驚慌;使沮喪	(v) 派遣;發送
dismantle	(v) 去掉覆蓋物;拆除	(v) 使驚慌;使沮喪	(v) 派遣;發送	(v) 驅散;解散;散佈
dismay	(v) 使驚慌;使沮喪	(v) 派遣;發送	(v) 驅散;解散;散佈	(v) 迫使離開;取代;免職
dispatch	(v) 派遣;發送	(v) 驅散;解散;散佈	(v) 迫使離開;取代;免職	(v) 使不高興;得罪
disperse	(v) 驅散;解散;散佈	(v) 迫使離開;取代;免職	(v) 使不高興;得罪	(v) 漠視
displace	(v) 迫使離開;取代;免職	(v) 使不高興;得罪	(v) 漠視	(v) 分解;使融化
displease	(v) 使不高興;得罪	(v) 漠視	(v) 分解;使融化	(v) 勸阻
disregard	(v) 漠視	(v) 分解;使融化	(v) 勸阻	(v) 扭曲;曲解;變形
dissolve	(v) 分解;使融化	(v) 勸阻	(v) 扭曲;曲解;變形	(v) 轉移(目標);使分心
dissuade	(v) 勸阻	(v) 扭曲;曲解;變形	(v) 轉移(目標);使分心	(v) 不信任;懷疑
distort	(v) 扭曲;曲解;變形	(v) 轉移(目標);使分心	(v) 不信任;懷疑	(v) 使多樣化
distract	(v) 轉移(目標);使分心	(v) 不信任;懷疑	(v) 使多樣化	(v) 轉向;改道;使分心
distrust	(v) 不信任;懷疑	(v) 使多樣化	(v) 轉向;改道;使分心	(v) 成圓頂狀
diversify	(v) 使多樣化	(v) 轉向;改道;使分心	(v) 成圓頂狀	(v) 捐獻,捐贈
divert	(v) 轉向;改道;使分心	(v) 成圓頂狀	(v) 捐獻,捐贈	(v) 注定;使失敗;毀滅
dome	(v) 成圓頂狀	(v) 捐獻,捐贈	(v) 注定;使失敗;毀滅	(v) 下毛毛雨
donate	(v) 捐獻,捐贈	(v) 注定;使失敗;毀滅	(v) 下毛毛雨	(v) 用炸藥爆破;炸毀
doom	(v) 注定;使失敗;毀滅	(v) 下毛毛雨	(v) 用炸藥爆破;炸毀	(v) 退潮;衰退
drizzle	(v) 下毛毛雨	(v) 用炸藥爆破;炸毀	(v) 退潮;衰退	(v) 上船(或飛機等);從事
dynamite	(v) 用炸藥爆破;炸毀	(v) 退潮;衰退	(v) 上船(或飛機等);從事	(v) 移居外國(或外地)
ebb	(v) 退潮;衰退	(v) 上船(或飛機等);從事	(v) 移居外國(或外地)	(v) 提高,增加
embark	(v) 上船(或飛機等);從事	(v) 移居外國(或外地)	(v) 提高,增加	(v) 啟發;啟迪
emigrate	(v) 移居外國(或外地)	(v) 提高,增加	(v) 啟發;啟迪	(v) 使富裕;使豐富;使肥沃
enhance	(v) 提高,增加	(v) 啟發;啟迪	(v) 使富裕;使豐富;使肥沃	(v) 腐蝕;侵蝕;磨損
enlighten	(v) 啟發;啟迪	(v) 使富裕;使豐富;使肥沃	(v) 腐蝕;侵蝕;磨損	(v) 使逐步上升(增強或擴大)
enrich	(v) 使富裕;使豐富;使肥沃	(v) 腐蝕;侵蝕;磨損	(v) 使逐步上升(增強或擴大)	(v) 撤離;避難;疏散
erode	(v) 腐蝕;侵蝕;磨損	(v) 使逐步上升(增強或擴大)	(v) 撤離;避難;疏散	(v) 使逐步形成;發展
escalate	(v) 使逐步上升(增強或擴大)	(v) 撤離;避難;疏散	(v) 使逐步形成;發展	(v) 摘錄;引用
evacuate	(v) 撤離;避難;疏散	(v) 使逐步形成;發展	(v) 摘錄;引用	(v) 用(力);施加
evolve	(v) 使逐步形成;發展	(v) 摘錄;引用	(v) 用(力);施加	(v) 驅逐;排出;開除
excerpt	(v) 摘錄;引用	(v) 用(力);施加	(v) 驅逐;排出;開除	(v) 失效;滿期;吐氣
exert	(v) 用(力);施加	(v) 驅逐;排出;開除	(v) 失效;滿期;吐氣	(v) 開發,開採,開拓
expel	(v) 驅逐;排出;開除	(v) 失效;滿期;吐氣	(v) 開發,開採,開拓	(v) 取出;抽出;提煉;摘錄
expire	(v) 失效;滿期;吐氣	(v) 開發,開採,開拓	(v) 取出;抽出;提煉;摘錄	(v) 使容易;促進;幫助
exploit	(v) 開發,開採,開拓	(v) 取出;抽出;提煉;摘錄	(v) 使容易;促進;幫助	(v) 閃耀;(搖曳不定地)燃燒;閃亮
