cast	(v) 投,擲; 選派...扮演角色	(v) 以...為特色	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的
author	(v) 開創,發起;著作,編寫	(v) 算出...的平均數;使平衡; 平均為	(v) 喚醒	(v) 醒;覺醒;喚起
average	(v) 算出...的平均數;使平衡; 平均為	(v) 喚醒	(v) 醒;覺醒;喚起	(v) 授予
awake	(v) 喚醒	(v) 醒;覺醒;喚起	(v) 授予	(v) 用斧劈;解雇
awaken	(v) 醒;覺醒;喚起	(v) 授予	(v) 用斧劈;解雇	(v) ax
award	(v) 授予	(v) 用斧劈;解雇	(v) ax	(v) 置餌於
ax	(v) 用斧劈;解雇	(v) ax	(v) 置餌於	(v) 使平衡
axe	(v) ax	(v) 置餌於	(v) 使平衡	(v) 用繃帶包紮
bait	(v) 置餌於	(v) 使平衡	(v) 用繃帶包紮	(v) 發出砰的一聲;砰地敲
balance	(v) 使平衡	(v) 用繃帶包紮	(v) 發出砰的一聲;砰地敲	(v) 露出
bandage	(v) 用繃帶包紮	(v) 發出砰的一聲;砰地敲	(v) 露出	(v) 以樑支撐;用...照射
bang	(v) 發出砰的一聲;砰地敲	(v) 露出	(v) 以樑支撐;用...照射	(v) 舉動;守規矩
bare	(v) 露出	(v) 以樑支撐;用...照射	(v) 舉動;守規矩	(v) 對...有益
beam	(v) 以樑支撐;用...照射	(v) 舉動;守規矩	(v) 對...有益	(v) 歸咎於
behave	(v) 舉動;守規矩	(v) 對...有益	(v) 歸咎於	(v) (似)用毯覆蓋;掩蓋
benefit	(v) 對...有益	(v) 歸咎於	(v) (似)用毯覆蓋;掩蓋	(v) 流血
blame	(v) 歸咎於	(v) (似)用毯覆蓋;掩蓋	(v) 流血	(v) 祝福;保佑
blanket	(v) (似)用毯覆蓋;掩蓋	(v) 流血	(v) 祝福;保佑	(v) 開機
bleed	(v) 流血	(v) 祝福;保佑	(v) 開機	(v) 毗鄰,接界
bless	(v) 祝福;保佑	(v) 開機	(v) 毗鄰,接界	(v) 使厭煩
boot	(v) 開機	(v) 毗鄰,接界	(v) 使厭煩	(v) 煞車,制動
border	(v) 毗鄰,接界	(v) 使厭煩	(v) 煞車,制動	(v) 呼吸
bore	(v) 使厭煩	(v) 煞車,制動	(v) 呼吸	(v) 吹著微風
brake	(v) 煞車,制動	(v) 呼吸	(v) 吹著微風	(v) 沸騰;冒泡
breathe	(v) 呼吸	(v) 吹著微風	(v) 沸騰;冒泡	(v) 使發芽
breeze	(v) 吹著微風	(v) 沸騰;冒泡	(v) 使發芽	(v) 把...編入預算
bubble	(v) 沸騰;冒泡	(v) 使發芽	(v) 把...編入預算	(v) 碰,撞
bud	(v) 使發芽	(v) 把...編入預算	(v) 碰,撞	(v) 加重壓於
budget	(v) 把...編入預算	(v) 碰,撞	(v) 加重壓於	(v) 埋葬,安葬
bump	(v) 碰,撞	(v) 加重壓於	(v) 埋葬,安葬	(v) 嗡嗡叫
burden	(v) 加重壓於	(v) 埋葬,安葬	(v) 嗡嗡叫	(v) 用獨木舟載運
bury	(v) 埋葬,安葬	(v) 嗡嗡叫	(v) 用獨木舟載運	(v) 捕獲;俘虜
buzz	(v) 嗡嗡叫	(v) 用獨木舟載運	(v) 捕獲;俘虜	(v) 慶祝
canoe	(v) 用獨木舟載運	(v) 捕獲;俘虜	(v) 慶祝	(v) 拘禁;束縛
capture	(v) 捕獲;俘虜	(v) 慶祝	(v) 拘禁;束縛	(v) 對...提出異議
celebrate	(v) 慶祝	(v) 拘禁;束縛	(v) 對...提出異議	(v) 在...開水道;傳送
chain	(v) 拘禁;束縛	(v) 對...提出異議	(v) 在...開水道;傳送	(v) 使陶醉
challenge	(v) 對...提出異議	(v) 在...開水道;傳送	(v) 使陶醉	(v) 閒談,聊天
channel	(v) 在...開水道;傳送	(v) 使陶醉	(v) 閒談,聊天	(v) 向...歡呼
charm	(v) 使陶醉	(v) 閒談,聊天	(v) 向...歡呼	(v) 咀嚼
chat	(v) 閒談,聊天	(v) 向...歡呼	(v) 咀嚼	(v) 使變冷;使打寒顫;使掃興,使沮喪
cheer	(v) 向...歡呼	(v) 咀嚼	(v) 使變冷;使打寒顫;使掃興,使沮喪	(v) 削,鑿,鏟
chew	(v) 咀嚼	(v) 使變冷;使打寒顫;使掃興,使沮喪	(v) 削,鑿,鏟	(v) 使窒息;哽住
chill	(v) 使變冷;使打寒顫;使掃興,使沮喪	(v) 削,鑿,鏟	(v) 使窒息;哽住	(v) 砍,劈,斬
chip	(v) 削,鑿,鏟	(v) 使窒息;哽住	(v) 砍,劈,斬	(v) 發出卡嗒(或喀嚓)聲
choke	(v) 使窒息;哽住	(v) 砍,劈,斬	(v) 發出卡嗒(或喀嚓)聲	(v) 剪;修剪;剪短;剪除
chop	(v) 砍,劈,斬	(v) 發出卡嗒(或喀嚓)聲	(v) 剪;修剪;剪短;剪除	(v) 使結合
click	(v) 發出卡嗒(或喀嚓)聲	(v) 剪;修剪;剪短;剪除	(v) 使結合	(v) 安慰,慰問
clip	(v) 剪;修剪;剪短;剪除	(v) 使結合	(v) 安慰,慰問	(v) 命令;掌握; 指揮;控制
combine	(v) 使結合	(v) 安慰,慰問	(v) 命令;掌握; 指揮;控制	(v) 傳達;傳遞
comfort	(v) 安慰,慰問	(v) 命令;掌握; 指揮;控制	(v) 傳達;傳遞	(v) 競爭;對抗
command	(v) 命令;掌握; 指揮;控制	(v) 傳達;傳遞	(v) 競爭;對抗	(v) 使擔心
communicate	(v) 傳達;傳遞	(v) 競爭;對抗	(v) 使擔心	(v) 推斷出,斷定
compete	(v) 競爭;對抗	(v) 使擔心	(v) 推斷出,斷定	(v) 決定;為...的條件
concern	(v) 使擔心	(v) 推斷出,斷定	(v) 決定;為...的條件	(v) 使迷惑
conclude	(v) 推斷出,斷定	(v) 決定;為...的條件	(v) 使迷惑	(v) 連接,連結
condition	(v) 決定;為...的條件	(v) 使迷惑	(v) 連接,連結	(v) 締結;訂契約;承包;收縮
confuse	(v) 使迷惑	(v) 連接,連結	(v) 締結;訂契約;承包;收縮	(v) 使躺下;表達;蹲著;埋伏
connect	(v) 連接,連結	(v) 締結;訂契約;承包;收縮	(v) 使躺下;表達;蹲著;埋伏	(v) 撫育
contract	(v) 締結;訂契約;承包;收縮	(v) 使躺下;表達;蹲著;埋伏	(v) 撫育	(v) 碰撞,倒下,墜落
couch	(v) 使躺下;表達;蹲著;埋伏	(v) 撫育	(v) 碰撞,倒下,墜落	(v) 爬行,蠕動
cradle	(v) 撫育	(v) 碰撞,倒下,墜落	(v) 爬行,蠕動	(v) 把...記入貸方
crash	(v) 碰撞,倒下,墜落	(v) 爬行,蠕動	(v) 把...記入貸方	(v) 躡手躡足地走
crawl	(v) 爬行,蠕動	(v) 把...記入貸方	(v) 躡手躡足地走	(v) 為...加冕
credit	(v) 把...記入貸方	(v) 躡手躡足地走	(v) 為...加冕	(v) 循環,輪轉
creep	(v) 躡手躡足地走	(v) 為...加冕	(v) 循環,輪轉	(v) 築壩於,築壩攔(水)
crown	(v) 為...加冕	(v) 循環,輪轉	(v) 築壩於,築壩攔(水)	(v) 敢;膽敢
cycle	(v) 循環,輪轉	(v) 築壩於,築壩攔(水)	(v) 敢;膽敢	(v) 使(希望等)破滅;使沮喪
dam	(v) 築壩於,築壩攔(水)	(v) 敢;膽敢	(v) 使(希望等)破滅;使沮喪	(v) 使聾;淹沒(聲音)
dare	(v) 敢;膽敢	(v) 使(希望等)破滅;使沮喪	(v) 使聾;淹沒(聲音)	(v) 使加深;使強烈;使變濃
dash	(v) 使(希望等)破滅;使沮喪	(v) 使聾;淹沒(聲音)	(v) 使加深;使強烈;使變濃	(v) 解釋,給...下定義
deafen	(v) 使聾;淹沒(聲音)	(v) 使加深;使強烈;使變濃	(v) 解釋,給...下定義	(v) 放下,放置;寄存
deepen	(v) 使加深;使強烈;使變濃	(v) 解釋,給...下定義	(v) 放下,放置;寄存	(v) 毀壞,破壞
define	(v) 解釋,給...下定義	(v) 放下,放置;寄存	(v) 毀壞,破壞	(v) 詳述,詳細說明
deposit	(v) 放下,放置;寄存	(v) 毀壞,破壞	(v) 詳述,詳細說明	(v) 決定
destroy	(v) 毀壞,破壞	(v) 詳述,詳細說明	(v) 決定	(v) 節食
detail	(v) 詳述,詳細說明	(v) 決定	(v) 節食	(v) 變暗淡;變模糊
determine	(v) 決定	(v) 節食	(v) 變暗淡;變模糊	(v) 進餐,用餐
diet	(v) 節食	(v) 變暗淡;變模糊	(v) 進餐,用餐	(v) 浸;泡
dim	(v) 變暗淡;變模糊	(v) 進餐,用餐	(v) 浸;泡	(v) 使失望
dine	(v) 進餐,用餐	(v) 浸;泡	(v) 使失望	(v) 將...打折扣
dip	(v) 浸;泡	(v) 使失望	(v) 將...打折扣	(v) 不喜愛,厭惡
disappoint	(v) 使失望	(v) 將...打折扣	(v) 不喜愛,厭惡	(v) 掘溝
discount	(v) 將...打折扣	(v) 不喜愛,厭惡	(v) 掘溝	(v) 跳水
dislike	(v) 不喜愛,厭惡	(v) 掘溝	(v) 跳水	(v) 靠碼頭;入船塢
ditch	(v) 掘溝	(v) 跳水	(v) 靠碼頭;入船塢	(v) 閃開;迴避
dive	(v) 跳水	(v) 靠碼頭;入船塢	(v) 閃開;迴避	(v) (按劑量)給...服藥
dock	(v) 靠碼頭;入船塢	(v) 閃開;迴避	(v) (按劑量)給...服藥	(v) 排出(液體)
dodge	(v) 閃開;迴避	(v) (按劑量)給...服藥	(v) 排出(液體)	(v) 滴下
dose	(v) (按劑量)給...服藥	(v) 排出(液體)	(v) 滴下	(v) 淹沒,浸濕
drain	(v) 排出(液體)	(v) 滴下	(v) 淹沒,浸濕	(v) 傾倒;拋棄
drip	(v) 滴下	(v) 淹沒,浸濕	(v) 傾倒;拋棄	(v) 撣去,擦去
drown	(v) 淹沒,浸濕	(v) 傾倒;拋棄	(v) 撣去,擦去	(v) 發出回聲
dump	(v) 傾倒;拋棄	(v) 撣去,擦去	(v) 發出回聲	(v) 編輯;校訂
dust	(v) 撣去,擦去	(v) 發出回聲	(v) 編輯;校訂	(v) 教育
echo	(v) 發出回聲	(v) 編輯;校訂	(v) 教育	(v) 用肘推,擠進
edit	(v) 編輯;校訂	(v) 教育	(v) 用肘推,擠進	(v) 強調
educate	(v) 教育	(v) 用肘推,擠進	(v) 強調	(v) 僱用
elbow	(v) 用肘推,擠進	(v) 強調	(v) 僱用	(v) 倒空;流空
emphasize	(v) 強調	(v) 僱用	(v) 倒空;流空	(v) 使成為可能
employ	(v) 僱用	(v) 倒空;流空	(v) 使成為可能	(v) 使訂婚;使忙於
empty	(v) 倒空;流空	(v) 使成為可能	(v) 使訂婚;使忙於	(v) 羨慕;嫉妒
enable	(v) 使成為可能	(v) 使訂婚;使忙於	(v) 羨慕;嫉妒	(v) 擦掉,抹去
engage	(v) 使訂婚;使忙於	(v) 羨慕;嫉妒	(v) 擦掉,抹去	(v) 逃跑;逃脫
envy	(v) 羨慕;嫉妒	(v) 擦掉,抹去	(v) 逃跑;逃脫	(v) 交換;調換;兌換
erase	(v) 擦掉,抹去	(v) 逃跑;逃脫	(v) 交換;調換;兌換	(v) 出去,離去;退去
escape	(v) 逃跑;逃脫	(v) 交換;調換;兌換	(v) 出去,離去;退去	(v) 進行實驗,試驗
exchange	(v) 交換;調換;兌換	(v) 出去,離去;退去	(v) 進行實驗,試驗	(v) 使爆炸
exit	(v) 出去,離去;退去	(v) 進行實驗,試驗	(v) 使爆炸	(v) 輸出
experiment	(v) 進行實驗,試驗	(v) 使爆炸	(v) 輸出	(v) 昏厥,暈倒
explode	(v) 使爆炸	(v) 輸出	(v) 昏厥,暈倒	(v) 偽造;捏造;欺騙,迷惑
export	(v) 輸出	(v) 昏厥,暈倒	(v) 偽造;捏造;欺騙,迷惑	(v) 想像;猜想;愛慕(異性)
faint	(v) 昏厥,暈倒	(v) 偽造;捏造;欺騙,迷惑	(v) 想像;猜想;愛慕(異性)	(v) 把...塑造成
fake	(v) 偽造;捏造;欺騙,迷惑	(v) 想像;猜想;愛慕(異性)	(v) 把...塑造成	(v) 紮牢;繫緊
fancy	(v) 想像;猜想;愛慕(異性)	(v) 把...塑造成	(v) 紮牢;繫緊	(v) 傳真傳輸
fashion	(v) 把...塑造成	(v) 紮牢;繫緊	(v) 傳真傳輸	(v) 把...歸檔
fasten	(v) 紮牢;繫緊	(v) 傳真傳輸	(v) 把...歸檔	(v) 拳打
fax	(v) 傳真傳輸	(v) 把...歸檔	(v) 拳打	(v) 發火焰,燃燒
file	(v) 把...歸檔	(v) 拳打	(v) 發火焰,燃燒	(v) 給...調味
fist	(v) 拳打	(v) 發火焰,燃燒	(v) 給...調味	(v) 浮
flame	(v) 發火焰,燃燒	(v) 給...調味	(v) 浮	(v) 聚集;成群地去(或來)
flavor	(v) 給...調味	(v) 浮	(v) 聚集;成群地去(或來)	(v) 摺疊;對摺
float	(v) 浮	(v) 聚集;成群地去(或來)	(v) 摺疊;對摺	(v) 建立;建造;鑄造;熔化
flock	(v) 聚集;成群地去(或來)	(v) 摺疊;對摺	(v) 建立;建造;鑄造;熔化	(v) 結冰,凝固;凍結
fold	(v) 摺疊;對摺	(v) 建立;建造;鑄造;熔化	(v) 結冰,凝固;凍結	(v) 常到,常去
found	(v) 建立;建造;鑄造;熔化	(v) 結冰,凝固;凍結	(v) 常到,常去	(v) 挫敗;阻撓
freeze	(v) 結冰,凝固;凍結	(v) 常到,常去	(v) 挫敗;阻撓	(v) 油炸
frequent	(v) 常到,常去	(v) 挫敗;阻撓	(v) 油炸	(v) 提供(事業,活動等的)資金
frustrate	(v) 挫敗;阻撓	(v) 油炸	(v) 提供(事業,活動等的)資金	(v) 賭博;打賭
fry	(v) 油炸	(v) 提供(事業,活動等的)資金	(v) 賭博;打賭	(v) 成群結隊;結夥
fund	(v) 提供(事業,活動等的)資金	(v) 賭博;打賭	(v) 成群結隊;結夥	(v) 做手勢,用動作示意
gamble	(v) 賭博;打賭	(v) 成群結隊;結夥	(v) 做手勢,用動作示意	(v) 看一下,一瞥;掃視
gang	(v) 成群結隊;結夥	(v) 做手勢,用動作示意	(v) 看一下,一瞥;掃視	(v) 驕傲;自豪
gesture	(v) 做手勢,用動作示意	(v) 看一下,一瞥;掃視	(v) 驕傲;自豪	(v) 發白熱光,灼熱
glance	(v) 看一下,一瞥;掃視	(v) 驕傲;自豪	(v) 發白熱光,灼熱	(v) 閒聊
glory	(v) 驕傲;自豪	(v) 發白熱光,灼熱	(v) 閒聊	(v) 攫取,抓取
glow	(v) 發白熱光,灼熱	(v) 閒聊	(v) 攫取,抓取	(v) 畢業
gossip	(v) 閒聊	(v) 攫取,抓取	(v) 畢業	(v) 抓牢;握緊
grab	(v) 攫取,抓取	(v) 畢業	(v) 抓牢;握緊	(v) 露齒而笑
graduate	(v) 畢業	(v) 抓牢;握緊	(v) 露齒而笑	(v) 庇護;藏匿
grasp	(v) 抓牢;握緊	(v) 露齒而笑	(v) 庇護;藏匿	(v) 損害,傷害;危害
grin	(v) 露齒而笑	(v) 庇護;藏匿	(v) 損害,傷害;危害	(v) 收割;收穫
harbor	(v) 庇護;藏匿	(v) 損害,傷害;危害	(v) 收割;收穫	(v) 孵出
harm	(v) 損害,傷害;危害	(v) 收割;收穫	(v) 孵出	(v) 給...加標題
harvest	(v) 收割;收穫	(v) 孵出	(v) 給...加標題	(v) 癒合;痊癒
hatch	(v) 孵出	(v) 給...加標題	(v) 癒合;痊癒	(v) 裝滿
headline	(v) 給...加標題	(v) 癒合;痊癒	(v) 裝滿	(v) 給(鞋等)裝後跟;緊跟;(船)傾斜
heal	(v) 癒合;痊癒	(v) 裝滿	(v) 給(鞋等)裝後跟;緊跟;(船)傾斜	(v) 躊躇;猶豫
heap	(v) 裝滿	(v) 給(鞋等)裝後跟;緊跟;(船)傾斜	(v) 躊躇;猶豫	(v) 徒步旅行
heel	(v) 給(鞋等)裝後跟;緊跟;(船)傾斜	(v) 躊躇;猶豫	(v) 徒步旅行	(v) 暗示,示意
hesitate	(v) 躊躇;猶豫	(v) 徒步旅行	(v) 暗示,示意	(v) 挖空;凹陷
hike	(v) 徒步旅行	(v) 暗示,示意	(v) 挖空;凹陷	(v) 使增光;承兌,支付
hint	(v) 暗示,示意	(v) 挖空;凹陷	(v) 使增光;承兌,支付	(v) 摟抱
hollow	(v) 挖空;凹陷	(v) 使增光;承兌,支付	(v) 摟抱	(v) 使沈默,使安靜
honor	(v) 使增光;承兌,支付	(v) 摟抱	(v) 使沈默,使安靜	(v) 輸入
hug	(v) 摟抱	(v) 使沈默,使安靜	(v) 輸入	(v) 給...極深的印象
hush	(v) 使沈默,使安靜	(v) 輸入	(v) 給...極深的印象	(v) 通知,告知
import	(v) 輸入	(v) 給...極深的印象	(v) 通知,告知	(v) 傷害;損害;毀壞
impress	(v) 給...極深的印象	(v) 通知,告知	(v) 傷害;損害;毀壞	(v) 檢查;審查
inform	(v) 通知,告知	(v) 傷害;損害;毀壞	(v) 檢查;審查	(v) 打斷(談話和工作等)
injure	(v) 傷害;損害;毀壞	(v) 檢查;審查	(v) 打斷(談話和工作等)	(v) 調查,研究
inspect	(v) 檢查;審查	(v) 打斷(談話和工作等)	(v) 調查,研究	(v) 監禁;拘留
interrupt	(v) 打斷(談話和工作等)	(v) 調查,研究	(v) 監禁;拘留	(v) 對...嘮叨;責罵
investigate	(v) 調查,研究	(v) 監禁;拘留	(v) 對...嘮叨;責罵	(v) 噴出,射出
jail	(v) 監禁;拘留	(v) 對...嘮叨;責罵	(v) 噴出,射出	(v) 旅行
jaw	(v) 對...嘮叨;責罵	(v) 噴出,射出	(v) 旅行	(v) 把...當廢物丟棄;拋棄
jet	(v) 噴出,射出	(v) 旅行	(v) 把...當廢物丟棄;拋棄	(v) 跪(下)
journey	(v) 旅行	(v) 把...當廢物丟棄;拋棄	(v) 跪(下)	(v) 封...為爵士,授...以爵士位
junk	(v) 把...當廢物丟棄;拋棄	(v) 跪(下)	(v) 封...為爵士,授...以爵士位	(v) 編織
kneel	(v) 跪(下)	(v) 封...為爵士,授...以爵士位	(v) 編織	(v) 把...打結;捆紮
knight	(v) 封...為爵士,授...以爵士位	(v) 編織	(v) 把...打結;捆紮	(v) 貼標籤於
knit	(v) 編織	(v) 把...打結;捆紮	(v) 貼標籤於	(v) 用花邊等裝飾
knot	(v) 把...打結;捆紮	(v) 貼標籤於	(v) 用花邊等裝飾	(v) 洩漏(祕密等)
label	(v) 貼標籤於	(v) 用花邊等裝飾	(v) 洩漏(祕密等)	(v) 跳,跳躍
lace	(v) 用花邊等裝飾	(v) 洩漏(祕密等)	(v) 跳,跳躍	(v) 使加長,使延長
leak	(v) 洩漏(祕密等)	(v) 跳,跳躍	(v) 使加長,使延長	(v) 亂丟(雜物)
leap	(v) 跳,跳躍	(v) 使加長,使延長	(v) 亂丟(雜物)	(v) 裝,裝載
lengthen	(v) 使加長,使延長	(v) 亂丟(雜物)	(v) 裝,裝載	(v) 鬆開,解開
litter	(v) 亂丟(雜物)	(v) 裝,裝載	(v) 鬆開,解開	(v) 唱搖籃曲使入睡
load	(v) 裝,裝載	(v) 鬆開,解開	(v) 唱搖籃曲使入睡	(v) 主修
loosen	(v) 鬆開,解開	(v) 唱搖籃曲使入睡	(v) 主修	(v) 管理;經營;處理
lullaby	(v) 唱搖籃曲使入睡	(v) 主修	(v) 管理;經營;處理	(v) 行軍;把(人)強行帶走
major	(v) 主修	(v) 管理;經營;處理	(v) 行軍;把(人)強行帶走	(v) 融化;熔化
manage	(v) 管理;經營;處理	(v) 行軍;把(人)強行帶走	(v) 融化;熔化	(v) 記住;背熟
march	(v) 行軍;把(人)強行帶走	(v) 融化;熔化	(v) 記住;背熟	(v) 修理,修補
melt	(v) 融化;熔化	(v) 記住;背熟	(v) 修理,修補	(v) 提到,說起
memorize	(v) 記住;背熟	(v) 修理,修補	(v) 提到,說起	(v) 弄髒,弄亂
mend	(v) 修理,修補	(v) 提到,說起	(v) 弄髒,弄亂	(v) 用微波爐烹調
mention	(v) 提到,說起	(v) 弄髒,弄亂	(v) 用微波爐烹調	(v) 碾碎
mess	(v) 弄髒,弄亂	(v) 用微波爐烹調	(v) 碾碎	(v) 使蒙上薄霧
microwave	(v) 用微波爐烹調	(v) 碾碎	(v) 使蒙上薄霧	(v) 成群襲擊,圍攻
mill	(v) 碾碎	(v) 使蒙上薄霧	(v) 成群襲擊,圍攻	(v) 拖洗;擦去
mist	(v) 使蒙上薄霧	(v) 成群襲擊,圍攻	(v) 拖洗;擦去	(v) 謀殺,兇殺
mob	(v) 成群襲擊,圍攻	(v) 拖洗;擦去	(v) 謀殺,兇殺	(v) 雨後春筍般地湧現
mop	(v) 拖洗;擦去	(v) 謀殺,兇殺	(v) 雨後春筍般地湧現	(v) 打盹,小睡
murder	(v) 謀殺,兇殺	(v) 雨後春筍般地湧現	(v) 打盹,小睡	(v) 給...起綽號
mushroom	(v) 雨後春筍般地湧現	(v) 打盹,小睡	(v) 給...起綽號	(v) 看到;觀察
nap	(v) 打盹,小睡	(v) 給...起綽號	(v) 看到;觀察	(v) 引起;惹起
nickname	(v) 給...起綽號	(v) 看到;觀察	(v) 引起;惹起	(v) 使成孤兒
observe	(v) 看到;觀察	(v) 引起;惹起	(v) 使成孤兒	(v) 概述,略述
occasion	(v) 引起;惹起	(v) 使成孤兒	(v) 概述,略述	(v) 欠(債等);應給予;應該做
orphan	(v) 使成孤兒	(v) 概述,略述	(v) 欠(債等);應給予;應該做	(v) 填塞,襯填
outline	(v) 概述,略述	(v) 欠(債等);應給予;應該做	(v) 填塞,襯填	(v) 使恐慌
owe	(v) 欠(債等);應給予;應該做	(v) 填塞,襯填	(v) 使恐慌	(v) 在...遊行
pad	(v) 填塞,襯填	(v) 使恐慌	(v) 在...遊行	(v) 分;分配
panic	(v) 使恐慌	(v) 在...遊行	(v) 分;分配	(v) 參加,參與
parade	(v) 在...遊行	(v) 分;分配	(v) 參加,參與	(v) 中止
parcel	(v) 分;分配	(v) 參加,參與	(v) 中止	(v) 鋪,築(路等)
participate	(v) 參加,參與	(v) 中止	(v) 鋪,築(路等)	(v) (用腳爪等)抓;扒
pause	(v) 中止	(v) 鋪,築(路等)	(v) (用腳爪等)抓;扒	(v) 使尖起;達到高峰;聳起
pave	(v) 鋪,築(路等)	(v) (用腳爪等)抓;扒	(v) 使尖起;達到高峰;聳起	(v) 削去;剝,去(皮,殼等)
paw	(v) (用腳爪等)抓;扒	(v) 使尖起;達到高峰;聳起	(v) 削去;剝,去(皮,殼等)	(v) 窺,偷看
peak	(v) 使尖起;達到高峰;聳起	(v) 削去;剝,去(皮,殼等)	(v) 窺,偷看	(v) 履行;執行;表演, 演奏
peel	(v) 削去;剝,去(皮,殼等)	(v) 窺,偷看	(v) 履行;執行;表演, 演奏	(v) 允許,許可,准許
peep	(v) 窺,偷看	(v) 履行;執行;表演, 演奏	(v) 允許,許可,准許	(v) 說服,勸服
perform	(v) 履行;執行;表演, 演奏	(v) 允許,許可,准許	(v) 說服,勸服	(v) 醃製;將...做成泡菜
permit	(v) 允許,許可,准許	(v) 說服,勸服	(v) 醃製;將...做成泡菜	(v) 駕駛(飛機等);帶領;引導
persuade	(v) 說服,勸服	(v) 醃製;將...做成泡菜	(v) 駕駛(飛機等);帶領;引導	(v) 使成凹;挖坑於
pickle	(v) 醃製;將...做成泡菜	(v) 駕駛(飛機等);帶領;引導	(v) 使成凹;挖坑於	(v) 憐憫;同情
pilot	(v) 駕駛(飛機等);帶領;引導	(v) 使成凹;挖坑於	(v) 憐憫;同情	(v) 把...塞住,堵塞
pit	(v) 使成凹;挖坑於	(v) 憐憫;同情	(v) 把...塞住,堵塞	(v) 對...進行民意測驗
pity	(v) 憐憫;同情	(v) 把...塞住,堵塞	(v) 對...進行民意測驗	(v) 污染
plug	(v) 把...塞住,堵塞	(v) 對...進行民意測驗	(v) 污染	(v) 發出砰(或啪)的響聲
poll	(v) 對...進行民意測驗	(v) 污染	(v) 發出砰(或啪)的響聲	(v) 分配
pollute	(v) 污染	(v) 發出砰(或啪)的響聲	(v) 分配	(v) 延遲,延緩
pop	(v) 發出砰(或啪)的響聲	(v) 分配	(v) 延遲,延緩	(v) 倒,灌,注
portion	(v) 分配	(v) 延遲,延緩	(v) 倒,灌,注	(v) 變成粉末;搽粉
postpone	(v) 延遲,延緩	(v) 倒,灌,注	(v) 變成粉末;搽粉	(v) 對...施加壓力;迫使
pour	(v) 倒,灌,注	(v) 變成粉末;搽粉	(v) 對...施加壓力;迫使	(v) 佯裝;假裝
powder	(v) 變成粉末;搽粉	(v) 對...施加壓力;迫使	(v) 佯裝;假裝	(v) 防止,預防
pressure	(v) 對...施加壓力;迫使	(v) 佯裝;假裝	(v) 防止,預防	(v) 加工沖洗(膠卷)
pretend	(v) 佯裝;假裝	(v) 防止,預防	(v) 加工沖洗(膠卷)	(v) 得益,獲益
prevent	(v) 防止,預防	(v) 加工沖洗(膠卷)	(v) 得益,獲益	(v) 為...安排節目;設計電腦程式
process	(v) 加工沖洗(膠卷)	(v) 得益,獲益	(v) 為...安排節目;設計電腦程式	(v) 推銷(商品等)
profit	(v) 得益,獲益	(v) 為...安排節目;設計電腦程式	(v) 推銷(商品等)	(v) 用拳猛擊
program	(v) 為...安排節目;設計電腦程式	(v) 推銷(商品等)	(v) 用拳猛擊	(v) 追求;從事
promote	(v) 推銷(商品等)	(v) 用拳猛擊	(v) 追求;從事	(v) 爭吵
punch	(v) 用拳猛擊	(v) 追求;從事	(v) 爭吵	(v) 引用;引述
pursue	(v) 追求;從事	(v) 爭吵	(v) 引用;引述	(v) 把...分等;把...評級
quarrel	(v) 爭吵	(v) 引用;引述	(v) 把...分等;把...評級	(v) 對...評價
quote	(v) 引用;引述	(v) 把...分等;把...評級	(v) 對...評價	(v) 作出反應
rank	(v) 把...分等;把...評級	(v) 對...評價	(v) 作出反應	(v) 識別;認識;承認
rate	(v) 對...評價	(v) 作出反應	(v) 識別;認識;承認	(v) 尋回;恢復
react	(v) 作出反應	(v) 識別;認識;承認	(v) 尋回;恢復	(v) 減少;縮小;降低
recognize	(v) 識別;認識;承認	(v) 尋回;恢復	(v) 減少;縮小;降低	(v) 懊悔
recover	(v) 尋回;恢復	(v) 減少;縮小;降低	(v) 懊悔	(v) 有關,涉及
reduce	(v) 減少;縮小;降低	(v) 懊悔	(v) 有關,涉及	(v) 使鬆弛,使鬆懈,放鬆
regret	(v) 懊悔	(v) 有關,涉及	(v) 使鬆弛,使鬆懈,放鬆	(v) 釋放,解放
relate	(v) 有關,涉及	(v) 使鬆弛,使鬆懈,放鬆	(v) 釋放,解放	(v) 依靠,依賴
relax	(v) 使鬆弛,使鬆懈,放鬆	(v) 釋放,解放	(v) 依靠,依賴	(v) 剩下,餘留
release	(v) 釋放,解放	(v) 依靠,依賴	(v) 剩下,餘留	(v) 提醒
rely	(v) 依靠,依賴	(v) 剩下,餘留	(v) 提醒	(v) 移動,搬開
remain	(v) 剩下,餘留	(v) 提醒	(v) 移動,搬開	(v) 換新;修補
remind	(v) 提醒	(v) 移動,搬開	(v) 換新;修補	(v) 租
remove	(v) 移動,搬開	(v) 換新;修補	(v) 租	(v) 修理
renew	(v) 換新;修補	(v) 租	(v) 修理	(v) 取代;以...代替
rent	(v) 租	(v) 修理	(v) 取代;以...代替	(v) 象徵;表示
repair	(v) 修理	(v) 取代;以...代替	(v) 象徵;表示	(v) 請求給予
replace	(v) 取代;以...代替	(v) 象徵;表示	(v) 請求給予	(v) 儲備,保存;保留
represent	(v) 象徵;表示	(v) 請求給予	(v) 儲備,保存;保留	(v) 抵抗,反抗;抗拒
