tone	(n) 音色,音調;色調	(adj) 能;有能力的	(adj) 上文的,前述的	(adj) 成年的
cage	(v) 把...關進籠子;把...囚禁起來	(v) 喊;打電話	(v) 露營	(v) 能,會;可能;可以;必須
call	(v) 喊;打電話	(v) 露營	(v) 能,會;可能;可以;必須	(v) 給...戴帽;加蓋於
camp	(v) 露營	(v) 能,會;可能;可以;必須	(v) 給...戴帽;加蓋於	(v) 關心;照顧
can	(v) 能,會;可能;可以;必須	(v) 給...戴帽;加蓋於	(v) 關心;照顧	(v) 提;搬運
cap	(v) 給...戴帽;加蓋於	(v) 關心;照顧	(v) 提;搬運	(v) 把...裝入箱(或容器)中
care	(v) 關心;照顧	(v) 提;搬運	(v) 把...裝入箱(或容器)中	(v) 接(球);捕獲
carry	(v) 提;搬運	(v) 把...裝入箱(或容器)中	(v) 接(球);捕獲	(v) 導致,使發生,引起
case	(v) 把...裝入箱(或容器)中	(v) 接(球);捕獲	(v) 導致,使發生,引起	(v) 集中;居中
catch	(v) 接(球);捕獲	(v) 導致,使發生,引起	(v) 集中;居中	(v) 主持(會議);任(會議的)主席
cause	(v) 導致,使發生,引起	(v) 集中;居中	(v) 主持(會議);任(會議的)主席	(v) 冒...的險;賭(錢); 碰巧
center	(v) 集中;居中	(v) 主持(會議);任(會議的)主席	(v) 冒...的險;賭(錢); 碰巧	(v) 繪製...的圖表;詳細計劃
chair	(v) 主持(會議);任(會議的)主席	(v) 冒...的險;賭(錢); 碰巧	(v) 繪製...的圖表;詳細計劃	(v) 追
chance	(v) 冒...的險;賭(錢); 碰巧	(v) 繪製...的圖表;詳細計劃	(v) 追	(v) 檢查
chart	(v) 繪製...的圖表;詳細計劃	(v) 追	(v) 檢查	(v) 把...分類;把...分等級
chase	(v) 追	(v) 檢查	(v) 把...分類;把...分等級	(v) 打掃
check	(v) 檢查	(v) 把...分類;把...分等級	(v) 打掃	(v) 使乾淨;收拾;交換票據
class	(v) 把...分類;把...分等級	(v) 打掃	(v) 使乾淨;收拾;交換票據	(v) 爬;攀登
clean	(v) 打掃	(v) 使乾淨;收拾;交換票據	(v) 爬;攀登	(v) 關上
clear	(v) 使乾淨;收拾;交換票據	(v) 爬;攀登	(v) 關上	(v) 陰雲密佈;變暗;變模糊;變混濁
climb	(v) 爬;攀登	(v) 關上	(v) 陰雲密佈;變暗;變模糊;變混濁	(v) 塗在...上;給...穿上外套
close	(v) 關上	(v) 陰雲密佈;變暗;變模糊;變混濁	(v) 塗在...上;給...穿上外套	(v) 到來
cloud	(v) 陰雲密佈;變暗;變模糊;變混濁	(v) 塗在...上;給...穿上外套	(v) 到來	(v) 繼續
coat	(v) 塗在...上;給...穿上外套	(v) 到來	(v) 繼續	(v) 煮
come	(v) 到來	(v) 繼續	(v) 煮	(v) 使涼快;使冷卻
continue	(v) 繼續	(v) 煮	(v) 使涼快;使冷卻	(v) 改正;糾正
cook	(v) 煮	(v) 使涼快;使冷卻	(v) 改正;糾正	(v) 花費
cool	(v) 使涼快;使冷卻	(v) 改正;糾正	(v) 花費	(v) 計算;數
correct	(v) 改正;糾正	(v) 花費	(v) 計算;數	(v) (用獵犬)追獵;追逐
cost	(v) 花費	(v) 計算;數	(v) (用獵犬)追獵;追逐	(v) 蓋住
count	(v) 計算;數	(v) (用獵犬)追獵;追逐	(v) 蓋住	(v) 哭叫
course	(v) (用獵犬)追獵;追逐	(v) 蓋住	(v) 哭叫	(v) 使(手掌)成杯狀;把...放入杯內
cover	(v) 蓋住	(v) 哭叫	(v) 使(手掌)成杯狀;把...放入杯內	(v) 切割;剪
cry	(v) 哭叫	(v) 使(手掌)成杯狀;把...放入杯內	(v) 切割;剪	(v) 跳舞
cup	(v) 使(手掌)成杯狀;把...放入杯內	(v) 切割;剪	(v) 跳舞	(v) 使變暗;變黑
cut	(v) 切割;剪	(v) 跳舞	(v) 使變暗;變黑	(v) 約會
dance	(v) 跳舞	(v) 使變暗;變黑	(v) 約會	(v) 處理;對付;對待[(+with)]
darken	(v) 使變暗;變黑	(v) 約會	(v) 處理;對付;對待[(+with)]	(v) 決定
date	(v) 約會	(v) 處理;對付;對待[(+with)]	(v) 決定	(v) 死
deal	(v) 處理;對付;對待[(+with)]	(v) 決定	(v) 死	(v) 挖掘
decide	(v) 決定	(v) 死	(v) 挖掘	(v) 指引
die	(v) 死	(v) 挖掘	(v) 指引	(v) 弄髒; 變髒
dig	(v) 挖掘	(v) 指引	(v) 弄髒; 變髒	(v) 發現
direct	(v) 指引	(v) 弄髒; 變髒	(v) 發現	(v) 盛...於盤中
dirty	(v) 弄髒; 變髒	(v) 發現	(v) 盛...於盤中	(v) 做
discover	(v) 發現	(v) 盛...於盤中	(v) 做	(v) 擊倒
dish	(v) 盛...於盤中	(v) 做	(v) 擊倒	(v) 畫;繪製;描寫
do	(v) 做	(v) 擊倒	(v) 畫;繪製;描寫	(v) 做(夢);想像
down	(v) 擊倒	(v) 畫;繪製;描寫	(v) 做(夢);想像	(v) 喝
draw	(v) 畫;繪製;描寫	(v) 做(夢);想像	(v) 喝	(v) 開車
dream	(v) 做(夢);想像	(v) 喝	(v) 開車	(v) 曬乾;風乾
drink	(v) 喝	(v) 開車	(v) 曬乾;風乾	(v) 躲避;迴避
drive	(v) 開車	(v) 曬乾;風乾	(v) 躲避;迴避	(v) 減輕
dry	(v) 曬乾;風乾	(v) 躲避;迴避	(v) 減輕	(v) 吃
duck	(v) 躲避;迴避	(v) 減輕	(v) 吃	(v) 使鋒利;使漸進
ease	(v) 減輕	(v) 吃	(v) 使鋒利;使漸進	(v) 結束
eat	(v) 吃	(v) 使鋒利;使漸進	(v) 結束	(v) 輸入;進入
edge	(v) 使鋒利;使漸進	(v) 結束	(v) 輸入;進入	(v) 等於
end	(v) 結束	(v) 輸入;進入	(v) 等於	(v) 使平坦;弄平;使相等
enter	(v) 輸入;進入	(v) 等於	(v) 使平坦;弄平;使相等	(v) 檢查;測驗
equal	(v) 等於	(v) 使平坦;弄平;使相等	(v) 檢查;測驗	(v) 把...除外;反對
even	(v) 使平坦;弄平;使相等	(v) 檢查;測驗	(v) 把...除外;反對	(v) 看;注視;審視
examine	(v) 檢查;測驗	(v) 把...除外;反對	(v) 看;注視;審視	(v) 面向;正對;正視;朝;向
except	(v) 把...除外;反對	(v) 看;注視;審視	(v) 面向;正對;正視;朝;向	(v) 掉下
eye	(v) 看;注視;審視	(v) 面向;正對;正視;朝;向	(v) 掉下	(v) 扇;煽動;激起
face	(v) 面向;正對;正視;朝;向	(v) 掉下	(v) 扇;煽動;激起	(v) 耕作;養殖;經營農場;從事畜牧業
fall	(v) 掉下	(v) 扇;煽動;激起	(v) 耕作;養殖;經營農場;從事畜牧業	(v) 做...的父親; 創始;創立
fan	(v) 扇;煽動;激起	(v) 耕作;養殖;經營農場;從事畜牧業	(v) 做...的父親; 創始;創立	(v) 畏懼
farm	(v) 耕作;養殖;經營農場;從事畜牧業	(v) 做...的父親; 創始;創立	(v) 畏懼	(v) 吃;餵養
father	(v) 做...的父親; 創始;創立	(v) 畏懼	(v) 吃;餵養	(v) 感覺
fear	(v) 畏懼	(v) 吃;餵養	(v) 感覺	(v) 打架;作戰
feed	(v) 吃;餵養	(v) 感覺	(v) 打架;作戰	(v) 充滿;填充
feel	(v) 感覺	(v) 打架;作戰	(v) 充滿;填充	(v) 找到
fight	(v) 打架;作戰	(v) 充滿;填充	(v) 找到	(v) 使純;澄清;使精細
fill	(v) 充滿;填充	(v) 找到	(v) 使純;澄清;使精細	(v) 撥弄;指出;告密;告發
find	(v) 找到	(v) 使純;澄清;使精細	(v) 撥弄;指出;告密;告發	(v) 完成
fine	(v) 使純;澄清;使精細	(v) 撥弄;指出;告密;告發	(v) 完成	(v) 解雇,開除;點燃; 開火;射擊
finger	(v) 撥弄;指出;告密;告發	(v) 完成	(v) 解雇,開除;點燃; 開火;射擊	(v) 釣魚
finish	(v) 完成	(v) 解雇,開除;點燃; 開火;射擊	(v) 釣魚	(v) 在...鋪設地板;使大為震驚
fire	(v) 解雇,開除;點燃; 開火;射擊	(v) 釣魚	(v) 在...鋪設地板;使大為震驚	(v) 開花;發育,成熟;繁榮
fish	(v) 釣魚	(v) 在...鋪設地板;使大為震驚	(v) 開花;發育,成熟;繁榮	(v) 飛
floor	(v) 在...鋪設地板;使大為震驚	(v) 開花;發育,成熟;繁榮	(v) 飛	(v) 以霧籠罩;使困惑;使模糊
flower	(v) 開花;發育,成熟;繁榮	(v) 飛	(v) 以霧籠罩;使困惑;使模糊	(v) 遵循;跟隨
fly	(v) 飛	(v) 以霧籠罩;使困惑;使模糊	(v) 遵循;跟隨	(v) 支付(帳單或費用);合計為,總計
fog	(v) 以霧籠罩;使困惑;使模糊	(v) 遵循;跟隨	(v) 支付(帳單或費用);合計為,總計	(v) 強迫
follow	(v) 遵循;跟隨	(v) 支付(帳單或費用);合計為,總計	(v) 強迫	(v) 忘記
foot	(v) 支付(帳單或費用);合計為,總計	(v) 強迫	(v) 忘記	(v) 分歧,分叉
force	(v) 強迫	(v) 忘記	(v) 分歧,分叉	(v) 使自由;解放;使解脫
forget	(v) 忘記	(v) 分歧,分叉	(v) 使自由;解放;使解脫	(v) 向前;在前面;面對
fork	(v) 分歧,分叉	(v) 使自由;解放;使解脫	(v) 向前;在前面;面對	(v) 結果實; 使結果實
free	(v) 使自由;解放;使解脫	(v) 向前;在前面;面對	(v) 結果實; 使結果實	(v) 從事園藝,在園中種植;
front	(v) 向前;在前面;面對	(v) 結果實; 使結果實	(v) 從事園藝,在園中種植;	(v) 放出氣體;加油;空談;吹牛
fruit	(v) 結果實; 使結果實	(v) 從事園藝,在園中種植;	(v) 放出氣體;加油;空談;吹牛	(v) 得到;拿到
garden	(v) 從事園藝,在園中種植;	(v) 放出氣體;加油;空談;吹牛	(v) 得到;拿到	(v) 給
gas	(v) 放出氣體;加油;空談;吹牛	(v) 得到;拿到	(v) 給	(v) 去;走
get	(v) 得到;拿到	(v) 給	(v) 去;走	(v) 使擱淺;使停飛;依靠,根據,基於
give	(v) 給	(v) 去;走	(v) 使擱淺;使停飛;依靠,根據,基於	(v) 把...分組(或歸類)
go	(v) 去;走	(v) 使擱淺;使停飛;依靠,根據,基於	(v) 把...分組(或歸類)	(v) 種植;成長
ground	(v) 使擱淺;使停飛;依靠,根據,基於	(v) 把...分組(或歸類)	(v) 種植;成長	(v) 猜
group	(v) 把...分組(或歸類)	(v) 種植;成長	(v) 猜	(v) 款待,招待
grow	(v) 種植;成長	(v) 猜	(v) 款待,招待	(v) 引導
guess	(v) 猜	(v) 款待,招待	(v) 引導	(v) 用槍射擊
guest	(v) 款待,招待	(v) 引導	(v) 用槍射擊	(v) 面交,給,傳遞
guide	(v) 引導	(v) 用槍射擊	(v) 面交,給,傳遞	(v) 發生
gun	(v) 用槍射擊	(v) 面交,給,傳遞	(v) 發生	(v) 憎恨
hand	(v) 面交,給,傳遞	(v) 發生	(v) 憎恨	(v) 有
happen	(v) 發生	(v) 憎恨	(v) 有	(v) 率領;出發,駛往
hate	(v) 憎恨	(v) 有	(v) 率領;出發,駛往	(v) 聽見
have	(v) 有	(v) 率領;出發,駛往	(v) 聽見	(v) 把...加熱;使暖;使激動;刺激
head	(v) 率領;出發,駛往	(v) 聽見	(v) 把...加熱;使暖;使激動;刺激	(v) 幫忙
hear	(v) 聽見	(v) 把...加熱;使暖;使激動;刺激	(v) 幫忙	(v) 打;擊
heat	(v) 把...加熱;使暖;使激動;刺激	(v) 幫忙	(v) 打;擊	(v) 拿著
help	(v) 幫忙	(v) 打;擊	(v) 拿著	(v) 鑿洞於,穿孔於;進入洞中
hit	(v) 打;擊	(v) 拿著	(v) 鑿洞於,穿孔於;進入洞中	(v) 回家;為...提供住處
hold	(v) 拿著	(v) 鑿洞於,穿孔於;進入洞中	(v) 回家;為...提供住處	(v) 希望
hole	(v) 鑿洞於,穿孔於;進入洞中	(v) 回家;為...提供住處	(v) 希望	(v) 給...房子住
home	(v) 回家;為...提供住處	(v) 希望	(v) 給...房子住	(v) 傷害;使疼痛
hope	(v) 希望	(v) 給...房子住	(v) 傷害;使疼痛	(v) 使緩慢地移動
house	(v) 給...房子住	(v) 傷害;使疼痛	(v) 使緩慢地移動	(v) 使發生興趣
hurt	(v) 傷害;使疼痛	(v) 使緩慢地移動	(v) 使發生興趣	(v) 熨燙
inch	(v) 使緩慢地移動	(v) 使發生興趣	(v) 熨燙	(v) 是,在; be 動詞第三人稱,單數,現在式
interest	(v) 使發生興趣	(v) 熨燙	(v) 是,在; be 動詞第三人稱,單數,現在式	(v) 加入
iron	(v) 熨燙	(v) 是,在; be 動詞第三人稱,單數,現在式	(v) 加入	(v) 開玩笑
is	(v) 是,在; be 動詞第三人稱,單數,現在式	(v) 加入	(v) 開玩笑	(v) 跳躍
join	(v) 加入	(v) 開玩笑	(v) 跳躍	(v) 保留;保持
joke	(v) 開玩笑	(v) 跳躍	(v) 保留;保持	(v) 鎖上;插上;為...調音;用鍵盤輸入
jump	(v) 跳躍	(v) 保留;保持	(v) 鎖上;插上;為...調音;用鍵盤輸入	(v) 踢
keep	(v) 保留;保持	(v) 鎖上;插上;為...調音;用鍵盤輸入	(v) 踢	(v) 戲弄
key	(v) 鎖上;插上;為...調音;用鍵盤輸入	(v) 踢	(v) 戲弄	(v) 殺
kick	(v) 踢	(v) 戲弄	(v) 殺	(v) 親吻
kid	(v) 戲弄	(v) 殺	(v) 親吻	(v) 用膝蓋碰(撞)
kill	(v) 殺	(v) 親吻	(v) 用膝蓋碰(撞)	(v) (用刀)切;戮,刺
kiss	(v) 親吻	(v) 用膝蓋碰(撞)	(v) (用刀)切;戮,刺	(v) 知道
knee	(v) 用膝蓋碰(撞)	(v) (用刀)切;戮,刺	(v) 知道	(v) 缺乏
knife	(v) (用刀)切;戮,刺	(v) 知道	(v) 缺乏	(v) 產羔羊
know	(v) 知道	(v) 缺乏	(v) 產羔羊	(v) 登陸
lack	(v) 缺乏	(v) 產羔羊	(v) 登陸	(v) 持續
lamb	(v) 產羔羊	(v) 登陸	(v) 持續	(v) 笑
land	(v) 登陸	(v) 持續	(v) 笑	(v) 置放;產卵
last	(v) 持續	(v) 笑	(v) 置放;產卵	(v) 引導
laugh	(v) 笑	(v) 置放;產卵	(v) 引導	(v) 匆匆翻閱; 生葉片
lay	(v) 置放;產卵	(v) 引導	(v) 匆匆翻閱; 生葉片	(v) 學習
lead	(v) 引導	(v) 匆匆翻閱; 生葉片	(v) 學習	(v) 離開;丟下
leaf	(v) 匆匆翻閱; 生葉片	(v) 學習	(v) 離開;丟下	(v) 讓
learn	(v) 學習	(v) 離開;丟下	(v) 讓	(v) 說謊;躺
leave	(v) 離開;丟下	(v) 讓	(v) 說謊;躺	(v) 舉起
let	(v) 讓	(v) 說謊;躺	(v) 舉起	(v) 點(火);點燃;照亮
lie	(v) 說謊;躺	(v) 舉起	(v) 點(火);點燃;照亮	(v) 喜歡
lift	(v) 舉起	(v) 點(火);點燃;照亮	(v) 喜歡	(v) 排隊
light	(v) 點(火);點燃;照亮	(v) 喜歡	(v) 排隊	(v) 列成表
like	(v) 喜歡	(v) 排隊	(v) 列成表	(v) 傾聽
line	(v) 排隊	(v) 列成表	(v) 傾聽	(v) 居住
list	(v) 列成表	(v) 傾聽	(v) 居住	(v) 長久地;始終; 渴望
listen	(v) 傾聽	(v) 居住	(v) 長久地;始終; 渴望	(v) 看
live	(v) 居住	(v) 長久地;始終; 渴望	(v) 看	(v) 愛好,喜歡
long	(v) 長久地;始終; 渴望	(v) 看	(v) 愛好,喜歡	(v) 吃午餐
look	(v) 看	(v) 愛好,喜歡	(v) 吃午餐	(v) 用機器做
love	(v) 愛好,喜歡	(v) 吃午餐	(v) 用機器做	(v) 寄信
lunch	(v) 吃午餐	(v) 用機器做	(v) 寄信	(v) 製造; 使得
machine	(v) 用機器做	(v) 寄信	(v) 製造; 使得	(v) 給...配置人員
mail	(v) 寄信	(v) 製造; 使得	(v) 給...配置人員	(v) 繪製...的地圖;詳細計劃
make	(v) 製造; 使得	(v) 給...配置人員	(v) 繪製...的地圖;詳細計劃	(v) (在市場上)銷售
man	(v) 給...配置人員	(v) 繪製...的地圖;詳細計劃	(v) (在市場上)銷售	(v) 結婚
map	(v) 繪製...的地圖;詳細計劃	(v) (在市場上)銷售	(v) 結婚	(v) 精通
market	(v) (在市場上)銷售	(v) 結婚	(v) 精通	(v) 有關係,要緊
marry	(v) 結婚	(v) 精通	(v) 有關係,要緊	(v) 意指
master	(v) 精通	(v) 有關係,要緊	(v) 意指	(v) 遇見
matter	(v) 有關係,要緊	(v) 意指	(v) 遇見	(v) 放在中間;對摺
mean	(v) 意指	(v) 遇見	(v) 放在中間;對摺	(v) 擠(奶);榨取;偷聽電訊
meet	(v) 遇見	(v) 放在中間;對摺	(v) 擠(奶);榨取;偷聽電訊	(v) 介意
middle	(v) 放在中間;對摺	(v) 擠(奶);榨取;偷聽電訊	(v) 介意	(v) 想念;惦記;未達到
milk	(v) 擠(奶);榨取;偷聽電訊	(v) 介意	(v) 想念;惦記;未達到	(v) 弄錯,誤解;弄錯,搞錯
mind	(v) 介意	(v) 想念;惦記;未達到	(v) 弄錯,誤解;弄錯,搞錯	(v) 生下;產生出
miss	(v) 想念;惦記;未達到	(v) 弄錯,誤解;弄錯,搞錯	(v) 生下;產生出	(v) 誇大地說話
mistake	(v) 弄錯,誤解;弄錯,搞錯	(v) 生下;產生出	(v) 誇大地說話	(v) 移動
mother	(v) 生下;產生出	(v) 誇大地說話	(v) 移動	(v) 給...取名;列舉
mouth	(v) 誇大地說話	(v) 移動	(v) 給...取名;列舉	(v) 近,接近;幾乎,差不多
move	(v) 移動	(v) 給...取名;列舉	(v) 近,接近;幾乎,差不多	(v) 摟著脖子親吻;變細;變狹窄
name	(v) 給...取名;列舉	(v) 近,接近;幾乎,差不多	(v) 摟著脖子親吻;變細;變狹窄	(v) 需要
near	(v) 近,接近;幾乎,差不多	(v) 摟著脖子親吻;變細;變狹窄	(v) 需要	(v) 探問,探著;引導;嗅,聞
neck	(v) 摟著脖子親吻;變細;變狹窄	(v) 需要	(v) 探問,探著;引導;嗅,聞	(v) 注意;記下
need	(v) 需要	(v) 探問,探著;引導;嗅,聞	(v) 注意;記下	(v) 注意到;通知
nose	(v) 探問,探著;引導;嗅,聞	(v) 注意;記下	(v) 注意到;通知	(v) 編號,總數達到,共計
note	(v) 注意;記下	(v) 注意到;通知	(v) 編號,總數達到,共計	(v) 看護,護理;給...餵奶;培育;當奶媽
notice	(v) 注意到;通知	(v) 編號,總數達到,共計	(v) 看護,護理;給...餵奶;培育;當奶媽	(v) 尚可;挺好;批准
number	(v) 編號,總數達到,共計	(v) 看護,護理;給...餵奶;培育;當奶媽	(v) 尚可;挺好;批准	(v) 給...加潤滑油;賄賂
nurse	(v) 看護,護理;給...餵奶;培育;當奶媽	(v) 尚可;挺好;批准	(v) 給...加潤滑油;賄賂	(v) 尚可;挺好;批准
O.K.	(v) 尚可;挺好;批准	(v) 給...加潤滑油;賄賂	(v) 尚可;挺好;批准	(v) 對,很好地;批准,認可
oil	(v) 給...加潤滑油;賄賂	(v) 尚可;挺好;批准	(v) 對,很好地;批准,認可	(v) 打開
OK	(v) 尚可;挺好;批准	(v) 對,很好地;批准,認可	(v) 打開	(v) 點菜;訂購
okay	(v) 對,很好地;批准,認可	(v) 打開	(v) 點菜;訂購	(v) 出現;問世;顯露
open	(v) 打開	(v) 點菜;訂購	(v) 出現;問世;顯露	(v) 擁有
order	(v) 點菜;訂購	(v) 出現;問世;顯露	(v) 擁有	(v) 畫圖;油漆
out	(v) 出現;問世;顯露	(v) 擁有	(v) 畫圖;油漆	(v) 成對,配對
own	(v) 擁有	(v) 畫圖;油漆	(v) 成對,配對	(v) 用紙包;掩蓋,粉飾
paint	(v) 畫圖;油漆	(v) 成對,配對	(v) 用紙包;掩蓋,粉飾	(v) 停放車輛; 放置
pair	(v) 成對,配對	(v) 用紙包;掩蓋,粉飾	(v) 停放車輛; 放置	(v) 使分開,使分離;斷裂;告別
paper	(v) 用紙包;掩蓋,粉飾	(v) 停放車輛; 放置	(v) 使分開,使分離;斷裂;告別	(v) 開派對;參加派對
park	(v) 停放車輛; 放置	(v) 使分開,使分離;斷裂;告別	(v) 開派對;參加派對	(v) 及格;經過;超過;傳遞
part	(v) 使分開,使分離;斷裂;告別	(v) 開派對;參加派對	(v) 及格;經過;超過;傳遞	(v) 付錢
party	(v) 開派對;參加派對	(v) 及格;經過;超過;傳遞	(v) 付錢	(v) 寫;寫作;囚禁
pass	(v) 及格;經過;超過;傳遞	(v) 付錢	(v) 寫;寫作;囚禁	(v) 草擬,起草
pay	(v) 付錢	(v) 寫;寫作;囚禁	(v) 草擬,起草	(v) 使人住在,居住於
pen	(v) 寫;寫作;囚禁	(v) 草擬,起草	(v) 使人住在,居住於	(v) 把...當作寵兒;寵愛;撫弄;生氣
pencil	(v) 草擬,起草	(v) 使人住在,居住於	(v) 把...當作寵兒;寵愛;撫弄;生氣	(v) 畫,拍攝;描述
people	(v) 使人住在,居住於	(v) 把...當作寵兒;寵愛;撫弄;生氣	(v) 畫,拍攝;描述	(v) 拼湊;拼合;修理;修補
pet	(v) 把...當作寵兒;寵愛;撫弄;生氣	(v) 畫,拍攝;描述	(v) 拼湊;拼合;修理;修補	(v) 生小豬;像豬一樣過活
picture	(v) 畫,拍攝;描述	(v) 拼湊;拼合;修理;修補	(v) 生小豬;像豬一樣過活	(v) 放置,安置;任命
piece	(v) 拼湊;拼合;修理;修補	(v) 生小豬;像豬一樣過活	(v) 放置,安置;任命	(v) 計劃
pig	(v) 生小豬;像豬一樣過活	(v) 放置,安置;任命	(v) 計劃	(v) 栽種;播種
place	(v) 放置,安置;任命	(v) 計劃	(v) 栽種;播種	(v) 玩
plan	(v) 計劃	(v) 栽種;播種	(v) 玩	(v) 請;取悅
plant	(v) 栽種;播種	(v) 玩	(v) 請;取悅	(v) 侵吞;擊(球)落袋;忍受
play	(v) 玩	(v) 請;取悅	(v) 侵吞;擊(球)落袋;忍受	(v) 瞄準;指出;強調;對準
please	(v) 請;取悅	(v) 侵吞;擊(球)落袋;忍受	(v) 瞄準;指出;強調;對準	(v) 管理,監督
pocket	(v) 侵吞;擊(球)落袋;忍受	(v) 瞄準;指出;強調;對準	(v) 管理,監督	(v) 合辦,聯營
point	(v) 瞄準;指出;強調;對準	(v) 管理,監督	(v) 合辦,聯營	(v) 把...放在適當位置
police	(v) 管理,監督	(v) 合辦,聯營	(v) 把...放在適當位置	(v) 給...提供動力; 快速前進
pool	(v) 合辦,聯營	(v) 把...放在適當位置	(v) 給...提供動力; 快速前進	(v) 練習;訓練
position	(v) 把...放在適當位置	(v) 給...提供動力; 快速前進	(v) 練習;訓練	(v) 準備
power	(v) 給...提供動力; 快速前進	(v) 練習;訓練	(v) 準備	(v) 給...定價
practice	(v) 練習;訓練	(v) 準備	(v) 給...定價	(v) 印刷;用印刷體寫
prepare	(v) 準備	(v) 給...定價	(v) 印刷;用印刷體寫	(v) 證明,證實
price	(v) 給...定價	(v) 印刷;用印刷體寫	(v) 證明,證實	(v) 拉
print	(v) 印刷;用印刷體寫	(v) 證明,證實	(v) 拉	(v) 推開
prove	(v) 證明,證實	(v) 拉	(v) 推開	(v) 放置
pull	(v) 拉	(v) 推開	(v) 放置	(v) 詢問
push	(v) 推開	(v) 放置	(v) 詢問	(v) 使安靜;撫慰,安慰
put	(v) 放置	(v) 詢問	(v) 使安靜;撫慰,安慰	(v) 與...賽跑
question	(v) 詢問	(v) 使安靜;撫慰,安慰	(v) 與...賽跑	(v) 用無線電傳送
quiet	(v) 使安靜;撫慰,安慰	(v) 與...賽跑	(v) 用無線電傳送	(v) 下雨
race	(v) 與...賽跑	(v) 用無線電傳送	(v) 下雨	(v) 舉起;提高
radio	(v) 用無線電傳送	(v) 下雨	(v) 舉起;提高	(v) 到;伸出
rain	(v) 下雨	(v) 舉起;提高	(v) 到;伸出	(v) 閱讀
raise	(v) 舉起;提高	(v) 到;伸出	(v) 閱讀	(v) 預先,事先;使準備好
reach	(v) 到;伸出	(v) 閱讀	(v) 預先,事先;使準備好	(v) 推論,推理
read	(v) 閱讀	(v) 預先,事先;使準備好	(v) 推論,推理	(v) 收到
ready	(v) 預先,事先;使準備好	(v) 推論,推理	(v) 收到	(v) 記得
reason	(v) 推論,推理	(v) 收到	(v) 記得	(v) 報告;報導
receive	(v) 收到	(v) 記得	(v) 報告;報導	(v) 休息
remember	(v) 記得	(v) 報告;報導	(v) 休息	(v) 回;還
report	(v) 報告;報導	(v) 休息	(v) 回;還	(v) 騎;乘
rest	(v) 休息	(v) 回;還	(v) 騎;乘	(v) (鐘,鈴等)鳴,響
return	(v) 回;還	(v) 騎;乘	(v) (鐘,鈴等)鳴,響	(v) 起身;升起
ride	(v) 騎;乘	(v) (鐘,鈴等)鳴,響	(v) 起身;升起	(v) 捲;滾
ring	(v) (鐘,鈴等)鳴,響	(v) 起身;升起	(v) 捲;滾	(v) 給...蓋屋頂,覆蓋
rise	(v) 起身;升起	(v) 捲;滾	(v) 給...蓋屋頂,覆蓋	(v) 居住; 為...提供住處
roll	(v) 捲;滾	(v) 給...蓋屋頂,覆蓋	(v) 居住; 為...提供住處	(v) 使生根;使紮根
roof	(v) 給...蓋屋頂,覆蓋	(v) 居住; 為...提供住處	(v) 使生根;使紮根	(v) 捆,紮,縛,綁
room	(v) 居住; 為...提供住處	(v) 使生根;使紮根	(v) 捆,紮,縛,綁	(v) 變圓;發胖;兜圈子,環行
root	(v) 使生根;使紮根	(v) 捆,紮,縛,綁	(v) 變圓;發胖;兜圈子,環行	(v) 划船
rope	(v) 捆,紮,縛,綁	(v) 變圓;發胖;兜圈子,環行	(v) 划船	(v) 磨擦
round	(v) 變圓;發胖;兜圈子,環行	(v) 划船	(v) 磨擦	(v) 統治;裁決
row	(v) 划船	(v) 磨擦	(v) 統治;裁決	(v) 跑
rub	(v) 磨擦	(v) 統治;裁決	(v) 跑	(v) 航行
rule	(v) 統治;裁決	(v) 跑	(v) 航行	(v) 給...加鹽;用鹽醃
run	(v) 跑	(v) 航行	(v) 給...加鹽;用鹽醃	(v) 磨光;以沙堵塞
sail	(v) 航行	(v) 給...加鹽;用鹽醃	(v) 磨光;以沙堵塞	(v) 救;省;存錢
salt	(v) 給...加鹽;用鹽醃	(v) 磨光;以沙堵塞	(v) 救;省;存錢	(v) 鋸;鋸開
sand	(v) 磨光;以沙堵塞	(v) 救;省;存錢	(v) 鋸;鋸開	(v) 說
save	(v) 救;省;存錢	(v) 鋸;鋸開	(v) 說	(v) 驚嚇,使恐懼
saw	(v) 鋸;鋸開	(v) 說	(v) 驚嚇,使恐懼	(v) 教育,訓練
say	(v) 說	(v) 驚嚇,使恐懼	(v) 教育,訓練	(v) 使就座
scare	(v) 驚嚇,使恐懼	(v) 教育,訓練	(v) 使就座	(v) 看見
school	(v) 教育,訓練	(v) 使就座	(v) 看見	(v) (植物)結實,結子;播種
seat	(v) 使就座	(v) 看見	(v) (植物)結實,結子;播種	(v) 似乎是
see	(v) 看見	(v) (植物)結實,結子;播種	(v) 似乎是	(v) 玩蹺蹺板;上下(來回)搖動
seed	(v) (植物)結實,結子;播種	(v) 似乎是	(v) 玩蹺蹺板;上下(來回)搖動	(v) 賣
seem	(v) 似乎是	(v) 玩蹺蹺板;上下(來回)搖動	(v) 賣	(v) 寄發;送
seesaw	(v) 玩蹺蹺板;上下(來回)搖動	(v) 賣	(v) 寄發;送	(v) 意識到;了解,領會
sell	(v) 賣	(v) 寄發;送	(v) 意識到;了解,領會	(v) 宣判;判決
send	(v) 寄發;送	(v) 意識到;了解,領會	(v) 宣判;判決	(v) 服務
