assistant	助手	生物;有機體	發言人	女發言人
documentary	文件的;(電影、電視等)記錄的	成圓頂狀	捐獻,捐贈	捐獻;捐款
dome	成圓頂狀	捐獻,捐贈	捐獻;捐款	贈送人;捐贈者
donate	捐獻,捐贈	捐獻;捐款	贈送人;捐贈者	判決
donation	捐獻;捐款	贈送人;捐贈者	判決	(藥的)劑量;服法
donor	贈送人;捐贈者	判決	(藥的)劑量;服法	激烈的;極端的
doom	判決	(藥的)劑量;服法	激烈的;極端的	缺點;不利條件;障礙
dosage	(藥的)劑量;服法	激烈的;極端的	缺點;不利條件;障礙	慘淡的;沈悶的
drastic	激烈的;極端的	缺點;不利條件;障礙	慘淡的;沈悶的	下毛毛雨
drawback	缺點;不利條件;障礙	慘淡的;沈悶的	下毛毛雨	旱災
dreary	慘淡的;沈悶的	下毛毛雨	旱災	雙的;雙倍的;雙重的
drizzle	下毛毛雨	旱災	雙的;雙倍的;雙重的	半信半疑的
drought	旱災	雙的;雙倍的;雙重的	半信半疑的	用炸藥爆破;炸毀
dual	雙的;雙倍的;雙重的	半信半疑的	用炸藥爆破;炸毀	退潮;衰退
dubious	半信半疑的	用炸藥爆破;炸毀	退潮;衰退	(人、行為等)古怪的
dynamite	用炸藥爆破;炸毀	退潮;衰退	(人、行為等)古怪的	生態學;生態
ebb	退潮;衰退	(人、行為等)古怪的	生態學;生態	狂喜;入迷
eccentric	(人、行為等)古怪的	生態學;生態	狂喜;入迷	可食的,食用的
ecology	生態學;生態	狂喜;入迷	可食的,食用的	社論的
ecstasy	狂喜;入迷	可食的,食用的	社論的	電子
edible	可食的,食用的	社論的	電子	有資格當選的;合格的
editorial	社論的	電子	有資格當選的;合格的	精英的
electron	電子	有資格當選的;合格的	精英的	雄辯;(流利的)口才
eligible	有資格當選的;合格的	精英的	雄辯;(流利的)口才	雄辯的;口才流利的
elite	精英的	雄辯;(流利的)口才	雄辯的;口才流利的	搭乘
eloquence	雄辯;(流利的)口才	雄辯的;口才流利的	搭乘	(往他國的)移民;移出者
eloquent	雄辯的;口才流利的	搭乘	(往他國的)移民;移出者	移居外國(或外地)
embark	搭乘	(往他國的)移民;移出者	移居外國(或外地)	移居;(總稱)移民
emigrant	(往他國的)移民;移出者	移居外國(或外地)	移居;(總稱)移民	情緒智商
emigrate	移居外國(或外地)	移居;(總稱)移民	情緒智商	強調的;著重的
emigration	移居;(總稱)移民	情緒智商	強調的;著重的	制定(法律);扮演(角色)
emotionalintelligence	情緒智商	強調的;著重的	制定(法律);扮演(角色)	封入;圈地;圍牆;附件
emphatic	強調的;著重的	制定(法律);扮演(角色)	封入;圈地;圍牆;附件	百科全書
enact	制定(法律);扮演(角色)	封入;圈地;圍牆;附件	百科全書	忍耐,耐久力
enclosure	封入;圈地;圍牆;附件	百科全書	忍耐,耐久力	提高,增加
encyclopedia	百科全書	忍耐,耐久力	提高,增加	啟發;啟迪
endurance	忍耐,耐久力	提高,增加	啟發;啟迪	使富裕
enhance	提高,增加	啟發;啟迪	使富裕	流行性的;傳染的;極為流行的
enlighten	啟發;啟迪	使富裕	流行性的;傳染的;極為流行的	一個事件;一節;一齣;一集
enrich	使富裕	流行性的;傳染的;極為流行的	一個事件;一節;一齣;一集	情商
epidemic	流行性的;傳染的;極為流行的	一個事件;一節;一齣;一集	情商	方程式;等式;相等
episode	一個事件;一節;一齣;一集	情商	方程式;等式;相等	相等的,相同的
EQ/emotionalquotient/	情商	方程式;等式;相等	相等的,相同的	腐蝕;侵蝕;磨損
equation	方程式;等式;相等	相等的,相同的	腐蝕;侵蝕;磨損	爆發;噴出
equivalent	相等的,相同的	腐蝕;侵蝕;磨損	爆發;噴出	逐步上升
erode	腐蝕;侵蝕;磨損	爆發;噴出	逐步上升	本質;要素;精華;精油
eruption	爆發;噴出	逐步上升	本質;要素;精華;精油	永遠;永恆;永世
escalate	逐步上升	本質;要素;精華;精油	永遠;永恆;永世	倫理的;道德的
essence	本質;要素;精華;精油	永遠;永恆;永世	倫理的;道德的	種族的;人種學的
eternity	永遠;永恆;永世	倫理的;道德的	種族的;人種學的	撤離;避難;疏散
ethical	倫理的;道德的	種族的;人種學的	撤離;避難;疏散	發展,進展
ethnic	種族的;人種學的	撤離;避難;疏散	發展,進展	使逐步形成;發展
evacuate	撤離;避難;疏散	發展,進展	使逐步形成;發展	摘錄;引用
evolution	發展,進展	使逐步形成;發展	摘錄;引用	過度的;極度的
evolve	使逐步形成;發展	摘錄;引用	過度的;極度的	排外
excerpt	摘錄;引用	過度的;極度的	排外	實行;執行;死刑
excessive	過度的;極度的	排外	實行;執行;死刑	用(力);施加
exclusive	排外	實行;執行;死刑	用(力);施加	異國情調的;外來的
execution	實行;執行;死刑	用(力);施加	異國情調的;外來的	遠征(隊);探險(隊)
exert	用(力);施加	異國情調的;外來的	遠征(隊);探險(隊)	驅逐;排出;開除
exotic	異國情調的;外來的	遠征(隊);探險(隊)	驅逐;排出;開除	專門知識;專門技術
expedition	遠征(隊);探險(隊)	驅逐;排出;開除	專門知識;專門技術	失效;期滿;吐氣
expel	驅逐;排出;開除	專門知識;專門技術	失效;期滿;吐氣	失效;滿期;吐氣
expertise	專門知識;專門技術	失效;期滿;吐氣	失效;滿期;吐氣	詳盡的;清楚的
expiration	失效;期滿;吐氣	失效;滿期;吐氣	詳盡的;清楚的	開發,開採,開拓
expire	失效;滿期;吐氣	詳盡的;清楚的	開發,開採,開拓	勘查;探測
explicit	詳盡的;清楚的	開發,開採,開拓	勘查;探測	精緻的;精良的;精選的
exploit	開發,開採,開拓	勘查;探測	精緻的;精良的;精選的	取出;抽出;提煉;摘錄
exploration	勘查;探測	精緻的;精良的;精選的	取出;抽出;提煉;摘錄	課外的
exquisite	精緻的;精良的;精選的	取出;抽出;提煉;摘錄	課外的	視力
extract	取出;抽出;提煉;摘錄	課外的	視力	極好的;驚人的
extracurricular	課外的	視力	極好的;驚人的	促進
eyesight	視力	極好的;驚人的	促進	派別;小集團;派系之爭
fabulous	極好的;驚人的	促進	派別;小集團;派系之爭	(學校的)全體教員
facilitate	促進	派別;小集團;派系之爭	(學校的)全體教員	熟悉;通曉
faction	派別;小集團;派系之爭	(學校的)全體教員	熟悉;通曉	饑荒
faculty	(學校的)全體教員	熟悉;通曉	饑荒	迷戀;陶醉
familiarity	熟悉;通曉	饑荒	迷戀;陶醉	可行的;可能的
famine	饑荒	迷戀;陶醉	可行的;可能的	聯邦政府;聯邦制度;聯盟
fascination	迷戀;陶醉	可行的;可能的	聯邦政府;聯邦制度;聯盟	反饋的信息
feasible	可行的;可能的	聯邦政府;聯邦制度;聯盟	反饋的信息	肥沃;繁殖力
federation	聯邦政府;聯邦制度;聯盟	反饋的信息	肥沃;繁殖力	忠誠;忠貞
feedback	反饋的信息	肥沃;繁殖力	忠誠;忠貞	有限的
fertility	肥沃;繁殖力	忠誠;忠貞	有限的	防火的;耐火的
fidelity	忠誠;忠貞	有限的	防火的;耐火的	閃耀;(搖曳不定地)燃燒;閃亮
finite	有限的	防火的;耐火的	閃耀;(搖曳不定地)燃燒;閃亮	艦隊;機群;車隊
fireproof	防火的;耐火的	閃耀;(搖曳不定地)燃燒;閃亮	艦隊;機群;車隊	閃爍;搖曳;忽隱忽現
flare	閃耀;(搖曳不定地)燃燒;閃亮	艦隊;機群;車隊	閃爍;搖曳;忽隱忽現	用力地扔擲
fleet	艦隊;機群;車隊	閃爍;搖曳;忽隱忽現	用力地扔擲	液體
flicker	閃爍;搖曳;忽隱忽現	用力地扔擲	液體	振翼;飄動;(心臟等)不規則跳動
fling	用力地扔擲	液體	振翼;飄動;(心臟等)不規則跳動	預見;預知
fluid	液體	振翼;飄動;(心臟等)不規則跳動	預見;預知	令人畏懼的;難對付的
flutter	振翼;飄動;(心臟等)不規則跳動	預見;預知	令人畏懼的;難對付的	使公式化;規劃;配製
foresee	預見;預知	令人畏懼的;難對付的	使公式化;規劃;配製	拋棄;革除
formidable	令人畏懼的;難對付的	使公式化;規劃;配製	拋棄;革除	即將到來的
formulate	使公式化;規劃;配製	拋棄;革除	即將到來的	築防禦工事於;增強
forsake	拋棄;革除	即將到來的	築防禦工事於;增強	收養的
forthcoming	即將到來的	築防禦工事於;增強	收養的	使斷裂;使折斷;使骨折
fortify	築防禦工事於;增強	收養的	使斷裂;使折斷;使骨折	易碎的;虛弱的
foster	收養的	使斷裂;使折斷;使骨折	易碎的;虛弱的	使成碎片
fracture	使斷裂;使折斷;使骨折	易碎的;虛弱的	使成碎片	易碎的，脆弱的
fragile	易碎的;虛弱的	使成碎片	易碎的，脆弱的	詭計;騙子;假貨
fragment	使成碎片	易碎的，脆弱的	詭計;騙子;假貨	使瘋狂;使反常
frail	易碎的，脆弱的	詭計;騙子;假貨	使瘋狂;使反常	使苦惱;使煩躁
fraud	詭計;騙子;假貨	使瘋狂;使反常	使苦惱;使煩躁	摩擦;不和;爭執
freak	使瘋狂;使反常	使苦惱;使煩躁	摩擦;不和;爭執	星系
fret	使苦惱;使煩躁	摩擦;不和;爭執	星系	泛論;概括
friction	摩擦;不和;爭執	星系	泛論;概括	產生;發生(熱;電;光等)
galaxy	星系	泛論;概括	產生;發生(熱;電;光等)	發電機;產生器
generalize	泛論;概括	產生;發生(熱;電;光等)	發電機;產生器	基因的;遺傳(學)的
generate	產生;發生(熱;電;光等)	發電機;產生器	基因的;遺傳(學)的	遺傳學
generator	發電機;產生器	基因的;遺傳(學)的	遺傳學	魅力,誘惑力;迷人的美;妖豔
genetic	基因的;遺傳(學)的	遺傳學	魅力,誘惑力;迷人的美;妖豔	玻璃器皿
genetics	遺傳學	魅力,誘惑力;迷人的美;妖豔	玻璃器皿	閃耀;閃亮
glamour	魅力,誘惑力;迷人的美;妖豔	玻璃器皿	閃耀;閃亮	陰暗的;憂鬱的
glassware	玻璃器皿	閃耀;閃亮	陰暗的;憂鬱的	基因改造
glisten	閃耀;閃亮	陰暗的;憂鬱的	基因改造	用圖表表示
gloomy	陰暗的;憂鬱的	基因改造	用圖表表示	生動的;寫實的;圖解的
GMO/geneticallymodified	基因改造	用圖表表示	生動的;寫實的;圖解的	(用烤架)烤
graph	用圖表表示	生動的;寫實的;圖解的	(用烤架)烤	食品雜貨商
graphic	生動的;寫實的;圖解的	(用烤架)烤	食品雜貨商	觸摸
grill	(用烤架)烤	食品雜貨商	觸摸	游擊隊(員)
grocer	食品雜貨商	觸摸	游擊隊(員)	棲地
grope	觸摸	游擊隊(員)	棲地	劈;砍
guerrilla	游擊隊(員)	棲地	劈;砍	駭客
habitat	棲地	劈;砍	駭客	向...歡呼;招呼;下冰雹
hack	劈;砍	駭客	向...歡呼;招呼;下冰雹	騷擾;使煩惱
hacker	駭客	向...歡呼;招呼;下冰雹	騷擾;使煩惱	冒險作出
hail	向...歡呼;招呼;下冰雹	騷擾;使煩惱	冒險作出	(地球的)半球;半球體
harass	騷擾;使煩惱	冒險作出	(地球的)半球;半球體	此後;在來世
hazard	冒險作出	(地球的)半球;半球體	此後;在來世	遺產;繼承物;傳統
hemisphere	(地球的)半球;半球體	此後;在來世	遺產;繼承物;傳統	海洛因
hereafter	此後;在來世	遺產;繼承物;傳統	海洛因	強調
heritage	遺產;繼承物;傳統	海洛因	強調	(學位等)名譽上的;名譽職位的
heroin	海洛因	強調	(學位等)名譽上的;名譽職位的	荷爾蒙
highlight	強調	(學位等)名譽上的;名譽職位的	荷爾蒙	好客的
honorary	(學位等)名譽上的;名譽職位的	荷爾蒙	好客的	好客;殷勤招待
hormone	荷爾蒙	好客的	好客;殷勤招待	住院治療
hospitable	好客的	好客;殷勤招待	住院治療	敵意;敵視;戰爭行動
hospitality	好客;殷勤招待	住院治療	敵意;敵視;戰爭行動	人道主義的;博愛的
hospitalize	住院治療	敵意;敵視;戰爭行動	人道主義的;博愛的	羞辱;使丟臉
hostility	敵意;敵視;戰爭行動	人道主義的;博愛的	羞辱;使丟臉	彎腰
humanitarian	人道主義的;博愛的	羞辱;使丟臉	彎腰	跨(欄);克服(困難)
humiliate	羞辱;使丟臉	彎腰	跨(欄);克服(困難)	衛生;衛生學;保健法
hunch	彎腰	跨(欄);克服(困難)	衛生;衛生學;保健法	偽善;虛偽
hurdle	跨(欄);克服(困難)	衛生;衛生學;保健法	偽善;虛偽	偽善者;偽君子
hygiene	衛生;衛生學;保健法	偽善;虛偽	偽善者;偽君子	歇斯底里的;極可笑的
hypocrisy	偽善;虛偽	偽善者;偽君子	歇斯底里的;極可笑的	照亮;用燈裝飾;啟發
hypocrite	偽善者;偽君子	歇斯底里的;極可笑的	照亮;用燈裝飾;啟發	錯覺;假象;幻想
hysterical	歇斯底里的;極可笑的	照亮;用燈裝飾;啟發	錯覺;假象;幻想	免疫的;免於...的
illuminate	照亮;用燈裝飾;啟發	錯覺;假象;幻想	免疫的;免於...的	必要的;命令式的;祈使法的
illusion	錯覺;假象;幻想	免疫的;免於...的	必要的;命令式的;祈使法的	履行;實施;執行
immune	免疫的;免於...的	必要的;命令式的;祈使法的	履行;實施;執行	含意;言外之意;暗示
imperative	必要的;命令式的;祈使法的	履行;實施;執行	含意;言外之意;暗示	不言明的;含蓄的
implement	履行;實施;執行	含意;言外之意;暗示	不言明的;含蓄的	壯觀的;氣勢宏偉的;莊嚴的
implication	含意;言外之意;暗示	不言明的;含蓄的	壯觀的;氣勢宏偉的;莊嚴的	監禁;束縛
implicit	不言明的;含蓄的	壯觀的;氣勢宏偉的;莊嚴的	監禁;束縛	刺激的;鼓勵的,獎勵的
imposing	壯觀的;氣勢宏偉的;莊嚴的	監禁;束縛	刺激的;鼓勵的,獎勵的	易發生的;附帶的
imprison	監禁;束縛	刺激的;鼓勵的,獎勵的	易發生的;附帶的	傾斜;屈身;有意
incentive	刺激的;鼓勵的,獎勵的	易發生的;附帶的	傾斜;屈身;有意	包含的;包括在內的
incidental	易發生的;附帶的	傾斜;屈身;有意	包含的;包括在內的	憤怒;憤慨;義憤
incline	傾斜;屈身;有意	包含的;包括在內的	憤怒;憤慨;義憤	不可避免的
inclusive	包含的;包括在內的	憤怒;憤慨;義憤	不可避免的	傳染的;有感染力的
indignation	憤怒;憤慨;義憤	不可避免的	傳染的;有感染力的	推斷,推論
inevitable	不可避免的	傳染的;有感染力的	推斷,推論	推論,推斷
infectious	傳染的;有感染力的	推斷,推論	推論,推斷	心靈手巧的;足智多謀的
infer	推斷,推論	推論,推斷	心靈手巧的;足智多謀的	心靈手巧;獨創性;足智多謀
inference	推論,推斷	心靈手巧的;足智多謀的	心靈手巧;獨創性;足智多謀	居住於;棲息於
ingenious	心靈手巧的;足智多謀的	心靈手巧;獨創性;足智多謀	居住於;棲息於	居民,居住者
ingenuity	心靈手巧;獨創性;足智多謀	居住於;棲息於	居民,居住者	固有的;與生俱來的
inhabit	居住於;棲息於	居民,居住者	固有的;與生俱來的	開始的;初步的;創始的
inhabitant	居民,居住者	固有的;與生俱來的	開始的;初步的;創始的	注射(藥液等)
inherent	固有的;與生俱來的	開始的;初步的;創始的	注射(藥液等)	注射
initiative	開始的;初步的;創始的	注射(藥液等)	注射	非正義;不公正
inject	注射(藥液等)	注射	非正義;不公正	革新;創新;新事物
injection	注射	非正義;不公正	革新;創新;新事物	創新的
injustice	非正義;不公正	革新;創新;新事物	創新的	詢問,打聽;質詢
innovation	革新;創新;新事物	創新的	詢問,打聽;質詢	洞察力;洞悉
innovative	創新的	詢問,打聽;質詢	洞察力;洞悉	堅持
inquiry	詢問,打聽;質詢	洞察力;洞悉	堅持	設施;安裝
insight	洞察力;洞悉	堅持	設施;安裝	安置
insistence	堅持	設施;安裝	安置	機構
installation	設施;安裝	安置	機構	完整無缺的;原封不動的
installment	安置	機構	完整無缺的;原封不動的	使結合;求積分
institution	機構	完整無缺的;原封不動的	使結合;求積分	整合;積分
intact	完整無缺的;原封不動的	使結合;求積分	整合;積分	正直;廉正;健全
integrate	使結合;求積分	整合;積分	正直;廉正;健全	智力;理解力;有才智的人
integration	整合;積分	正直;廉正;健全	智力;理解力;有才智的人	交叉點;十字路口
integrity	正直;廉正;健全	智力;理解力;有才智的人	交叉點;十字路口	間隔
intellect	智力;理解力;有才智的人	交叉點;十字路口	間隔	介入;干預;調停
intersection	交叉點;十字路口	間隔	介入;干預;調停	介入;干預;調停
interval	間隔	介入;干預;調停	介入;干預;調停	熟悉;親密;親近
intervene	介入;干預;調停	介入;干預;調停	熟悉;親密;親近	威嚇;脅迫
intervention	介入;干預;調停	熟悉;親密;親近	威嚇;脅迫	侵入;闖入
intimacy	熟悉;親密;親近	威嚇;脅迫	侵入;闖入	侵入者;闖入者
intimidate	威嚇;脅迫	侵入;闖入	侵入者;闖入者	非常貴重的;無價的
intrude	侵入;闖入	侵入者;闖入者	非常貴重的;無價的	存貨
intruder	侵入者;闖入者	非常貴重的;無價的	存貨	調查者;研究者
invaluable	非常貴重的;無價的	存貨	調查者;研究者	智商
inventory	存貨	調查者;研究者	智商	具有諷刺意味的;挖苦的
investigator	調查者;研究者	智商	具有諷刺意味的;挖苦的	反語;諷刺;出乎意料的結果
IQ/intelligencequotient	智商	具有諷刺意味的;挖苦的	反語;諷刺;出乎意料的結果	易怒的;急躁的
ironic	具有諷刺意味的;挖苦的	反語;諷刺;出乎意料的結果	易怒的;急躁的	使惱怒;使煩躁
irony	反語;諷刺;出乎意料的結果	易怒的;急躁的	使惱怒;使煩躁	激怒;惱怒
irritable	易怒的;急躁的	使惱怒;使煩躁	激怒;惱怒	快樂的;高興的
irritate	使惱怒;使煩躁	激怒;惱怒	快樂的;高興的	(果核或果殼內的)仁;核心,要點
irritation	激怒;惱怒	快樂的;高興的	(果核或果殼內的)仁;核心,要點	綁架;劫持
joyous	快樂的;高興的	(果核或果殼內的)仁;核心,要點	綁架;劫持	哀悼;悲痛;痛哭
kernel	(果核或果殼內的)仁;核心,要點	綁架;劫持	哀悼;悲痛;痛哭	熔岩;火山岩
kidnap	綁架;劫持	哀悼;悲痛;痛哭	熔岩;火山岩	(未受神職的)一般信徒;外行人
lament	哀悼;悲痛;痛哭	熔岩;火山岩	(未受神職的)一般信徒;外行人	設計;佈局;版面設計
lava	熔岩;火山岩	(未受神職的)一般信徒;外行人	設計;佈局;版面設計	液晶顯示器
layman	(未受神職的)一般信徒;外行人	設計;佈局;版面設計	液晶顯示器	傳說的;傳奇的
layout	設計;佈局;版面設計	液晶顯示器	傳說的;傳奇的	立法的;有立法權的
LCD/liquidcrystaldisplay	液晶顯示器	傳說的;傳奇的	立法的;有立法權的	立法委員;國會議員
legendary	傳說的;傳奇的	立法的;有立法權的	立法委員;國會議員	立法機關;(美國的)州議會
legislative	立法的;有立法權的	立法委員;國會議員	立法機關;(美國的)州議會	合法的;合法婚姻所生的;合理的
legislator	立法委員;國會議員	立法機關;(美國的)州議會	合法的;合法婚姻所生的;合理的	長的;冗長的;囉唆的
legislature	立法機關;(美國的)州議會	合法的;合法婚姻所生的;合理的	長的;冗長的;囉唆的	易...的;可能的;負有法律責任的
legitimate	合法的;合法婚姻所生的;合理的	長的;冗長的;囉唆的	易...的;可能的;負有法律責任的	解放
lengthy	長的;冗長的;囉唆的	易...的;可能的;負有法律責任的	解放	解放
liable	易...的;可能的;負有法律責任的	解放	解放	同樣地;也;又
liberate	解放	解放	同樣地;也;又	大轎車
liberation	解放	同樣地;也;又	大轎車	班輪;眼線筆
likewise	同樣地;也;又	大轎車	班輪;眼線筆	語言學者;通曉數種外語的人
limousine/limo	大轎車	班輪;眼線筆	語言學者;通曉數種外語的人	公升
liner	班輪;眼線筆	語言學者;通曉數種外語的人	公升	識字;讀寫能力
linguist	語言學者;通曉數種外語的人	公升	識字;讀寫能力	照字面的;原義的;如實的
liter	公升	識字;讀寫能力	照字面的;原義的;如實的	能讀寫的;有文化修養的
literacy	識字;讀寫能力	照字面的;原義的;如實的	能讀寫的;有文化修養的	長壽;壽命
literal	照字面的;原義的;如實的	能讀寫的;有文化修養的	長壽;壽命	(懶洋洋地)倚靠;閒蕩
literate	能讀寫的;有文化修養的	長壽;壽命	(懶洋洋地)倚靠;閒蕩	瘋的;瘋狂的
longevity	長壽;壽命	(懶洋洋地)倚靠;閒蕩	瘋的;瘋狂的	誘惑;以誘餌吸引
lounge	(懶洋洋地)倚靠;閒蕩	瘋的;瘋狂的	誘惑;以誘餌吸引	蒼翠繁茂的;豐富的
lunatic	瘋的;瘋狂的	誘惑;以誘餌吸引	蒼翠繁茂的;豐富的	抒情的;適於歌唱的
lure	誘惑;以誘餌吸引	蒼翠繁茂的;豐富的	抒情的;適於歌唱的	巨大;重大;強度
lush	蒼翠繁茂的;豐富的	抒情的;適於歌唱的	巨大;重大;強度	瘧疾
lyric	抒情的;適於歌唱的	巨大;重大;強度	瘧疾	操作;運用;操縱;對...做手腳
magnitude	巨大;重大;強度	瘧疾	操作;運用;操縱;對...做手腳	手稿;打字稿;原稿
malaria	瘧疾	操作;運用;操縱;對...做手腳	手稿;打字稿;原稿	毀損;損傷;玷污
manipulate	操作;運用;操縱;對...做手腳	手稿;打字稿;原稿	毀損;損傷;玷污	屠殺;使慘敗
manuscript	手稿;打字稿;原稿	毀損;損傷;玷污	屠殺;使慘敗	支配;統治;精通;掌握
mar	毀損;損傷;玷污	屠殺;使慘敗	支配;統治;精通;掌握	材料
massacre	屠殺;使慘敗	支配;統治;精通;掌握	材料	床墊
mastery	支配;統治;精通;掌握	材料	床墊	機械裝置;機械作用;結構
material	材料	床墊	機械裝置;機械作用;結構	藥物治療;藥物
mattress	床墊	機械裝置;機械作用;結構	藥物治療;藥物	中世紀的;中古風的;守舊的
mechanism	機械裝置;機械作用;結構	藥物治療;藥物	中世紀的;中古風的;守舊的	沈思;深思熟慮
medication	藥物治療;藥物	中世紀的;中古風的;守舊的	沈思;深思熟慮	沈思;默想;冥想
medieval	中世紀的;中古風的;守舊的	沈思;深思熟慮	沈思;默想;冥想	憂鬱的;令人沮喪的
meditate	沈思;深思熟慮	沈思;默想;冥想	憂鬱的;令人沮喪的	(水果)成熟的;(人)圓熟的
meditation	沈思;默想;冥想	憂鬱的;令人沮喪的	(水果)成熟的;(人)圓熟的	智力;精神性;心理狀態
melancholy	憂鬱的;令人沮喪的	(水果)成熟的;(人)圓熟的	智力;精神性;心理狀態	買賣;經營
mellow	(水果)成熟的;(人)圓熟的	智力;精神性;心理狀態	買賣;經營	合併;融合
mentality	智力;精神性;心理狀態	買賣;經營	合併;融合	隱喻;象徵
merchandise	買賣;經營	合併;融合	隱喻;象徵	大都市的
merge	合併;融合	隱喻;象徵	大都市的	移居;定期移棲;回游
metaphor	隱喻;象徵	大都市的	移居;定期移棲;回游	遷移;遷徙;移民群
metropolitan	大都市的	移居;定期移棲;回游	遷移;遷徙;移民群	好戰的;激進的
migrate	移居;定期移棲;回游	遷移;遷徙;移民群	好戰的;激進的	磨坊主;碾磨工
migration	遷移;遷徙;移民群	好戰的;激進的	磨坊主;碾磨工	模仿;與...極相似
militant	好戰的;激進的	磨坊主;碾磨工	模仿;與...極相似	小型的;小規模的
miller	磨坊主;碾磨工	模仿;與...極相似	小型的;小規模的	使減到最少(或最小);低估
mimic	模仿;與...極相似	小型的;小規模的	使減到最少(或最小);低估	神奇的;奇蹟般的
miniature	小型的;小規模的	使減到最少(或最小);低估	神奇的;奇蹟般的	惡作劇的;淘氣的
minimize	使減到最少(或最小);低估	神奇的;奇蹟般的	惡作劇的;淘氣的	傳教的;教會的;傳教士的
miraculous	神奇的;奇蹟般的	惡作劇的;淘氣的	傳教的;教會的;傳教士的	動員;調動
mischievous	惡作劇的;淘氣的	傳教的;教會的;傳教士的	動員;調動	現代化;現代化的事物
missionary	傳教的;教會的;傳教士的	動員;調動	現代化;現代化的事物	鑄造;塑造;發霉
mobilize	動員;調動	現代化;現代化的事物	鑄造;塑造;發霉	動量;氣勢;動力
modernization	現代化;現代化的事物	鑄造;塑造;發霉	動量;氣勢;動力	獨佔;專賣;壟斷
mold	鑄造;塑造;發霉	動量;氣勢;動力	獨佔;專賣;壟斷	單調的;無變化的
momentum	動量;氣勢;動力	獨佔;專賣;壟斷	單調的;無變化的	單調;千篇一律
monopoly	獨佔;專賣;壟斷	單調的;無變化的	單調;千篇一律	士氣;鬥志;道德
monotonous	單調的;無變化的	單調;千篇一律	士氣;鬥志;道德	道德;倫理;寓意
monotony	單調;千篇一律	士氣;鬥志;道德	道德;倫理;寓意	座右銘;格言
morale	士氣;鬥志;道德	道德;倫理;寓意	座右銘;格言	憂傷的;悲切的
morality	道德;倫理;寓意	座右銘;格言	憂傷的;悲切的	樂器的吹口;電話的送話口;代言人
motto	座右銘;格言	憂傷的;悲切的	樂器的吹口;電話的送話口;代言人	樂器的吹口;電話的送話口;代言人
mournful	憂傷的;悲切的	樂器的吹口;電話的送話口;代言人	樂器的吹口;電話的送話口;代言人	市的
mouthpiece	樂器的吹口;電話的送話口;代言人	樂器的吹口;電話的送話口;代言人	市的	沈默的;啞的
mouthpiece	樂器的吹口;電話的送話口;代言人	市的	沈默的;啞的	(總稱)神話
municipal	市的	沈默的;啞的	(總稱)神話	講(故事);敘述;作旁白
mute	沈默的;啞的	(總稱)神話	講(故事);敘述;作旁白	敘事的;故事形式的
mythology	(總稱)神話	講(故事);敘述;作旁白	敘事的;故事形式的	解說員;敘述者
narrate	講(故事);敘述;作旁白	敘事的;故事形式的	解說員;敘述者	民族主義;國家主義
narrative	敘事的;故事形式的	解說員;敘述者	民族主義;國家主義	博物學家
narrator	解說員;敘述者	民族主義;國家主義	博物學家	海軍的
nationalism	民族主義;國家主義	博物學家	海軍的	肚臍
naturalist	博物學家	海軍的	肚臍	航海;航空;導航
naval	海軍的	肚臍	航海;航空;導航	談判,協商
navel	肚臍	航海;航空;導航	談判,協商	氖;霓虹燈
navigation	航海;航空;導航	談判,協商	氖;霓虹燈	中立的;中立國的;空檔的
negotiation	談判,協商	氖;霓虹燈	中立的;中立國的;空檔的	新結婚的人
neon	氖;霓虹燈	中立的;中立國的;空檔的	新結婚的人	新聞廣播員
neutral	中立的;中立國的;空檔的	新結婚的人	新聞廣播員	提名;任命
newlywed	新結婚的人	新聞廣播員	提名;任命	被提名人
newscaster/anchorman/	新聞廣播員	提名;任命	被提名人	基準;規範;定額
nomination	提名;任命	被提名人	基準;規範;定額	惡名昭彰的
nominee	被提名人	基準;規範;定額	惡名昭彰的	養育;滋養
norm	基準;規範;定額	惡名昭彰的	養育;滋養	討厭的人(或事物);騷擾行為
notorious	惡名昭彰的	養育;滋養	討厭的人(或事物);騷擾行為	養育;培育
nourish	養育;滋養	討厭的人(或事物);騷擾行為	養育;培育	營養的,滋養的
nuisance	討厭的人(或事物);騷擾行為	養育;培育	營養的,滋養的	營養,滋養
nurture	養育;培育	營養的,滋養的	營養,滋養	有營養的
nutrient	營養的,滋養的	營養,滋養	有營養的	(道義上或法律上的)義務
nutrition	營養,滋養	有營養的	(道義上或法律上的)義務	施恩於
nutritious	有營養的	(道義上或法律上的)義務	施恩於	暗的;模糊的;偏僻的;微賤的
obligation	(道義上或法律上的)義務	施恩於	暗的;模糊的;偏僻的;微賤的	提供;供奉;捐獻物;供物;課程
oblige	施恩於	暗的;模糊的;偏僻的;微賤的	提供;供奉;捐獻物;供物;課程	子女;子孫;後代
obscure	暗的;模糊的;偏僻的;微賤的	提供;供奉;捐獻物;供物;課程	子女;子孫;後代	操作上的;經營上的
offering	提供;供奉;捐獻物;供物;課程	子女;子孫;後代	操作上的;經營上的	反對;反抗
offspring	子女;子孫;後代	操作上的;經營上的	反對;反抗	壓迫;壓制
operational	操作上的;經營上的	反對;反抗	壓迫;壓制	壓迫;壓制
opposition	反對;反抗	壓迫;壓制	壓迫;壓制	選擇;選擇權
oppress	壓迫;壓制	壓迫;壓制	選擇;選擇權	隨意的;非必須的
