こう (斯う)	in this way	America 	to be attached	hospital nurse
天気予報 (てんきよほう)	weather forecast	to convey	finally	to move
伝える (つたえる)	to convey	finally	to move	to deliver
とうとう (到頭)	finally	to move	to deliver	he
動く (うごく)	to move	to deliver	he	very
届ける (とどける)	to deliver	he	very	husked grains of rice 
彼 (かれ)	he	very	husked grains of rice 	distinction
非常に (ひじょうに)	very	husked grains of rice 	distinction	to die
米 (こめ)	husked grains of rice 	distinction	to die	mostly
別 (べつ)	distinction	to die	mostly	to be lost 
亡くなる (なくなる)	to die	mostly	to be lost 	to dance 
ほとんど (殆ど)	mostly	to be lost 	to dance 	to shake
なくなる (無くなる)	to be lost 	to dance 	to shake	business
踊る (おどる)	to dance 	to shake	business	to stand up
揺れる (ゆれる)	to shake	business	to stand up	force
用 (よう)	business	to stand up	force	pickpocket
立てる (たてる)	to stand up	force	pickpocket	closet
力 (ちから)	force	pickpocket	closet	feast
すり (掏摸)	pickpocket	closet	feast	tightly 
押し入れ (おしいれ)	closet	feast	tightly 	moustache
ご馳走 (ごちそう)	feast	tightly 	moustache	cruel
しっかり (確り)	tightly 	moustache	cruel	to become thin
ひげ (髭)	moustache	cruel	to become thin	to grow hot 
ひどい (酷い)	cruel	to become thin	to grow hot 	congratulation
痩せる (やせる)	to become thin	to grow hot 	congratulation	occasionally
沸く (わく)	to grow hot 	congratulation	occasionally	yes
お祝い (おいわい)	congratulation	occasionally	yes	reading
たまに (偶に)	occasionally	yes	reading	date
うん	yes	reading	date	board
