a.m./am/A.M./AM	早上	放棄	下腹	絕對的
facility	能力;技能;設備, 設施; 工具;(供特定用途的)場所	忠實的;忠誠的	聲譽,名望	奇妙的
faithful	忠實的;忠誠的	聲譽,名望	奇妙的	空想;幻想
fame	聲譽,名望	奇妙的	空想;幻想	告別;告別辭
fantastic	奇妙的	空想;幻想	告別;告別辭	致命的
fantasy	空想;幻想	告別;告別辭	致命的	有利的；適合的
farewell	告別;告別辭	致命的	有利的；適合的	盛宴款待
fatal	致命的	有利的；適合的	盛宴款待	用渡船運送
favorable	有利的；適合的	盛宴款待	用渡船運送	(土地)肥沃的,富饒的;受精的
feast	盛宴款待	用渡船運送	(土地)肥沃的,富饒的;受精的	去拿來
ferry	用渡船運送	(土地)肥沃的,富饒的;受精的	去拿來	小說
fertile	(土地)肥沃的,富饒的;受精的	去拿來	小說	兇猛的;殘酷的
fetch	去拿來	小說	兇猛的;殘酷的	籌措資金
fiction	小說	兇猛的;殘酷的	籌措資金	財政的;金融的
fierce	兇猛的;殘酷的	籌措資金	財政的;金融的	爆竹;鞭炮
finance	籌措資金	財政的;金融的	爆竹;鞭炮	壁爐
financial	財政的;金融的	爆竹;鞭炮	壁爐	諂媚;奉承
firecracker	爆竹;鞭炮	壁爐	諂媚;奉承	逃離;逃避
fireplace	壁爐	諂媚;奉承	逃離;逃避	彈性的
flatter	諂媚;奉承	逃離;逃避	彈性的	流利的,流暢的
flee	逃離;逃避	彈性的	流利的,流暢的	失敗;不及格
flexible	彈性的	流利的,流暢的	失敗;不及格	湧;湧流;用水沖洗;沖馬桶
fluent	流利的,流暢的	失敗;不及格	湧;湧流;用水沖洗;沖馬桶	起泡沫
flunk	失敗;不及格	湧;湧流;用水沖洗;沖馬桶	起泡沫	禁止,不許
flush	湧;湧流;用水沖洗;沖馬桶	起泡沫	禁止,不許	預測
foam	起泡沫	禁止,不許	預測	形成;構成物; 形態, 結構
forbid	禁止,不許	預測	形成;構成物; 形態, 結構	配方,處方;公式
forecast	預測	形成;構成物; 形態, 結構	配方,處方;公式	堡壘,要塞
formation	形成;構成物; 形態, 結構	配方,處方;公式	堡壘,要塞	幸運的,僥倖的
formula	配方,處方;公式	堡壘,要塞	幸運的,僥倖的	化石的;守舊的
fort	堡壘,要塞	幸運的,僥倖的	化石的;守舊的	建立,創辦;基礎;基金會
fortunate	幸運的,僥倖的	化石的;守舊的	建立,創辦;基礎;基金會	創立者;奠基者
fossil	化石的;守舊的	建立,創辦;基礎;基金會	創立者;奠基者	芬芳;香味
foundation	建立,創辦;基礎;基金會	創立者;奠基者	芬芳;香味	香的
founder	創立者;奠基者	芬芳;香味	香的	給...裝框子
fragrance	芬芳;香味	香的	給...裝框子	高速公路
fragrant	香的	給...裝框子	高速公路	頻率,次數
frame	給...裝框子	高速公路	頻率,次數	一年級生,新生
freeway	高速公路	頻率,次數	一年級生,新生	結霜
frequency	頻率,次數	一年級生,新生	結霜	皺眉;表示不滿
freshman	一年級生,新生	結霜	皺眉;表示不滿	失望;挫折
frost	結霜	皺眉;表示不滿	失望;挫折	加燃料;加油;燃料
frown	皺眉;表示不滿	失望;挫折	加燃料;加油;燃料	達成
frustration	失望;挫折	加燃料;加油;燃料	達成	機能的;實用的
fuel	加燃料;加油;燃料	達成	機能的;實用的	基礎的;根本的
fulfill	達成	機能的;實用的	基礎的;根本的	喪葬,葬儀
functional	機能的;實用的	基礎的;根本的	喪葬,葬儀	狂怒的
fundamental	基礎的;根本的	喪葬,葬儀	狂怒的	提供，配置
funeral	喪葬,葬儀	狂怒的	提供，配置	而且,此外,再者
furious	狂怒的	提供，配置	而且,此外,再者	畫廊,美術館
furnish	提供，配置	而且,此外,再者	畫廊,美術館	歹徒,匪盜,流氓
furthermore	而且,此外,再者	畫廊,美術館	歹徒,匪盜,流氓	凝視
gallery	畫廊,美術館	歹徒,匪盜,流氓	凝視	使適應,使適合
gangster	歹徒,匪盜,流氓	凝視	使適應,使適合	基因,遺傳因子
gaze	凝視	使適應,使適合	基因,遺傳因子	世代;產生
gear	使適應,使適合	基因,遺傳因子	世代;產生	寬宏大量;慷慨
gene	基因,遺傳因子	世代;產生	寬宏大量;慷慨	天才
generation	世代;產生	寬宏大量;慷慨	天才	真的
generosity	寬宏大量;慷慨	天才	真的	微生物;細菌;病菌
genius	天才	真的	微生物;細菌;病菌	有天資的,有天賦的
genuine	真的	微生物;細菌;病菌	有天資的,有天賦的	巨大的,龐大的
germ	微生物;細菌;病菌	有天資的,有天賦的	巨大的,龐大的	咯咯地笑;傻笑
gifted	有天資的,有天賦的	巨大的,龐大的	咯咯地笑;傻笑	生薑,薑
gigantic	巨大的,龐大的	咯咯地笑;傻笑	生薑,薑	滑動,滑行
giggle	咯咯地笑;傻笑	生薑,薑	滑動,滑行	看一眼
ginger	生薑,薑	滑動,滑行	看一眼	地球儀
glide	滑動,滑行	看一眼	地球儀	壯觀的,壯麗的
glimpse	看一眼	地球儀	壯觀的,壯麗的	商品;貨物
globe	地球儀	壯觀的,壯麗的	商品;貨物	使優美
glorious	壯觀的,壯麗的	商品;貨物	使優美	優美的,雅緻的
goods	商品;貨物	使優美	優美的,雅緻的	親切的;和藹的
grace	使優美	優美的,雅緻的	親切的;和藹的	畢業典禮
graceful	優美的,雅緻的	親切的;和藹的	畢業典禮	文法
gracious	親切的;和藹的	畢業典禮	文法	文法的;合乎文法的
graduation	畢業典禮	文法	文法的;合乎文法的	葡萄柚
grammar	文法	文法的;合乎文法的	葡萄柚	感謝的,感激的
grammatical	文法的;合乎文法的	葡萄柚	感謝的,感激的	感激之情,感恩,感謝
grapefruit	葡萄柚	感謝的,感激的	感激之情,感恩,感謝	墓穴
grateful	感謝的,感激的	感激之情,感恩,感謝	墓穴	油膩的
gratitude	感激之情,感恩,感謝	墓穴	油膩的	問候,迎接,招呼;賀詞;問候語
grave 	墓穴	油膩的	問候,迎接,招呼;賀詞;問候語	悲痛,悲傷
greasy	油膩的	問候,迎接,招呼;賀詞;問候語	悲痛,悲傷	使悲傷;使苦惱
greeting	問候,迎接,招呼;賀詞;問候語	悲痛,悲傷	使悲傷;使苦惱	磨(碎)
grief	悲痛,悲傷	使悲傷;使苦惱	磨(碎)	保證;擔保
grieve	使悲傷;使苦惱	磨(碎)	保證;擔保	有罪;犯罪;過失
grind	磨(碎)	保證;擔保	有罪;犯罪;過失	有罪的
guarantee	保證;擔保	有罪;犯罪;過失	有罪的	海灣
guilt	有罪;犯罪;過失	有罪的	海灣	習慣性的
guilty	有罪的	海灣	習慣性的	停止;終止
gulf	海灣	習慣性的	停止;終止	書寫;手寫
habitual	習慣性的	停止;終止	書寫;手寫	使變硬
halt	停止;終止	書寫;手寫	使變硬	艱難,困苦
handwriting	書寫;手寫	使變硬	艱難,困苦	金屬器件;硬體
harden	使變硬	艱難,困苦	金屬器件;硬體	口琴
hardship	艱難,困苦	金屬器件;硬體	口琴	和諧;協調
hardware	金屬器件;硬體	口琴	和諧;協調	粗糙的
harmonica 	口琴	和諧;協調	粗糙的	急忙;慌忙;性急
harmony	和諧;協調	粗糙的	急忙;慌忙;性急	催促;加速;趕緊
harsh	粗糙的	急忙;慌忙;性急	催促;加速;趕緊	憎恨,增惡;敵意
haste	急忙;慌忙;性急	催促;加速;趕緊	憎恨,增惡;敵意	頭戴式耳機
hasten	催促;加速;趕緊	憎恨,增惡;敵意	頭戴式耳機	有益於健康的
hatred	憎恨,增惡;敵意	頭戴式耳機	有益於健康的	直昇機
headphone	頭戴式耳機	有益於健康的	直昇機	放牧
healthful	有益於健康的	直昇機	放牧	躊躇,猶豫
helicopter	直昇機	放牧	躊躇,猶豫	非常,很,高度地
herd	放牧	躊躇,猶豫	非常,很,高度地	祖國;家鄉
hesitation	躊躇,猶豫	非常,很,高度地	祖國;家鄉	度蜜月
highly	非常,很,高度地	祖國;家鄉	度蜜月	可尊敬的
homeland	祖國;家鄉	度蜜月	可尊敬的	用鉤鉤住
honeymoon	度蜜月	可尊敬的	用鉤鉤住	抱有希望的
honorable	可尊敬的	用鉤鉤住	抱有希望的	水平線
hook	用鉤鉤住	抱有希望的	水平線	使恐懼,使驚懼
hopeful	抱有希望的	水平線	使恐懼,使驚懼	水管
horizon	水平線	使恐懼,使驚懼	水管	主人
horrify	使恐懼,使驚懼	水管	主人	旅舍
hose	水管	主人	旅舍	一家人;家眷;家庭,戶
host 	主人	旅舍	一家人;家眷;家庭,戶	家庭主婦
hostel	旅舍	一家人;家眷;家庭,戶	家庭主婦	家務
household	一家人;家眷;家庭,戶	家庭主婦	家務	人性;人道;慈愛
housewife	家庭主婦	家務	人性;人道;慈愛	濕氣,濕度
housework	家務	人性;人道;慈愛	濕氣,濕度	颶風,暴風雨
humanity	人性;人道;慈愛	濕氣,濕度	颶風,暴風雨	氫
humidity	濕氣,濕度	颶風,暴風雨	氫	浮在海洋上的巨大冰塊
hurricane	颶風,暴風雨	氫	浮在海洋上的巨大冰塊	完全相同的
hydrogen	氫	浮在海洋上的巨大冰塊	完全相同的	認出;識別
iceberg	浮在海洋上的巨大冰塊	完全相同的	認出;識別	確認;識別
identical	完全相同的	認出;識別	確認;識別	成語
identification/ID	認出;識別	確認;識別	成語	不認真的
identify	確認;識別	成語	不認真的	偶像
idiom	成語	不認真的	偶像	無知的,不學無術的
idle	不認真的	偶像	無知的,不學無術的	(用圖,實例等)說明
idol	偶像	無知的,不學無術的	(用圖,實例等)說明	說明,圖解
ignorant	無知的,不學無術的	(用圖,實例等)說明	說明,圖解	能想像的
illustrate	(用圖,實例等)說明	說明,圖解	能想像的	虛構的;幻想的
illustration	說明,圖解	能想像的	虛構的;幻想的	虛構的;幻想的
imaginable	能想像的	虛構的;幻想的	虛構的;幻想的	模仿
imaginary	虛構的;幻想的	虛構的;幻想的	模仿	模仿,模擬;仿造;偽造
imaginative	虛構的;幻想的	模仿	模仿,模擬;仿造;偽造	移民
imitate	模仿	模仿,模擬;仿造;偽造	移民	遷入
imitation	模仿,模擬;仿造;偽造	移民	遷入	移居
immigrant	移民	遷入	移居	壓緊;擠滿
immigrate	遷入	移居	壓緊;擠滿	暗指;暗示;意味著
immigration	移居	壓緊;擠滿	暗指;暗示;意味著	印象
impact	壓緊;擠滿	暗指;暗示;意味著	印象	事件;事變
imply	暗指;暗示;意味著	印象	事件;事變	包括
impression	印象	事件;事變	包括	指示;指點
incident	事件;事變	包括	指示;指點	使工業化
including	包括	指示;指點	使工業化	嬰兒
indication	指示;指點	使工業化	嬰兒	傳染;侵染;感染
industrialize	使工業化	嬰兒	傳染;侵染;感染	傳染;侵染
infant	嬰兒	傳染;侵染;感染	傳染;侵染	通貨膨脹
infect	傳染;侵染;感染	傳染;侵染	通貨膨脹	有影響的
infection	傳染;侵染	通貨膨脹	有影響的	服務台
inflation	通貨膨脹	有影響的	服務台	教育性的;有益的
influential	有影響的	服務台	教育性的;有益的	要素,因素
information	服務台	教育性的;有益的	要素,因素	開始的，最初的
informative	教育性的;有益的	要素,因素	開始的，最初的	天真無邪
ingredient	要素,因素	開始的，最初的	天真無邪	將(資料等)輸入電腦
initial	開始的，最初的	天真無邪	將(資料等)輸入電腦	插入;嵌入
innocence	天真無邪	將(資料等)輸入電腦	插入;嵌入	檢查;檢閱;視察
input	將(資料等)輸入電腦	插入;嵌入	檢查;檢閱;視察	靈感
insert	插入;嵌入	檢查;檢閱;視察	靈感	鼓舞
inspection	檢查;檢閱;視察	靈感	鼓舞	安裝,設置
inspiration	靈感	鼓舞	安裝,設置	本能;天性;直覺
inspire	鼓舞	安裝,設置	本能;天性;直覺	指示
install	安裝,設置	本能;天性;直覺	指示	教練;指導者
instinct	本能;天性;直覺	指示	教練;指導者	侮辱,羞辱
instruct	指示	教練;指導者	侮辱,羞辱	保險;保險契約
instructor	教練;指導者	侮辱,羞辱	保險;保險契約	智力的
insult	侮辱,羞辱	保險;保險契約	智力的	智能;智慧;理解力
insurance	保險;保險契約	智力的	智能;智慧;理解力	有才智的
intellectual	智力的	智能;智慧;理解力	有才智的	想要;打算
intelligence	智能;智慧;理解力	有才智的	想要;打算	強烈的,劇烈的
intelligent	有才智的	想要;打算	強烈的,劇烈的	加強,增強
intend	想要;打算	強烈的,劇烈的	加強,增強	強度;極度
intense	強烈的,劇烈的	加強,增強	強度;極度	加強的;密集的
intensify	加強,增強	強度;極度	加強的;密集的	意圖
intensity	強度;極度	加強的;密集的	意圖	互相作用
intensive	加強的;密集的	意圖	互相作用	互動
intention	意圖	互相作用	互動	介入;干涉,干預
interact	互相作用	互動	介入;干涉,干預	中等程度的,中級的
interaction	互動	介入;干涉,干預	中等程度的,中級的	網際網路
interfere	介入;干涉,干預	中等程度的,中級的	網際網路	口譯
intermediate	中等程度的,中級的	網際網路	口譯	中止;干擾
Internet/internet	網際網路	口譯	中止;干擾	親密的,熟悉的
interpret	口譯	中止;干擾	親密的,熟悉的	語調;抑揚之聲
interruption	中止;干擾	親密的,熟悉的	語調;抑揚之聲	侵害
intimate	親密的,熟悉的	語調;抑揚之聲	侵害	入侵,侵略
intonation	語調;抑揚之聲	侵害	入侵,侵略	發明,創造
invade	侵害	入侵,侵略	發明,創造	投(資)
invasion	入侵,侵略	發明,創造	投(資)	調查
invention	發明,創造	投(資)	調查	使捲入,連累;牽涉
invest	投(資)	調查	使捲入,連累;牽涉	使孤立
investigation	調查	使捲入,連累;牽涉	使孤立	隔離
involve	使捲入,連累;牽涉	使孤立	隔離	發癢
isolate	使孤立	隔離	發癢	妒忌;猜忌
isolation	隔離	發癢	妒忌;猜忌	年紀較輕的;資淺的三年級(生)的
itch	發癢	妒忌;猜忌	年紀較輕的;資淺的三年級(生)的	熱心的;敏銳的;渴望的
jealousy	妒忌;猜忌	年紀較輕的;資淺的三年級(生)的	熱心的;敏銳的;渴望的	用指關節敲打
junior	年紀較輕的;資淺的三年級(生)的	熱心的;敏銳的;渴望的	用指關節敲打	勞工
keen	熱心的;敏銳的;渴望的	用指關節敲打	勞工	實驗室,研究室
knuckle	用指關節敲打	勞工	實驗室,研究室	落後;延遲
labor	勞工	實驗室,研究室	落後;延遲	地標,陸標;里程碑
laboratory/lab	實驗室,研究室	落後;延遲	地標,陸標;里程碑	在(一片土地)上造園
lag	落後;延遲	地標,陸標;里程碑	在(一片土地)上造園	山崩;(選舉中的)壓倒性大勝利
landmark	地標,陸標;里程碑	在(一片土地)上造園	山崩;(選舉中的)壓倒性大勝利	大部分;主要地;大量地
landscape	在(一片土地)上造園	山崩;(選舉中的)壓倒性大勝利	大部分;主要地;大量地	最近
landslide/mudslide	山崩;(選舉中的)壓倒性大勝利	大部分;主要地;大量地	最近	發射;開始
largely	大部分;主要地;大量地	最近	發射;開始	合法的
lately	最近	發射;開始	合法的	引導
launch	發射;開始	合法的	引導	（使）傾斜
lawful	合法的	引導	（使）傾斜	有學問的,博學的;精通的
lead	引導	（使）傾斜	有學問的,博學的;精通的	學習;學問,學識
lean	（使）傾斜	有學問的,博學的;精通的	學習;學問,學識	講課;訓斥
learned	有學問的,博學的;精通的	學習;學問,學識	講課;訓斥	講師
learning	學習;學問,學識	講課;訓斥	講師	傳說;傳奇故事
lecture	講課;訓斥	講師	傳說;傳奇故事	從容不迫的,悠閒的
lecturer	講師	傳說;傳奇故事	從容不迫的,悠閒的	許可,准許;發許可證給
legend	傳說;傳奇故事	從容不迫的,悠閒的	許可,准許;發許可證給	使光明,照亮
leisurely	從容不迫的,悠閒的	許可,准許;發許可證給	使光明,照亮	極限,限度
license	許可,准許;發許可證給	使光明,照亮	極限,限度	酒;含酒精飲料
lighten	使光明,照亮	極限,限度	酒;含酒精飲料	文學的,文藝的
limitation	極限,限度	酒;含酒精飲料	文學的,文藝的	文學;文學作品
liquor	酒;含酒精飲料	文學的,文藝的	文學;文學作品	借出,貸與
literary	文學的,文藝的	文學;文學作品	借出,貸與	位置
literature 	文學;文學作品	借出,貸與	位置	(公共場所的)衣物櫃
loan	借出,貸與	位置	(公共場所的)衣物櫃	邏輯;邏輯學
location	位置	(公共場所的)衣物櫃	邏輯;邏輯學	合邏輯的;合理的
locker	(公共場所的)衣物櫃	邏輯;邏輯學	合邏輯的;合理的	乳液
logic	邏輯;邏輯學	合邏輯的;合理的	乳液	不潔的;卑鄙的;討厭的
logical	合邏輯的;合理的	乳液	不潔的;卑鄙的;討厭的	忠誠的,忠心的
lotion	乳液	不潔的;卑鄙的;討厭的	忠誠的,忠心的	忠誠;忠心
lousy	不潔的;卑鄙的;討厭的	忠誠的,忠心的	忠誠;忠心	月的;陰曆的
loyal	忠誠的,忠心的	忠誠;忠心	月的;陰曆的	奢侈的;驕奢淫逸的
loyalty	忠誠;忠心	月的;陰曆的	奢侈的;驕奢淫逸的	奢侈品,奢華;享受,樂趣
lunar	月的;陰曆的	奢侈的;驕奢淫逸的	奢侈品,奢華;享受,樂趣	用機器做
luxurious	奢侈的;驕奢淫逸的	奢侈品,奢華;享受,樂趣	用機器做	機器;機械
luxury	奢侈品,奢華;享受,樂趣	用機器做	機器;機械	夫人,太太
machine	用機器做	機器;機械	夫人,太太	磁鐵的;磁性的
machinery	機器;機械	夫人,太太	磁鐵的;磁性的	壯麗的,宏偉的
madam/ma’am	夫人,太太	磁鐵的;磁性的	壯麗的,宏偉的	和解
magnetic	磁鐵的;磁性的	壯麗的,宏偉的	和解	用手操作的
magnificent	壯麗的,宏偉的	和解	用手操作的	(大量)製造,加工
makeup	和解	用手操作的	(大量)製造,加工	製造業者,廠商
manual	用手操作的	(大量)製造,加工	製造業者,廠商	馬拉松賽跑
manufacture	(大量)製造,加工	製造業者,廠商	馬拉松賽跑	利潤
manufacturer	製造業者,廠商	馬拉松賽跑	利潤	成熟;完善;(支票等的)到期
marathon	馬拉松賽跑	利潤	成熟;完善;(支票等的)到期	最大限度的
margin	利潤	成熟;完善;(支票等的)到期	最大限度的	測量
maturity	成熟;完善;(支票等的)到期	最大限度的	測量	技工
maximum	最大限度的	測量	技工	機械的
measure	測量	技工	機械的	值得懷念的;難忘的
mechanic	技工	機械的	值得懷念的;難忘的	追悼的;記憶的
mechanical	機械的	值得懷念的;難忘的	追悼的;記憶的	慈悲,憐憫;仁慈
memorable	值得懷念的;難忘的	追悼的;記憶的	慈悲,憐憫;仁慈	僅僅的,只不過的
memorial	追悼的;記憶的	慈悲,憐憫;仁慈	僅僅的,只不過的	長處,優點
mercy	慈悲,憐憫;仁慈	僅僅的,只不過的	長處,優點	送信人
mere	僅僅的,只不過的	長處,優點	送信人	混亂的
merit	長處,優點	送信人	混亂的	顯微鏡
messenger	送信人	混亂的	顯微鏡	溫和的,溫柔的
messy	混亂的	顯微鏡	溫和的,溫柔的	礦物
microscope	顯微鏡	溫和的,溫柔的	礦物	最小的,最少的
mild	溫和的,溫柔的	礦物	最小的,最少的	部長;大臣
mineral	礦物	最小的,最少的	部長;大臣	內閣
minimum	最小的,最少的	部長;大臣	內閣	頑皮,淘氣
minister	部長;大臣	內閣	頑皮,淘氣	悽慘的;悲哀的
ministry	內閣	頑皮,淘氣	悽慘的;悲哀的	不幸;惡運
mischief	頑皮,淘氣	悽慘的;悲哀的	不幸;惡運	把...帶錯方向;把...引入歧途
miserable	悽慘的;悲哀的	不幸;惡運	把...帶錯方向;把...引入歧途	誤會;曲解
misfortune	不幸;惡運	把...帶錯方向;把...引入歧途	誤會;曲解	中等的,適度的
mislead	把...帶錯方向;把...引入歧途	誤會;曲解	中等的,適度的	審慎的;適度的
misunderstand	誤會;曲解	中等的,適度的	審慎的;適度的	謙遜,虛心
moderate	中等的,適度的	審慎的;適度的	謙遜,虛心	監控;監聽;監測
modest	審慎的;適度的	謙遜,虛心	監控;監聽;監測	每月的
modesty	謙遜,虛心	監控;監聽;監測	每月的	紀念碑,紀念塔,紀念館
monitor	監控;監聽;監測	每月的	紀念碑,紀念塔,紀念館	並且,加之,此外
monthly	每月的	紀念碑,紀念塔,紀念館	並且,加之,此外	一般地,通常
monument	紀念碑,紀念塔,紀念館	並且,加之,此外	一般地,通常	給...動機;刺激
moreover	並且,加之,此外	一般地,通常	給...動機;刺激	刺激;推動
mostly	一般地,通常	給...動機;刺激	刺激;推動	多山的;巨大的
motivate	給...動機;刺激	刺激;推動	多山的;巨大的	刈(草坪等)上的草
motivation	刺激;推動	多山的;巨大的	刈(草坪等)上的草	MTV
mountainous	多山的;巨大的	刈(草坪等)上的草	MTV	多爛泥的;泥濘的
mow	刈(草坪等)上的草	MTV	多爛泥的;泥濘的	複合的;多樣的
MTV/music television	MTV	多爛泥的;泥濘的	複合的;多樣的	謀殺犯,兇手
muddy	多爛泥的;泥濘的	複合的;多樣的	謀殺犯,兇手	私下抱怨,咕噥
multiple	複合的;多樣的	謀殺犯,兇手	私下抱怨,咕噥	小鬍子
murderer	謀殺犯,兇手	私下抱怨,咕噥	小鬍子	相互的;共同的
murmur	私下抱怨,咕噥	小鬍子	相互的;共同的	神祕的;不可思議的
mustache	小鬍子	相互的;共同的	神祕的;不可思議的	即,那就是
mutual	相互的;共同的	神祕的;不可思議的	即,那就是	國籍
mysterious	神祕的;不可思議的	即,那就是	國籍	近視的
namely	即,那就是	國籍	近視的	貧窮的
nationality	國籍	近視的	貧窮的	忽視,忽略
nearsighted	近視的	貧窮的	忽視,忽略	談判,協商
needy	貧窮的	忽視,忽略	談判,協商	然而
neglect	忽視,忽略	談判,協商	然而	惡夢
negotiate	談判,協商	然而	惡夢	胡說;胡鬧
nevertheless/nonetheless	然而	惡夢	胡說;胡鬧	名詞
nightmare	惡夢	胡說;胡鬧	名詞	現今
nonsense	胡說;胡鬧	名詞	現今	原子能的;細胞核的
noun	名詞	現今	原子能的;細胞核的	許多的,很多的
nowadays	現今	原子能的;細胞核的	許多的,很多的	托兒所;苗圃
nuclear	原子能的;細胞核的	許多的,很多的	托兒所;苗圃	尼龍
numerous	許多的,很多的	托兒所;苗圃	尼龍	服從;順從
nursery	托兒所;苗圃	尼龍	服從;順從	服從的,順從的
nylon	尼龍	服從;順從	服從的,順從的	反對;異議
obedience	服從;順從	服從的,順從的	反對;異議	目標
obedient	服從的,順從的	反對;異議	目標	觀察;觀測
objection	反對;異議	目標	觀察;觀測	障礙(物);妨礙
objective	目標	觀察;觀測	障礙(物);妨礙	得到,獲得
observation	觀察;觀測	障礙(物);妨礙	得到,獲得	偶爾的,非經常的
obstacle	障礙(物);妨礙	得到,獲得	偶爾的,非經常的	工作,職業;佔領;佔用
obtain	得到,獲得	偶爾的,非經常的	工作,職業;佔領;佔用	佔領,佔據
occasional	偶爾的,非經常的	工作,職業;佔領;佔用	佔領,佔據	冒犯;觸怒
occupation	工作,職業;佔領;佔用	佔領,佔據	冒犯;觸怒	進攻,攻擊;冒犯;觸怒
occupy	佔領,佔據	冒犯;觸怒	進攻,攻擊;冒犯;觸怒	冒犯的,唐突的
offend	冒犯;觸怒	進攻,攻擊;冒犯;觸怒	冒犯的,唐突的	歌劇
offense	進攻,攻擊;冒犯;觸怒	冒犯的,唐突的	歌劇	手術
offensive	冒犯的,唐突的	歌劇	手術	反對
opera	歌劇	手術	反對	口頭的,口述的;口部的
operation	手術	反對	口頭的,口述的;口部的	繞軌道運行
oppose	反對	口頭的,口述的;口部的	繞軌道運行	管弦樂隊
oral	口頭的,口述的;口部的	繞軌道運行	管弦樂隊	有機的
orbit	繞軌道運行	管弦樂隊	有機的	除此以外;否則,不然
orchestra	管弦樂隊	有機的	除此以外;否則,不然	結果;結局
organic	有機的	除此以外;否則,不然	結果;結局	傑出的;未償付的
otherwise	除此以外;否則,不然	結果;結局	傑出的;未償付的	橢圓形
outcome	結果;結局	傑出的;未償付的	橢圓形	戰勝;克服
outstanding	傑出的;未償付的	橢圓形	戰勝;克服	眺望;俯瞰
oval	橢圓形	戰勝;克服	眺望;俯瞰	通宵;整夜
overcome	戰勝;克服	眺望;俯瞰	通宵;整夜	追上;趕上;超過
overlook	眺望;俯瞰	通宵;整夜	追上;趕上;超過	打倒;推翻;廢除
overnight	通宵;整夜	追上;趕上;超過	打倒;推翻;廢除	氧;氧氣
overtake	追上;趕上;超過	打倒;推翻;廢除	氧;氧氣	下午
overthrow	打倒;推翻;廢除	氧;氧氣	下午	踱步於
oxygen	氧;氧氣	下午	踱步於	鑲板
p.m./pm/P.M./PM	下午	踱步於	鑲板	降落傘
pace	踱步於	鑲板	降落傘	(文章的)段,節
panel	鑲板	降落傘	(文章的)段,節	部分的,局部的;不完全的;不公平的
parachute	降落傘	(文章的)段,節	部分的,局部的;不完全的;不公平的	參加
paragraph	(文章的)段,節	部分的,局部的;不完全的;不公平的	參加	分詞
partial	部分的,局部的;不完全的;不公平的	參加	分詞	合夥(或合作)關係
participation	參加	分詞	合夥(或合作)關係	被動的;消極的
participle	分詞	合夥(或合作)關係	被動的;消極的	麵糰
partnership	合夥(或合作)關係	被動的;消極的	麵糰	小卵石
passive	被動的;消極的	麵糰	小卵石	奇怪的;乖癖的
pasta	麵糰	小卵石	奇怪的;乖癖的	踩踏板
pebble	小卵石	奇怪的;乖癖的	踩踏板	仔細看
peculiar	奇怪的;乖癖的	踩踏板	仔細看	處罰;刑罰;罰款
pedal	踩踏板	仔細看	處罰;刑罰;罰款	百分之一
peer	仔細看	處罰;刑罰;罰款	百分之一	百分率,百分比
penalty	處罰;刑罰;罰款	百分之一	百分率,百分比	完美;盡善盡美
percent/per cent	百分之一	百分率,百分比	完美;盡善盡美	香水
percentage	百分率,百分比	完美;盡善盡美	香水	永久的,永恆的;永遠的
perfection	完美;盡善盡美	香水	永久的,永恆的;永遠的	說服,勸說
perfume 	香水	永久的,永恆的;永遠的	說服,勸說	有說服力的
permanent	永久的,永恆的;永遠的	說服,勸說	有說服力的	悲觀的
persuasion	說服,勸說	有說服力的	悲觀的	花瓣
persuasive	有說服力的	悲觀的	花瓣	現象
pessimistic	悲觀的	花瓣	現象	哲學家
petal	花瓣	現象	哲學家	哲學的
phenomenon	現象	哲學家	哲學的	哲學
philosopher	哲學家	哲學的	哲學	照相術,攝影術
philosophical	哲學的	哲學	照相術,攝影術	身體的;物理學的
philosophy	哲學	照相術,攝影術	身體的;物理學的	內科醫生
photography	照相術,攝影術	身體的;物理學的	內科醫生	物理學家
physical	身體的;物理學的	內科醫生	物理學家	物理
physician/doctor	內科醫生	物理學家	物理	鋼琴家;鋼琴演奏者
physicist	物理學家	物理	鋼琴家;鋼琴演奏者	扒手
physics	物理	鋼琴家;鋼琴演奏者	扒手	當先驅,成為開拓者
pianist	鋼琴家;鋼琴演奏者	扒手	當先驅,成為開拓者	掠奪;剽竊
pickpocket	扒手	當先驅,成為開拓者	掠奪;剽竊	豐富的,充足的;多的
pioneer	當先驅,成為開拓者	掠奪;剽竊	豐富的,充足的;多的	密謀,策劃;標繪
pirate	掠奪;剽竊	豐富的,充足的;多的	密謀,策劃;標繪	複數的
plentiful	豐富的,充足的;多的	密謀,策劃;標繪	複數的	有毒的;有害的
plot	密謀,策劃;標繪	複數的	有毒的;有害的	磨光,擦亮
plural	複數的	有毒的;有害的	磨光,擦亮	污染
poisonous	有毒的;有害的	磨光,擦亮	污染	普及;流行;聲望
polish	磨光,擦亮	污染	普及;流行;聲望	手提式的;輕便的
pollution	污染	普及;流行;聲望	手提式的;輕便的	搬運工人,腳夫
popularity	普及;流行;聲望	手提式的;輕便的	搬運工人,腳夫	畫;描寫
portable	手提式的;輕便的	搬運工人,腳夫	畫;描寫	擁有,持有;具有
porter	搬運工人,腳夫	畫;描寫	擁有,持有;具有	擁有;佔有;所有物
portray	畫;描寫	擁有,持有;具有	擁有;佔有;所有物	精確的;準確的
possess	擁有,持有;具有	擁有;佔有;所有物	精確的;準確的	預言;預料
possession	擁有;佔有;所有物	精確的;準確的	預言;預料	更可取的,更合意的
