盆地 (ぼんち)	basin 	each time	pillow	to taste
好き好き (すきずき)	matter of taste	impudent	with trouble	abacus
図々しい (ずうずうしい)	impudent	with trouble	abacus	to cook 
せっかく (折角)	with trouble	abacus	to cook 	to burn
そろばん (算盤)	abacus	to cook 	to burn	riddle
炊く (たく)	to cook 	to burn	riddle	somehow or other
焚く (たく)	to burn	riddle	somehow or other	to be fragrant
なぞなぞ (謎々)	riddle	somehow or other	to be fragrant	sudden
なんとなく (何となく)	somehow or other	to be fragrant	sudden	to tear off
匂う (におう)	to be fragrant	sudden	to tear off	subtraction
にわか (俄)	sudden	to tear off	subtraction	to detain
はがす (剥がす)	to tear off	subtraction	to detain	index finger
引き算 (ひきざん)	subtraction	to detain	index finger	for the present
引き止める (ひきとめる)	to detain	index finger	for the present	to be closed
人差し指 (ひとさしゆび)	index finger	for the present	to be closed	to stop up
ひとまず (一まず)	for the present	to be closed	to stop up	pitch black
ふさがる (塞がる)	to be closed	to stop up	pitch black	impious
塞ぐ (ふさぐ)	to stop up	pitch black	impious	kettle
真っ黒 (まっくろ)	pitch black	impious	kettle	another place
もったいない (勿体ない)	impious	kettle	another place	to well 
やかん (薬缶)	kettle	another place	to well 	to apologize
よそ (余所)	another place	to well 	to apologize	division
湧く (わく)	to well 	to apologize	division	happy
詫びる (わびる)	to apologize	division	happy	to fan 
割り算 (わりざん)	division	happy	to fan 	Europe and America
めでたい (目出度い)	happy	to fan 	Europe and America	room to let
扇ぐ (あおぐ)	to fan 	Europe and America	room to let	wastepaper
欧米 (おうべい)	Europe and America	room to let	wastepaper	to pour
貸間 (かしま)	room to let	wastepaper	to pour	inexcusable
紙屑 (かみくず)	wastepaper	to pour	inexcusable	by all means 
注す (さす)	to pour	inexcusable	by all means 	to screw
すまない (済まない)	inexcusable	by all means 	to screw	to find resolution
是非とも (ぜひとも)	by all means 	to screw	to find resolution	to be blessed with
ねじる (捩る)	to screw	to find resolution	to be blessed with	cannot be helped
まとまる (纏まる)	to find resolution	to be blessed with	cannot be helped	teacup
恵まれる (めぐまれる)	to be blessed with	cannot be helped	teacup	comparatively
やむを得ない (やむをえない)	cannot be helped	teacup	comparatively	this and that
湯のみ (ゆのみ)	teacup	comparatively	this and that	holiday
割合に (わりあいに)	comparatively	this and that	holiday	tissue paper
あれこれ (彼此)	this and that	holiday	tissue paper	return 
お休み (おやすみ)	holiday	tissue paper	return 	second helping
ちり紙 (ちりがみ)	tissue paper	return 	second helping	good morning
お帰り (おかえり)	return 	second helping	good morning	absurd
お代わり (おかわり)	second helping	good morning	absurd	to sow
おはよう (お早う)	good morning	absurd	to sow	to be placed on
馬鹿らしい (ばからしい)	absurd	to sow	to be placed on	to remain
蒔く (まく)	to sow	to be placed on	to remain	to hit 
載る (のる)	to be placed on	to remain	to hit 	to wrap up
とどまる (止まる)	to remain	to hit 	to wrap up	to lose 
ぶつける (打付ける)	to hit 	to wrap up	to lose 	let me see
くるむ (包む)	to wrap up	to lose 	let me see	please
亡くす (なくす)	to lose 	let me see	please	take care of yourself
えっと	let me see	please	take care of yourself	bursting out 
お願いします (おねがいします)	please	take care of yourself	bursting out 	waitress
お大事に (おだいじに)	take care of yourself	bursting out 	waitress	heating
どっと	bursting out 	waitress	heating	place of origin
ウェイトレス	waitress	heating	place of origin	individual
加熱 (かねつ)	heating	place of origin	individual	transportation facilities
原産 (げんさん)	place of origin	individual	transportation facilities	factory worker
個体 (こたい)	individual	transportation facilities	factory worker	it can't be helped
交通機関 (こうつうきかん)	transportation facilities	factory worker	it can't be helped	with all one's strength
工員 (こういん)	factory worker	it can't be helped	with all one's strength	moderate
しょうがない (仕様がない)	it can't be helped	with all one's strength	moderate	bar
思いっきり (おもいっきり)	with all one's strength	moderate	bar	money collection
手ごろ (てごろ)	moderate	bar	money collection	cousin 
酒場 (さかば)	bar	money collection	cousin 	woman
集金 (しゅうきん)	money collection	cousin 	woman	table salt
いとこ (従姉妹)	cousin 	woman	table salt	vacuum
女の人 (おんなのひと)	woman	table salt	vacuum	pictorial book
食塩 (しょくえん)	table salt	vacuum	pictorial book	house for rent
真空 (しんくう)	vacuum	pictorial book	house for rent	nausea
図鑑 (ずかん)	pictorial book	house for rent	nausea	to swell
貸家 (かしや)	house for rent	nausea	to swell	consul
吐き気 (はきけ)	nausea	to swell	consul	soon
膨らます (ふくらます)	to swell	consul	soon	screw 
領事 (りょうじ)	consul	soon	screw 	extensive
近々 (ちかぢか)	soon	screw 	extensive	stopper
ねじ (捻子)	screw 	extensive	stopper	which reminds me ...
広々 (ひろびろ)	extensive	stopper	which reminds me ...	relatively
栓 (せん)	stopper	which reminds me ...	relatively	in a row
そういえば (そう言えば)	which reminds me ...	relatively	in a row	diligently
割と (わりと)	relatively	in a row	diligently	have a good day
ずらり	in a row	diligently	have a good day	equal 
せっせと	diligently	have a good day	equal 	woman
いってらっしゃい (行ってらっしゃい)	have a good day	equal 	woman	apron 
イコール	equal 	woman	apron 	oil
ウーマン	woman	apron 	oil	chewing gum 
エプロン	apron 	oil	chewing gum 	gang 
オイル	oil	chewing gum 	gang 	chorus
ガム	chewing gum 	gang 	chorus	collection 
ギャング	gang 	chorus	collection 	sample
コーラス	chorus	collection 	sample	shop
コレクション	collection 	sample	shop	scarf
サンプル	sample	shop	scarf	stockings
ショップ	shop	scarf	stockings	seminar
スカーフ	scarf	stockings	seminar	diagram
ストッキング	stockings	seminar	diagram	gratuity
ゼミ	seminar	diagram	gratuity	tennis court
ダイアグラム	diagram	gratuity	tennis court	band 
チップ	gratuity	tennis court	band 	building
テニスコート	tennis court	band 	building	free 
バンド	band 	building	free 	brooch
ビルディング	building	free 	brooch	monorail
フリー	free 	brooch	monorail	despotism
ブローチ	brooch	monorail	despotism	to mourn
モノレール	monorail	despotism	to mourn	to get between
専制 (せんせい)	despotism	to mourn	to get between	arable land
悔やむ (くやむ)	to mourn	to get between	arable land	subject
挟まる (はさまる)	to get between	arable land	subject	penmanship
耕地 (こうち)	arable land	subject	penmanship	to burn
主語 (しゅご)	subject	penmanship	to burn	net weight 
習字 (しゅうじ)	penmanship	to burn	net weight 	hateful
焦がす (こがす)	to burn	net weight 	hateful	tabi
正味 (しょうみ)	net weight 	hateful	tabi	speed
憎い (にくい)	hateful	tabi	speed	forte
足袋 (たび)	tabi	speed	forte	radical 
速力 (そくりょく)	speed	forte	radical 	zero 
特長 (とくちょう)	forte	radical 	zero 	walking around at night
部首 (ぶしゅ)	radical 	zero 	walking around at night	to beg
零点 (れいてん)	zero 	walking around at night	to beg	to become used to seeing
夜行 (やこう)	walking around at night	to beg	to become used to seeing	to tell 
請う (こう)	to beg	to become used to seeing	to tell 	to happen to pass by
見慣れる (みなれる)	to become used to seeing	to tell 	to happen to pass by	to the end
言いつける (いいつける)	to tell 	to happen to pass by	to the end	side dish
通りかかる (とおりかかる)	to happen to pass by	to the end	side dish	karuta
あくまで (飽く迄)	to the end	side dish	karuta	inverted
おかず (御数)	side dish	karuta	inverted	in three days' time
かるた (歌留多)	karuta	inverted	in three days' time	to hold in one's mouth
逆さま (さかさま)	inverted	in three days' time	to hold in one's mouth	to gnaw
明々後日 (しあさって)	in three days' time	to hold in one's mouth	to gnaw	to beat
くわえる (銜える)	to hold in one's mouth	to gnaw	to beat	acceleration
かじる (噛る)	to gnaw	to beat	acceleration	course
やっつける (やっ付ける)	to beat	acceleration	course	sudden increase
加速度 (かそくど)	acceleration	course	sudden increase	to be finished
針路 (しんろ)	course	sudden increase	to be finished	to parch
激増 (げきぞう)	sudden increase	to be finished	to parch	direct current
仕上がる (しあがる)	to be finished	to parch	direct current	the same rank
煎る (いる)	to parch	direct current	the same rank	boy
直流 (ちょくりゅう)	direct current	the same rank	boy	such and such 
同格 (どうかく)	the same rank	boy	such and such 	busy 
坊や (ぼうや)	boy	such and such 	busy 	nourishment
何々 (なになに)	such and such 	busy 	nourishment	excuse me for disturbing 
話し中 (はなしちゅう)	busy 	nourishment	excuse me for disturbing 	before
養分 (ようぶん)	nourishment	excuse me for disturbing 	before	I'm sorry to have kept you waiting
お邪魔します (おじゃまします)	excuse me for disturbing 	before	I'm sorry to have kept you waiting	it is I who should say so
お先に (おさきに)	before	I'm sorry to have kept you waiting	it is I who should say so	the other day
お待ち遠様 (おまちどおさま)	I'm sorry to have kept you waiting	it is I who should say so	the other day	keenly
こちらこそ	it is I who should say so	the other day	keenly	to suck
こないだ (此間)	the other day	keenly	to suck	rock
しみじみ (沁み沁み)	keenly	to suck	rock	hence
しゃぶる	to suck	rock	hence	pleased to meet you
じゃんけん (じゃん拳)	rock	hence	pleased to meet you	briskly
そのため (その為)	hence	pleased to meet you	briskly	overcoat
どうぞよろしく (どうぞ宜しく)	pleased to meet you	briskly	overcoat	tire
はきはき	briskly	overcoat	tire	underline
オーバコート	overcoat	tire	underline	crater
タイア	tire	underline	crater	frigid zone
下線 (かせん)	underline	crater	frigid zone	Kanto
火口 (かこう)	crater	frigid zone	Kanto	adjectival noun 
寒帯 (かんたい)	frigid zone	Kanto	adjectival noun 	to tie
関東 (かんとう)	Kanto	adjectival noun 	to tie	to pour 
形容動詞 (けいようどうし)	adjectival noun 	to tie	to pour 	about to start out
つなげる (繋げる)	to tie	to pour 	about to start out	predicate
酌む (くむ)	to pour 	about to start out	predicate	in order
お出掛け (おでかけ)	about to start out	predicate	in order	to envy
述語 (じゅつご)	predicate	in order	to envy	to insert
順々 (じゅんじゅん)	in order	to envy	to insert	about
羨む (うらやむ)	to envy	to insert	about	bowl 
挿す (さす)	to insert	about	bowl 	to warm 
おおよそ (大凡)	about	bowl 	to warm 	rag
碗 (わん)	bowl 	to warm 	rag	two days before yesterday
あぶる (炙る)	to warm 	rag	two days before yesterday	being comfortable
ぼろ (襤褸)	rag	two days before yesterday	being comfortable	to pass by one another 
一昨昨日 (いっさくさくじつ)	two days before yesterday	being comfortable	to pass by one another 	month before last
佚 (いつ)	being comfortable	to pass by one another 	month before last	here and there
すれ違う (すれちがう)	to pass by one another 	month before last	here and there	to turn over
先々月 (せんせんげつ)	month before last	here and there	to turn over	to dive 
点々 (てんてん)	here and there	to turn over	to dive 	How do you do
ひっくり返す (ひっくりかえす)	to turn over	to dive 	How do you do	silent 
潜る (もぐる)	to dive 	How do you do	silent 	gently sloping
はじめまして (初めまして)	How do you do	silent 	gently sloping	special
しんと	silent 	gently sloping	special	not writing or contacting for a while
なだらか (傾らか)	gently sloping	special	not writing or contacting for a while	offense
おめでたい (お目出度い)	special	not writing or contacting for a while	offense	shop that handles Western-style apparel and accessories
無沙汰 (ぶさた)	not writing or contacting for a while	offense	shop that handles Western-style apparel and accessories	week before last
攻め手 (せめて)	offense	shop that handles Western-style apparel and accessories	week before last	store
洋品店 (ようひんてん)	shop that handles Western-style apparel and accessories	week before last	store	to think
先先週 (せんせんしゅう)	week before last	store	to think	light brown
店屋 (みせや)	store	to think	light brown	to be open 
存ずる (ぞんずる)	to think	light brown	to be open 	to tear
茶色い (ちゃいろい)	light brown	to be open 	to tear	bye-bye
通ずる (つうずる)	to be open 	to tear	bye-bye	a great deal
破く (やぶく)	to tear	bye-bye	a great deal	thus
バイバイ	bye-bye	a great deal	thus	and yet
うんと	a great deal	thus	and yet	diagonal
こうして (斯うして)	thus	and yet	diagonal	good bye
それなのに	and yet	diagonal	good bye	Thank you for waiting
斜 (はす)	diagonal	good bye	Thank you for waiting	my sympathies
行ってまいります (いってまいります)	good bye	Thank you for waiting	my sympathies	x-mark 
お待たせしました (おまたせしました)	Thank you for waiting	my sympathies	x-mark 	please sit down
お気の毒に (おきのどくに)	my sympathies	x-mark 	please sit down	at that time
ばつ	x-mark 	please sit down	at that time	to bear
おかけください (お掛け下さい)	please sit down	at that time	to bear	aid
その頃 (そのころ)	at that time	to bear	aid	alighting 
こらえる (堪える)	to bear	aid	alighting 	taxation
応援 (おうえん)	aid	alighting 	taxation	process
下車 (げしゃ)	alighting 	taxation	process	release
課税 (かぜい)	taxation	process	release	Kansai
過程 (かてい)	process	release	Kansai	foundation
解放 (かいほう)	release	Kansai	foundation	term
関西 (かんさい)	Kansai	foundation	term	continuation
基盤 (きばん)	foundation	term	continuation	lecturer
期限 (きげん)	term	continuation	lecturer	combination
継続 (けいぞく)	continuation	lecturer	combination	photography 
講師 (こうし)	lecturer	combination	photography 	designation
合同 (ごうどう)	combination	photography 	designation	full name
撮影 (さつえい)	photography 	designation	full name	private 
指定 (してい)	designation	full name	private 	children
氏名 (しめい)	full name	private 	children	victory or defeat 
私立 (しりつ)	private 	children	victory or defeat 	Shinkansen
児童 (じどう)	children	victory or defeat 	Shinkansen	application
勝負 (しょうぶ)	victory or defeat 	Shinkansen	application	work 
新幹線 (しんかんせん)	Shinkansen	application	work 	sumo wrestling 
申請 (しんせい)	application	work 	sumo wrestling 	addition
制作 (せいさく)	work 	sumo wrestling 	addition	fall
相撲 (すもう)	sumo wrestling 	addition	fall	electric power
追加 (ついか)	addition	fall	electric power	east and west 
低下 (ていか)	fall	electric power	east and west 	specific
電力 (でんりょく)	electric power	east and west 	specific	fiscal year 
東西 (とうざい)	east and west 	specific	fiscal year 	trade
特定 (とくてい)	specific	fiscal year 	trade	to approach
年度 (ねんど)	fiscal year 	trade	to approach	sale
売買 (ばいばい)	trade	to approach	sale	neighbourhood
迫る (せまる)	to approach	sale	neighbourhood	diffusion
発売 (はつばい)	sale	neighbourhood	diffusion	parts
付近 (ふきん)	neighbourhood	diffusion	parts	plural
普及 (ふきゅう)	diffusion	parts	plural	originally
部品 (ぶひん)	parts	plural	originally	friendship
複数 (ふくすう)	plural	originally	friendship	arrival in Japan
本来 (ほんらい)	originally	friendship	arrival in Japan	meeting hall
友好 (ゆうこう)	friendship	arrival in Japan	meeting hall	chance
来日 (らいにち)	arrival in Japan	meeting hall	chance	alternation
会館 (かいかん)	meeting hall	chance	alternation	discussion
きっかけ (切っ掛け)	chance	alternation	discussion	meaning
交代 (こうたい)	alternation	discussion	meaning	moving
話し合い (はなしあい)	discussion	meaning	moving	drama
意義 (いぎ)	meaning	moving	drama	volcano
移転 (いてん)	moving	drama	volcano	majority
演劇 (えんげき)	drama	volcano	majority	explanation
火山 (かざん)	volcano	majority	explanation	remodeling
過半数 (かはんすう)	majority	explanation	remodeling	opening of a meeting
解説 (かいせつ)	explanation	remodeling	opening of a meeting	scientific society
改造 (かいぞう)	remodeling	opening of a meeting	scientific society	activity 
開会 (かいかい)	opening of a meeting	scientific society	activity 	impressions
学会 (がっかい)	scientific society	activity 	impressions	training 
活躍 (かつやく)	activity 	impressions	training 	principle
感想 (かんそう)	impressions	training 	principle	pollution
研修 (けんしゅう)	training 	principle	pollution	data item
原理 (げんり)	principle	pollution	data item	high class
公害 (こうがい)	pollution	data item	high class	important point
項目 (こうもく)	data item	high class	important point	bookshop
高級 (こうきゅう)	high class	important point	bookshop	assistant professor
重点 (じゅうてん)	important point	bookshop	assistant professor	commerce
書店 (しょてん)	bookshop	assistant professor	commerce	trading company
助教授 (じょきょうじゅ)	assistant professor	commerce	trading company	elementary school student
商業 (しょうぎょう)	commerce	trading company	elementary school student	prize
商社 (しょうしゃ)	trading company	elementary school student	prize	forest
小学生 (しょうがくせい)	elementary school student	prize	forest	late at night
賞金 (しょうきん)	prize	forest	late at night	front
森林 (しんりん)	forest	late at night	front	manufacture
深夜 (しんや)	late at night	front	manufacture	ticket window
正面 (しょうめん)	front	manufacture	ticket window	graduate school
製作 (せいさく)	manufacture	ticket window	graduate school	short-term
窓口 (まどぐち)	ticket window	graduate school	short-term	friend
大学院 (だいがくいん)	graduate school	short-term	friend	area
短期 (たんき)	short-term	friend	area	bamboo 
知人 (ちじん)	friend	area	bamboo 	eldest daughter
地帯 (ちたい)	area	bamboo 	eldest daughter	fixed number of regular personnel
竹 (たけ)	bamboo 	eldest daughter	fixed number of regular personnel	Orient
長女 (ちょうじょ)	eldest daughter	fixed number of regular personnel	Orient	statistics
定員 (ていいん)	fixed number of regular personnel	Orient	statistics	special
東洋 (とうよう)	Orient	statistics	special	joining a company
統計 (とうけい)	statistics	special	joining a company	agricultural community
特殊 (とくしゅ)	special	joining a company	agricultural community	idea
入社 (にゅうしゃ)	joining a company	agricultural community	idea	reflection
農村 (のうそん)	agricultural community	idea	reflection	standard
発想 (はっそう)	idea	reflection	standard	man and wife
反省 (はんせい)	reflection	standard	man and wife	health preservation
標準 (ひょうじゅん)	standard	man and wife	health preservation	recruitment
夫妻 (ふさい)	man and wife	health preservation	recruitment	friction
保健 (ほけん)	health preservation	recruitment	friction	square measure
募集 (ぼしゅう)	recruitment	friction	square measure	reserve
摩擦 (まさつ)	friction	square measure	reserve	head
面積 (めんせき)	square measure	reserve	head	contents
予備 (よび)	reserve	head	contents	childcare
先頭 (せんとう)	head	contents	childcare	simultaneous
中身 (なかみ)	contents	childcare	simultaneous	more
育児 (いくじ)	childcare	simultaneous	more	last third of a month
一斉 (いっせい)	simultaneous	more	last third of a month	number of times
一段 (いちだん)	more	last third of a month	number of times	ocean
下旬 (げじゅん)	last third of a month	number of times	ocean	government office
回数 (かいすう)	number of times	ocean	government office	signboard
海洋 (かいよう)	ocean	government office	signboard	soon
官庁 (かんちょう)	government office	signboard	soon	pay
看板 (かんばん)	signboard	soon	pay	fishing 
まもなく (間もなく)	soon	pay	fishing 	horse racing
給与 (きゅうよ)	pay	fishing 	horse racing	koto 
漁業 (ぎょぎょう)	fishing 	horse racing	koto 	form 
競馬 (けいば)	horse racing	koto 	form 	defense
琴 (こと)	koto 	form 	defense	public entertainment
形式 (けいしき)	form 	defense	public entertainment	blood
警備 (けいび)	defense	public entertainment	blood	official announcement
芸能 (げいのう)	public entertainment	blood	official announcement	scheme
血液 (けつえき)	blood	official announcement	scheme	plaza
公表 (こうひょう)	official announcement	scheme	plaza	event
工夫 (くふう)	scheme	plaza	event	leading part
広場 (ひろば)	plaza	event	leading part	end
行事 (ぎょうじ)	event	leading part	end	shop
主役 (しゅやく)	leading part	end	shop	shogi
終了 (しゅうりょう)	end	shop	shogi	negative
商店 (しょうてん)	shop	shogi	negative	top and bottom
将棋 (しょうぎ)	shogi	negative	top and bottom	diagnosis
消極的 (しょうきょくてき)	negative	top and bottom	diagnosis	presumption
上下 (じょうげ)	top and bottom	diagnosis	presumption	publicity
診断 (しんだん)	diagnosis	presumption	publicity	site
推定 (すいてい)	presumption	publicity	site	middle of a month
宣伝 (せんでん)	publicity	site	middle of a month	electromagnetic wave
地点 (ちてん)	site	middle of a month	electromagnetic wave	entry 
中旬 (ちゅうじゅん)	middle of a month	electromagnetic wave	entry 	city centre 
電波 (でんぱ)	electromagnetic wave	entry 	city centre 	appointed day
登場 (とうじょう)	entry 	city centre 	appointed day	transparent
都心 (としん)	city centre 	appointed day	transparent	agricultural chemical 
当日 (とうじつ)	appointed day	transparent	agricultural chemical 	haiku
透明 (とうめい)	transparent	agricultural chemical 	haiku	generation 
農薬 (のうやく)	agricultural chemical 	haiku	generation 	less than
俳句 (はいく)	haiku	generation 	less than	point
発電 (はつでん)	generation 	less than	point	exception
未満 (みまん)	less than	point	exception	frank
要旨 (ようし)	point	exception	frank	attached
例外 (れいがい)	exception	frank	attached	after this
率直 (そっちょく)	frank	attached	after this	making a round trip
付属 (ふぞく)	attached	after this	making a round trip	hot spring 
以後 (いご)	after this	making a round trip	hot spring 	cargo
往復 (おうふく)	making a round trip	hot spring 	cargo	outside 
温泉 (おんせん)	hot spring 	cargo	outside 	study subject
貨物 (かもつ)	cargo	outside 	study subject	indication
外部 (がいぶ)	outside 	study subject	indication	confident
学科 (がっか)	study subject	indication	confident	to endeavor 
気配 (けはい)	indication	confident	to endeavor 	limits
強気 (つよき)	confident	to endeavor 	limits	manuscript
努める (つとめる)	to endeavor 	limits	manuscript	multistory
区域 (くいき)	limits	manuscript	multistory	altitude
原稿 (げんこう)	manuscript	multistory	altitude	high class
高層 (こうそう)	multistory	altitude	high class	king
高度 (こうど)	altitude	high class	king	author
高等 (こうとう)	high class	king	author	drawing up 
国王 (こくおう)	king	author	drawing up 	dead body
作者 (さくしゃ)	author	drawing up 	dead body	practical use
作成 (さくせい)	drawing up 	dead body	practical use	reduction
死体 (したい)	dead body	practical use	reduction	front and rear
実用 (じつよう)	practical use	reduction	front and rear	whole 
縮小 (しゅくしょう)	reduction	front and rear	whole 	carving
前後 (ぜんご)	front and rear	whole 	carving	commuting to work
全身 (ぜんしん)	whole 	carving	commuting to work	natural
彫刻 (ちょうこく)	carving	commuting to work	natural	judge
通勤 (つうきん)	commuting to work	natural	judge	peninsula 
当たり前 (あたりまえ)	natural	judge	peninsula 	site
判事 (はんじ)	judge	peninsula 	site	father and mother
半島 (はんとう)	peninsula 	site	father and mother	eruption
敷地 (しきち)	site	father and mother	eruption	literature 
父母 (ふぼ)	father and mother	eruption	literature 	to throw
噴火 (ふんか)	eruption	literature 	to throw	direction
文芸 (ぶんげい)	literature 	to throw	direction	night
放る (ほうる)	to throw	direction	night	government office
方面 (ほうめん)	direction	night	government office	column of text 
夜間 (やかん)	night	government office	column of text 	archipelago
役所 (やくしょ)	government office	column of text 	archipelago	traditional cap worn by Shinto clergy and courtiers 
欄 (らん)	column of text 	archipelago	traditional cap worn by Shinto clergy and courtiers 	copper 
列島 (れっとう)	archipelago	traditional cap worn by Shinto clergy and courtiers 	copper 	deadline
冠 (かんむり)	traditional cap worn by Shinto clergy and courtiers 	copper 	deadline	as was expected
銅 (どう)	copper 	deadline	as was expected	huge
締め切り (しめきり)	deadline	as was expected	huge	ground
果たして (はたして)	as was expected	huge	ground	agricultural produce
膨大 (ぼうだい)	huge	ground	agricultural produce	sales
地盤 (じばん)	ground	agricultural produce	sales	easy
農産物 (のうさんぶつ)	agricultural produce	sales	easy	first-class
売れ行き (うれゆき)	sales	easy	first-class	aerial
安易 (あんい)	easy	first-class	aerial	rotation 
一流 (いちりゅう)	first-class	aerial	rotation 	surgery 
架空 (かくう)	aerial	rotation 	surgery 	musical instrument
回転 (かいてん)	rotation 	surgery 	musical instrument	closed 
外科 (げか)	surgery 	musical instrument	closed 	complaint
楽器 (がっき)	musical instrument	closed 	complaint	sky
休業 (きゅうぎょう)	closed 	complaint	sky	raw materials
苦情 (くじょう)	complaint	sky	raw materials	limit
空中 (くうちゅう)	sky	raw materials	limit	classic 
原料 (げんりょう)	raw materials	limit	classic 	justice
限度 (げんど)	limit	classic 	justice	again and again
古典 (こてん)	classic 	justice	again and again	producing area
公正 (こうせい)	justice	again and again	producing area	speed 
再三 (さいさん)	again and again	producing area	speed 	self-defense
産地 (さんち)	producing area	speed 	self-defense	weight 
時速 (じそく)	speed 	self-defense	weight 	official tour
自衛 (じえい)	self-defense	weight 	official tour	calligraphy
重量 (じゅうりょう)	weight 	official tour	calligraphy	surname
出張 (しゅっちょう)	official tour	calligraphy	surname	ingredient
書道 (しょどう)	calligraphy	surname	ingredient	existence
姓 (せい)	surname	ingredient	existence	pointed end
成分 (せいぶん)	ingredient	existence	pointed end	the whole
生存 (せいぞん)	existence	pointed end	the whole	obedient
先端 (せんたん)	pointed end	the whole	obedient	storehouse
全般 (ぜんぱん)	the whole	obedient	storehouse	as ever
素直 (すなお)	obedient	storehouse	as ever	system
倉庫 (そうこ)	storehouse	as ever	system	gymnastics
相変わらず (あいかわらず)	as ever	system	gymnastics	carpenter
体系 (たいけい)	system	gymnastics	carpenter	notice
体操 (たいそう)	gymnastics	carpenter	notice	interpretation 
大工 (だいく)	carpenter	notice	interpretation 	characteristic
通知 (つうち)	notice	interpretation 	characteristic	contradiction
通訳 (つうやく)	interpretation 	characteristic	contradiction	interview 
特色 (とくしょく)	characteristic	contradiction	interview 	lumber
矛盾 (むじゅん)	contradiction	interview 	lumber	actor
面接 (めんせつ)	interview 	lumber	actor	existence or nonexistence
木材 (もくざい)	lumber	actor	existence or nonexistence	fee-charging
役者 (やくしゃ)	actor	existence or nonexistence	fee-charging	young child
有無 (うむ)	existence or nonexistence	fee-charging	young child	kindergarten
有料 (ゆうりょう)	fee-charging	young child	kindergarten	container
幼児 (ようじ)	young child	kindergarten	container	term
幼稚園 (ようちえん)	kindergarten	container	term	hostel
容器 (ようき)	container	term	hostel	to spread
用語 (ようご)	term	hostel	to spread	to bear fruit
寮 (りょう)	hostel	to spread	to bear fruit	error
広げる (ひろげる)	to spread	to bear fruit	error	excess
なる (生る)	to bear fruit	error	excess	science
過失 (かしつ)	error	excess	science	vitality
過剰 (かじょう)	excess	science	vitality	overbearing
学術 (がくじゅつ)	science	vitality	overbearing	cultivation
活力 (かつりょく)	vitality	overbearing	cultivation	inspection
強引 (ごういん)	overbearing	cultivation	inspection	heading
教養 (きょうよう)	cultivation	inspection	heading	to see someone off 
見学 (けんがく)	inspection	heading	to see someone off 	to ask after 
見出し (みだし)	heading	to see someone off 	to ask after 	junior 
見送る (みおくる)	to see someone off 	to ask after 	junior 	industrial arts
見舞う (みまう)	to ask after 	junior 	industrial arts	extent
後輩 (こうはい)	junior 	industrial arts	extent	school building
工芸 (こうげい)	industrial arts	extent	school building	acidity 
広さ (ひろさ)	extent	school building	acidity 	leading a meeting
校舎 (こうしゃ)	school building	acidity 	leading a meeting	temple
酸性 (さんせい)	acidity 	leading a meeting	temple	writing 
司会 (しかい)	leading a meeting	temple	writing 	real feeling
寺院 (じいん)	temple	writing 	real feeling	before
執筆 (しっぴつ)	writing 	real feeling	before	myth
実感 (じっかん)	real feeling	before	myth	relation
手前 (てまえ)	before	myth	relation	ability
神話 (しんわ)	myth	relation	ability	youth
親類 (しんるい)	relation	ability	youth	creativity
性能 (せいのう)	ability	youth	creativity	enlargement
青少年 (せいしょうねん)	youth	creativity	enlargement	shipbuilding
創作 (そうさく)	creativity	enlargement	shipbuilding	measurement
増大 (ぞうだい)	enlargement	shipbuilding	measurement	multi-unit apartments
造船 (ぞうせん)	shipbuilding	measurement	multi-unit apartments	middle-age
測定 (そくてい)	measurement	multi-unit apartments	middle-age	top
団地 (だんち)	multi-unit apartments	middle-age	top	South America
中年 (ちゅうねん)	middle-age	top	South America	concentration
頂点 (ちょうてん)	top	South America	concentration	showy
南米 (なんべい)	South America	concentration	showy	skin
濃度 (のうど)	concentration	showy	skin	criticism
派手 (はで)	showy	skin	criticism	holiday house
皮膚 (ひふ)	skin	criticism	holiday house	to collapse
評論 (ひょうろん)	criticism	holiday house	to collapse	tray 
別荘 (べっそう)	holiday house	to collapse	tray 	criterion
崩れる (くずれる)	to collapse	tray 	criterion	government official
盆 (ぼん)	tray 	criterion	government official	evening paper
目安 (めやす)	criterion	government official	evening paper	advantages and disadvantages
役人 (やくにん)	government official	evening paper	advantages and disadvantages	to pin down
夕刊 (ゆうかん)	evening paper	advantages and disadvantages	to pin down	lending
利害 (りがい)	advantages and disadvantages	to pin down	lending	dwelling
押さえる (おさえる)	to pin down	lending	dwelling	successively
貸し出し (かしだし)	lending	dwelling	successively	aquatic products
住まい (すまい)	dwelling	successively	aquatic products	water well
続々 (ぞくぞく)	successively	aquatic products	water well	more or less
水産 (すいさん)	aquatic products	water well	more or less	practical application
井戸 (いど)	water well	more or less	practical application	grace
一応 (いちおう)	more or less	practical application	grace	acceleration
応用 (おうよう)	practical application	grace	acceleration	expansion
恩恵 (おんけい)	grace	acceleration	expansion	angle
加速 (かそく)	acceleration	expansion	angle	roof tile
拡充 (かくじゅう)	expansion	angle	roof tile	to come near
角度 (かくど)	angle	roof tile	to come near	ceremony
瓦 (かわら)	roof tile	to come near	ceremony	boundary
寄せる (よせる)	to come near	ceremony	boundary	strict
儀式 (ぎしき)	ceremony	boundary	strict	pleasure
境界 (きょうかい)	boundary	strict	pleasure	to attack
厳重 (げんじゅう)	strict	pleasure	to attack	attending 
娯楽 (ごらく)	pleasure	to attack	attending 	private railway
