一毛[不拔]	形容人非常吝嗇。貶義。
先聲[奪人]	謂先張大聲威，以挫敗敵人士氣。
心不[在焉]	比喻心思不集中。
心花[怒放]	形容心情極其快活。
九死[一生]	形容歷經極大的危險而倖存。
三思[而行]	比喻謹慎行事。
三長[兩短]	比喻意外的變故，一般多指意外死亡。
汗流[浹背]	汗流很多，溼透了背部。＆形容非常驚恐的樣子。＆形容工作辛勞。
白駒[過隙]	比喻時間過得很快。
寸草[春暉]	比喻父母恩情深重，子女難以報答。
天造[地設]	天然所成就的。＆形容人或事物彼此配合得自然得體，渾然天成。
如數[家珍]	比喻敘述事物明晰熟練。
如膠[似漆]	比喻感情的堅固或親密。
冰消[瓦解]	比喻事物潰敗分裂。＆比喻問題完全解決。
得寸[進尺]	比喻貪得無厭。
相形[見絀]	相互比較之下，其中一方顯得不如對方。
情不[自禁]	感情激動得無法自我控制。
弱不[禁風]	形容人身體十分瘦弱。
酒囊[飯袋]	稱只會吃喝，而不會辦事的無能之人。貶義。
想入[非非]	形容脫離現實的想像或念頭。
虛張[聲勢]	故意誇大聲威，張揚氣勢，用以嚇阻他人。
虛與[委蛇]	形容假意慇懃，敷衍應付。
進退[維谷]	形容前進後退都無路可走的處境。
後生[可畏]	比喻年輕人的成就超越先輩，令人敬畏。
胸無[點墨]	比喻人毫無學識。
鬼鬼[祟祟]	形容行事不光明，偷偷摸摸的樣子。
置若[罔聞]	雖有耳聞，卻好像沒有聽到一樣不加理會。
風馳[電掣]	形容速度極快。
捕風[捉影]	比喻所做的事或所說的話毫無根據，憑空揣測。
義不[容辭]	道義上不容許推卻。
異想[天開]	不符實際、不合事理的奇特想法。
隔靴[搔癢]	比喻不切實際，未能掌握要點。
雞鳴[狗盜]	比喻有某種卑下技能的人，或指卑微的技能。＆形容卑劣低下的人或事。
當仁[不讓]	遇到應該做的事，主動承擔起來而不推辭。
鳳毛[麟角]	比喻稀罕珍貴的人、物。
滿面[春風]	形容滿臉笑容、心情喜悅。
恍然[大悟]	猛然醒悟過來。
美輪[美奐]	形容房屋規模高大、裝飾華美。
穿鑿[附會]	生拉硬扯，牽強解釋。
咬文[嚼字]	形容在字句上推敲琢磨。＆形容拘泥於文字詮釋而流於見解迂腐、淺陋。＆形容好稱引古書以賣弄才學的淵博。
亡羊[補牢]	比喻犯錯後及時更正，尚能補救。
諱疾[忌醫]	不承認有病，害怕去治療。 ＆比喻問題本小不予處理，終致無法收拾。 ＆比喻掩飾過失而不願聽人規勸。
敷衍[塞責]	形容做事不認真負責，只是表面應付。
亦步[亦趨]	形容事事追隨或仿傚別人。
葉公[好龍]	比喻所好似是而非，以致表裡不一，有名無實。
雕蟲[小技]	比喻微不足道的技能。
暗箭[傷人]	比喻暗中用陰險的手段中傷他人。
永垂[不朽]	永遠流傳而不可磨滅。褒義。
隨波[逐流]	順著水流而行。＆比喻人沒有確定的方向和目標，只依從環境潮流行事。
出人[頭地]	超越他人，獨露頭角。
暴跳[如雷]	形容人急怒時跳腳吼叫的樣子。
克勤[克儉]	既能勤勞又能節儉。
名副[其實]	名聲或名稱與實際相符合。
優柔[寡斷]	形容行事猶豫，不能當機立斷。貶義。
雞犬[不寧]	比喻被嚴重騷擾。
玩物[喪志]	形容沉溺於某樣事物，因而荒廢了應做的事。貶義。
沆瀣[一氣]	比喻彼此志同道合，意氣相投。褒義。＆比喻彼此臭味相投。貶義。
抱頭[鼠竄]	形容倉皇逃跑的狼狽樣子。
物以[類聚]	性質相近的東西常聚集在一起。＆比喻壞人互相勾結。
狗尾[續貂]	比喻任官太濫。＆比喻事物以壞續好，前後不相稱。
聲色[俱厲]	說話時的聲音和臉色都很嚴厲。
陳陳[相因]	比喻因襲舊例，缺乏創新。
升堂[入室]	指進入屋內。＆比喻學問或技藝循序漸進，而達到高深的境界。
華而[不實]	比喻虛浮而不切實際。貶義。
墨守[成規]	形容行事保守。
鋌而[走險]	在窮途末路或受逼迫時採取冒險行動或不正當的行為。
左右[逢源]	比喻辦事得心應手或處事圓融。
傾國[傾城]	形容女子極為美麗動人。
待價[而沽]	比喻人等待良機，出為世用。＆比喻商品等待買主出價買下。
焚膏[繼晷]	形容不眠不休地的工作或活動。
狡兔[三窟]	比喻有多處藏身的地方或多種避禍的準備。
忠言[逆耳]	形容誠懇正直的規勸往往刺耳，而不易被人接受。
嗟來[之食]	比喻侮辱性或不懷好意的施捨。
斷章[取義]	指截取文章或談話中的某一段落，而不顧整體內容的原意。
上下[其手]	比喻玩弄手段，暗中作弊。＆形容帶有邪念，不禮貌地觸摸他人身體。
一日[三秋]	比喻思念心切。
出生[入死]	人從出生到死亡的過程。＆比喻冒險犯難，隨時有喪失生命的危險。
諱莫[如深]	比喻將事情隱瞞得非常嚴密，不為外人所知。
一字[千金]	比喻文辭精當，結構嚴謹。褒義。 ＆形容價值極高的作品。褒義。 ＆指書法上一字價值千金。
日薄[西山]	太陽快下山之時。＆比喻人已近老，生命將盡。＆比喻事物接近衰亡。
首鼠[兩端]	形容猶豫不決的樣子。
心曠[神怡]	心情開朗，精神愉悅。
洞若[觀火]	比喻觀察事物非常透澈。
心腹[之患]	形容致命的禍患或隱藏在內部的危害。
專心[致志]	專一心思，集中精神。
嘔心[瀝血]	比喻費盡心思，用盡心血。
兵不[血刃]	比喻輕易得勝。
循循[善誘]	形容善於循序漸進地誘導別人。
利令[智昏]	形容受利慾迷惑，使得理智昏亂。
暴殄[天物]	比喻糟蹋物力，不知珍惜。
不翼[而飛]	比喻物品無故遺失。
人面[桃花]	女子容貌美麗，可與桃花爭豔。＆形容景色依舊，而人事已非的感傷。
塞翁[失馬]	比喻暫時受到損失，卻因禍得福，終於得到好處。
置之[度外]	不放在心上，不加理會。
得過[且過]	形容苟且偷安，不求上進。
怙惡[不悛]	指人作惡多端，不肯悔改。貶義。
七嘴[八舌]	形容人多口雜，議論紛亂。
不修[邊幅]	形容不講究衣飾儀容。＆形容不拘形式小節。
手無[寸鐵]	形容手上沒有拿任何武器。
玉石[俱焚]	比喻不論賢愚、善惡、好壞同時受害，盡皆毀滅。
危言[聳聽]	故意說些誇大、嚇人的話，使聽的人驚駭。
如雷[貫耳]	比喻人名氣很大，眾所共聞。
瓜熟[蒂落]	比喻懷胎足月生產。＆比喻時機成熟，事情自然成功。
任勞[任怨]	形容人做事熱心負責，不辭勞苦，不怕嫌怨。
口誅[筆伐]	用言語和文字來揭發、譴責他人的罪狀。
一手[遮天]	比喻玩弄權術、瞞上欺下的行徑。貶義。
七手[八腳]	形容人多動作紛亂又沒條理。
一波[三折]	書法中的一捺，筆鋒需作三次轉折，使之曲折多姿。＆形容聲音、文章的跌宕起伏多變。＆比喻事情進行曲折多變。
一觸[即發]	比喻很緊張的情勢或很危險的時刻。
羽毛[未豐]	比喻勢力或能力不夠雄厚，還不足以獨當一面。
七竅[生煙]	形容焦急或氣憤到了極點。
有聲[有色]	形容事物精采，淋漓盡致。
含血[噴人]	比喻捏造事實，誣賴他人。貶義。
力爭[上游]	比喻努力奮鬥，求取上進。
心悅[誠服]	誠心誠意地歸服。
一孔[之見]	比喻人的見識狹隘淺薄，無法通曉整體。
改弦[易轍]	比喻改變制度、做法或態度。
簞食[瓢飲]	比喻生活簡單、清苦。
另起[爐灶]	比喻另立門戶。 ＆比喻捨棄舊事物，重新來過
兄弟[鬩牆]	指兄弟失和。＆比喻團體內部不和睦。
兵連[禍結]	戰爭持續不斷，災禍接連而來。
古道[熱腸]	形容待人仁厚、熱心。褒義。
出神[入化]	形容文藝、技藝、工藝等之技巧達到至高絕妙的境界。褒義。
拖泥[帶水]	身上被泥、水沾汙不利行動。 ＆比喻言辭或行為不乾脆。
兩小[無猜]	稚齡男女，彼此天真無邪，毫無避嫌與猜疑。
居心[叵測]	比喻心存險詐，難以預測。貶義。
千方[百計]	費盡心機，想盡一切辦法、計謀。
人定[勝天]	形容人的智慧和力量，能夠克服自然阻礙，改造環境。
十惡[不赦]	形容罪大惡極，不可饒恕。
一刻[千金]	比喻時間極為珍貴。
一帆[風順]	比喻非常順利，毫無阻礙。
普天[同慶]	全天下的人共同慶祝。
大惑[不解]	指對事物感到非常疑惑，無法了解。
麻木[不仁]	比喻對事物漠不關心。＆比喻對事物反應遲鈍。
渾渾[噩噩]	形容渾樸無知。＆形容糊裡糊塗，茫無目的。
金蟬[脫殼]	比喻利用假象藉以脫身。
五花[八門]	比喻花樣繁多，變化多端。
推己[及人]	將心比心，設身處地替別人著想。
一貧[如洗]	形容非常貧窮，一無所有。
欲擒[故縱]	為了要使對方就範，故意先放鬆一步。
吳下[阿蒙]	比喻學識淺陋的人。
國色[天香]	形容容貌美麗、姿態曼妙的女子。
無與[倫比]	比喻沒有能比得上的。
心安[理得]	形容行事合情合理，則心中坦然無憾。
開宗[明義]	說話或寫文章一開始就揭明主旨綱要。
重見[天日]	被拘禁的人重新見到光明，獲得自由。＆幽藏的事物重見於世。＆比喻冤屈得到伸雪。
約法[三章]	泛指事先約好或規定的事。
道貌[岸然]	形容外表莊重嚴肅的樣子。
血流[漂杵]	形容戰場上殺戮的慘酷。
有恃[無恐]	形容有依靠而無所顧忌。
萬劫[不復]	佛教謂人一旦墮入地獄，雖歷經萬次世界毀滅那久的時間，也不易投胎為人。＆比喻無法挽救的行為或命運。
平易[近人]	形容態度和藹親切，容易接近。＆形容詩文淺白易懂。
飛揚[跋扈]	形容態度蠻橫放縱，不受約束。貶義。
快刀[斬亂麻]	比喻以果斷迅捷的手段解決複雜錯綜的問題。
苦口[婆心]	形容以懇切真摯的態度，竭力勸告他人。
躊躇[滿志]	怡然自得地感到心滿意足。
不屈[不撓]	指意志堅毅，絕不屈服。
以德[報怨]	表示不記仇恨，反以恩德回報他人。
比比[皆是]	形容到處都是。
春風[化雨]	指適合草木生長的和風及雨水。＆比喻師長和藹親切的教導。
顛沛[流離]	形容生活困迫不安，四處流浪。
雷厲[風行]	比喻人行事嚴格迅速。
繼往[開來]	承續先人的事業，並為後人開拓道路。
十拿[九穩]	比喻很有把握。
窮兵[黷武]	表示恣意運用兵力，發動戰爭。
聚精[會神]	形容專心致志，精神集中。
人浮[於事]	表示人多事少。
寡廉[鮮恥]	比喻不知羞恥。貶義。
白雲[蒼狗]	比喻世事變幻無常。
目空[一切]	形容人高傲自大，什麼都不放在眼裡。貶義。
模稜[兩可]	比喻處理事情的態度含混，不表示明確的意見或主張。
千篇[一律]	形容事物的形式呆板而毫無變化。
變本[加厲]	事情改變原有的狀況而顯得更加嚴重。貶義。
體貼[入微]	形容對人的關懷與照顧，十分細緻周到。
充耳[不聞]	裝作沒聽見。＆形容拒絕或不願聽取別人意見。
如釋[重負]	像放下重擔那樣輕鬆。＆比喻責任已盡，身心輕鬆愉快。
深居[簡出]	指人平日待在家裡，很少外出。
每下[愈況]	比喻情況愈來愈壞。
蠢蠢[欲動]	比喻人意圖為害作亂。
同仇[敵愾]	指共同抵禦仇敵。
文質[彬彬]	形容人舉止文雅，態度端莊。＆形容文章內容與辭采並茂。
聽天[由命]	形容任憑天意及命運而自然發展。
大腹[便便]	大肚子顯得肥胖而凸出的樣子。
一成[不變]	事情既定之後，從不改變。
行將[就木]	指年紀已大，壽命將盡。
自顧[不暇]	形容自身難保，沒有餘力再管別的事情。
血氣[方剛]	泛指年輕人精力正當旺盛，易於衝動。＆指年輕力壯。
自命[不凡]	形容自以為聰明、不平凡。
三教[九流]	指宗教、學術各種流派。＆指社會上各種行業或各色人物。
老氣[橫秋]	形容人老練而自負的神態。 ＆形容人擺架子，自命不凡。 ＆形容人沒有朝氣，暮氣沉沉的樣子。
移風[易俗]	改善不良的社會風氣和習俗。
有志[竟成]	立定志向去做，終必成功。
推波[助瀾]	比喻推動鼓勵。＆比喻從旁鼓動，使事態擴大。
捲土[重來]	比喻兵敗後，重組兵力，再次來過。＆比喻失敗後，重新整頓，再次來過。＆比喻恢復舊有的局面、情勢。
投其[所好]	迎合他人的愛好。
驚心[動魄]	形容人內心感受極深，震撼很大。
聲名[狼藉]	比喻名聲非常惡劣。貶義。
驚天[動地]	形容聲音很大。＆形容聲勢驚人。
沐猴[而冠]	比喻人虛有表象，卻不脫粗鄙的本質。＆比喻人性情急躁不安定。
作繭[自縛]	比喻人做某事，反而使自己陷入困境。
言人[人殊]	對同一件事各人所言不同。
探囊[取物]	比喻事情極容易辦到。
下筆[成章]	比喻才思敏捷且具文采。
處心[積慮]	千方百慮，蓄意已久。
呆若[木雞]	形容愚笨或受驚嚇而發愣的樣子。
豁然[開朗]	眼前頓時變得開闊明亮。＆形容心境忽然變得開闊暢快。＆形容突然領悟到某個道理。
以鄰[為壑]	比喻將困難和災禍推到別人身上。貶義。
言簡[意賅]	言辭簡單而意思完備。
積重[難返]	長期累積成的不良習慣與弊病，難以改正。
言過[其實]	指言辭虛妄誇大，與事實不相符。
標新[立異]	形容創立新奇的名目或主張，以表示與眾不同。
歷歷[在目]	清楚明白地呈現在眼前。
垂涎[三尺]	形容非常貪饞。＆比喻看見別人的東西極想據為己有。
來龍[去脈]	堪輿家用以形容山脈河流走向的術語。＆比喻事情的首尾始末。
窮途[末路]	形容無路可走，處於十分窮困的境況。
櫛風[沐雨]	比喻在外奔走，極為辛勞。
和衷[共濟]	比喻彼此同心共渡難關。
鏡花[水月]	比喻空幻不實在。
所向[披靡]	比喻力量所到之處，敵人紛紛潰敗逃散。
侃侃[而談]	形容說話從容不迫的樣子。
一衣[帶水]	形容江流狹窄有如一條衣帶。＆泛指江河阻隔不足以限制交往。
門當[戶對]	形容結親的雙方家庭經濟和社會地位相當。
融會[貫通]	形容將各種知識或事物加以融合、貫穿，進而獲得全面通徹的領會。
劍拔[弩張]	形容形勢緊張或聲勢逼人。＆形容書法筆力雄健。
管窺[蠡測]	比喻見識淺陋狹窄。
明知[故犯]	形容明明知道不對，卻故意去做。
壽終[正寢]	男子享盡天年，在家中自然死亡。＆比喻事物的消亡。
落花[流水]	形容暮春殘敗的景象。＆形容零落殘敗，雜亂的景象。
江河[日下]	比喻情況日漸敗壞。
腦滿[腸肥]	頭部豐滿，肚腹肥胖。＆形容飽食終日，無所用心，以致徒有外觀而實無內涵。
色厲[內荏]	外表嚴厲而內心怯懦。
耳提[面命]	比喻懇切教誨。
萍水[相逢]	比喻兩個人本來不相識，因機緣巧合偶然相逢，亦指交情尚屬微淺。
愁眉[不展]	雙眉緊鎖，很憂愁的樣子。
體無[完膚]	形容受傷慘重。＆比喻遭人批評、駁斥得一無是處，面目全非。
視死[如歸]	形容為了理想而不怕犧性生命，無所畏懼。
海底[撈針]	比喻東西很難找到或事情很難做到。
虛懷[若谷]	形容為人謙虛，能接納他人的意見。
無出[其右]	指沒有人能勝過他。
栩栩[如生]	貌態逼真，彷彿具有生命力。
三人[成虎]	比喻謠言再三重複，亦能使人信以為真。
勞燕[分飛]	比喻別離，多用於夫妻、情人之間。
風吹[草動]	風吹起，草木搖動。＆比喻輕微的動靜變化。
惡貫[滿盈]	比喻罪大惡極，末日已到。
倚老[賣老]	自以為年紀大，閱歷豐富，而看不起別人。
無中[生有]	指本無其事，憑空捏造。
釜底[抽薪]	比喻從根本上解決問題。＆比喻從源頭斷絕。
唾手[可得]	比喻事物很容易得到。
狼狽[不堪]	比喻處境窘迫，進退兩難。＆比喻身心疲憊困頓。
朝秦[暮楚]	比喻人心反覆無常。貶義。＆比喻人東飄西蕩，行蹤無定。
運籌[帷幄]	比喻謀劃策略。
狹路[相逢]	比喻仇人相遇。
神魂[顛倒]	比喻精神恍惚，心意迷亂。
鬼斧[神工]	形容技藝精巧，達到鬼神靈妙的境界。褒義。
高談[闊論]	比喻暢快而無拘束地談論。＆比喻沒有實質內容，空泛而漫無邊際地談論。
流離[失所]	形容轉徙離散，無處安身。
斬草[除根]	比喻除去禍根，不留後患。
莫衷[一是]	形容眾說紛紜，無法得到一致的結論。
掌上[明珠]	比喻極為珍愛的物品。＆指愛女。
提綱[挈領]	比喻抓住事理的重點。
無病[呻吟]	比喻人故作憂戚狀或妄發牢騷。＆諷喻文辭的矯揉造作，言不由衷。
喜出[望外]	因意想不到的事感到欣喜。
喧賓[奪主]	指賓客聲勢強大，占了主人的位置，反客為主。
花言[巧語]	形容虛假而動聽的言語。
垂頭[喪氣]	形容失意沮喪的樣子。
虛有[其表]	形容空有華麗的外表，卻無實際的內涵。貶義。
搖尾[乞憐]	形容人有所請求，卑躬屈膝向人討好。
改過[自新]	改正過失，重新作人。
流連[忘返]	貪戀沉迷而忘了回去。
邯鄲[學步]	比喻模仿不成，反而失去自我。
月下[老人]	指主管男女婚姻的神。＆指媒人。
馬首[是瞻]	比喻服從指揮或跟隨他人進退。
疲於[奔命]	形容事情繁多，奔波勞累。
害群[之馬]	比喻危害大眾的人。貶義。
鹿死[誰手]	比喻互相競爭，誰能取得最後的勝利。
捨生[取義]	指為正義真理而不惜犧牲生命。
隨機[應變]	隨著時機和情況的變化而靈活應付。
學富[五車]	形容人書讀很多，學識廣博。
集思[廣益]	集結眾人的智慧，廣泛吸收有益的意見。
分庭[抗禮]	以平等禮節相待。＆比喻兩者對立。
鶉衣[百結]	形容衣服破爛不堪。
期期[艾艾]	形容口吃結巴的樣子。
應接[不暇]	形容景物繁多，來不及觀賞。＆比喻事情繁忙，難以應付。
殃及[池魚]	比喻無故受到牽累。
患得[患失]	形容人的得失心很重。
瞻前[顧後]	形容做事謹慎周密。褒義。＆做事猶豫不決，顧慮太多。貶義。
鞠躬[盡瘁]	比喻恭敬謹慎，不辭勞病地貢獻心力。
愛莫[能助]	內心雖然同情，想要幫助卻無能為力。
長袖[善舞]	比喻手腕極佳，善於社交。
樹倒[猢猻散]	比喻有權勢的人一旦失勢，其依附者隨即散去。
洗耳[恭聽]	比喻專心恭敬的聆聽。
靡靡[之音]	指頹廢淫蕩、足以使人喪志的音樂。
不勝[枚舉]	事物太多，不能一一舉出。
疾言[厲色]	言語急迫，神色嚴厲。形容人發怒的樣子。
立錐[之地]	比喻極微小的地方。
亭亭[玉立]	形容女子身材修長美麗。＆形容花木、山峰等的挺拔姿勢。
不知[所措]	形容人惶恐不安，不知道怎麼辦才好。
天作[之合]	天意撮合的婚姻，比喻美滿良緣。
淋漓[盡致]	形容語言或文章表達得非常透澈。＆形容表現生動逼真。
包羅[萬象]	形容內容豐富，應有盡有。
迫不[及待]	形容心情急切，不願等待。
海誓[山盟]	誓言盟約如山海般堅固持久，永恆不變。
仁至[義盡]	形容對他人盡最大的努力關懷照顧。
悲天[憫人]	憂傷時局多變，哀憐百姓疾苦。
面面[俱到]	形容各方面都照顧到。
借刀[殺人]	比喻假他人之手去害人。
不見[經傳]	比喻沒有名氣。＆比喻缺乏根據，沒有來歷。
半斤[八兩]	比喻彼此相當，不相上下。
浮光[掠影]	比喻見識粗淺，不夠仔細深入。＆比喻文章或言論的內容膚淺空泛。＆形容印象不深刻。
無所[事事]	形容閒蕩無事的樣子。
無的[放矢]	比喻言語或行動沒有目的。＆比喻毫無事實根據而胡亂的指責、攻擊別人。
猶豫[不決]	遲疑不定，無法拿定主意。
美不[勝收]	形容美好的事物太多，無法盡收眼底。
絕無[僅有]	形容極為稀少。
山高[水長]	比喻人品高潔，垂範久遠。＆比喻情誼或恩德深厚。＆形容山水景色秀麗。
另眼[相看]	以特別的眼光或態度相待，以示重視或歧視。
秋毫[無犯]	比喻對任何東西都不侵犯、不取用。
小家[碧玉]	指平常人家年輕貌美的 少女。
世態[炎涼]	比喻世俗情態反覆無常。
隔岸[觀火]	比喻事不干己，袖手旁觀，漠不關心。
雷霆[萬鈞]	比喻威力強大，勢不可擋。
八拜[之交]	指結拜為異姓兄弟姊妹的朋友。
萬象[更新]	表示大自然界的事物或景象都改變得煥然一新。
三姑[六婆]	比喻愛搬弄是非的婦女。貶義。
死有[餘辜]	形容罪惡深重，死都不足以抵罪。貶義。
巧奪[天工]	形容技藝巧妙。褒義。
萬紫[千紅]	形容百花盛開，色彩絢麗的景象。＆比喻事物豐富而多采多姿。
罪不[容誅]	比喻罪大惡極。貶義。
當機[立斷]	當下立刻作出決斷，毫不遲疑。
古色[古香]	形容具有古舊典雅色彩和情調的書畫、或造型仿古的器物、建築、藝術品等。
綽綽[有餘]	形容各方面非常寬裕，足以應付所需。
放蕩[不羈]	指豪放而不受拘束。＆形容行為放縱隨便，不加檢點。貶義。
半路[出家]	比喻中途轉業改行。＆比喻成年後才出家為僧為尼。
漫不[經心]	隨隨便便，不加留意。
如喪[考妣]	比喻悲痛至極。
憤世[嫉俗]	形容腐敗的社會現狀及庸俗世態的痛恨。
價值[連城]	形容物品十分珍貴。
事過[境遷]	事情過了，環境也已改變。
三言[兩語]	形容言語簡短。
兵荒[馬亂]	形容戰爭所造成的混亂景象。
一瀉[千里]	形容水奔流直下，通暢快速。＆比喻文筆流暢，氣勢奔放。＆比喻快速下降且持續不停。
一勞[永逸]	經過一次的勞苦，就能獲得永久的安逸。
暮鼓[晨鐘]	佛寺中早晚報時的鐘鼓。＆比喻使人警醒的力量。
一呼[百諾]	形容權勢顯赫，隨從眾多。
夜長[夢多]	比喻時間拖久了，易發生不利的變化。
赤子[之心]	比喻純潔、善良的心地。
咎由[自取]	所有的罪過、災禍都是自己造成的。
醉生[夢死]	比喻人糊裡糊塗或頹廢消沉地活著。貶義。
秀外[慧中]	形容一個人容貌秀美，內心聰慧。
遺臭[萬年]	惡名永傳後世，為人所唾棄。
夙夜[匪懈]	形容日夜勤奮不懈怠。
豁然[貫通]	因對事理領悟通曉，而能全盤理解。
夙興[夜寐]	形容終日勤勞。
一板[一眼]	比喻人言行謹守法規，有條有理。
含飴[弄孫]	形容老年人恬適悠閒的生活樂趣。
作壁[上觀]	比喻坐觀成敗，不幫助任何一方。
鉤心[鬥角]	比喻競鬥心機，刻意經營。
正本[清源]	比喻澈底改革以解決問題。
顛撲[不破]	比喻理論真確可靠，永遠不能被改易或推翻。
聲淚[俱下]	形容極度悲慟、激動。
老奸[巨猾]	形容人世故老練、極為奸詐狡猾。貶義。
壯志[凌雲]	形容志氣高遠。
眼高[手低]	比喻要求標準高，而實行能力低。貶義。
圖窮[匕見]	比喻事情發展到最後，形跡敗露，現出真相。
名正[言順]	指所做的事正當而合理，不容置疑。
光怪[陸離]	形容現象離奇怪異，色彩參差錯雜。
兢兢[業業]	形容戒慎恐懼，認真負責的樣子。
金科[玉律]	形容完善嚴密的法律條文或比喻不可變更的信條。
各自[為政]	各依自己的主張行事，不顧全整體。
瓦釜[雷鳴]	比喻平庸無才德的人卻居於顯赫的高位。＆比喻拙劣的文章卻風行於世。
通權[達變]	指不墨守常規，根據實際情況作適當的處置。
望穿[秋水]	形容殷切盼望。
高抬[貴手]	請求寬容饒恕的客套話。
移花[接木]	比喻暗中使用手段，以假換真，欺騙他人。
不可[一世]	指人驕橫自大，目空一切，以為他人無與倫比。貶義。
柳暗[花明]	形容綠柳成蔭，繁花似錦的美景。＆比喻在曲折艱辛之後，忽然絕處逢生，另有一番情景。
引經[據典]	引用經書典籍等做為說話、作文的依據。
有條[不紊]	指條理分明，有次序而不雜亂。褒義。
汗馬[功勞]	指征戰的功勞，亦泛指一般的功勞。
如願[以償]	心願得以實現。
脫穎[而出]	比喻顯露才能，超越眾人。
割雞[焉用牛刀]	比喻處理小事，毋需大才。
低聲[下氣]	形容說話恭順小心的樣子。
楚材[晉用]	比喻人才外流。
引狼[入室]	比喻自招其禍。
解衣[推食]	將衣食贈送他人，以示關懷之意。
兵不[厭詐]	本指作戰時不排斥以欺詐的方法來取勝。後亦比喻做事為了達到目的，不排斥使用詭詐的手段。
漸入[佳境]	比喻境況逐漸進展至美好的境界或興味漸濃。
老成[持重]	形容人成熟老練，處事沉著穩重。
一事[無成]	一件事也沒做成。＆指事業毫無成就。
百步[穿楊]	形容射箭技術高超。＆形容射擊技藝高強。
金屋[藏嬌]	比喻男子納妾或有外遇之事。
任重[道遠]	比喻長期肩負重大的任務。
一蹶[不振]	比喻一遭受挫敗，就再也不能振作起來。
近悅[遠來]	形容政治清明，德澤風行。＆形容在商場上遠近馳名而顧客眾多。
因地[制宜]	根據不同環境的實際情況制定相應的妥善辦法。
冷眼[旁觀]	形容用冷靜的眼光在旁觀察。＆形容漠不關心。
千載[一時]	形容機會十分難得，稍縱即逝。
七零[八落]	形容零散的樣子。＆形容支離破碎，殘敗不完整。＆形容數量稀少。
千鈞[一髮]	比喻非常危險。
光明[磊落]	形容心地無私，胸懷坦蕩。
大千[世界]	比喻廣闊無邊、千奇百怪的世界。
同病[相憐]	有同樣不幸遭遇的人互相同情。
大刀[闊斧]	砍斷有力。＆形容做事果斷有魄力。
生龍[活虎]	比喻活潑勇猛，生氣勃勃。
同床[異夢]	比喻共同生活或一起做事的人意見不同，各有各的打算。
出其[不意]	指趁人不備，出乎對方意料之外。
交頭[接耳]	形容低聲私語。
不知[所云]	言語模糊或內容空洞，無法得知意旨為何。
寸草[不留]	比喻消滅殆盡。
巧言[令色]	形容人矯情虛偽。貶義。
木已[成舟]	比喻已成事實，無法改變。
不言[而喻]	事態明顯，不待說明即可曉悟。
不苟[言笑]	不隨便談笑，態度嚴肅。
出言[不遜]	說話傲慢無禮。
切磋[琢磨]	比喻互相研究討論，取長補短，以求精進。
大驚[小怪]	形容為一些不足為奇的小事而過分聲張、驚怪。
見利[忘義]	見到有利可圖就不顧道義。貶義。
手足[無措]	形容人惶恐不安，不知如何是好。
老蚌[生珠]	比喻老年得子。
膠柱[鼓瑟]	比喻做事拘泥而不知變通。貶義。
以身[試法]	無視於法律的制裁而故意犯法。
正中[下懷]	形容恰好符合自己的心意。
方興[未艾]	比喻事態正在蓬勃發展。
日新[月異]	形容發展或進步快速，不斷出現新事物或新現象。
付之[一炬]	指物品、成果悉數被焚燬。
日月[如梭]	形容時光消逝迅速。
春華[秋實]	春天開花，秋天結果的自然景象。＆比喻文質，各具擅勝。＆比喻努力與成果過程的因果關係。
屈指[可數]	形容數量很少。
恬不[知恥]	有過錯卻安然不以為恥辱。貶義。
削足[適履]	比喻拘泥成例，勉強遷就，而不知變通。貶義。
眉飛[色舞]	形容非常喜悅得意的神情。
昭然[若揭]	形容含義或真相非常清楚，顯而易見。
後起[之秀]	稱譽後輩中的優秀人物。褒義。
杳如[黃鶴]	比喻一去不返，無影無蹤。
洗心[革面]	比喻澈底悔悟，改過遷善。
信誓[旦旦]	指誓言說得非常誠懇可信。
飛黃[騰達]	比喻仕途得意，很快到達高位。
息事[寧人]	指平息紛爭，以使彼此相安。
花枝[招展]	比喻女子打扮美麗、婀娜多姿的樣子。＆形容花木的枝葉隨風搖擺，景致美好。
故態[復萌]	形容老毛病又犯了。
胡思[亂想]	指不切實際地妄想。
返老[還童]	由衰老恢復年輕。 ＆形容年紀雖大，卻像年輕人一樣精力充沛。
馬革[裹屍]	比喻英勇作戰，效命沙場。
旁敲[側擊]	說話或寫文章不從正面直接說，而是用從旁比喻或暗示來表達。
粉墨[登場]	化妝登臺演戲。＆指在某一場合擔任某一腳色。
紙醉[金迷]	比喻奢侈浮華的享樂生活。
泰山[壓卵]	比喻強弱懸殊，穩操勝算。
親痛[仇快]	一個人因行為失當，而使親人痛心，仇人稱快。
烏合[之眾]	比喻暫時湊合，無組織、無紀律的一群人。貶義。
逆來[順受]	以順從的態度接受惡劣環境或不合理的待遇。
啞口[無言]	遭人質問或駁斥時沉默不語或無言以對。
將計[就計]	利用對方的計策，順水推舟，反施其計。
恃才[傲物]	依仗本身有才幹而驕傲自大，目空一切。
逃之[夭夭]	形容逃跑得無影無蹤。
等量[齊觀]	不分輕重，一律同等看待。
蒸蒸[日上]	形容事物不斷地進步發展。
輕舉[妄動]	形容未經慎重考慮，輕率地採取行動。
精益[求精]	指好還要更好的意思。
摧枯[拉朽]	比喻極容易做到，毫不費力。
