abdomen	下腹	在船(或飛機;車)上;上船(或飛機;車)	可以接受的;令人滿意的	事故;災禍
hesitate	躊躇;猶豫	健行	暗示,示意	歷史學家
hike	健行	暗示,示意	歷史學家	歷史上著名的
hint	暗示,示意	歷史學家	歷史上著名的	歷史的,史學的
historian	歷史學家	歷史上著名的	歷史的,史學的	蜂房;蜂巢;熱鬧的場所
historic	歷史上著名的	歷史的,史學的	蜂房;蜂巢;熱鬧的場所	空的
historical	歷史的,史學的	蜂房;蜂巢;熱鬧的場所	空的	神聖的
hive	蜂房;蜂巢;熱鬧的場所	空的	神聖的	故鄉;家鄉
hollow	空的	神聖的	故鄉;家鄉	誠實
holy	神聖的	故鄉;家鄉	誠實	使增光;承兌,支付
hometown	故鄉;家鄉	誠實	使增光;承兌,支付	喇叭
honesty	誠實	使增光;承兌,支付	喇叭	可怕的
honor	使增光;承兌,支付	喇叭	可怕的	恐怖,震驚,毛骨悚然
horn	喇叭	可怕的	恐怖,震驚,毛骨悚然	以鐘點計算的
horrible	可怕的	恐怖,震驚,毛骨悚然	以鐘點計算的	女管家
horror	恐怖,震驚,毛骨悚然	以鐘點計算的	女管家	摟抱
hourly	以鐘點計算的	女管家	摟抱	幽默的
housekeeper	女管家	摟抱	幽默的	使沈默,使安靜
hug	摟抱	幽默的	使沈默,使安靜	小屋;臨時營房
humorous	幽默的	使沈默,使安靜	小屋;臨時營房	冰冷的
hush	使沈默,使安靜	小屋;臨時營房	冰冷的	理想的,完美的
hut	小屋;臨時營房	冰冷的	理想的,完美的	身分
icy	冰冷的	理想的,完美的	身分	無知,不學無術;愚昧
ideal	理想的,完美的	身分	無知,不學無術;愚昧	肖像影像
identity	身分	無知,不學無術;愚昧	肖像影像	想像力;創造力
ignorance	無知,不學無術;愚昧	肖像影像	想像力;創造力	即刻的
image	肖像影像	想像力;創造力	即刻的	輸入
imagination	想像力;創造力	即刻的	輸入	給...極深的印象
immediate	即刻的	輸入	給...極深的印象	予人深刻印象的
import	輸入	給...極深的印象	予人深刻印象的	完全地
impress	給...極深的印象	予人深刻印象的	完全地	個別的
impressive	予人深刻印象的	完全地	個別的	室內的
indeed	完全地	個別的	室內的	室內的
individual	個別的	室內的	室內的	工業的,產業的
indoor	室內的	室內的	工業的,產業的	低等的;下級的
indoors	室內的	工業的,產業的	低等的;下級的	通知,告知
industrial	工業的,產業的	低等的;下級的	通知,告知	傷害;損害;毀壞
inferior	低等的;下級的	通知,告知	傷害;損害;毀壞	傷害
inform	通知,告知	傷害;損害;毀壞	傷害	小旅館,客棧
injure	傷害;損害;毀壞	傷害	小旅館,客棧	內部的
injury	傷害	小旅館,客棧	內部的	無罪的,清白的
inn	小旅館,客棧	內部的	無罪的,清白的	檢查;審查
inner	內部的	無罪的,清白的	檢查;審查	檢查員;視察員;督察員
innocent	無罪的,清白的	檢查;審查	檢查員;視察員;督察員	反而,卻
inspect	檢查;審查	檢查員;視察員;督察員	反而,卻	教學,講授
inspector	檢查員;視察員;督察員	反而,卻	教學,講授	內部的
instead	反而,卻	教學,講授	內部的	打斷(談話和工作等)
instruction	教學,講授	內部的	打斷(談話和工作等)	介紹;正式引見
internal	內部的	打斷(談話和工作等)	介紹;正式引見	發明家
interrupt	打斷(談話和工作等)	介紹;正式引見	發明家	調查,研究
introduction	介紹;正式引見	發明家	調查,研究	象牙
inventor	發明家	調查,研究	象牙	監禁;拘留
investigate	調查,研究	象牙	監禁;拘留	罐,罈
ivory	象牙	監禁;拘留	罐,罈	下顎
jail	監禁;拘留	罐,罈	下顎	嫉妒的
jar	罐,罈	下顎	嫉妒的	果凍;果醬
jaw	下顎	嫉妒的	果凍;果醬	噴出,射出
jealous	嫉妒的	果凍;果醬	噴出,射出	寶石
jelly	果凍;果醬	噴出,射出	寶石	(總稱)珠寶;首飾
jet	噴出,射出	寶石	(總稱)珠寶;首飾	日記
jewel	寶石	(總稱)珠寶;首飾	日記	旅行
jewelry	(總稱)珠寶;首飾	日記	旅行	高興的,充滿喜悅的
journal	日記	旅行	高興的,充滿喜悅的	(熱帶)叢林,密林
journey	旅行	高興的,充滿喜悅的	(熱帶)叢林,密林	把...當廢物丟棄;拋棄
joyful	高興的,充滿喜悅的	(熱帶)叢林,密林	把...當廢物丟棄;拋棄	正義;公平
jungle	(熱帶)叢林,密林	把...當廢物丟棄;拋棄	正義;公平	袋鼠
junk	把...當廢物丟棄;拋棄	正義;公平	袋鼠	水壺
justice	正義;公平	袋鼠	水壺	鍵盤
kangaroo	袋鼠	水壺	鍵盤	腎臟
kettle	水壺	鍵盤	腎臟	公斤
keyboard	鍵盤	腎臟	公斤	公里
kidney	腎臟	公斤	公里	成套工具;配套元件
kilogram/kg	公斤	公里	成套工具;配套元件	跪
kilometer/km	公里	成套工具;配套元件	跪	封...為爵士,授...以爵士位
kit	成套工具;配套元件	跪	封...為爵士,授...以爵士位	編織
kneel	跪	封...為爵士,授...以爵士位	編織	門把
knight	封...為爵士,授...以爵士位	編織	門把	把...打結;捆紮
knit	編織	門把	把...打結;捆紮	貼標籤於
knob	門把	把...打結;捆紮	貼標籤於	用花邊等裝飾
knot	把...打結;捆紮	貼標籤於	用花邊等裝飾	梯子
label	貼標籤於	用花邊等裝飾	梯子	後者
lace 	用花邊等裝飾	梯子	後者	笑;笑聲
ladder	梯子	後者	笑;笑聲	洗衣店;送洗的衣服
latter	後者	笑;笑聲	洗衣店;送洗的衣服	草坪
laughter	笑;笑聲	洗衣店;送洗的衣服	草坪	洩漏(祕密等)
laundry	洗衣店;送洗的衣服	草坪	洩漏(祕密等)	跳
lawn	草坪	洩漏(祕密等)	跳	皮革
leak	洩漏(祕密等)	跳	皮革	閒暇,空暇時間
leap	跳	皮革	閒暇,空暇時間	使加長,使延長
leather	皮革	閒暇,空暇時間	使加長,使延長	透鏡;鏡片
leisure	閒暇,空暇時間	使加長,使延長	透鏡;鏡片	說謊的人
lengthen	使加長,使延長	透鏡;鏡片	說謊的人	自由主義的
lens	透鏡;鏡片	說謊的人	自由主義的	自由
liar	說謊的人	自由主義的	自由	圖書館員
liberal	自由主義的	自由	圖書館員	救生艇
liberty	自由	圖書館員	救生艇	救生員
librarian	圖書館員	救生艇	救生員	一生
lifeboat	救生艇	救生員	一生	燈塔
lifeguard	救生員	一生	燈塔	肢;臂
lifetime	一生	燈塔	肢;臂	亞麻布製品(如床單,桌巾,內衣等)
lighthouse	燈塔	肢;臂	亞麻布製品(如床單,桌巾,內衣等)	口紅
limb	肢;臂	亞麻布製品(如床單,桌巾,內衣等)	口紅	亂丟(雜物)
linen	亞麻布製品(如床單,桌巾,內衣等)	口紅	亂丟(雜物)	精力充沛的;活潑的
lipstick	口紅	亂丟(雜物)	精力充沛的;活潑的	肝臟
litter	亂丟(雜物)	精力充沛的;活潑的	肝臟	裝,裝載
lively	精力充沛的;活潑的	肝臟	裝,裝載	大廳;門廊
liver	肝臟	裝,裝載	大廳;門廊	龍蝦
load	裝,裝載	大廳;門廊	龍蝦	棒棒糖
lobby	大廳;門廊	龍蝦	棒棒糖	鬆的
lobster	龍蝦	棒棒糖	鬆的	鬆開,解開
lollipop	棒棒糖	鬆的	鬆開,解開	(大寫)上帝,基督
loose	鬆的	鬆開,解開	(大寫)上帝,基督	揚聲器,擴聲器,喇叭
loosen	鬆開,解開	(大寫)上帝,基督	揚聲器,擴聲器,喇叭	行李
lord	(大寫)上帝,基督	揚聲器,擴聲器,喇叭	行李	唱搖籃曲使入睡
loudspeaker	揚聲器,擴聲器,喇叭	行李	唱搖籃曲使入睡	肺
luggage	行李	唱搖籃曲使入睡	肺	魔術的,魔法的
lullaby	唱搖籃曲使入睡	肺	魔術的,魔法的	磁鐵,磁石
lung	肺	魔術的,魔法的	磁鐵,磁石	侍女;女僕
magical	魔術的,魔法的	磁鐵,磁石	侍女;女僕	少校
magnet	磁鐵,磁石	侍女;女僕	少校	過半數,大多數
maid	侍女;女僕	少校	過半數,大多數	大規模購物中心
major	少校	過半數,大多數	大規模購物中心	管理;經營;處理
majority	過半數,大多數	大規模購物中心	管理;經營;處理	可控制的
mall	大規模購物中心	管理;經營;處理	可控制的	經理
manage	管理;經營;處理	可控制的	經理	人類
manageable	可控制的	經理	人類	禮貌;規矩;風俗,習慣
manager	經理	人類	禮貌;規矩;風俗,習慣	大理石
mankind/humankind	人類	禮貌;規矩;風俗,習慣	大理石	行軍;把(人)強行帶走
manners	禮貌;規矩;風俗,習慣	大理石	行軍;把(人)強行帶走	了不起的
marble	大理石	行軍;把(人)強行帶走	了不起的	數學的
march	行軍;把(人)強行帶走	了不起的	數學的	數學
marvelous	了不起的	數學的	數學	成熟的;到期的
mathematical	數學的	數學	成熟的;到期的	市長
mathematics/math	數學	成熟的;到期的	市長	草地,牧草地
mature	成熟的;到期的	市長	草地,牧草地	意味深長的;有意義的
mayor	市長	草地,牧草地	意味深長的;有意義的	同時
meadow	草地,牧草地	意味深長的;有意義的	同時	獎章,紀念章,勳章
meaningful	意味深長的;有意義的	同時	獎章,紀念章,勳章	醫學的;醫術的;醫療的
meanwhile	同時	獎章,紀念章,勳章	醫學的;醫術的;醫療的	中間;中庸;媒體;工具;傳播媒介
medal	獎章,紀念章,勳章	醫學的;醫術的;醫療的	中間;中庸;媒體;工具;傳播媒介	融化;熔化
medical	醫學的;醫術的;醫療的	中間;中庸;媒體;工具;傳播媒介	融化;熔化	會員身分
medium/media	中間;中庸;媒體;工具;傳播媒介	融化;熔化	會員身分	記住;背熟
melt	融化;熔化	會員身分	記住;背熟	修理,修補
membership	會員身分	記住;背熟	修理,修補	精神的,心理的
memorize	記住;背熟	修理,修補	精神的,心理的	提到
mend	修理,修補	精神的,心理的	提到	商人
mental	精神的,心理的	提到	商人	愉快的,興高采烈的
mention	提到	商人	愉快的,興高采烈的	弄髒,弄亂
merchant	商人	愉快的,興高采烈的	弄髒,弄亂	麥克風
merry	愉快的,興高采烈的	弄髒,弄亂	麥克風	用微波爐烹調
mess	弄髒,弄亂	麥克風	用微波爐烹調	會
microphone/mike	麥克風	用微波爐烹調	會	強大的;強有力的
microwave	用微波爐烹調	會	強大的;強有力的	碾碎
might	會	強大的;強有力的	碾碎	百萬富翁
mighty	強大的;強有力的	碾碎	百萬富翁	礦工
mill	碾碎	百萬富翁	礦工	較小的;較次要的
millionaire	百萬富翁	礦工	較小的;較次要的	少數;少數民族;未成年
miner	礦工	較小的;較次要的	少數;少數民族;未成年	奇蹟
minor	較小的;較次要的	少數;少數民族;未成年	奇蹟	痛苦;不幸;悲慘;窮困
minority	少數;少數民族;未成年	奇蹟	痛苦;不幸;悲慘;窮困	飛彈,導彈
miracle	奇蹟	痛苦;不幸;悲慘;窮困	飛彈,導彈	缺掉的;失蹤的;找不到的
misery	痛苦;不幸;悲慘;窮困	飛彈,導彈	缺掉的;失蹤的;找不到的	使節團;使命,任務
missile	飛彈,導彈	缺掉的;失蹤的;找不到的	使節團;使命,任務	使蒙上薄霧
missing	缺掉的;失蹤的;找不到的	使節團;使命,任務	使蒙上薄霧	混合,混和
mission	使節團;使命,任務	使蒙上薄霧	混合,混和	成群襲擊,圍攻
mist	使蒙上薄霧	混合,混和	成群襲擊,圍攻	移動式的;流動的
mixture	混合,混和	成群襲擊,圍攻	移動式的;流動的	潮濕的,微濕的
mob	成群襲擊,圍攻	移動式的;流動的	潮濕的,微濕的	濕氣
mobile	移動式的;流動的	潮濕的,微濕的	濕氣	修道士;僧侶
moist	潮濕的,微濕的	濕氣	修道士;僧侶	心情,心境,情緒
moisture	濕氣	修道士;僧侶	心情,心境,情緒	拖洗;擦去
monk	修道士;僧侶	心情,心境,情緒	拖洗;擦去	道德(上)的
mood	心情,心境,情緒	拖洗;擦去	道德(上)的	汽車旅館
mop	拖洗;擦去	道德(上)的	汽車旅館	馬達,發動機
moral	道德(上)的	汽車旅館	馬達,發動機	謀殺,兇殺
motel	汽車旅館	馬達,發動機	謀殺,兇殺	肌肉
motor	馬達,發動機	謀殺,兇殺	肌肉	香菇
murder	謀殺,兇殺	肌肉	香菇	音樂的
muscle	肌肉	香菇	音樂的	神祕,祕密
mushroom	香菇	音樂的	神祕,祕密	保姆
musical	音樂的	神祕,祕密	保姆	小睡
mystery	神祕,祕密	保姆	小睡	本土的
nanny	保姆	小睡	本土的	海軍
nap	小睡	本土的	海軍	必需品
native	本土的	海軍	必需品	領帶
navy	海軍	必需品	領帶	鄰近地區
necessity	必需品	領帶	鄰近地區	神經
necktie	領帶	鄰近地區	神經	緊張的
neighborhood	鄰近地區	神經	緊張的	電視網;電腦網絡
nerve	神經	緊張的	電視網;電腦網絡	給...起綽號
nervous	緊張的	電視網;電腦網絡	給...起綽號	崇高的;宏偉的
network	電視網;電腦網絡	給...起綽號	崇高的;宏偉的	正常的,正規的
nickname	給...起綽號	崇高的;宏偉的	正常的,正規的	小說家
noble	崇高的;宏偉的	正常的,正規的	小說家	修女;尼姑
normal	正常的,正規的	小說家	修女;尼姑	橡樹
novelist	小說家	修女;尼姑	橡樹	觀察
nun	修女;尼姑	橡樹	觀察	明顯的;顯著的
oak	橡樹	觀察	明顯的;顯著的	場合
observe	觀察	明顯的;顯著的	場合	奇特的,古怪的;單數的
obvious	明顯的;顯著的	場合	奇特的,古怪的;單數的	到～之上
occasion	場合	奇特的,古怪的;單數的	到～之上	接線生
odd	奇特的,古怪的;單數的	到～之上	接線生	機會;良機
onto	到～之上	接線生	機會;良機	相反的,對立的
operator	接線生	機會;良機	相反的,對立的	樂觀的
opportunity	機會;良機	相反的,對立的	樂觀的	起源;由來
opposite	相反的,對立的	樂觀的	起源;由來	最初的,本來的;原始的
optimistic	樂觀的	起源;由來	最初的,本來的;原始的	使成孤兒
origin	起源;由來	最初的,本來的;原始的	使成孤兒	應該
original	最初的,本來的;原始的	使成孤兒	應該	戶外的
orphan	使成孤兒	應該	戶外的	戶外的
ought to 	應該	戶外的	戶外的	外面的
outdoor	戶外的	戶外的	外面的	概述,略述
outdoors	戶外的	外面的	概述,略述	外套,大衣
outer	外面的	概述,略述	外套,大衣	欠債
outline	概述,略述	外套,大衣	欠債	物主身分;所有權
overcoat	外套,大衣	欠債	物主身分;所有權	填塞,襯填
owe	欠債	物主身分;所有權	填塞,襯填	提桶
ownership	物主身分;所有權	填塞,襯填	提桶	伙伴;好友
pad	填塞,襯填	提桶	伙伴;好友	皇宮,宮殿
pail	提桶	伙伴;好友	皇宮,宮殿	蒼白的;黯淡的
pal	伙伴;好友	皇宮,宮殿	蒼白的;黯淡的	鬆餅
palace	皇宮,宮殿	蒼白的;黯淡的	鬆餅	使恐慌
pale	蒼白的;黯淡的	鬆餅	使恐慌	在...遊行
pancake	鬆餅	使恐慌	在...遊行	樂園
panic	使恐慌	在...遊行	樂園	分
parade	在...遊行	樂園	分	參加,參與
paradise	樂園	分	參加,參與	經過
parcel	分	參加,參與	經過	熱情,激情;酷愛
participate	參加,參與	經過	熱情,激情;酷愛	護照;通行證;執照
passage	經過	熱情,激情;酷愛	護照;通行證;執照	密碼
passion	熱情,激情;酷愛	護照;通行證;執照	密碼	耐心;忍耐;耐性;毅力
passport	護照;通行證;執照	密碼	耐心;忍耐;耐性;毅力	中止
password	密碼	耐心;忍耐;耐性;毅力	中止	鋪,築(路等)
patience	耐心;忍耐;耐性;毅力	中止	鋪,築(路等)	腳爪
pause	中止	鋪,築(路等)	腳爪	付錢
pave	鋪,築(路等)	腳爪	付錢	豌豆
paw	腳爪	付錢	豌豆	山峰
pay 	付錢	豌豆	山峰	珍珠
pea	豌豆	山峰	珍珠	剝皮
peak	山峰	珍珠	剝皮	窺,偷看
pearl	珍珠	剝皮	窺,偷看	便士;一便士硬幣
peel	剝皮	窺,偷看	便士;一便士硬幣	履行;執行;表演, 演奏
peep	窺,偷看	便士;一便士硬幣	履行;執行;表演, 演奏	演出;演奏;表演
penny	便士;一便士硬幣	履行;執行;表演, 演奏	演出;演奏;表演	允許,許可,同意
perform	履行;執行;表演, 演奏	演出;演奏;表演	允許,許可,同意	允許,許可,准許
performance	演出;演奏;表演	允許,許可,同意	允許,許可,准許	人格,品格
permission	允許,許可,同意	允許,許可,准許	人格,品格	說服,勸服
permit	允許,許可,准許	人格,品格	說服,勸服	害蟲;有害的植物
personality	人格,品格	說服,勸服	害蟲;有害的植物	醃製
persuade	說服,勸服	害蟲;有害的植物	醃製	藥丸,藥片;(女用)口服避孕藥
pest	害蟲;有害的植物	醃製	藥丸,藥片;(女用)口服避孕藥	飛行員
pickle	醃製	藥丸,藥片;(女用)口服避孕藥	飛行員	松樹
pill	藥丸,藥片;(女用)口服避孕藥	飛行員	松樹	品脫(英美容量或液量名)
pilot	飛行員	松樹	品脫(英美容量或液量名)	使成凹;挖坑於
pine	松樹	品脫(英美容量或液量名)	使成凹;挖坑於	憐憫;同情
pint	品脫(英美容量或液量名)	使成凹;挖坑於	憐憫;同情	可塑的,塑性的;整形的
pit	使成凹;挖坑於	憐憫;同情	可塑的,塑性的;整形的	足夠,充分地
pity	憐憫;同情	可塑的,塑性的;整形的	足夠,充分地	把...塞住,堵塞
plastic	可塑的,塑性的;整形的	足夠,充分地	把...塞住,堵塞	梅子
plenty	足夠,充分地	把...塞住,堵塞	梅子	水電工
plug	把...塞住,堵塞	梅子	水電工	柱;竿;旗杆
plum	梅子	水電工	柱;竿;旗杆	政治的;政治上的
plumber	水電工	柱;竿;旗杆	政治的;政治上的	政客
pole	柱;竿;旗杆	政治的;政治上的	政客	黨派關係,手腕,權術
political	政治的;政治上的	政客	黨派關係,手腕,權術	對...進行民意測驗
politician	政客	黨派關係,手腕,權術	對...進行民意測驗	污染
politics	黨派關係,手腕,權術	對...進行民意測驗	污染	矮種馬;小馬
poll	對...進行民意測驗	污染	矮種馬;小馬	砰的一聲
pollute	污染	矮種馬;小馬	砰的一聲	砰的一聲
pony	矮種馬;小馬	砰的一聲	砰的一聲	瓷器
pop 	砰的一聲	砰的一聲	瓷器	分配
pop 	砰的一聲	瓷器	分配	肖像,畫像;相片
porcelain/china	瓷器	分配	肖像,畫像;相片	郵資,郵費
portion	分配	肖像,畫像;相片	郵資,郵費	招貼,海報,廣告(畫)
portrait	肖像,畫像;相片	郵資,郵費	招貼,海報,廣告(畫)	延遲,延緩
postage	郵資,郵費	招貼,海報,廣告(畫)	延遲,延緩	陶器
poster	招貼,海報,廣告(畫)	延遲,延緩	陶器	倒入
postpone	延遲,延緩	陶器	倒入	貧窮,貧困
pottery/ceramic	陶器	倒入	貧窮,貧困	變成粉末;搽粉
pour	倒入	貧窮,貧困	變成粉末;搽粉	實際的
poverty	貧窮,貧困	變成粉末;搽粉	實際的	祈禱,禱告
powder	變成粉末;搽粉	實際的	祈禱,禱告	寶貴的
practical	實際的	祈禱,禱告	寶貴的	準備,預備
prayer	祈禱,禱告	寶貴的	準備,預備	對...施加壓力;迫使
precious	寶貴的	準備,預備	對...施加壓力;迫使	佯裝;假裝
preparation	準備,預備	對...施加壓力;迫使	佯裝;假裝	防止,預防
pressure	對...施加壓力;迫使	佯裝;假裝	防止,預防	以前的
pretend	佯裝;假裝	防止,預防	以前的	牧師;神父
prevent	防止,預防	以前的	牧師;神父	主要的;初級的
previous	以前的	牧師;神父	主要的;初級的	很可能發生的
priest	牧師;神父	主要的;初級的	很可能發生的	加工沖洗(膠卷)
primary	主要的;初級的	很可能發生的	加工沖洗(膠卷)	產品
probable	很可能發生的	加工沖洗(膠卷)	產品	得益,獲益
process	加工沖洗(膠卷)	產品	得益,獲益	為...安排節目;設計電腦程式
product	產品	得益,獲益	為...安排節目;設計電腦程式	推銷(商品等)
profit	得益,獲益	為...安排節目;設計電腦程式	推銷(商品等)	證據;物證;證明
program	為...安排節目;設計電腦程式	推銷(商品等)	證據;物證;證明	適合的,適當的
promote	推銷(商品等)	證據;物證;證明	適合的,適當的	財產,資產
proof	證據;物證;證明	適合的,適當的	財產,資產	提議;計劃;提案
proper	適合的,適當的	財產,資產	提議;計劃;提案	保護
property	財產,資產	提議;計劃;提案	保護	保護的,防護的
proposal	提議;計劃;提案	保護	保護的,防護的	酒吧
protection	保護	保護的,防護的	酒吧	用拳猛擊
protective	保護的,防護的	酒吧	用拳猛擊	純粹的
pub	酒吧	用拳猛擊	純粹的	追求;從事
punch	用拳猛擊	純粹的	追求;從事	爭吵
pure	純粹的	追求;從事	爭吵	古怪的
pursue	追求;從事	爭吵	古怪的	引用;引述;報價
quarrel	爭吵	古怪的	引用;引述;報價	種族的
queer	古怪的	引用;引述;報價	種族的	雷達
quote	引用;引述;報價	種族的	雷達	破布;抹布;破爛衣衫
racial	種族的	雷達	破布;抹布;破爛衣衫	葡萄乾
radar	雷達	破布;抹布;破爛衣衫	葡萄乾	把...分等;把...評級
rag	破布;抹布;破爛衣衫	葡萄乾	把...分等;把...評級	對...評價
raisin	葡萄乾	把...分等;把...評級	對...評價	生的,未煮過的;未加工的
rank	把...分等;把...評級	對...評價	生的,未煮過的;未加工的	魟魚
rate	對...評價	生的,未煮過的;未加工的	魟魚	刮鬍刀
raw	生的,未煮過的;未加工的	魟魚	刮鬍刀	作出反應
ray	魟魚	刮鬍刀	作出反應	反應,感應
razor	刮鬍刀	作出反應	反應,感應	合理的,正當的
react	作出反應	反應,感應	合理的,正當的	收據,收條
reaction	反應,感應	合理的,正當的	收據,收條	受領人;收件人,收款人
reasonable	合理的,正當的	收據,收條	受領人;收件人,收款人	識別;認識;承認
receipt	收據,收條	受領人;收件人,收款人	識別;認識;承認	直笛
receiver	受領人;收件人,收款人	識別;認識;承認	直笛	尋回;恢復
recognize	識別;認識;承認	直笛	尋回;恢復	減少;縮小;降低
recorder	直笛	尋回;恢復	減少;縮小;降低	地區的
recover	尋回;恢復	減少;縮小;降低	地區的	懊悔
reduce	減少;縮小;降低	地區的	懊悔	有關,涉及
regional	地區的	懊悔	有關,涉及	放鬆
regret	懊悔	有關,涉及	放鬆	釋放,解放
relate	有關,涉及	放鬆	釋放,解放	可信賴的;可靠的;確實的
relax	放鬆	釋放,解放	可信賴的;可靠的;確實的	緩和,減輕;解除
release	釋放,解放	可信賴的;可靠的;確實的	緩和,減輕;解除	宗教;宗教信仰
reliable	可信賴的;可靠的;確實的	緩和,減輕;解除	宗教;宗教信仰	宗教的;虔誠的
relief	緩和,減輕;解除	宗教;宗教信仰	宗教的;虔誠的	依靠,依賴
religion	宗教;宗教信仰	宗教的;虔誠的	依靠,依賴	剩下,餘留
religious	宗教的;虔誠的	依靠,依賴	剩下,餘留	提醒
rely	依靠,依賴	剩下,餘留	提醒	遙遠的
remain 	剩下,餘留	提醒	遙遠的	移動,搬開
remind	提醒	遙遠的	移動,搬開	換新;修補
remote	遙遠的	移動,搬開	換新;修補	租
remove	移動,搬開	換新;修補	租	修理
renew	換新;修補	租	修理	取代;以...代替
rent	租	修理	取代;以...代替	象徵;表示
repair	修理	取代;以...代替	象徵;表示	代表性的,典型的
replace	取代;以...代替	象徵;表示	代表性的,典型的	共和國;共和政體
represent	象徵;表示	代表性的,典型的	共和國;共和政體	請求給予
representative	代表性的,典型的	共和國;共和政體	請求給予	儲備,保存;保留
republic	共和國;共和政體	請求給予	儲備,保存;保留	抵抗,反抗;抗拒
request	請求給予	儲備,保存;保留	抵抗,反抗;抗拒	資源;物力,財力
reserve	儲備,保存;保留	抵抗,反抗;抗拒	資源;物力,財力	作答,回答
resist	抵抗,反抗;抗拒	資源;物力,財力	作答,回答	回答;答覆
resource	資源;物力,財力	作答,回答	回答;答覆	責任
respond	作答,回答	回答;答覆	責任	限制
response	回答;答覆	責任	限制	展現,顯露出
responsibility	責任	限制	展現,顯露出	緞帶;絲帶
restrict	限制	展現,顯露出	緞帶;絲帶	使免除;使擺脫;從...清除
reveal	展現,顯露出	緞帶;絲帶	使免除;使擺脫;從...清除	謎,謎語
ribbon	緞帶;絲帶	使免除;使擺脫;從...清除	謎,謎語	成熟的
rid	使免除;使擺脫;從...清除	謎,謎語	成熟的	冒...的風險
riddle	謎,謎語	成熟的	冒...的風險	吼叫;大聲叫喊;狂笑
ripe	成熟的	冒...的風險	吼叫;大聲叫喊;狂笑	烘烤
risk	冒...的風險	吼叫;大聲叫喊;狂笑	烘烤	搶劫
roar	吼叫;大聲叫喊;狂笑	烘烤	搶劫	搶劫者,強盜
roast	烘烤	搶劫	搶劫者,強盜	搶劫;盜取;搶劫案
rob	搶劫	搶劫者,強盜	搶劫;盜取;搶劫案	使穿上禮服
robber	搶劫者,強盜	搶劫;盜取;搶劫案	使穿上禮服	火箭
robbery	搶劫;盜取;搶劫案	使穿上禮服	火箭	浪漫的
robe	使穿上禮服	火箭	浪漫的	腐爛,腐壞;腐朽,破損
rocket	火箭	浪漫的	腐爛,腐壞;腐朽,破損	腐爛的;發臭的
romantic	浪漫的	腐爛,腐壞;腐朽,破損	腐爛的;發臭的	粗糙的
rot	腐爛,腐壞;腐朽,破損	腐爛的;發臭的	粗糙的	日常的,例行的,常規的
rotten	腐爛的;發臭的	粗糙的	日常的,例行的,常規的	地毯
rough	粗糙的	日常的,例行的,常規的	地毯	謠傳;傳說
routine	日常的,例行的,常規的	地毯	謠傳;傳說	生鏽
rug	地毯	謠傳;傳說	生鏽	生鏽的
rumor	謠傳;傳說	生鏽	生鏽的	袋;粗布袋
rust	生鏽	生鏽的	袋;粗布袋	理由
rusty	生鏽的	袋;粗布袋	理由	令人滿意的
sack	袋;粗布袋	理由	令人滿意的	淺碟
sake	理由	令人滿意的	淺碟	香腸
satisfactory	令人滿意的	淺碟	香腸	挽救;節儉,節約;儲金
saucer	淺碟	香腸	挽救;節儉,節約;儲金	體重計
sausage	香腸	挽救;節儉,節約;儲金	體重計	缺乏的;不足的
saving	挽救;節儉,節約;儲金	體重計	缺乏的;不足的	稻草人;威嚇物
scale	體重計	缺乏的;不足的	稻草人;威嚇物	圍巾
scarce	缺乏的;不足的	稻草人;威嚇物	圍巾	提心吊膽的
scarecrow	稻草人;威嚇物	圍巾	提心吊膽的	使分散;使潰散
scarf	圍巾	提心吊膽的	使分散;使潰散	安排;將……列入計畫（或時間）表
scary	提心吊膽的	使分散;使潰散	安排;將……列入計畫（或時間）表	學者
scatter	使分散;使潰散	安排;將……列入計畫（或時間）表	學者	獎學金
schedule	安排;將……列入計畫（或時間）表	學者	獎學金	科學的
scholar	學者	獎學金	科學的	用勺舀
scholarship	獎學金	科學的	用勺舀	偵察;搜索;嘲笑,嘲弄
scientific	科學的	用勺舀	偵察;搜索;嘲笑,嘲弄	尖叫;放聲大哭
scoop	用勺舀	偵察;搜索;嘲笑,嘲弄	尖叫;放聲大哭	用螺釘固定
scout	偵察;搜索;嘲笑,嘲弄	尖叫;放聲大哭	用螺釘固定	用力擦洗
scream	尖叫;放聲大哭	用螺釘固定	用力擦洗	海豹
screw	用螺釘固定	用力擦洗	海豹	第二的
scrub	用力擦洗	海豹	第二的	擔保品
seal 	海豹	第二的	擔保品	尋覓
secondary	第二的	擔保品	尋覓	抓住
security	擔保品	尋覓	抓住	很少地
seek	尋覓	抓住	很少地	有知覺的;明顯的;明智的
seize	抓住	很少地	有知覺的;明顯的;明智的	敏感度高的
seldom	很少地	有知覺的;明顯的;明智的	敏感度高的	分開;分離
sensible	有知覺的;明顯的;明智的	敏感度高的	分開;分離	縫
sensitive	敏感度高的	分開;分離	縫	性別;色情;性交;性慾;性感
separation	分開;分離	縫	性別;色情;性交;性慾;性感	兩性的;關於性關係的;性慾的
sew	縫	性別;色情;性交;性慾;性感	兩性的;關於性關係的;性慾的	性感的
sex	性別;色情;性交;性慾;性感	兩性的;關於性關係的;性慾的	性感的	遮蔽,蔽蔭
sexual	兩性的;關於性關係的;性慾的	性感的	遮蔽,蔽蔭	使變暗;使陰鬱
