見せる (みせる)	to show	key 	old	cooked rice 
黄色 (きいろ)	yellow	to finish	crossing	pencil
終わる (おわる)	to finish	crossing	pencil	to stop 
交差点 (こうさてん)	crossing	pencil	to stop 	to leave
鉛筆 (えんぴつ)	pencil	to stop 	to leave	skillful
止まる (とまる)	to stop 	to leave	skillful	to read 
出る (でる)	to leave	skillful	to read 	business suit
上手 (じょうず)	skillful	to read 	business suit	to drink
読む (よむ)	to read 	business suit	to drink	black tea
背広 (せびろ)	business suit	to drink	black tea	seven
飲む (のむ)	to drink	black tea	seven	to borrow
紅茶 (こうちゃ)	black tea	seven	to borrow	homework
七つ (ななつ)	seven	to borrow	homework	fast
借りる (かりる)	to borrow	homework	fast	perhaps
宿題 (しゅくだい)	homework	fast	perhaps	who
早い (はやい)	fast	perhaps	who	to wear 
多分 (たぶん)	perhaps	who	to wear 	to stick
誰 (だれ)	who	to wear 	to stick	glasses
着る (きる)	to wear 	to stick	glasses	to sing 
張る (はる)	to stick	glasses	to sing 	please give me 
眼鏡 (めがね)	glasses	to sing 	please give me 	to see
歌う (うたう)	to sing 	please give me 	to see	red
ください (下さい)	please give me 	to see	red	low 
見る (みる)	to see	red	low 	to be shut
赤い (あかい)	red	low 	to be shut	hot 
低い (ひくい)	low 	to be shut	hot 	to return 
閉まる (しまる)	to be shut	hot 	to return 	spare time
熱い (あつい)	hot 	to return 	spare time	rice bowl
返す (かえす)	to return 	spare time	rice bowl	to go out 
暇 (ひま)	spare time	rice bowl	to go out 	to understand
茶碗 (ちゃわん)	rice bowl	to go out 	to understand	police officer
出かける (でかける)	to go out 	to understand	police officer	bad
わかる (分かる)	to understand	police officer	bad	hard candy
おまわりさん (お巡りさん)	police officer	bad	hard candy	cheap
悪い (わるい)	bad	hard candy	cheap	dark
飴 (あめ)	hard candy	cheap	dark	easy
安い (やすい)	cheap	dark	easy	chair
暗い (くらい)	dark	easy	chair	to differ 
やさしい (易しい)	easy	chair	to differ 	one 
椅子 (いす)	chair	to differ 	one 	to swim
違う (ちがう)	to differ 	one 	to swim	far
一 (いち)	one 	to swim	far	dirty
泳ぐ (およぐ)	to swim	far	dirty	yellow 
遠い (とおい)	far	dirty	yellow 	unskillful
汚い (きたない)	dirty	yellow 	unskillful	when
黄色い (きいろい)	yellow 	unskillful	when	Tuesday
下手 (へた)	unskillful	when	Tuesday	flower vase
いつ (何時)	when	Tuesday	flower vase	to meet
火曜日 (かようび)	Tuesday	flower vase	to meet	ashtray
花瓶 (かびん)	flower vase	to meet	ashtray	to memorize
会う (あう)	to meet	ashtray	to memorize	enjoyable
灰皿 (はいざら)	ashtray	to memorize	enjoyable	to take 
覚える (おぼえる)	to memorize	enjoyable	to take 	cold 
楽しい (たのしい)	enjoyable	to take 	cold 	sweet-tasting
かかる (掛かる)	to take 	cold 	sweet-tasting	dangerous
寒い (さむい)	cold 	sweet-tasting	dangerous	how many
甘い (あまい)	sweet-tasting	dangerous	how many	how much
危ない (あぶない)	dangerous	how many	how much	to return
いくつ (幾つ)	how many	how much	to return	to get up
いくら (幾ら)	how much	to return	to get up	to be absent
帰る (かえる)	to return	to get up	to be absent	to smoke
起きる (おきる)	to get up	to be absent	to smoke	strong
休む (やすむ)	to be absent	to smoke	strong	to teach
吸う (すう)	to smoke	strong	to teach	narrow
強い (つよい)	strong	to teach	narrow	to bend
教える (おしえる)	to teach	narrow	to bend	near
狭い (せまい)	narrow	to bend	near	nine
曲がる (まがる)	to bend	near	nine	socks
近い (ちかい)	near	nine	socks	light 
九つ (ここのつ)	nine	socks	light 	in this way
靴下 (くつした)	socks	light 	in this way	America 
軽い (かるい)	light 	in this way	America 	to be attached
