5659	等級	字行	詞性	韓文	中文	韓文片語	中文解釋	字源	拼寫	2	大	中	小	小小	順序	大中分類	大中小分類	日文	選項2	選項3	選項4
	中級	ㄱ	動詞	기다	爬行	아기가 [기다]	幼兒「爬行」		V		行	移動				行_移動	行_移動_		靠	傾斜	側（身）
新視4_1_01_1	高級	ㄱ		기다리는 것을 잘 참다	能忍耐等待						人	個性				人_個性	人_個性_				
	初級	ㄱ	動詞	기다리다	等	버스를 [기다리다]	「等」公車		V		文法	希望與打算				文法_希望與打算	文法_希望與打算_		養	欣喜	想起
	中級	ㄱ	名詞	기대	期待	[기대]를 저버리지 않다	不負眾「望」	期待	V		文法	希望與打算				文法_希望與打算	文法_希望與打算_		祈禱	基督教	柱子
	中級	ㄱ	動詞	기대다	靠	벽에 [기대다]	「靠」在牆上		V		人	動作	身體			人_動作	人_動作_身體		傾斜	側（身）	長
	中級	ㄱ	名詞	기도	祈禱	[기도]를 올리다	奉上「祈禱」	祈禱	V		國家	宗教				國家_宗教	國家_宗教_	気道 	基督教	柱子	記錄
	中級	ㄱ	名詞	기독교	基督教	[기독교]:종교	「基督教」	基督教	V		國家	宗教				國家_宗教	國家_宗教_	キリスト教 	柱子	記錄	基盤
	中級	ㄱ	名詞	기둥	柱子	[기둥]을 세우다	立起「柱子」		V		行	街道				行_街道	行_街道_		記錄	基盤	基本
	中級	ㄱ	名詞	기록	記錄	[기록]을 남기다	留下「記錄」	記錄	V		育	教學				育_教學	育_教學_	記録 	基盤	基本	捐贈
	初級	ㄱ	動詞	기르다	養	[기르다]	養		V		人	生老病死	照顧			人_生老病死	人_生老病死_照顧		欣喜	想起	削
	高級	ㄱ		기르다	留	머리를 [기르다]	「留」頭髮			317	人	身體				人_身體	人_身體_		欣喜	想起	削
	初級	ㄱ	名詞	기름	油	[기름]에 튀기다	用「油」炸		V		食	料理	調味料			食_料理	食_料理_調味料		期末考	感覺	喜悅
新視4_1_02_1	高級	ㄱ		기름이 남았지만	雖然還有油						樂	人際	男女差異			樂_人際	樂_人際_男女差異				
新視4_1_02_1	高級	ㄱ		기름이 다 떨어진 후	汽油全用完後						樂	人際	男女差異			樂_人際	樂_人際_男女差異				
	初級	ㄱ	名詞	기말시험	期末考	[기말시험]을 보다	考「期末考」		V		育	教學				育_教學	育_教學_		感覺	喜悅	宿舍
	中級	ㄱ	名詞	기반	基盤	[기반]을 다지다	打緊「基盤」（打穩根基）	基盤	V		自然	形體				自然_形體	自然_形體_		基本	捐贈	技士
	中級	ㄱ	名詞	기본	基本	[기본]을 익히다	打好「基本」（打好基礎）	基本	V		自然	形體				自然_形體	自然_形體_		捐贈	技士	記者
	中級	ㄱ	冠形詞·名詞	기본적	基本的	[기본적] 권리	「基本的」權利	基本的	V		自然	形體				自然_形體	自然_形體_		內向的	合乎邏輯的	代表的
	中級	ㄱ	名詞	기부	捐贈	장학금 [기부]	「寄附」獎學金（捐贈）	寄附	V		樂	人際	收授			樂_人際	樂_人際_收授		技士	記者	技術
	初級	ㄱ	名詞	기분	感覺	[기분]이 좋다	「感覺」很好（氣分）	氣分	V		人	感覺				人_感覺	人_感覺_	気分 	喜悅	宿舍	記憶
	初級	ㄱ	動詞	기뻐하다	欣喜	졸업을 [기뻐하다]	「欣喜」畢業		V		人	感覺				人_感覺	人_感覺_	嬉しがる、喜ぶ 	想起	削	醒
	初級	ㄱ	形容詞	기쁘다	歡喜	마음이 [기쁘다]	滿心「歡喜」		V		人	感覺				人_感覺	人_感覺_	嬉しい 	長	海很深	黑
	初級	ㄱ	名詞	기쁨	喜悅	[기쁨]을 나누다	分享「喜悅」		V		人	感覺				人_感覺	人_感覺_		宿舍	記憶	氣溫
	高級	ㄱ		기쁨	欣喜					323	人	感覺				人_感覺	人_感覺_		宿舍	記憶	氣溫
	高級			기쁨 <> 슬픔	高興<>悲傷						人	感覺	#VALUE!								
	高級	ㄱ		기사	記事			記事		2300	育	教學				育_教學	育_教學_	技師 	記者	技術	技術者
	中級	ㄱ	名詞	기사	技士	버스 [기사]	巴士「司機」（技士）	技士	V		人	職業				人_職業	人_職業_	技師 	記者	技術	技術者
	中級	ㄱ	名詞	기사	記者	신문 [기사]	新聞「記者」(騎士）	騎士	V		人	職業				人_職業	人_職業_	技師 	記者	技術	技術者
	初級	ㄱ	名詞	기숙사	宿舍	[기숙사]에서 살다	住「宿舍」	寄宿舍	V		育	教學	場所			育_教學	育_教學_場所	寮 	記憶	氣溫	記者
	中級	ㄱ	名詞	기술	技術	[기술]을 배우다	學「技術」	技術	V		育	教學				育_教學	育_教學_	技術力 	技術者	記憶力	企業
	中級	ㄱ	名詞	기술자	技術者	[기술자]를 양성하다	養成「技術者」	技術者	V		育	教學				育_教學	育_教學_	技術者 	記憶力	企業	企業家
	初級	ㄱ	名詞	기억	記憶	[기억]이 나다	「記起」來了	記憶	V		人	思想				人_思想	人_思想_		氣溫	記者	火車
	初級	ㄱ	動詞	기억나다	想起	이름이 [기억나다]	「記得」名字	想起	V		人	思想				人_思想	人_思想_		削	醒	取出
	中級	ㄱ	名詞	기억력	記憶力	[기억력]이 좋다	「記憶力」好	記憶力	V		育	教學				育_教學	育_教學_	記憶力 	企業	企業家	捐䁬
	中級	ㄱ	名詞	기업	企業	[기업]을 운영하다	「企業」運營	企業	V		育	工作	交易			育_工作	育_工作_交易	起業 	企業家	捐䁬	力氣
	中級	ㄱ	名詞	기업가	企業家	[기업가]가 되다	成為「企業家」	企業家	V		育	工作				育_工作	育_工作_	企業家 	捐䁬	力氣	起源
	中級	ㄱ	名詞	기여	捐䁬	[기여]를 하다	「寄與」（貢獻，捐贈）	寄與	V		樂	人際	收授			樂_人際	樂_人際_收授		力氣	起源	奇蹟
	初級	ㄱ	名詞	기온	氣溫	[기온]이 높다	「氣溫」很高	氣溫	V		自然	天氣				自然_天氣	自然_天氣_	気温 	記者	火車	火車站
	中級	ㄱ	名詞	기운	力氣	[기운]이 없다	沒「力氣」		V		人	身體				人_身體	人_身體_		起源	奇蹟	設施
	中級	ㄱ	動詞	기울다	傾斜	액자가 [기울다]	椅子「傾斜」		V		基本	地方				基本_地方	基本_地方_		側（身）	長	剝
	中級	ㄱ	動詞	기울이다	側（身）	몸을 [기울이다]	「側」身		V		人	動作	身體			人_動作	人_動作_身體		長	剝	剝來吃
	中級	ㄱ	名詞	기원	起源	인류의 [기원]	人類的「起源」	起源	V		育	工作	起始			育_工作	育_工作_起始		奇蹟	設施	基準
	初級	ㄱ	名詞	기자	記者	신문 [기자]	新聞「記者」	記者	V		人	職業				人_職業	人_職業_	記者 	火車	火車站	火車票
	中級	ㄱ	名詞	기적	奇蹟	[기적]이 일어나다	發生「奇蹟」	奇蹟	V		樣態	比較	機率			樣態_比較	樣態_比較_機率	汽笛 	設施	基準	活動
	中級	ㄱ	名詞	기존	設施	[기존] 시설	「既存」設施	既存	V		自然	形體	存沒			自然_形體	自然_形體_存沒		基準	活動	基礎
	中級	ㄱ	名詞	기준	基準	[기준]을 세우다	訂「基準」（標準）	基準	V		國家	法律	規定			國家_法律	國家_法律_規定		活動	基礎	其他
	中級	ㄱ	名詞	기지개	活動	[기지개]를 켜다	開始「活動」		V		育	工作	進行			育_工作	育_工作_進行		基礎	其他	已婚
	初級	ㄱ	名詞	기차	火車	[기차]를 타다	搭「火車」	汽車	V		行	方法	工具			行_方法	行_方法_工具	汽車 	火車站	火車票	咳嗽
	初級	ㄱ	名詞	기차역	火車站	[기차역]에 도착하다	到「火車站」	汽車駅	V		行	方法	工具			行_方法	行_方法_工具	汽車駅 	火車票	咳嗽	吉他
	初級	ㄱ	名詞	기차표	火車票	[기차표]를 끊다	買「火車票」	汽車票	V		行	方法	工具			行_方法	行_方法_工具	切符 	咳嗽	吉他	機會
	中級	ㄱ	名詞	기초	基礎	[기초]를 다지다	奠立「基礎」	基礎	V		國家	法律	規定			國家_法律	國家_法律_規定		其他	已婚	企劃
	初級	ㄱ	名詞	기침	咳嗽	[기침]이 나다	咳嗽		V		人	健康				人_健康	人_健康_	咳 	吉他	機會	緊張
	初級	ㄱ	名詞	기타	吉他	[기타]를 치다	彈「吉他」	吉他	V		樂	娛樂				樂_娛樂	樂_娛樂_	ギター 	機會	緊張	道路
	中級	ㄱ	名詞	기타	其他	[기타] 등등	「其他」等等	其他	V		樂	娛樂				樂_娛樂	樂_娛樂_	ギター 	機會	緊張	道路
	高級	ㄱ		기한	期限	제출 [기한]	提交「期限」	期限		#N/A	基本	時間	期間			基本_時間	基本_時間_期間				
	中級	ㄱ	名詞	기혼	已婚	[기혼] 여성	「既婚」女性	既婚	V		人	生老病死				人_生老病死	人_生老病死_	既婚 	企劃	氣候	緊急
	初級	ㄱ	名詞	기회	機會	[기회]를 놓치다	錯過「機會」	機會	V		樣態	比較	機率			樣態_比較	樣態_比較_機率		緊張	道路	長度
	中級	ㄱ	名詞	기획	企劃	상품 [기획] 	產品「企劃」	企劃	V		育	工作				育_工作	育_工作_	企画 	氣候	緊急	長袖
	中級	ㄱ	名詞	기후	氣候	[기후]가 좋다	「氣候」很好	氣候	V		自然	天地				自然_天地	自然_天地_	気候 	緊急	長袖	路邊
	中級	ㄱ	名詞	긴급	緊急	[긴급] 구조	「緊急」救助	緊急	V		樣態	比較	緩急			樣態_比較	樣態_比較_緩急		長袖	路邊	街上
	初級	ㄱ	名詞	긴장	緊張	[긴장]을 풀다	消解「緊張」	緊張	V		人	感覺				人_感覺	人_感覺_		道路	長度	海苔
	中級	ㄱ	名詞	긴팔	長袖	[긴팔]을 입다	穿「長袖」		V		衣	服飾				衣_服飾	衣_服飾_	長袖 	路邊	街上	熱氣
	初級	ㄱ	名詞	길	道路	[길]이 막히다	「道路」擁塞		V		行	街道				行_街道	行_街道_	道、通り 	長度	海苔	海苔飯卷
	中級	ㄱ	名詞	길가	路邊	[길가]에 서다	站在「路邊」		V		行	街道				行_街道	行_街道_	道端 	街上	熱氣	深度
新視3_2_8	高級	ㄱ		길거리	街道						樂	人際	禮節			樂_人際	樂_人際_禮節		熱氣	深度	原因
	中級	ㄱ	名詞	길거리	街上	[길거리]를 걷다	走在「街上」		V		行	街道				行_街道	行_街道_		熱氣	深度	原因
新視3_2_10_3	高級	ㄱ		길거리 응원	在街道加油						國家	特色				國家_特色	國家_特色_				
	高級	ㄱ		길게	時間					#N/A	育	工作	選擇			育_工作	育_工作_選擇				
	初級	ㄱ	形容詞	길다	長	다리가 [길다]	腿「長」		V		樣態	份量	大小			樣態_份量	樣態_份量_大小	長い 	剝	剝來吃	舖
	中級	ㄱ	動詞	길다	長	머리가 [길다]	頭髮「長」		V		樣態	份量	大小			樣態_份量	樣態_份量_大小	長い 	剝	剝來吃	舖
	初級	ㄱ	名詞	길이	長度	[길이]를 재다	測量「長度」		V		樣態	份量	大小			樣態_份量	樣態_份量_大小	長さ 	海苔	海苔飯卷	泡菜
	高級	ㄱ		길이	永久地	[길이] 보전하다.	「永久」保存			338	樣態	大小				樣態_大小	樣態_大小_	長さ 	海苔	海苔飯卷	泡菜
	高級	ㄱ		길쭉하다	略長					#N/A	樣態	大小				樣態_大小	樣態_大小_				
	初級	ㄱ	名詞	김	海苔	[김]을 먹다	吃「海苔」		V		食	食物	正餐			食_食物	食_食物_正餐	雑草 	海苔飯卷	泡菜	泡菜鍋
	中級	ㄱ	名詞	김	熱氣	[김]이 나다	冒「熱氣」		V		自然	形體				自然_形體	自然_形體_	雑草 	海苔飯卷	泡菜	泡菜鍋
	初級	ㄱ	名詞	김밥	海苔飯卷	[김밥]을 싸다	包「海苔飯捲」		V		食	食物	正餐			食_食物	食_食物_正餐	韓国風のり巻き 	泡菜	泡菜鍋	口香糖
	初級	ㄱ	名詞	김치	泡菜	[김치]를 담그다	醃「泡菜」		V		食	食物	正餐			食_食物	食_食物_正餐	キムチ 	泡菜鍋	口香糖	花
	初級	ㄱ	名詞	김치찌개	泡菜鍋	[김치찌개]를 끓이다	煮「泡菜鍋」		V		食	食物	正餐			食_食物	食_食物_正餐	キムチチゲ 	口香糖	花	花束
	初級	ㄱ	形容詞	깊다	深	바다가 [깊다]	海很「深」		V		樣態	比較	深淺			樣態_比較	樣態_比較_深淺		黑	乾淨	滿滿
	高級			깊다 <> 얕다	深<>淺					#N/A	樣態	比較	深淺								
	高級	ㄱ		깊다랗다	頗深					#N/A	樣態	比較	深淺			樣態_比較	樣態_比較_深淺				
	高級	ㄱ		깊숙하다	幽深					#N/A	樣態	比較	深淺			樣態_比較	樣態_比較_深淺				
	初級	ㄱ	副詞	깊이	深深地	[깊이] 묻다	埋得「深深地」		V		樣態	比較	深淺			樣態_比較	樣態_比較_深淺	深さ 	驚喜	洗乾淨	一定
	中級	ㄱ	名詞	깊이	深度	[깊이]가 깊다	「深度」很深		V		樣態	變化	分合			樣態_變化	樣態_變化_分合	深さ 	驚喜	洗乾淨	一定
	中級	ㄱ	動詞	까다	剝	껍데기를 [까다]	「剝」縠		V		食	料理	方法			食_料理	食_料理_方法		剝來吃	舖	放
	中級	ㄱ	形容詞	까다롭다	苛刻	조건이 [까다롭다]	條件「苛刻」		V		人	個性				人_個性	人_個性_	気難しい、うるさい、ややこしい 	乾淨	黑暗	仔細
	中級	ㄱ	名詞	까닭	原因	[까닭]을 묻다	問「原因」		V		國家	法律	規定			國家_法律	國家_法律_規定		芝麻	皮	尾巴
	基本	ㄱ	名詞	까만색	黑色	[까만]색 = 검은색	黑色（全黑）		V		基本	顏色				基本_顏色	基本_顏色_	真っ黒い色 	價格	歌手	胸部
	初級	ㄱ	形容詞	까맣다	黑	밤하늘이 [까맣다]	夜空「漆黑」		V		基本	顏色				基本_顏色	基本_顏色_	黒い 	乾淨	滿滿	癢
	中級	ㄱ	動詞	까먹다	剝來吃	고구마를 [까먹다]	「剝」甘薯「吃」		V		人	動作	身體			人_動作	人_動作_身體		切	舖	閃爍
	初級	ㄱ	動詞	깎다	削	사과를 [깎다]	「削」蘋果		V		食	料理	方法			食_料理	食_料理_方法		醒	取出	做夢
	中級	ㄱ	形容詞	깔끔하다	乾淨	외모가 [깔끔하다]	外貌「乾淨」		V		住	清掃				住_清掃	住_清掃_		黑暗	仔細	堅持不懈地
	中級	ㄱ	動詞	깔다	舖	이불을 [깔다]	「鋪」被子		V		人	動作	手			人_動作	人_動作_手		打折	閃爍	打破
	中級	ㄱ	動詞	깔리다	舖	이불이 [깔리다]	「鋪」被子		V		人	動作	手			人_動作	人_動作_手		閃爍	打破	領會
	中級	ㄱ	形容詞	깜깜하다	黑暗	방이 [깜깜하다]	房子「黑暗」		V		樣態	比較	明暗			樣態_比較	樣態_比較_明暗		仔細	堅持不懈地	一直
	中級	ㄱ	動詞	깜박하다	閃爍	등불이 [깜박하다]	燈光「閃爍」		V		樣態	比較	明暗			樣態_比較	樣態_比較_明暗		打破	領會	打碎
	中級	ㄱ	副詞	깜빡	亮	[깜빡] 켜지다	閃「亮亮」		V		樣態	比較	明暗			樣態_比較	樣態_比較_明暗		用力	仔細	動彈
	初級	ㄱ	副詞	깜짝	驚喜	[깜짝] 놀라다	驚喜		V		人	感覺				人_感覺	人_感覺_		洗乾淨	一定	滿滿地
	中級	ㄱ	名詞	깨	芝麻	[깨]를 볶다	炒「芝麻」		V		食	料理	調味料			食_料理	食_料理_調味料	ゴマ 	皮	尾巴	巔峰
	初級	ㄱ	副詞	깨끗이	洗乾淨	[깨끗이] 씻다	洗「乾淨」		V		住	清掃				住_清掃	住_清掃_		一定	滿滿地	暫時
	初級	ㄱ	形容詞	깨끗하다	乾淨	옷이 [깨끗하다] 	衣服很「乾淨」		V		住	清掃				住_清掃	住_清掃_	綺麗だ 	滿滿	癢	懇切的
	初級	ㄱ	動詞	깨다	醒	잠이 [깨다]	醒來		V		住	起居				住_起居	住_起居_	覚める、起きる 	取出	做夢	關
	中級	ㄱ	動詞	깨다	打破	그릇을 [깨다]	「打破」碗		V		人	動作	手			人_動作	人_動作_手	覚める、起きる 	取出	做夢	關
	中級	ㄱ		깨다-깨우다	醒-叫醒				V	#N/A	文法	狀態與轉折	詞性改變	使動		文法_使動	文法_使動_詞性改變				
	中級	ㄱ	動詞	깨닫다	領會	의미를 [깨닫다]	「領會」意義		V		人	思想				人_思想	人_思想_		打碎	咬住	清醒
	中級	ㄱ	動詞	깨뜨리다	打碎	거울을 [깨뜨리다]	「打碎」鏡子		V		樣態	變化				樣態_變化	樣態_變化_		咬住	清醒	醒
	中級	ㄱ	動詞	깨물다	咬住	사탕을 [깨물다]	「咬住」糖果		V		人	動作	口			人_動作	人_動作_口		清醒	醒	碎了
	中級	ㄱ	動詞	깨어나다	清醒	의식이 [깨어나다]	意識「清醒」		V		住	起居				住_起居	住_起居_		醒	碎了	熄
	中級	ㄱ	動詞	깨우다	醒	잠을 [깨우다]	睡「醒」		V		住	起居				住_起居	住_起居_	起こす 	碎了	熄	摘
	中級	ㄱ	動詞	깨지다	碎了	유리가 [깨지다]	玻璃「碎了」		V		人	動作	手			人_動作	人_動作_手		熄	摘	抱
	初級	ㄱ	動詞	꺼내다	取出	가방에서 [꺼내다]	從包包中「取出」		V		人	動作	手			人_動作	人_動作_手		做夢	關	戒
	高級			꺼내다 <> 넣다	拿出<>放進					#N/A	人	動作	手								
	高級	ㄱ		꺼리다	忌諱					#N/A	人	思想				人_思想	人_思想_				
	中級	ㄱ	動詞	꺼지다	熄	불이 [꺼지다]	火「熄了」		V		樣態	變化				樣態_變化	樣態_變化_		摘	抱	屈（指）
	中級	ㄱ	動詞	꺾다	摘	꽃을 [꺾다]	「摘」花		V		自然	形體				自然_形體	自然_形體_		抱	屈（指）	剪
	初級	ㄱ	名詞	껌	口香糖	[껌]을 씹다	嚼「口香糖」		V		食	食物	點心			食_食物	食_食物_點心	ガム 	花	花束	花瓶
	中級	ㄱ	名詞	껍질	皮	과일 [껍질]	水果「皮」		V		食	食物	水果			食_食物	食_食物_水果		尾巴	巔峰	插花
	中級	ㄱ	動詞	껴안다	抱	아이를 [껴안다]	「摟抱」孩子		V		樂	人際	戀愛結婚			樂_人際	樂_人際_戀愛結婚	抱きしめる 	醒	屈（指）	插入
	中級	ㄱ	名詞	꼬리	尾巴	[꼬리]를 흔들다	「搖」尾巴		V		自然	動物				自然_動物	自然_動物_	しっぽ 	巔峰	插花	花紋
	高級	ㄱ	動詞	꼬이다	聚集	벌레가 [꼬이다]	蟲子「聚集」				樣態	分合				樣態_分合	樣態_分合_				
	高級	ㄱ	動詞	꼬이다	錯綜	일이 복잡하게 [꼬이다]	事情「錯綜」複雜				育	工作	進行			育_工作	育_工作_進行				
	初級	ㄱ	副詞	꼭	一定	[꼭] 오세요	「一定」要来哦		V		樣態	比較	機率			樣態_比較	樣態_比較_機率		滿滿地	暫時	傲慢
	中級	ㄱ	副詞	꼭	用力	[꼭] 누르다	「用力」按		V		人	思想				人_思想	人_思想_		滿滿地	暫時	傲慢
新視4_1_01_1	高級	ㄱ		꼭 필요한 말만 하다	只說必要的話						人	個性				人_個性	人_個性_				
	中級	ㄱ	名詞	꼭대기	巔峰	[꼭대기]에 오르다	登上「巔峰」		V		基本	地方	方位			基本_地方	基本_地方_方位		插花	花紋	花瓣
	中級	ㄱ	形容詞	꼼꼼하다	仔細	[꼼꼼하게] 살펴보다 	「仔細」查看		V		人	個性	盡責			人_個性	人_個性_盡責	几帳面だ 	堅持不懈地	一直	沒極限
	中級	ㄱ	副詞	꼼꼼히	仔細	[꼼꼼히] 살피다	「仔細」觀察		V		人	個性	盡責			人_個性	人_個性_盡責		動彈	使勁	相當
	中級	ㄱ	副詞	꼼짝	動彈	[꼼짝] 못하다	「動彈」不得		V		人	動作	身體			人_動作	人_動作_身體		使勁	相當	堅持不懈地
	中級	ㄱ	動詞	꼽다	屈（指）	손가락을 [꼽다]	「掰」手指算日子		V		人	動作	手指			人_動作	人_動作_手指		閃爍	插入	插花
	中級	ㄱ	動詞	꼽히다	屈（指）	다섯 손가락 안에 [꼽히다]	「屈指」可數		V		人	動作	手指			人_動作	人_動作_手指		插入	插花	借貸
	中級	ㄱ	動詞	꽂다	插入	열쇠를 [꽂다]	「插入」鑰匙		V		人	動作	手指			人_動作	人_動作_手指		插花	借貸	收捨
	中級	ㄱ	動詞	꽂히다	插花	꽃이 [꽂히다]	「插」花		V		人	動作	手指			人_動作	人_動作_手指		借貸	收捨	打扮
	初級	ㄱ	名詞	꽃	花	[꽃]이 피다	開「花」		V		自然	植物				自然_植物	自然_植物_	花 	花束	花瓶	花店
	中級	ㄱ	名詞	꽃꽂이	插花	[꽃꽂이]를 배우다	學「插花」		V		自然	植物				自然_植物	自然_植物_	生け花 	花紋	花瓣	責備
	初級	ㄱ	名詞	꽃다발	花束	[꽃다발]을 선물하다	送「花束」當禮物		V		自然	植物				自然_植物	自然_植物_	花束 	花瓶	花店	夢
	中級	ㄱ	名詞	꽃무늬	花紋	[꽃무늬] 커튼	「花紋」窗帘		V		基本	形式				基本_形式	基本_形式_	花模様、花柄 	花瓣	責備	蜂蜜
	初級	ㄱ	名詞	꽃병	花瓶	[꽃병]을 깨뜨리다	打破「花瓶」		V		住	用品				住_用品	住_用品_	花瓶 	花店	夢	結束
				꽃샘	春寒					#N/A	自然	天氣	#N/A								
	中級	ㄱ	名詞	꽃잎	花瓣	[꽃잎]이 지다	「花瓣」掉落		V		自然	植物				自然_植物	自然_植物_	花びら 	責備	蜂蜜	夢中
	初級	ㄱ	名詞	꽃집	花店	[꽃집]을 열다	開「花店」		V		行	街道	商店			行_街道	行_街道_商店	花屋、生花店 	夢	結束	窮困
	中級	ㄱ	副詞	꽉	使勁	[꽉] 누르다	「使勁」壓		V		人	動作	手指			人_動作	人_動作_手指		相當	堅持不懈地	不絕
	中級	ㄱ	副詞	꽤	相當	[꽤] 멀다	「相當」遠		V		樣態	比較				樣態_比較	樣態_比較_		堅持不懈地	不絕	終究
	初級	ㄱ	動詞	꾸다	做夢	꿈을 [꾸다]	「做」夢		V		住	起居				住_起居	住_起居_		關	戒	斷
	中級	ㄱ	動詞	꾸다	借貸	돈을 [꾸다]	「借貸」錢		V		樂	人際	收授			樂_人際	樂_人際_收授		關	戒	斷
	中級	ㄱ	動詞	꾸리다	收捨	이삿짐을 [꾸리다]	「收拾」搬家行李		V		住	清掃				住_清掃	住_清掃_		打扮	跪下	做夢
	中級	ㄱ	動詞	꾸미다	打扮	외모를 [꾸미다]	「打扮」外貌		V		人	外貌				人_外貌	人_外貌_		跪下	做夢	點
	中級	ㄱ	形容詞	꾸준하다	堅持不懈地	[꾸준하게] 노력하다	「堅持不懈地」努力		V		人	思想	決心			人_思想	人_思想_決心		一直	沒極限	糟
	中級	ㄱ	副詞	꾸준히	堅持不懈地	[꾸준히] 노력하다	「堅持不懈地」努力		V		人	思想	決心			人_思想	人_思想_決心		不絕	終究	不斷
				꾸준히	持續地	[꾸준히] 증가하다	「持續地」增加			1288	基本	數字	圖表	增減							
	中級	ㄱ	名詞	꾸중	責備	[꾸중]을 듣다	「責備」		V		人	思想	批判			人_思想	人_思想_批判		蜂蜜	夢中	繩子
	中級	ㄱ	名詞	꿀	蜂蜜	[꿀]을 찍어 먹다	沾「蜂蜜」吃		V		食	料理	調味料			食_料理	食_料理_調味料	蜜 	夢中	繩子	餐
	中級	ㄱ	動詞	꿇다	跪下	무릎을 [꿇다]	「跪」下		V		人	動作	身體			人_動作	人_動作_身體		做夢	點	斷掉
	初級	ㄱ	名詞	꿈	夢	[꿈]을 꾸다	做「夢」		V		住	起居				住_起居	住_起居_	夢 	結束	窮困	口香糖
	中級	ㄱ	動詞	꿈꾸다	做夢	[꿈꾸며] 자다	「做夢」		V		住	起居				住_起居	住_起居_		點	斷掉	醒來
	中級	ㄱ	名詞	꿈속	夢中	[꿈속]에서 만나다	「在夢中」相見		V		住	起居				住_起居	住_起居_		繩子	餐	明年
	初級	ㄱ	動詞	끄다	關	불을 [끄다]	「關」火		V		人	動作	手指			人_動作	人_動作_手指		戒	斷	燒
	中級	ㄱ	動詞	끄덕이다	點	고개를 [끄덕이다]	「點」頭		V		人	動作	身體			人_動作	人_動作_身體		連接	斷掉	拖
	中級	ㄱ	名詞	끈	繩子	[끈]을 묶다	繫上「繩子」		V		住	用品				住_用品	住_用品_		餐	明年	黃色
新視4_1_01_1	高級	ㄱ		끈기 있다	有靱性的						人	個性	盡責			人_個性	人_個性_盡責				
	中級	ㄱ	動詞	끊기다	斷掉	다리가 [끊기다]	腿「斷掉」		V		樣態	變化	分合			樣態_變化	樣態_變化_分合		開始	拖	結合
	初級	ㄱ	動詞	끊다	戒	담배를 [끊다]	「戒」煙	004.끊다	V		人	思想	決心			人_思想	人_思想_決心		拖	燒	結束
	中級	ㄱ		끊다-끊기다	斷-被剪斷			004.끊다	V	#N/A	文法	狀態與轉折	詞性改變	被動		文法_狀態與轉折	文法_狀態與轉折_詞性改變				
	中級	ㄱ	動詞	끊어지다	斷掉	줄이 [끊어지다]	繩子「斷掉」		V		樣態	變化	分合			樣態_變化	樣態_變化_分合		連接	拖	拉過來
	中級	ㄱ	形容詞	끊임없다	一直	손님이 [끊임없다]	客人「絡繹不絕」		V		基本	時間	頻率			基本_時間	基本_時間_頻率		沒極限	糟	苗條
	中級	ㄱ	副詞	끊임없이	不絕	이어지다 [끊임없이] 	連綿「不絕」		V		基本	時間	頻率			基本_時間	基本_時間_頻率		終究	不斷	非常
	中級	ㄱ	動詞	끌다	拖	신발을 [끌다]	「拖」著鞋		V		人	動作	手			人_動作	人_動作_手	乗り物を乗り回す 	痊癒	拉過來	抱
	中級	ㄱ	動詞	끌리다	拖	바지가 [끌리다]	「拖」著褲子		V		人	動作	手			人_動作	人_動作_手		拉過來	抱	積著
	中級	ㄱ	動詞	끌어당기다	拉過來	의자를 [끌어당기다]	把椅子「拉過來」		V		人	動作	手			人_動作	人_動作_手		抱	積著	扣上
	中級	ㄱ	動詞	끌어안다	抱	아기를 [끌어안다]	把孩子「抱起來」		V		人	動作	手			人_動作	人_動作_手		積著	扣上	鑽進
	初級	ㄱ	動詞	끓다	燒	물이 [끓다]	「燒」水		V		樣態	變化	分合			樣態_變化	樣態_變化_分合		闗	結束	結合
	中級	ㄱ		끓다-끓이다	沸-煮沸				V	#N/A	文法	狀態與轉折	詞性改變	使動		文法_使動	文法_使動_詞性改變				
	初級	ㄱ	動詞	끓이다	燒	물을 [끓이다]	「燒」水		V		食	料理	方法			食_料理	食_料理_方法	沸かす 	開始	結束	戴
	初級	ㄱ	名詞	끝	結束	[끝]<>시작	「結尾」<>開始		V		育	工作	起始			育_工作	育_工作_起始		開始	窮困	可能
新視4_1_01_1	高級	ㄱ		끝까지 끝내다	堅持到最後						人	個性	盡責			人_個性	人_個性_盡責				
	初級	ㄱ	動詞	끝나다	結束	수업이 [끝나다]	課程「結束」		V		育	工作	起始			育_工作	育_工作_起始		開始	戴	裝飾
	中級	ㄱ	副詞	끝내	終究	[끝내] 모르다	「終究」不知道		V		育	工作	起始			育_工作	育_工作_起始		不斷	非常	高高地
	初級	ㄱ	動詞	끝내다	結束	일을 [끝내다]	工作「結束」		V		育	工作	起始			育_工作	育_工作_起始		戴	裝飾	栽培
	中級	ㄱ	形容詞	끝없다	沒極限	욕심이 [끝없다]	貪心「沒有極限」		V		樣態	變化	分合			樣態_變化	樣態_變化_分合		糟	苗條	好的
	中級	ㄱ	副詞	끝없이	不斷	[끝없이] 이어지다	連綿「不斷」		V		樣態	變化	分合			樣態_變化	樣態_變化_分合		非常	高高地	經常
	中級	ㄱ	名詞	끼	餐	하루 세 [끼]	一日三「餐」		V		食	用餐				食_用餐	食_用餐_	才能 	明年	黃色	綠色
	初級	ㄱ	動詞	끼다	戴	반지를 [끼다]	「戴」戒指		V		衣	穿戴				衣_穿戴	衣_穿戴_		裝飾	栽培	關
