가격	價格	歌手	胸部	歌謠
익다	成熟	認同	起床	起來
익숙하다	習慣	捨不得	無所謂	不熟
인기	人氣	印度尼西亞	問候	人參
인도네시아	印度尼西亞	問候	人參	仁川
인분	-人份	問候	人參	仁川
인사	問候	人參	仁川	網路
인삼	人參	仁川	網路	娃娃
인정받다	認同	起床	起來	讀
인천	仁川	網路	娃娃	工作
인터넷	網路	娃娃	工作	日記
인형	娃娃	工作	日記	日本
일	工作	日記	日本	部份
일	-天	日記	日本	部份
일기	日記	日本	部份	日式食物
일본	日本	部份	日式食物	日式餐廳
일부	部份	日式食物	日式餐廳	一周
일식	日式食物	日式餐廳	一周	口
일식집	日式餐廳	一周	口	入口
일어나다	起床	起來	讀	丟失
일어서다	起來	讀	丟失	睡
일주일	一周	口	入口	嘴唇
일찍	早起	可能	總是	無論如何
읽다	讀	問	丟失	忘記
잃다	丟失	找到	忘記	想起
잃어버리다	丟失	找到	忘記	省
입	口	入口	嘴唇	入院
입구	入口	嘴唇	入院	入場卷
입술	嘴唇	入院	入場卷	入學
입원	入院	入場卷	入學	入學考試
입장권	入場卷	入學	入學考試	葉子
입학	入學	入學考試	葉子	嬰兒
입학시험	入學考試	葉子	嬰兒	孩子
있다	在家	困	偶爾	滿滿地
잊다	忘記	捕捉	省	擁抱
잊어버리다	忘記	省	擁抱	想起
잎	葉子	嬰兒	孩子	兒子
하얀색	白色	飯店	星期二	天空
차	車	茶	順序	冷水
차	茶	茶	順序	冷水
차갑다	涼	熱	好	溫
차다	滿滿地	踢	戴	忍住
차다	踢	踢	戴	忍住
차다	戴	踢	戴	忍住
차다	涼	踢	戴	忍住
차례	順序	冷水	香瓜	窗
착하다	好	冷	充足	親密
찬물	冷水	香瓜	窗	蔬菜
참	真	慢慢	不如	忍心
참다	忍住	找	去找	來找
참외	香瓜	窗	蔬菜	書
창문	窗	蔬菜	書	書桌
찾다	找	去找	來找	來訪
찾아가다	去找	來找	來訪	仰望
찾아보다	來找	來訪	仰望	跳
찾아오다	來訪	仰望	跳	跳舞
채소	蔬菜	書	書桌	書櫃
책	書	書桌	書櫃	先
책상	書桌	書櫃	先	第一天
책장	書櫃	先	第一天	伙子
처음	先	第一天	伙子	牛仔褲
천천히	慢慢	不如	忍心	漸漸
첫	初次	總	一位	一個或兩個
첫날	第一天	伙子	牛仔褲	清掃
첫째	第一	千萬	九	九十
청년	伙子	牛仔褲	清掃	青少年
청바지	牛仔褲	清掃	青少年	體育館
청소	清掃	青少年	體育館	格子
청소년	青少年	體育館	格子	邀請
체육관	體育館	格子	邀請	邀請函
체크무늬	格子	邀請	邀請函	小學
쳐다보다	仰望	跳	跳舞	拍
초	初-			
초	-秒			
초대	邀請	邀請函	小學	小學生
초대장	邀請函	小學	小學生	草綠色
초등학교	小學	小學生	草綠色	巧克力
초등학생	小學生	草綠色	巧克力	最高
초록색	草綠色	巧克力	最高	最近
초콜릿	巧克力	最高	最近	中秋節
최고	最高	最近	中秋節	足球
최근	最近	中秋節	足球	很久
추다	跳	跳舞	拍	準備
추석	中秋節	中元	足球	慶祝
축구	足球	菊花	慶祝	出口
축구공	足球	慶祝	出口	出勤
축하	慶祝	出口	出勤	出發
출구	出口	出勤	出發	出席
출근	出勤	出發	出席	出入
출발	出發	出席	出入	出入境
출석	出席	出入	出入境	出差
출입	出入	出入境	出差	通勤
출입국	出入境	出差	通勤	舞
출장	出差	通勤	舞	休閒
출퇴근	通勤	舞	休閒	取消
춤	舞	休閒	取消	就職
춤추다	跳舞	拍	準備	找出
춥다	冷	充足	親密	土裡土氣
충분하다	充足	親密	土裡土氣	黑暗
취미	休閒	取消	就職	層
취소	取消	就職	層	牙科
취직	就職	層	牙科	治療
층	層	牙科	治療	裙子
치과	牙科	治療	裙子	牙膏
치다	拍	準備	找出	尋找
치료	治療	裙子	牙膏	雞肉
치마	裙子	牙膏	雞肉	朋友
치약	牙膏	雞肉	朋友	親切
치킨	雞肉	朋友	親切	親戚
친구	朋友	親切	親戚	黑板
친절	親切	親戚	黑板	床
친척	親戚	黑板	床	臥室
친하다	親密	土裡土氣	黑暗	大的
칠판	黑板	床	臥室	牙刷
침대	床	臥室	牙刷	稱讚
침실	臥室	牙刷	稱讚	車道
칫솔	牙刷	稱讚	車道	車輛
칭찬	稱讚	車道	車輛	人行道
카드	卡片	咖哩	相機	咖啡店
카레	咖哩	相機	咖啡店	切
카메라	相機	咖啡店	切	刀削麵
카페	咖啡店	切	刀削麵	加拿大
칼	切	刀削麵	加拿大	咖啡
칼국수	刀削麵	加拿大	咖啡	咖啡館
캐나다	加拿大	咖啡	咖啡館	電腦
커피	咖啡	咖啡館	電腦	杯子
커피숍	咖啡館	電腦	杯子	蛋糕
컴퓨터	電腦	杯子	蛋糕	鼻子
컵	杯子	蛋糕	鼻子	大象
케이크	蛋糕	鼻子	大象	音樂會
켜다	開	拉	養狗	變大
켜다	拉	拉	養狗	變大
켤레	-雙			
코	鼻子	大象	音樂會	可樂
코끼리	大象	音樂會	可樂	鼻涕
콘서트	音樂會	可樂	鼻涕	豆子
콜라	可樂	鼻涕	豆子	尺寸
콧물	鼻涕	豆子	尺寸	聖誕樹
콩	豆子	尺寸	聖誕樹	大聲
크기	尺寸	聖誕樹	大聲	個子
크다	大	-種	一個	三個月
크리스마스	聖誕樹	大聲	個子	間
큰소리	大聲	個子	間	活動
키	個子	間	活動	切
키우다	養狗	變大	著（火）	搭
킬로그램	-公斤			
킬로미터	-公里			
타다	著（火）	搭	沖	誕生
타다	搭	搭	沖	誕生
타다	沖	搭	沖	誕生
탁구	桌球	糖醋肉	泰國	跆拳道
탕수육	糖醋肉	泰國	跆拳道	太極旗
태국	泰國	跆拳道	太極旗	態度
태권도	跆拳道	太極旗	態度	颱風
태극기	太極旗	態度	颱風	送貨
태도	態度	颱風	送貨	計程車
태어나다	誕生	炸	開	錯
태풍	颱風	送貨	計程車	航廈
택배	送貨	計程車	航廈	網球
택시	計程車	航廈	網球	網球場
터미널	航廈	網球	網球場	桌子
테니스	網球	網球場	桌子	電視
테니스장	網球場	桌子	電視	兔子
테이블	桌子	電視	兔子	番茄
텔레비전	電視	兔子	番茄	存摺
토끼	兔子	番茄	存摺	通話
토마토	番茄	存摺	通話	下班
통장	存摺	通話	下班	出院
통화	通話	下班	出院	油炸食物
퇴근	下班	出院	油炸食物	卡車
퇴원	出院	油炸食物	卡車	T恤
튀기다	炸	開	錯	先天
튀김	油炸食物	卡車	T恤	隊
트럭	卡車	T恤	隊	他人
특별하다	特別	強	胖乎乎的	肯定是
특별히	特別	尤其	空蕩蕩	完全
특히	尤其	空蕩蕩	完全	定局
튼튼하다	強	胖乎乎的	肯定是	天藍
틀다	開	錯	先天	領（薪水）
틀리다	錯	先天	領（薪水）	禁不住
티셔츠	T恤	隊	他人	桌子
팀	隊	他人	桌子	出生
파랗다	天藍	不舒服	舒坦	綠的
파티	派對	手臂	方便	平安
팔	手臂	方便	平安	寫信
팔다	賣	慢慢地	翻	舖
팔리다	賣	翻	舖	鬆開
펴다	翻	舖	鬆開	開花
펴다	舖	舖	鬆開	開花
편리	方便	平安	寫信	平常
편안	平安	寫信	平常	平日
편지	寫信	平常	平日	葡萄
편찮다	不舒服	舒坦	綠的	普通的
편하다	舒坦	綠的	普通的	平和
평소	平常	平日	葡萄	包裝
평일	平日	葡萄	包裝	票
포도	葡萄	包裝	票	風景
포장	包裝	票	風景	平底鍋
표	票	風景	平底鍋	法國
푸르다	綠的	普通的	平和	柔軟
푹	熟睡	很	安逸	但
풀다	鬆開	開花	（花朵）盛開	挖
풍경	風景	平底鍋	法國	計劃
프라이팬	平底鍋	法國	計劃	血
프랑스	法國	計劃	血	疲勞
프로그램	計劃	血	疲勞	鋼琴
피	血	疲勞	鋼琴	披薩
피곤	疲勞	鋼琴	披薩	需要
피다	開花	（花朵）盛開	挖	散開
피아노	鋼琴	披薩	需要	鉛筆盒
피우다	（花朵）盛開	挖	散開	出版
피자	披薩	需要	鉛筆盒	蔥
필요	需要	鉛筆盒	蔥	破壞
필통	鉛筆盒	蔥	破壞	海浪
하늘	天空	天藍色	一天	住宿費
하늘색	天藍色	一天	住宿費	宿舍
하다	做	分開	生氣	放手
하루	一天	住宿費	宿舍	學校
하숙비	住宿費	宿舍	學校	學期
하숙집	宿舍	學校	學期	學年
하얗다	雪白的	空閒	華麗	優秀
하지만	但	一起	總是	每年
학교	學校	學期	學年	學生
학기	學期	學年	學生	學生證
학년	學年	學生	學生證	補習班
학생	學生	學生證	補習班	漢江
학생증	學生證	補習班	漢江	韓國
학원	補習班	漢江	韓國	韓國字
한가하다	空閒	華麗	優秀	渾濁
한강	漢江	韓國	韓國字	韓服
한국	韓國	韓國字	韓服	韓食
한글	韓國字	韓服	韓食	韓式餐廳
한두	一個或兩個	舊	間接的	感動的
한번	一次	現在的	逐個	一段時期
한복	韓服	韓食	韓式餐廳	韓屋
한식	韓食	韓式餐廳	韓屋	一杯
한식집	韓式餐廳	韓屋	一杯	款待
한옥	韓屋	一杯	款待	祖母
한잔	一杯	款待	祖母	祖父
한턱	款待	祖母	祖父	折扣
할머니	祖母	祖父	折扣	航空
할아버지	祖父	折扣	航空	機票
할인	折扣	航空	機票	太陽
함께	一起	總是	每年	如果
항공	航空	機票	太陽	海外
항공권	機票	太陽	海外	海外旅遊
항상	總是	每年	如果	活躍的
해	-年	海外	海外旅遊	漢堡
해	太陽	海外	海外旅遊	漢堡
해마다	每年	如果	活躍的	更
해외	海外	海外旅遊	漢堡	陽光
해외여행	海外旅遊	漢堡	陽光	行動
햄버거	漢堡	陽光	行動	幸福
햇빛	陽光	行動	幸福	活動
행동	行動	幸福	活動	腰部
행복	幸福	活動	腰部	健身房
행사	活動	腰部	健身房	舌頭
허리	腰部	健身房	舌頭	現金
헤어지다	分開	重來	生氣	流動
헬스클럽	健身房	舌頭	現金	哥哥
혀	舌頭	現金	哥哥	兄弟
현금	現金	哥哥	兄弟	老虎
현재	現在的	逐個	一段時期	很久
형	哥哥	兄弟	老虎	湖水
형제	兄弟	老虎	湖水	紅茶
호랑이	老虎	湖水	紅茶	憤怒
호수	湖水	紅茶	憤怒	畫家
혹시	如果	活躍的	更	也是
혼자	一個人	好	嗯	這樣啊
홍차	紅茶	憤怒	畫家	衛生間
화	憤怒	畫家	衛生間	化妝品
화가	畫家	衛生間	化妝品	歡迎
화나다	生氣	高興	流動	揮
화내다	生氣	流動	揮	飄
화려하다	華麗	優秀	渾濁	吃力
화장실	衛生間	化妝品	歡迎	病人
화장품	化妝品	歡迎	病人	換匯
환영	歡迎	病人	換匯	公司
환자	病人	換匯	公司	會社員
환전	換匯	公司	會社員	灰色
활발히	活躍的	更	也是	很
회	-回	會談	恢復	會費
회사	公司	會社員	灰色	會員
회사원	會社員	灰色	會員	會議
회색	灰色	會員	會議	斑馬線
회원	會員	會議	斑馬線	後
회의	會議	斑馬線	後	新人
횡단보도	斑馬線	後	新人	假期
후	後	新人	假期	休息室
후배	新人	假期	休息室	手機
훌륭하다	優秀	渾濁	吃力	有害
훨씬	更	也是	很	總之
휴가	假期	休息室	手機	假日
휴게실	休息室	手機	假日	衛生紙
휴대폰	手機	假日	衛生紙	垃圾箱
휴일	假日	衛生紙	垃圾箱	希望
휴지	衛生紙	垃圾箱	希望	白色
휴지통	垃圾箱	希望	白色	力量
흐르다	流動	揮	飄	結合
흐리다	渾濁	吃力	有害	險峻
흔들다	揮	飄	結合	合為
흘리다	飄	結合	合為	完成
희망	希望	白色	力量	下
흰색	白色	力量	下	上帝
힘	力量	下	上帝	住宿
힘들다	吃力	有害	險峻	和暢
바깥	外	外面	香蕉	海
바깥쪽	外面	香蕉	海	地面
바꾸다	換成	買	盼望	抬頭看
바뀌다	換成	盼望	抬頭看	塗
바나나	香蕉	海	地面	海灘
바다	海	地面	海灘	風
바닥	地面	海灘	風	小提琴
바닷가	海灘	風	小提琴	褲子
바라다	盼望	抬頭看	塗	收到
바라보다	抬頭看	塗	收到	聽寫
바람	風	小提琴	褲子	博物館
바로	立即	務必	已經	沒
바르다	塗	收到	聽寫	學
바쁘다	忙	歡迎	複雜	害羞地
바이올린	小提琴	褲子	博物館	拍手
바지	褲子	博物館	拍手	外面
박물관	博物館	拍手	外面	半個
박수	拍手	外面	半個	班
밖	外面	半個	班	反方向
반	半個	塗	反方向	短褲
반	班	塗	反方向	短褲
반갑다	歡迎	複雜	害羞地	柔軟的
반대	反方向	短褲	戒指	小菜
반드시	務必	已經	沒	再
반바지	短褲	戒指	小菜	腳
반지	戒指	小菜	腳	腳趾
반찬	小菜	腳	腳趾	腳底
받다	收到	聽寫	學	丟
받아쓰다	聽寫	學	丟	賺
발	腳	腳趾	腳底	夜
발가락	腳趾	腳底	夜	飯
발바닥	腳底	夜	飯	房間
밝다	明亮的	在家	困	偶爾
밤	夜	飯	房間	房門
밥	飯	房間	房門	探望
방	房間	房門	探望	方法
방금	馬上	平常	日日夜夜	本來
방문	房門	探望	方法	轉播
방문	探望	探望	方法	轉播
방법	方法	轉播	廣播電台	放假
방송	轉播	廣播電台	放假	方向
방송국	廣播電台	放假	方向	肚子
방학	放假	方向	肚子	船
방향	方向	肚子	船	梨子
배	肚子	放假	探望	蛇
배	船	放假	飯	蛇
배	梨子	探望	放假	蛇
배	-倍	放假	探望	蛇
배달	外賣	羽毛球	劇場演員	白菜
배드민턴	羽毛球	劇場演員	白菜	拉肚子
배우	劇場演員	白菜	拉肚子	蛇
배우다	學	丟	賺	脫掉
배추	白菜	拉肚子	蛇	習慣
배탈	拉肚子	蛇	習慣	公車
백만	百萬	五十	十萬	三十
뱀	蛇	習慣	公車	號碼
버릇	習慣	公車	號碼	越南
버리다	丟	賺	脫掉	改變
버스	公車	號碼	越南	牆
번	次	位	雙	天
번째	第	位	雙	天
번호	號碼	越南	牆	律師
벌	-套	懲罰	罰金	蟲子
벌다	賺	脫掉	改變	寄
벌써	已經	沒	再	走快點
벗다	脫掉	改變	寄	看
베트남	越南	牆	律師	星星
벽	牆	律師	星星	病
변하다	改變	寄	看	錯
변호사	律師	星星	病	瓶
별	星星	三	二十	新衣
별로	沒	再	走快點	乾
병	病	星星	探病	醫院
병	瓶	星星	探病	醫院
병문안	探病	醫院	紫色	複習
병원	醫院	紫色	複習	炒飯
보내다	寄	退	看	炒
보다	再	退貨	換成	炒飯
보라색	紫色	複習	炒飯	原子筆
보이다	看	戲弄	炒	拜見
보이다	看	戲弄	炒	拜見
보통	平常	日日夜夜	本來	事實
복습	複習	炒飯	原子筆	信
복잡하다	複雜	害羞地	柔軟的	羨慕
볶다	炒	拜見	叫	寄
볶음밥	炒飯	原子筆	信	父母
볼펜	原子筆	信	父母	夫妻
봉투	信	父母	夫妻	部份
뵙다	拜見	叫	寄	風吹
부끄럽다	害羞地	柔軟的	羨慕	飽
부드럽다	柔軟的	羨慕	飽	勤勞
부럽다	羨慕	飽	勤勞	清楚
부르다	叫	寄	風吹	沾上
부르다	飽	寄	風吹	沾上
부모님	父母	夫妻	部份	釜山
부부	夫妻	部份	釜山	廚房
부분	部份	釜山	廚房	夫人
부산	釜山	廚房	夫人	富翁
부엌	廚房	夫人	富翁	部長
부인	夫人	富翁	部長	不足
부자	富翁	部長	不足	請託
부장	部長	不足	請託	北邊
부족	不足	請託	北邊	麵
부지런하다	勤勞	清楚	不幸	紅色的
부치다	寄	風吹	沾上	貼
부탁	請託	北邊	麵	氣氛
북쪽	北邊	麵	氣氛	點火
분	位	雙	公尺	張
분	分鐘	雙	公尺	張
분명하다	清楚	不幸	紅色的	相似
분식	麵	氣氛	點火	烤肉
분위기	氣氛	點火	烤肉	不安
불	點火	烤肉	不安	不便
불고기	烤肉	不安	不便	襯衫
불다	風吹	沾上	貼	空著
불쌍하다	不幸	紅色的	相似	貴
불안	不安	不便	襯衫	雨
불편	不便	襯衫	雨	比較
붉다	紅色的	相似	貴	快
붙다	沾上	貼	空著	借
붙이다	貼	空著	借	掉
블라우스	襯衫	雨	比較	肥皂
비	雨	比較	肥皂	視頻
비교	比較	肥皂	視頻	秘密
비누	肥皂	視頻	秘密	拌飯
비다	空著	借	掉	洗
비디오	視頻	秘密	拌飯	飛機
비밀	秘密	拌飯	飛機	房子
비빔밥	拌飯	飛機	房子	洗衣服
비슷하다	相似	貴	快	紅色的
비싸다	貴	快	紅色的	可取的
비행기	飛機	房子	洗衣服	麵包
빌딩	房子	洗衣服	麵包	麵包店
빌리다	借	掉	洗	拔
빠르다	快	紅色的	可取的	端正
빠지다	掉	洗	拔	撿
빨갛다	紅色的	可取的	端正	在深夜
빨다	洗	快	拔	送回
빨래	洗衣服	麵包	麵包店	勺子
빨리	走快點	乾	閃光	猛地
빵	麵包	麵包店	勺子	籃子
빵집	麵包店	勺子	籃子	針
빼다	拔	歡迎	送回	擺好
뽑다	拔	送回	擺好	供上
사거리	十字路口	四季	事故	蘋果
사계절	四季	事故	蘋果	人
사고	事故	蘋果	人	愛情
사과	蘋果	人	愛情	辦公室
사귀다	交	買	住	思考
사다	買	住	思考	建
사람	人	愛情	辦公室	事業
사랑	愛情	辦公室	事業	採用
사무실	辦公室	事業	採用	中間
사실	事實	正好	現在	昨天
사업	事業	採用	中間	汽水
사용	採用	中間	汽水	尺寸
사이	中間	汽水	尺寸	社長
사이다	汽水	尺寸	社長	字典
사이즈	尺寸	社長	字典	照片
사장	社長	字典	照片	糖果
사전	字典	照片	糖果	三天
사진	照片	糖果	三天	爬山
사탕	糖果	三天	爬山	散步
사흘	三天	爬山	散步	肉
산	爬山	散步	肉	三岔路
산책	散步	肉	三岔路	五花肉
살	肉	三岔路	五花肉	參雞湯
살	-歲	三岔路	五花肉	參雞湯
살다	住	思考	建	站直
삼거리	三岔路	五花肉	參雞湯	叔叔
삼겹살	五花肉	參雞湯	叔叔	得奬
삼계탕	參雞湯	叔叔	得奬	箱
삼촌	叔叔	得奬	箱	傷口
상	得奬	箱	傷口	生菜
상자	箱	傷口	生菜	產品
상처	傷口	生菜	產品	鳥
상추	生菜	產品	鳥	清晨
상품	產品	鳥	清晨	新年
새	鳥	三四個	消極的	大約
새	新衣	三四個	消極的	大約
새로	新買的	彼此	偷偷溜出去	沒有關係
새롭다	新的	涼爽	感到失望	硬
새벽	清晨	新年	顏色	晚上
새해	新年	鳥	顏色	三明治
색	顏色	書	三明治	思考
색깔	顏色	三明治	思考	魚
샌드위치	三明治	思考	魚	生辰
생각	思考	魚	生辰	生日
생각나다	思考	建	站直	匆忙
생기다	建	站直	匆忙	摻
생선	魚	生辰	生日	生活
생신	生辰	生日	生活	淋浴
생일	生日	生活	淋浴	抽屜
생활	生活	淋浴	抽屜	文件
샤워	淋浴	抽屜	文件	服務
서너	三四個	消極的	大約	任何
서다	站直	匆忙	摻	站起來
서두르다	匆忙	摻	站起來	休息
서랍	抽屜	文件	服務	西洋
서로	彼此	偷偷溜出去	沒有關係	相當
서류	文件	服務	西洋	首爾
서른	三十	幾萬元	幾百隻	幾十個
서비스	服務	西洋	首爾	書店
서양	西洋	首爾	書店	西邊
서울	首爾	書店	西邊	收禮物
서점	書店	西邊	收禮物	前輩
서쪽	西邊	收禮物	前輩	老師
섞다	摻	站起來	休息	喘息
선물	收禮物	前輩	老師	選手
선배	前輩	老師	選手	選擇
선생님	老師	選手	選擇	電扇
선선하다	涼爽	感到失望	硬	寶貴
선수	選手	選擇	電扇	洗盤子
선택	選擇	電扇	洗盤子	新年
선풍기	電扇	洗盤子	新年	雪濃湯
설거지	洗盤子	新年	雪濃湯	說明
설날	新年	雪濃湯	說明	糖
설렁탕	雪濃湯	說明	糖	島
설명	說明	糖	島	姓
설탕	糖	島	姓	性格
섬	島	姓	性格	成功
섭섭하다	感到失望	硬	寶貴	簡單
성	姓	性格	成功	取得成績
성격	性格	成功	取得成績	姓名
성공	成功	取得成績	姓名	世界
성적	取得成績	姓名	世界	拜年
성함	姓名	世界	拜年	性別
세	-歲	二十	新衣	三四個
세계	世界	拜年	宇宙	洗臉
세다	硬	吆喝	傳聞	受騙
세배	拜年	世界	洗臉	洗衣服
세상	世界	洗臉	洗衣服	洗衣機
세수	洗臉	洗衣服	洗衣機	洗衣店
세우다	站起來	休息	喘息	悲傷
세탁	洗衣服	洗衣機	洗衣店	中心
세탁기	洗衣機	洗衣店	中心	牛
세탁소	洗衣店	中心	牛	介紹
센터	中心	牛	介紹	牛肉
센티미터	-厘米	牛	介紹	牛肉
셋째	第三	第二十天	第九	第八
소	牛	介紹	牛肉	鹽
소개	介紹	牛肉	鹽	聲音
소고기	牛肉	鹽	聲音	小說
소금	鹽	聲音	小說	消息
소리	聲音	小說	消息	燒酒
소설	小說	消息	燒酒	沙發
소식	消息	燒酒	沙發	包裹
소주	燒酒	沙發	包裹	野餐
소중하다	寶貴	簡單	悲傷	吵雜
소파	沙發	包裹	野餐	消化藥
소포	包裹	野餐	消化藥	裡
소풍	野餐	消化藥	裡	速度
소화제	消化藥	裡	速度	內衣
속	裡	速度	內衣	手
속도	速度	內衣	手	手指
속옷	內衣	手	手指	孫女
손	手	手指	孫女	客人
손가락	手指	孫女	客人	手掌
손녀	孫女	客人	手掌	手帕
손님	客人	手掌	手帕	松餅
손바닥	手掌	手帕	松餅	購物
손수건	手帕	松餅	購物	數字
송편	松餅	購物	數字	毛巾
쇼핑	購物	數字	毛巾	辛苦
수	數字	毛巾	辛苦	西瓜
수건	毛巾	辛苦	西瓜	手術
수고	辛苦	西瓜	手術	上課
수박	西瓜	手術	上課	游泳
수술	手術	上課	游泳	泳裝
수업	上課	游泳	泳裝	游泳池
수영	游泳	泳裝	游泳池	湯匙
수영복	泳裝	游泳池	湯匙	手冊
수영장	游泳池	湯匙	手冊	作業
수저	湯匙	手冊	作業	嫩豆腐鍋
수첩	手冊	作業	嫩豆腐鍋	排順序
숙제	作業	嫩豆腐鍋	排順序	勺子
순두부찌개	嫩豆腐鍋	排順序	勺子	酒
순서	排順序	勺子	酒	酒吧
숟가락	勺子	酒	酒吧	數字
술	酒	酒吧	數字	超市
술집	酒吧	數字	超市	毛衣
숫자	數字	超市	毛衣	圍巾
쉬다	休息	喘息	悲傷	安排
쉬다	喘息	喘息	悲傷	安排
쉽다	簡單	悲傷	吵雜	酸
슈퍼마켓	超市	毛衣	圍巾	溜冰鞋
스스로	我自己	真實發生	昨天	今天
스웨터	毛衣	圍巾	溜冰鞋	滑雪板
스카프	圍巾	溜冰鞋	滑雪板	滑雪場
스케이트	溜冰鞋	滑雪板	滑雪場	偶像
스키	滑雪板	滑雪場	偶像	壓力
스키장	滑雪場	偶像	壓力	義大利麵
스타	偶像	壓力	義大利麵	運動
스트레스	壓力	義大利麵	運動	悲傷
스파게티	義大利麵	運動	悲傷	習慣
스포츠	運動	悲傷	習慣	市
슬퍼하다	悲傷	安排	冷	穿
슬프다	悲傷	吵雜	酸	涼爽
슬픔	悲傷	習慣	市	時程表
습관	習慣	市	時程表	鐘
시	市	時程表	鐘	鄉下
시	-點	時程表	鐘	鄉下
시간	小時	幾月	-天	之外
시간표	時程表	鐘	鄉下	市內
시계	鐘	鄉下	市內	市民
시골	鄉下	市內	市民	婆婆
시끄럽다	吵雜	酸	涼爽	新鮮
시내	市內	市民	婆婆	開始
시다	酸	涼爽	新鮮	煩人
시민	市民	婆婆	開始	市場
시어머니	婆婆	開始	市場	市政府
시원하다	涼爽	新鮮	煩人	無聊的
시작	開始	市場	市政府	考試
시장	市場	市政府	考試	家人
시청	市政府	考試	家人	麵包
시키다	安排	冷	穿	裝載
시험	考試	家人	麵包	用餐
식구	家人	麵包	用餐	醋
식다	冷	穿	裝載	討厭
식빵	麵包	用餐	醋	桌子
식사	用餐	醋	桌子	食品
식초	醋	桌子	食品	新郎
식탁	桌子	食品	新郎	報紙
식품	食品	新郎	報紙	鞋
신다	穿	裝載	討厭	種
신랑	新郎	報紙	鞋	新娘
신문	報紙	鞋	新娘	神父
신발	鞋	新娘	神父	身份證
신부	新娘	神父	身份證	申請
신부	神父	神父	身份證	申請
신분증	身份證	申請	紅綠燈	駕照
신선하다	新鮮	煩人	無聊的	過火
신청	申請	信任	紅綠燈	蜜月
신호	紅綠燈	信任	蜜月	打擾一下
신호등	紅綠燈	蜜月	打擾一下	犯錯
신혼여행	蜜月	打擾一下	犯錯	失敗
싣다	裝載	討厭	種	打包
실례	打擾一下	犯錯	失敗	大麥
실수	犯錯	失敗	大麥	垃圾
실패	失敗	大麥	垃圾	垃圾桶
싫다	煩人	無聊的	過火	淡
싫어하다	討厭	種	打包	吵架
심다	種	打包	吵架	堆積
심심하다	無聊的	過火	淡	便宜
심하다	過火	淡	便宜	寒冷
싱겁다	淡	便宜	寒冷	苦
싸다	打包	吵架	堆積	切
싸다	便宜	吵架	堆積	切
싸우다	吵架	堆積	切	寫
쌀	大麥	垃圾	垃圾桶	事件
쌀쌀하다	寒冷	苦	迷人的	瑣碎的
쌓다	堆積	切	寫	戴
썰다	切	寫	戴	用
쓰다	寫	戴	用	嚼
쓰다	戴	戴	用	嚼
쓰다	用	戴	用	嚼
쓰다	苦	戴	用	嚼
쓰레기	垃圾	垃圾桶	事件	思維方式
쓰레기통	垃圾桶	事件	思維方式	道歉
씨	氏	摔角	火	早晨
씹다	嚼	洗	買	消失
씻다	洗	買	消失	捉住
자기소개	自我介紹	汽車	自動販賣機	自豪
자꾸	一直	清楚地	經常	很
자다	睡覺	生長	剪	順利
자동차	汽車	自動販賣機	自豪	座位
자동판매기	自動販賣機	自豪	座位	孩子
자라다	生長	剪	順利	錯誤
자랑	自豪	座位	孩子	自己
자르다	剪	順利	錯誤	烤
자리	座位	孩子	自己	自由
자세히	清楚地	經常	很	完全
자식	孩子	自己	自由	炸醬麵
자신	自己	自由	炸醬麵	自行車
자연	自然	全部	真的	真話
자유	自由	炸醬麵	自行車	自動販賣機
자장면	炸醬麵	自行車	自動販賣機	杯
자전거	自行車	自動販賣機	杯	宴會
자주	經常	很	完全	漸漸
자판기	自動販賣機	杯	宴會	睡覺
작다	小	好看	無趣	有趣
잔	杯	宴會	睡覺	雜誌
잔치	宴會	睡覺	雜誌	雜菜
잘	很	完全	漸漸	無精打采的
잘되다	順利	不順	錯誤	做得好
잘못	錯誤	等一下	暫時	每個
잘못되다	錯誤	捕捉	做得好	大睡
잘못하다	錯誤	做得好	大睡	㧓住
잘생기다	好看	無趣	有趣	那樣
잘하다	做得好	大睡	㧓住	用膳
잠	睡覺	雜誌	雜菜	手套
잠깐	等一下	暫時	每個	那麼多
잠시	暫時	每個	那麼多	一整天
잠자다	大睡	㧓住	用膳	寫
잡다	㧓住	用膳	寫	轉
잡수시다	用膳	寫	轉	折
잡지	雜誌	雜菜	手套	玩具
잡채	雜菜	手套	玩具	雨季
장	-張	寫	轉	折
장갑	手套	玩具	雨季	玫瑰
장난감	玩具	雨季	玫瑰	場所
장마	雨季	玫瑰	場所	材料
장미	玫瑰	場所	材料	有趣
장소	場所	材料	有趣	打噴嚏
재료	材料	有趣	打噴嚏	存
재미	有趣	打噴嚏	存	晚上
재미없다	無趣	有趣	那樣	小
재미있다	有趣	那樣	小	適中
재채기	打噴嚏	存	晚上	上週
저	我	你	那個	那邊
저	模擬兩可的	你	那個	那邊
저	我	你	那個	那邊
저거	那個	那個人	那邊	這個
저것	那個	那邊	這	那個人
저곳	那邊	那個	那個人	這邊
저금	存	晚上	上週	主修
저기	那個	那個人	那邊	我們
저녁	晚上	上週	主修	電
저런	那樣	全	初次	總
저렇다	那樣	小	適中	年輕
저번	上週	主修	電	地鐵
저분	那個人	那邊	我們	我的
저쪽	那邊	我們	我的	什麼時候
저희	我們	我的	什麼時候	什麼
적다	寫	轉	折	定
적다	小	轉	折	定
적당하다	適中	年輕	安靜的	狹窄
전	全	初次	總	一位
전	前	初次	總	一位
