centigrade	攝氏的	計劃	忍受	廢除;廢止
fertilizer	肥料	未婚夫	纖維	拉提琴;胡來;騙取
fiancé/fiancée	未婚夫	纖維	拉提琴;胡來;騙取	過濾
fiber	纖維	拉提琴;胡來;騙取	過濾	鰭;鰭狀物
fiddle	拉提琴;胡來;騙取	過濾	鰭;鰭狀物	漁業
filter	過濾	鰭;鰭狀物	漁業	使成薄片;像雪花般覆蓋
fin	鰭;鰭狀物	漁業	使成薄片;像雪花般覆蓋	(上下或前後)拍動;(鳥)振(翅)
fishery	漁業	使成薄片;像雪花般覆蓋	(上下或前後)拍動;(鳥)振(翅)	使破裂;使有缺陷
flake	使成薄片;像雪花般覆蓋	(上下或前後)拍動;(鳥)振(翅)	使破裂;使有缺陷	疾飛;掠過
flap	(上下或前後)拍動;(鳥)振(翅)	使破裂;使有缺陷	疾飛;掠過	擲
flaw	使破裂;使有缺陷	疾飛;掠過	擲	茂盛;繁茂;興旺
flick	疾飛;掠過	擲	茂盛;繁茂;興旺	流暢;流暢的說話(或寫作)
flip	擲	茂盛;繁茂;興旺	流暢;流暢的說話(或寫作)	敵人;反對者
flourish	茂盛;繁茂;興旺	流暢;流暢的說話(或寫作)	敵人;反對者	挫敗
fluency	流暢;流暢的說話(或寫作)	敵人;反對者	挫敗	民間傳說
foe	敵人;反對者	挫敗	民間傳說	健忘的
foil	挫敗	民間傳說	健忘的	編排或安排成某種形式
folklore	民間傳說	健忘的	編排或安排成某種形式	惡臭的;污濁的;惡劣的;犯規的
forgetful	健忘的	編排或安排成某種形式	惡臭的;污濁的;惡劣的;犯規的	家禽
format	編排或安排成某種形式	惡臭的;污濁的;惡劣的;犯規的	家禽	小部分;片段;碎片
foul	惡臭的;污濁的;惡劣的;犯規的	家禽	小部分;片段;碎片	架構;組織
fowl	家禽	小部分;片段;碎片	架構;組織	(因喜悅或憤怒等)發狂似的
fraction	小部分;片段;碎片	架構;組織	(因喜悅或憤怒等)發狂似的	裝貨於;運輸(貨物)
framework	架構;組織	(因喜悅或憤怒等)發狂似的	裝貨於;運輸(貨物)	邊境;邊疆;新領域
frantic	(因喜悅或憤怒等)發狂似的	裝貨於;運輸(貨物)	邊境;邊疆;新領域	冒煙;薰;發怒
freight	裝貨於;運輸(貨物)	邊境;邊疆;新領域	冒煙;薰;發怒	狂怒;狂暴;猛烈
frontier	邊境;邊疆;新領域	冒煙;薰;發怒	狂怒;狂暴;猛烈	把保險絲接入(電路);熔接;裝引信
fume 	冒煙;薰;發怒	狂怒;狂暴;猛烈	把保險絲接入(電路);熔接;裝引信	忙亂;小題大作;爭辯
fury	狂怒;狂暴;猛烈	把保險絲接入(電路);熔接;裝引信	忙亂;小題大作;爭辯	(馬等)疾馳;飛跑
fuse	把保險絲接入(電路);熔接;裝引信	忙亂;小題大作;爭辯	(馬等)疾馳;飛跑	服裝;衣著
fuss	忙亂;小題大作;爭辯	(馬等)疾馳;飛跑	服裝;衣著	倒抽一口氣;喘氣
gallop	(馬等)疾馳;飛跑	服裝;衣著	倒抽一口氣;喘氣	集會,聚集
garment	服裝;衣著	倒抽一口氣;喘氣	集會,聚集	同性戀的
gasp	倒抽一口氣;喘氣	集會,聚集	同性戀的	性別
gathering	集會,聚集	同性戀的	性別	地理的
gay	同性戀的	性別	地理的	幾何學
gender	性別	地理的	幾何學	冰河
geographical	地理的	幾何學	冰河	怒目注視;眩目地照射
geometry	幾何學	冰河	怒目注視;眩目地照射	發微光;閃現
glacier	冰河	怒目注視;眩目地照射	發微光;閃現	快樂;歡欣
glare	怒目注視;眩目地照射	發微光;閃現	快樂;歡欣	閃爍;光彩奪目
gleam	發微光;閃現	快樂;歡欣	閃爍;光彩奪目	變陰暗;感到沮喪
glee	快樂;歡欣	閃爍;光彩奪目	變陰暗;感到沮喪	啃
glitter	閃爍;光彩奪目	變陰暗;感到沮喪	啃	狼吞虎嚥;(火雞)咯咯地叫
gloom	變陰暗;感到沮喪	啃	狼吞虎嚥;(火雞)咯咯地叫	峽谷
gnaw	啃	狼吞虎嚥;(火雞)咯咯地叫	峽谷	燦爛的;華麗的;極好的
gobble	狼吞虎嚥;(火雞)咯咯地叫	峽谷	燦爛的;華麗的;極好的	大猩猩
gorge 	峽谷	燦爛的;華麗的;極好的	大猩猩	基督教教義;福音書
gorgeous	燦爛的;華麗的;極好的	大猩猩	基督教教義;福音書	同意,准予
gorilla	大猩猩	基督教教義;福音書	同意,准予	地心吸力
gospel	基督教教義;福音書	同意,准予	地心吸力	吃草;放牧;擦傷
grant	同意,准予	地心吸力	吃草;放牧;擦傷	塗油脂於;賄賂
gravity	地心吸力	吃草;放牧;擦傷	塗油脂於;賄賂	貪心
graze	吃草;放牧;擦傷	塗油脂於;賄賂	貪心	無情的;嚴厲的;恐怖的
grease	塗油脂於;賄賂	貪心	無情的;嚴厲的;恐怖的	握牢
greed	貪心	無情的;嚴厲的;恐怖的	握牢	呻吟;抱怨
grim	無情的;嚴厲的;恐怖的	握牢	呻吟;抱怨	總的;粗略的;令人噁心的
grip	握牢	呻吟;抱怨	總的;粗略的;令人噁心的	(狗等)嗥叫;(人)咆哮
groan	呻吟;抱怨	總的;粗略的;令人噁心的	(狗等)嗥叫;(人)咆哮	發牢騷;咕噥;發轟隆聲
gross	總的;粗略的;令人噁心的	(狗等)嗥叫;(人)咆哮	發牢騷;咕噥;發轟隆聲	指南;指導方針
growl	(狗等)嗥叫;(人)咆哮	發牢騷;咕噥;發轟隆聲	指南;指導方針	狼吞虎嚥
grumble	發牢騷;咕噥;發轟隆聲	指南;指導方針	狼吞虎嚥	吹強風
guideline	指南;指導方針	狼吞虎嚥	吹強風	取出內臟;損毀(房屋等)的內部
gulp	狼吞虎嚥	吹強風	取出內臟;損毀(房屋等)的內部	吉普賽人;流浪者
gust	吹強風	取出內臟;損毀(房屋等)的內部	吉普賽人;流浪者	向...歡呼;招呼;下冰雹
gut	取出內臟;損毀(房屋等)的內部	吉普賽人;流浪者	向...歡呼;招呼;下冰雹	髮型
gypsy	吉普賽人;流浪者	向...歡呼;招呼;下冰雹	髮型	妨礙,使不利
hail 	向...歡呼;招呼;下冰雹	髮型	妨礙,使不利	手工藝;手工藝品
hairstyle/hairdo	髮型	妨礙,使不利	手工藝;手工藝品	能吃苦耐勞的
handicap	妨礙,使不利	手工藝;手工藝品	能吃苦耐勞的	上挽具;套(馬);駕馭
handicraft	手工藝;手工藝品	能吃苦耐勞的	上挽具;套(馬);駕馭	拖;拉;拖運
hardy	能吃苦耐勞的	上挽具;套(馬);駕馭	拖;拉;拖運	(鬼魂等)常出沒於;縈繞;常去
harness	上挽具;套(馬);駕馭	拖;拉;拖運	(鬼魂等)常出沒於;縈繞;常去	衷心的
haul	拖;拉;拖運	(鬼魂等)常出沒於;縈繞;常去	衷心的	天堂般的
haunt	(鬼魂等)常出沒於;縈繞;常去	衷心的	天堂般的	樹籬
hearty	衷心的	天堂般的	樹籬	留心;注意
heavenly	天堂般的	樹籬	留心;注意	加高;增高;增加
hedge	樹籬	留心;注意	加高;增高;增加	繼承人;嗣子
heed	留心;注意	加高;增高;增加	繼承人;嗣子	因此
heighten	加高;增高;增加	繼承人;嗣子	因此	宣佈;通報;預示...的來臨
heir	繼承人;嗣子	因此	宣佈;通報;預示...的來臨	草本植物;藥草
hence	因此	宣佈;通報;預示...的來臨	草本植物;藥草	隱士
herald	宣佈;通報;預示...的來臨	草本植物;藥草	隱士	英雄的;英勇的
herb	草本植物;藥草	隱士	英雄的;英勇的	異性戀的
hermit	隱士	英雄的;英勇的	異性戀的	高傳真的音響裝置
heroic	英雄的;英勇的	異性戀的	高傳真的音響裝置	劫持
heterosexual	異性戀的	高傳真的音響裝置	劫持	發出嘶嘶聲;發出噓聲
hi-fi/high fidelity	高傳真的音響裝置	劫持	發出嘶嘶聲;發出噓聲	(嗓音)嘶啞的
hijack	劫持	發出嘶嘶聲;發出噓聲	(嗓音)嘶啞的	曲棍球
hiss	發出嘶嘶聲;發出噓聲	(嗓音)嘶啞的	曲棍球	同性戀的
hoarse	(嗓音)嘶啞的	曲棍球	同性戀的	按喇叭
hockey	曲棍球	同性戀的	按喇叭	引擎蓋
homosexual	同性戀的	按喇叭	引擎蓋	蹄
honk	按喇叭	引擎蓋	蹄	水平的
hood	引擎蓋	蹄	水平的	人質;抵押品
hoof	蹄	水平的	人質;抵押品	敵方的;懷敵意的
horizontal	水平的	人質;抵押品	敵方的;懷敵意的	(用獵狗等)追獵;緊追
hostage	人質;抵押品	敵方的;懷敵意的	(用獵狗等)追獵;緊追	房屋,住宅
hostile	敵方的;懷敵意的	(用獵狗等)追獵;緊追	房屋,住宅	盤旋;徘徊
hound	(用獵狗等)追獵;緊追	房屋,住宅	盤旋;徘徊	嗥叫;怒吼;大哭;大笑
housing	房屋,住宅	盤旋;徘徊	嗥叫;怒吼;大哭;大笑	猛力投擲
hover	盤旋;徘徊	嗥叫;怒吼;大哭;大笑	猛力投擲	唱聖歌;唱讚美詩
howl	嗥叫;怒吼;大哭;大笑	猛力投擲	唱聖歌;唱讚美詩	白癡;笨蛋
hurl	猛力投擲	唱聖歌;唱讚美詩	白癡;笨蛋	巨大的;廣大的
hymn	唱聖歌;唱讚美詩	白癡;笨蛋	巨大的;廣大的	帝國的
idiot	白癡;笨蛋	巨大的;廣大的	帝國的	徵(稅);加(負擔等)於
immense	巨大的;廣大的	帝國的	徵(稅);加(負擔等)於	衝動;推動力
imperial	帝國的	徵(稅);加(負擔等)於	衝動;推動力	激怒;敬香
impose	徵(稅);加(負擔等)於	衝動;推動力	激怒;敬香	編索引
impulse	衝動;推動力	激怒;敬香	編索引	漠不關心;無關緊要
incense	激怒;敬香	編索引	漠不關心;無關緊要	不感興趣的;中立的;無關緊要的
index	編索引	漠不關心;無關緊要	不感興趣的;中立的;無關緊要的	憤怒的;憤慨的
indifference	漠不關心;無關緊要	不感興趣的;中立的;無關緊要的	憤怒的;憤慨的	必不可少的;必需的
indifferent	不感興趣的;中立的;無關緊要的	憤怒的;憤慨的	必不可少的;必需的	導致;誘導;歸納出
indignant	憤怒的;憤慨的	必不可少的;必需的	導致;誘導;歸納出	沈迷於;滿足(慾望等);縱容
indispensable	必不可少的;必需的	導致;誘導;歸納出	沈迷於;滿足(慾望等);縱容	無限的
induce	導致;誘導;歸納出	沈迷於;滿足(慾望等);縱容	無限的	繼承(傳統,遺產等)
indulge	沈迷於;滿足(慾望等);縱容	無限的	繼承(傳統,遺產等)	新加入的
infinite	無限的	繼承(傳統,遺產等)	新加入的	內地的;內陸的
inherit	繼承(傳統,遺產等)	新加入的	內地的;內陸的	無數的
initiate	新加入的	內地的;內陸的	無數的	訊問;查問;調查
inland	內地的;內陸的	無數的	訊問;查問;調查	創立;設立;開始
innumerable	無數的	訊問;查問;調查	創立;設立;開始	投保;確保
inquire	訊問;查問;調查	創立;設立;開始	投保;確保	專注的;熱切的;堅決要做的
institute	創立;設立;開始	投保;確保	專注的;熱切的;堅決要做的	干涉,干預;擾亂
insure	投保;確保	專注的;熱切的;堅決要做的	干涉,干預;擾亂	內的;內部的
intent	專注的;熱切的;堅決要做的	干涉,干預;擾亂	內的;內部的	解釋;闡明
interference	干涉,干預;擾亂	內的;內部的	解釋;闡明	通譯員
interior	內的;內部的	解釋;闡明	通譯員	直覺
interpretation	解釋;闡明	通譯員	直覺	裡面的,內部的;內心的;向內的
interpreter	通譯員	直覺	裡面的,內部的;內心的;向內的	裡面的,內部的;內心的;向內的
intuition	直覺	裡面的,內部的;內心的;向內的	裡面的,內部的;內心的;向內的	小島
inward	裡面的,內部的;內心的;向內的	裡面的,內部的;內心的;向內的	小島	發行;發佈
inward	裡面的,內部的;內心的;向內的	小島	發行;發佈	常春藤
isle	小島	發行;發佈	常春藤	用千斤頂托起
issue	發行;發佈	常春藤	用千斤頂托起	玉
ivy	常春藤	用千斤頂托起	玉	清潔工;管理員;看門人
jack	用千斤頂托起	玉	清潔工;管理員;看門人	茉莉花
jade	玉	清潔工;管理員;看門人	茉莉花	不守交通規則橫穿馬路
janitor	清潔工;管理員;看門人	茉莉花	不守交通規則橫穿馬路	嘲笑;嘲弄
jasmine	茉莉花	不守交通規則橫穿馬路	嘲笑;嘲弄	發出叮噹聲
jaywalk	不守交通規則橫穿馬路	嘲笑;嘲弄	發出叮噹聲	快活的,高興的
jeer	嘲笑;嘲弄	發出叮噹聲	快活的,高興的	新聞業;新聞學
jingle	發出叮噹聲	快活的,高興的	新聞業;新聞學	新聞工作者
jolly	快活的,高興的	新聞業;新聞學	新聞工作者	(用罐)煮;燉;監禁
journalism	新聞業;新聞學	新聞工作者	(用罐)煮;燉;監禁	陪審團
journalist	新聞工作者	(用罐)煮;燉;監禁	陪審團	證明...是正當的;辯解
jug	(用罐)煮;燉;監禁	陪審團	證明...是正當的;辯解	少年的;孩子氣的;幼年的
jury	陪審團	證明...是正當的;辯解	少年的;孩子氣的;幼年的	有親屬關係的;同類的;類似的
justify	證明...是正當的;辯解	少年的;孩子氣的;幼年的	有親屬關係的;同類的;類似的	點燃;煽動;照亮
juvenile	少年的;孩子氣的;幼年的	有親屬關係的;同類的;類似的	點燃;煽動;照亮	博學的;有見識的
kin	有親屬關係的;同類的;類似的	點燃;煽動;照亮	博學的;有見識的	男孩;小伙子
kindle	點燃;煽動;照亮	博學的;有見識的	男孩;小伙子	跛腳的;站不住腳的
knowledgeable	博學的;有見識的	男孩;小伙子	跛腳的;站不住腳的	女房東
lad	男孩;小伙子	跛腳的;站不住腳的	女房東	房東
lame	跛腳的;站不住腳的	女房東	房東	雷射
landlady 	女房東	房東	雷射	緯度
landlord	房東	雷射	緯度	立法者
laser	雷射	緯度	立法者	把...堆積成層
latitude	緯度	立法者	把...堆積成層	使結盟;使聯合
lawmaker	立法者	把...堆積成層	使結盟;使聯合	立法;法規
layer	把...堆積成層	使結盟;使聯合	立法;法規	變小
league	使結盟;使聯合	立法;法規	變小	免得
legislation	立法;法規	變小	免得	中尉(或少尉);助理官
lessen	變小	免得	中尉(或少尉);助理官	終身的
lest	免得	中尉(或少尉);助理官	終身的	可能;可能性
lieutenant	中尉(或少尉);助理官	終身的	可能;可能性	萊姆
lifelong	終身的	可能;可能性	萊姆	跛行
likelihood	可能;可能性	萊姆	跛行	繼續逗留;持續;磨蹭
lime	萊姆	跛行	繼續逗留;持續;磨蹭	(總稱)家畜
limp	跛行	繼續逗留;持續;磨蹭	(總稱)家畜	蜥蜴
linger	繼續逗留;持續;磨蹭	(總稱)家畜	蜥蜴	活動的;移動的;火車頭的
livestock	(總稱)家畜	蜥蜴	活動的;移動的;火車頭的	蝗蟲
lizard	蜥蜴	活動的;移動的;火車頭的	蝗蟲	租房間給...住;申訴;暫住;投宿
locomotive	活動的;移動的;火車頭的	蝗蟲	租房間給...住;申訴;暫住;投宿	高聳的;極高的;高傲的
locust	蝗蟲	租房間給...住;申訴;暫住;投宿	高聳的;極高的;高傲的	商標
lodge	租房間給...住;申訴;暫住;投宿	高聳的;極高的;高傲的	商標	寂寞的;孤單的;荒涼的
lofty	高聳的;極高的;高傲的	商標	寂寞的;孤單的;荒涼的	經度
logo	商標	寂寞的;孤單的;荒涼的	經度	獎券;彩票;抽籤;運氣
lonesome	寂寞的;孤單的;荒涼的	經度	獎券;彩票;抽籤;運氣	蓮花
longitude	經度	獎券;彩票;抽籤;運氣	蓮花	伐木;(英國)拖累
lottery	獎券;彩票;抽籤;運氣	蓮花	伐木;(英國)拖累	弄成一團;歸併到一起
lotus	蓮花	伐木;(英國)拖累	弄成一團;歸併到一起	放大;擴大;誇張
lumber	伐木;(英國)拖累	弄成一團;歸併到一起	放大;擴大;誇張	未婚的;少女的;初次的
lump	弄成一團;歸併到一起	放大;擴大;誇張	未婚的;少女的;初次的	大陸
magnify	放大;擴大;誇張	未婚的;少女的;初次的	大陸	(河的)主流;主要傾向
maiden	未婚的;少女的;初次的	大陸	(河的)主流;主要傾向	維持;維修;保養
mainland	大陸	(河的)主流;主要傾向	維持;維修;保養	雄偉的;威嚴的;崇高的
mainstream	(河的)主流;主要傾向	維持;維修;保養	雄偉的;威嚴的;崇高的	雄偉;壯麗;(帝王的)威嚴
maintenance	維持;維修;保養	雄偉的;威嚴的;崇高的	雄偉;壯麗;(帝王的)威嚴	哺乳動物
majestic	雄偉的;威嚴的;崇高的	雄偉;壯麗;(帝王的)威嚴	哺乳動物	顯然的;清楚的
majesty	雄偉;壯麗;(帝王的)威嚴	哺乳動物	顯然的;清楚的	大廈,大樓
mammal	哺乳動物	顯然的;清楚的	大廈,大樓	槭樹;楓樹
manifest	顯然的;清楚的	大廈,大樓	槭樹;楓樹	頁邊的;邊緣的;不重要的
mansion	大廈,大樓	槭樹;楓樹	頁邊的;邊緣的;不重要的	海的;海生的;海軍陸戰隊的
maple	槭樹;楓樹	頁邊的;邊緣的;不重要的	海的;海生的;海軍陸戰隊的	元帥;高級將官;典禮官
marginal	頁邊的;邊緣的;不重要的	海的;海生的;海軍陸戰隊的	元帥;高級將官;典禮官	戰爭的;軍事的;尚武的
marine	海的;海生的;海軍陸戰隊的	元帥;高級將官;典禮官	戰爭的;軍事的;尚武的	感到驚訝;感到好奇
marshal	元帥;高級將官;典禮官	戰爭的;軍事的;尚武的	感到驚訝;感到好奇	男性的;男子氣概的
martial	戰爭的;軍事的;尚武的	感到驚訝;感到好奇	男性的;男子氣概的	搗成泥
marvel	感到驚訝;感到好奇	男性的;男子氣概的	搗成泥	按摩
masculine	男性的;男子氣概的	搗成泥	按摩	厚實的;粗大的;大量的
mash	搗成泥	按摩	厚實的;粗大的;大量的	傑作,名作
massage	按摩	厚實的;粗大的;大量的	傑作,名作	蛋黃醬;美乃滋
massive	厚實的;粗大的;大量的	傑作,名作	蛋黃醬;美乃滋	同時
masterpiece	傑作,名作	蛋黃醬;美乃滋	同時	力學;機械學;技術;技巧
mayonnaise	蛋黃醬;美乃滋	同時	力學;機械學;技術;技巧	調停解決;傳達
meantime	同時	力學;機械學;技術;技巧	調停解決;傳達	威脅;恐嚇
mechanics	力學;機械學;技術;技巧	調停解決;傳達	威脅;恐嚇	美人魚
mediate	調停解決;傳達	威脅;恐嚇	美人魚	在...之中
menace	威脅;恐嚇	美人魚	在...之中	移居(尤指移出國境)的;流浪的
mermaid	美人魚	在...之中	移居(尤指移出國境)的;流浪的	總英里數;(每單位燃料的)行駛哩數
midst	在...之中	移居(尤指移出國境)的;流浪的	總英里數;(每單位燃料的)行駛哩數	里程碑;劃時代的事件
migrant	移居(尤指移出國境)的;流浪的	總英里數;(每單位燃料的)行駛哩數	里程碑;劃時代的事件	使混合;使相混;交往
mileage	總英里數;(每單位燃料的)行駛哩數	里程碑;劃時代的事件	使混合;使相混;交往	最小的;極微的
milestone	里程碑;劃時代的事件	使混合;使相混;交往	最小的;極微的	薄荷;薄荷糖;造幣廠
mingle	使混合;使相混;交往	最小的;極微的	薄荷;薄荷糖;造幣廠	吝嗇鬼;守財奴
minimal	最小的;極微的	薄荷;薄荷糖;造幣廠	吝嗇鬼;守財奴	女主人,主婦
mint	薄荷;薄荷糖;造幣廠	吝嗇鬼;守財奴	女主人,主婦	呻吟;嗚咽;悲歎
miser	吝嗇鬼;守財奴	女主人,主婦	呻吟;嗚咽;悲歎	假的;假裝的;模擬的
mistress	女主人,主婦	呻吟;嗚咽;悲歎	假的;假裝的;模擬的	方式;型;模式
moan	呻吟;嗚咽;悲歎	假的;假裝的;模擬的	方式;型;模式	使現代化
mock	假的;假裝的;模擬的	方式;型;模式	使現代化	更改;修改
mode	方式;型;模式	使現代化	更改;修改	鑄造;塑造;發霉
modernize	使現代化	更改;修改	鑄造;塑造;發霉	分子;微小顆粒
modify	更改;修改	鑄造;塑造;發霉	分子;微小顆粒	君主
mold 	鑄造;塑造;發霉	分子;微小顆粒	君主	怪異的;駭人聽聞的;巨大的
molecule	分子;微小顆粒	君主	怪異的;駭人聽聞的;巨大的	會死的;凡人的;致命的;極度的
monarch	君主	怪異的;駭人聽聞的;巨大的	會死的;凡人的;致命的;極度的	以苔覆蓋;使長滿苔蘚
monstrous	怪異的;駭人聽聞的;巨大的	會死的;凡人的;致命的;極度的	以苔覆蓋;使長滿苔蘚	母性;(總稱)母親們
mortal	會死的;凡人的;致命的;極度的	以苔覆蓋;使長滿苔蘚	母性;(總稱)母親們	動機;主旨
moss	以苔覆蓋;使長滿苔蘚	母性;(總稱)母親們	動機;主旨	築牆防衛;堆起; 積成堆
motherhood	母性;(總稱)母親們	動機;主旨	築牆防衛;堆起; 積成堆	登上
motive	動機;主旨	築牆防衛;堆起; 積成堆	登上	哀痛;哀悼
mound	築牆防衛;堆起; 積成堆	登上	哀痛;哀悼	割草機;收割機
mount	登上	哀痛;哀悼	割草機;收割機	含糊地說;咕噥
mourn	哀痛;哀悼	割草機;收割機	含糊地說;咕噥	健壯的
mower	割草機;收割機	含糊地說;咕噥	健壯的	沈思;冥想
mumble	含糊地說;咕噥	健壯的	沈思;冥想	芥茉
muscular	健壯的	沈思;冥想	芥茉	咕噥;抱怨
muse	沈思;冥想	芥茉	咕噥;抱怨	羊肉
mustard	芥茉	咕噥;抱怨	羊肉	神話;虛構的人(或事物)
mutter	咕噥;抱怨	羊肉	神話;虛構的人(或事物)	使煩惱;糾纏不休;不斷嘮叨
mutton	羊肉	神話;虛構的人(或事物)	使煩惱;糾纏不休;不斷嘮叨	天真的;幼稚的;輕信的
myth	神話;虛構的人(或事物)	使煩惱;糾纏不休;不斷嘮叨	天真的;幼稚的;輕信的	齷齪的;卑鄙的;難處理的
nag	使煩惱;糾纏不休;不斷嘮叨	天真的;幼稚的;輕信的	齷齪的;卑鄙的;難處理的	航行於;飛行於;操縱;導航
naive	天真的;幼稚的;輕信的	齷齪的;卑鄙的;難處理的	航行於;飛行於;操縱;導航	新聞廣播
nasty	齷齪的;卑鄙的;難處理的	航行於;飛行於;操縱;導航	新聞廣播	一點點地咬
navigate	航行於;飛行於;操縱;導航	新聞廣播	一點點地咬	鍍鎳於
newscast	新聞廣播	一點點地咬	鍍鎳於	夜鶯
nibble	一點點地咬	鍍鎳於	夜鶯	提名;任命
nickel	鍍鎳於	夜鶯	提名;任命	然而
nightingale	夜鶯	提名;任命	然而	非暴力的
nominate	提名;任命	然而	非暴力的	鼻孔
nonetheless	然而	非暴力的	鼻孔	值得注意的;顯著的
nonviolent	非暴力的	鼻孔	值得注意的;顯著的	顯而易見的;顯著的
nostril	鼻孔	值得注意的;顯著的	顯而易見的;顯著的	通知;公佈
notable	值得注意的;顯著的	顯而易見的;顯著的	通知;公佈	概念;想法;打算
noticeable	顯而易見的;顯著的	通知;公佈	概念;想法;打算	新手;初學者
notify	通知;公佈	概念;想法;打算	新手;初學者	任何地方都不
notion	概念;想法;打算	新手;初學者	任何地方都不	(原子)核;細胞核;核心
novice	新手;初學者	任何地方都不	(原子)核;細胞核;核心	裸的;與生俱有的
nowhere	任何地方都不	(原子)核;細胞核;核心	裸的;與生俱有的	䊢
nucleus	(原子)核;細胞核;核心	裸的;與生俱有的	䊢	(沙漠中)的綠洲
nude	裸的;與生俱有的	䊢	(沙漠中)的綠洲	誓言;宣誓
oar	䊢	(沙漠中)的綠洲	誓言;宣誓	燕麥片;燕麥粥
oasis	(沙漠中)的綠洲	誓言;宣誓	燕麥片;燕麥粥	橢圓形的
oath	誓言;宣誓	燕麥片;燕麥粥	橢圓形的	觀察員;奉行者
oatmeal	燕麥片;燕麥粥	橢圓形的	觀察員;奉行者	頑固的;頑強的
oblong	橢圓形的	觀察員;奉行者	頑固的;頑強的	發生;出現;事件
observer	觀察員;奉行者	頑固的;頑強的	發生;出現;事件	章魚
obstinate	頑固的;頑強的	發生;出現;事件	章魚	機會;可能性;投注賠率;不和
occurrence	發生;出現;事件	章魚	機會;可能性;投注賠率;不和	氣味
octopus	章魚	機會;可能性;投注賠率;不和	氣味	橄欖
odds	機會;可能性;投注賠率;不和	氣味	橄欖	對手;敵手,反對者
odor	氣味	橄欖	對手;敵手,反對者	樂觀;樂觀主義
olive	橄欖	對手;敵手,反對者	樂觀;樂觀主義	果樹園;果樹林
opponent	對手;敵手,反對者	樂觀;樂觀主義	果樹園;果樹林	組織者;萬用記事本
optimism	樂觀;樂觀主義	果樹園;果樹林	組織者;萬用記事本	使...朝東;定方位;使熟悉情況
orchard	果樹園;果樹林	組織者;萬用記事本	使...朝東;定方位;使熟悉情況	(珍珠等)光輝奪目的;優質的
organizer	組織者;萬用記事本	使...朝東;定方位;使熟悉情況	(珍珠等)光輝奪目的;優質的	裝飾;美化
orient	使...朝東;定方位;使熟悉情況	(珍珠等)光輝奪目的;優質的	裝飾;美化	孤兒院;孤兒身分
oriental	(珍珠等)光輝奪目的;優質的	裝飾;美化	孤兒院;孤兒身分	駝鳥
ornament	裝飾;美化	孤兒院;孤兒身分	駝鳥	盎司,英兩
orphanage	孤兒院;孤兒身分	駝鳥	盎司,英兩	勝過;超越
ostrich 	駝鳥	盎司,英兩	勝過;超越	外向的
ounce	盎司,英兩	勝過;超越	外向的	生產;使出;輸出
outdo	勝過;超越	外向的	生產;使出;輸出	外人;門外漢;局外人
outgoing	外向的	生產;使出;輸出	外人;門外漢;局外人	郊區
output	生產;使出;輸出	外人;門外漢;局外人	郊區	向外的;往外去的
outsider	外人;門外漢;局外人	郊區	向外的;往外去的	向外的;往外去的
outskirts	郊區	向外的;往外去的	向外的;往外去的	總的,全部的,全面的
outward	向外的;往外去的	向外的;往外去的	總的,全部的,全面的	把...做得過分;使過於疲勞
outward	向外的;往外去的	總的,全部的,全面的	把...做得過分;使過於疲勞	吃得過飽
overall	總的,全部的,全面的	把...做得過分;使過於疲勞	吃得過飽	滿(或多)得溢出
overdo	把...做得過分;使過於疲勞	吃得過飽	滿(或多)得溢出	無意中聽到;偷聽
overeat	吃得過飽	滿(或多)得溢出	無意中聽到;偷聽	睡過頭
overflow	滿(或多)得溢出	無意中聽到;偷聽	睡過頭	壓倒;征服;使受不了
overhear	無意中聽到;偷聽	睡過頭	壓倒;征服;使受不了	使工作過度;使過勞;過度使用
oversleep	睡過頭	壓倒;征服;使受不了	使工作過度;使過勞;過度使用	牡蠣
overwhelm	壓倒;征服;使受不了	使工作過度;使過勞;過度使用	牡蠣	臭氧
overwork	使工作過度;使過勞;過度使用	牡蠣	臭氧	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的
oyster	牡蠣	臭氧	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的	小包(裹);小捆;小袋
ozone	臭氧	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的	小包(裹);小捆;小袋	用槳划(船)
pacific	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的	小包(裹);小捆;小袋	用槳划(船)	窗玻璃片
packet	小包(裹);小捆;小袋	用槳划(船)	窗玻璃片	自相矛盾的議論
paddle	用槳划(船)	窗玻璃片	自相矛盾的議論	平行的
pane	窗玻璃片	自相矛盾的議論	平行的	接待室
paradox	自相矛盾的議論	平行的	接待室	關係者;參與者
parallel	平行的	接待室	關係者;參與者	微粒;顆粒
parlor	接待室	關係者;參與者	微粒;顆粒	部分地
participant	關係者;參與者	微粒;顆粒	部分地	熱情的;激昂的
particle	微粒;顆粒	部分地	熱情的;激昂的	消遣;娛樂
partly	部分地	熱情的;激昂的	消遣;娛樂	酥皮點心
passionate	熱情的;激昂的	消遣;娛樂	酥皮點心	補綴;修補;拼湊
pastime	消遣;娛樂	酥皮點心	補綴;修補;拼湊	專利的
pastry	酥皮點心	補綴;修補;拼湊	專利的	愛國者
patch	補綴;修補;拼湊	專利的	愛國者	巡邏
patent	專利的	愛國者	巡邏	贊助者;主顧(尤指老顧客)
patriot	愛國者	巡邏	贊助者;主顧(尤指老顧客)	孔雀
