a/an	一個	能力;專門技能	關於	在～之上
one	一個	只,僅僅,才;不料;反而	營業的	或
only	只,僅僅,才;不料;反而	營業的	或	橙色
open	營業的	或	橙色	點菜;訂購
or	或	橙色	點菜;訂購	其他的
orange	橙色	點菜;訂購	其他的	我們的
order	點菜;訂購	其他的	我們的	在外的
other	其他的	我們的	在外的	外面的
our	我們的	在外的	外面的	在上方;越過;過分,太;再一次
out	在外的	外面的	在上方;越過;過分,太;再一次	自己的
outside	外面的	在上方;越過;過分,太;再一次	自己的	頁
over	在上方;越過;過分,太;再一次	自己的	頁	繪畫
own	自己的	頁	繪畫	成對,配對
page	頁	繪畫	成對,配對	褲子
paint	繪畫	成對,配對	褲子	爸爸
pair	成對,配對	褲子	爸爸	用紙包;掩蓋,粉飾
pants/trousers	褲子	爸爸	用紙包;掩蓋,粉飾	雙親之一
papa/pop	爸爸	用紙包;掩蓋,粉飾	雙親之一	公園
paper	用紙包;掩蓋,粉飾	雙親之一	公園	部分
parent	雙親之一	公園	部分	派對
park 	公園	部分	派對	及格
part 	部分	派對	及格	過去的
party	派對	及格	過去的	ment)
pass	及格	過去的	ment)	寫;寫作;囚禁
past 	過去的	ment)	寫;寫作;囚禁	筆
pay 	ment)	寫;寫作;囚禁	筆	人們
pen	寫;寫作;囚禁	筆	人們	或許
pencil 	筆	人們	或許	人
people	人們	或許	人	把...當作寵兒;寵愛;撫弄;生氣
perhaps	或許	人	把...當作寵兒;寵愛;撫弄;生氣	鋼琴
person	人	把...當作寵兒;寵愛;撫弄;生氣	鋼琴	圖畫
pet	把...當作寵兒;寵愛;撫弄;生氣	鋼琴	圖畫	派(食品)
piano	鋼琴	圖畫	派(食品)	拼湊;拼合;修理;修補
picture	圖畫	派(食品)	拼湊;拼合;修理;修補	小豬
pie	派(食品)	拼湊;拼合;修理;修補	小豬	放置
piece	拼湊;拼合;修理;修補	小豬	放置	計劃
pig	小豬	放置	計劃	植物
place	放置	計劃	植物	玩
plan	計劃	植物	玩	遊戲者;運動者;表演者
plant 	植物	玩	遊戲者;運動者;表演者	遊樂場;運動場
play	玩	遊戲者;運動者;表演者	遊樂場;運動場	請;取悅
player	遊戲者;運動者;表演者	遊樂場;運動場	請;取悅	口袋
playground	遊樂場;運動場	請;取悅	口袋	詩,詩歌,韻文
please	請;取悅	口袋	詩,詩歌,韻文	觀點
pocket	口袋	詩,詩歌,韻文	觀點	管理,監督
poetry	詩,詩歌,韻文	觀點	管理,監督	警察,警員
point 	觀點	管理,監督	警察,警員	池塘
police	管理,監督	警察,警員	池塘	合辦,聯營
policeman/cop	警察,警員	池塘	合辦,聯營	貧窮的
pond	池塘	合辦,聯營	貧窮的	爆米花
pool	合辦,聯營	貧窮的	爆米花	適當位置
poor	貧窮的	爆米花	適當位置	可能的
popcorn	爆米花	適當位置	可能的	給...提供動力; 快速前進
position	適當位置	可能的	給...提供動力; 快速前進	練習;訓練
possible	可能的	給...提供動力; 快速前進	練習;訓練	準備
power	給...提供動力; 快速前進	練習;訓練	準備	漂亮的
practice	練習;訓練	準備	漂亮的	給...定價
prepare	準備	漂亮的	給...定價	印刷;用印刷體寫
pretty 	漂亮的	給...定價	印刷;用印刷體寫	問題
price	給...定價	印刷;用印刷體寫	問題	證明,證實
print	印刷;用印刷體寫	問題	證明,證實	公開的;公立的
problem	問題	證明,證實	公開的;公立的	拉
prove	證明,證實	公開的;公立的	拉	紫色
public	公開的;公立的	拉	紫色	目的
pull	拉	紫色	目的	推開
purple	紫色	目的	推開	放置
purpose	目的	推開	放置	皇后
push	推開	放置	皇后	詢問
put	放置	皇后	詢問	快的
queen	皇后	詢問	快的	安靜的
question	詢問	快的	安靜的	完全地;相當
quick	快的	安靜的	完全地;相當	跑步競賽
quiet	安靜的	完全地;相當	跑步競賽	用無線電傳送
quite	完全地;相當	跑步競賽	用無線電傳送	鐵路
race 	跑步競賽	用無線電傳送	鐵路	下雨
radio	用無線電傳送	鐵路	下雨	彩虹
railroad	鐵路	下雨	彩虹	種植
rain	下雨	彩虹	種植	老鼠
rainbow	彩虹	種植	老鼠	伸手拿
raise	種植	老鼠	伸手拿	閱讀
rat	老鼠	伸手拿	閱讀	準備好的
reach	伸手拿	閱讀	準備好的	真實的
read	閱讀	準備好的	真實的	推論,推理
ready	準備好的	真實的	推論,推理	收到
real	真實的	推論,推理	收到	紅色
reason	推論,推理	收到	紅色	記得
receive	收到	紅色	記得	報告;報導
red	紅色	記得	報告;報導	休息
remember	記得	報告;報導	休息	還
report	報告;報導	休息	還	飯
rest	休息	還	飯	富有的
return	還	飯	富有的	騎;乘
rice	飯	富有的	騎;乘	正確的
rich	富有的	騎;乘	正確的	戒指
ride	騎;乘	正確的	戒指	起身;升起
right 	正確的	戒指	起身;升起	河流
ring 	戒指	起身;升起	河流	道路
rise	起身;升起	河流	道路	機器人
river	河流	道路	機器人	岩石;搖滾樂
road	道路	機器人	岩石;搖滾樂	麵包捲
robot	機器人	岩石;搖滾樂	麵包捲	屋頂
rock 	岩石;搖滾樂	麵包捲	屋頂	居住; 為...提供住處
roll	麵包捲	屋頂	居住; 為...提供住處	雄雞;狂妄自負的人
roof	屋頂	居住; 為...提供住處	雄雞;狂妄自負的人	根
room	居住; 為...提供住處	雄雞;狂妄自負的人	根	捆
rooster	雄雞;狂妄自負的人	根	捆	玫瑰
root	根	捆	玫瑰	圓形的
rope	捆	玫瑰	圓形的	排
rose	玫瑰	圓形的	排	擦
round	圓形的	排	擦	橡膠
row 	排	擦	橡膠	統治;裁決
rub	擦	橡膠	統治;裁決	跑
rubber	橡膠	統治;裁決	跑	難過的
rule	統治;裁決	跑	難過的	安全的
run	跑	難過的	安全的	航行
sad	難過的	安全的	航行	售賣;賤賣
safe 	安全的	航行	售賣;賤賣	鹽
sail	航行	售賣;賤賣	鹽	相同的
sale	售賣;賤賣	鹽	相同的	沙
salt	鹽	相同的	沙	星期六
same	相同的	沙	星期六	救;省;存錢
sand	沙	星期六	救;省;存錢	鋸
Saturday/Sat.	星期六	救;省;存錢	鋸	說
save	救;省;存錢	鋸	說	驚嚇
saw	鋸	說	驚嚇	風景
say	說	驚嚇	風景	學校
scare	驚嚇	風景	學校	海
scene	風景	學校	海	季節
school	學校	海	季節	座位
sea	海	季節	座位	第二
season	季節	座位	第二	看見
seat	座位	第二	看見	種子
second 	第二	看見	種子	似乎是
see	看見	種子	似乎是	玩蹺蹺板;上下(來回)搖動
seed	種子	似乎是	玩蹺蹺板;上下(來回)搖動	自身,自己;自我
seem	似乎是	玩蹺蹺板;上下(來回)搖動	自身,自己;自我	自私的
seesaw	玩蹺蹺板;上下(來回)搖動	自身,自己;自我	自私的	賣
self	自身,自己;自我	自私的	賣	寄發;送
selfish	自私的	賣	寄發;送	意識到
sell	賣	寄發;送	意識到	宣判;判決
send	寄發;送	意識到	宣判;判決	九月
sense	意識到	宣判;判決	九月	服務
sentence	宣判;判決	九月	服務	維修,保養,公共設施
September/Sept.	九月	服務	維修,保養,公共設施	放
serve	服務	維修,保養,公共設施	放	七
service	維修,保養,公共設施	放	七	十七
set 	放	七	十七	七十
seven	七	十七	七十	幾個的
seventeen	十七	七十	幾個的	搖動;握(手)
seventy	七十	幾個的	搖動;握(手)	應該
several	幾個的	搖動;握(手)	應該	形狀
shake	搖動;握(手)	應該	形狀	鯊魚
shall	應該	形狀	鯊魚	尖銳的
shape	形狀	鯊魚	尖銳的	她
shark	鯊魚	尖銳的	她	綿羊
sharp	尖銳的	她	綿羊	床單
she 	她	綿羊	床單	照耀
sheep	綿羊	床單	照耀	船
sheet	床單	照耀	船	襯衫
shine	照耀	船	襯衫	鞋子
ship	船	襯衫	鞋子	購物
shirt	襯衫	鞋子	購物	購物
shoe	鞋子	購物	購物	岸邊
shop 	購物	購物	岸邊	矮的
shop 	購物	岸邊	矮的	打針
shore	岸邊	矮的	打針	肩膀
short	矮的	打針	肩膀	呼叫
shot	打針	肩膀	呼叫	表演;顯示
shoulder	肩膀	呼叫	表演;顯示	關閉
shout	呼叫	表演;顯示	關閉	害羞的
show	表演;顯示	關閉	害羞的	生病的
shut	關閉	害羞的	生病的	邊
shy	害羞的	生病的	邊	看見,發現;瞄準;察看
sick	生病的	邊	看見,發現;瞄準;察看	傻的;無聊的
side	邊	看見,發現;瞄準;察看	傻的;無聊的	銀
sight	看見,發現;瞄準;察看	傻的;無聊的	銀	簡單的
silly	傻的;無聊的	銀	簡單的	從
silver	銀	簡單的	從	唱歌
simple	簡單的	從	唱歌	歌手
since	從	唱歌	歌手	先生
sing	唱歌	歌手	先生	姊妹
singer	歌手	先生	姊妹	坐
sir	先生	姊妹	坐	六
sister	姊妹	坐	六	十六
sit	坐	六	十六	六十
six	六	十六	六十	按一定尺寸製作;估算
sixteen	十六	六十	按一定尺寸製作;估算	技能
sixty	六十	按一定尺寸製作;估算	技能	皮膚
size	按一定尺寸製作;估算	技能	皮膚	天空
skill	技能	皮膚	天空	睡覺
skin	皮膚	天空	睡覺	緩慢的
sky	天空	睡覺	緩慢的	小的
sleep	睡覺	緩慢的	小的	聰明的
slow	緩慢的	小的	聰明的	聞
small	小的	聰明的	聞	微笑
smart	聰明的	聞	微笑	抽煙;冒煙
smell	聞	微笑	抽煙;冒煙	蛇
smile	微笑	抽煙;冒煙	蛇	下雪
smoke	抽煙;冒煙	蛇	下雪	所以
snake	蛇	下雪	所以	肥皂
snow	下雪	所以	肥皂	汽水
so 	所以	肥皂	汽水	沙發
soap	肥皂	汽水	沙發	柔軟的
soda	汽水	沙發	柔軟的	泥土
sofa	沙發	柔軟的	泥土	一些的
soft	柔軟的	泥土	一些的	某人
soil	泥土	一些的	某人	某人;某事;重要的人(或事物);
some	一些的	某人	某人;某事;重要的人(或事物);	有時候
someone	某人	某人;某事;重要的人(或事物);	有時候	兒子
something	某人;某事;重要的人(或事物);	有時候	兒子	歌曲
sometimes	有時候	兒子	歌曲	即刻
son	兒子	歌曲	即刻	對不起
song	歌曲	即刻	對不起	靈魂
soon	即刻	對不起	靈魂	聲音
sorry	對不起	靈魂	聲音	湯
soul	靈魂	聲音	湯	酸的
sound 	聲音	湯	酸的	南方
soup	湯	酸的	南方	隔開
sour	酸的	南方	隔開	講
south	南方	隔開	講	特別的
space	隔開	講	特別的	言論;演講
speak	講	特別的	言論;演講	拼字
special	特別的	言論;演講	拼字	花費(錢或時間)
speech	言論;演講	拼字	花費(錢或時間)	湯匙
spell	拼字	花費(錢或時間)	湯匙	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變
spend	花費(錢或時間)	湯匙	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	彈跳
spoon	湯匙	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	彈跳	樓梯
sport	炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	彈跳	樓梯	站
spring 	彈跳	樓梯	站	主演
stair	樓梯	站	主演	開始
stand	站	主演	開始	狀態
star	主演	開始	狀態	陳述
start	開始	狀態	陳述	車站
state	狀態	陳述	車站	停留
state 	陳述	車站	停留	階梯
station	車站	停留	階梯	仍然
stay	停留	階梯	仍然	用石頭鋪;用磨刀石磨
step	階梯	仍然	用石頭鋪;用磨刀石磨	停止
still 	仍然	用石頭鋪;用磨刀石磨	停止	儲藏
stone	用石頭鋪;用磨刀石磨	停止	儲藏	故事
stop	停止	儲藏	故事	奇怪的
store	儲藏	故事	奇怪的	街道
story 	故事	奇怪的	街道	強壯的
strange	奇怪的	街道	強壯的	學生
street	街道	強壯的	學生	學習
strong	強壯的	學生	學習	笨的
student	學生	學習	笨的	如此的
study 	學習	笨的	如此的	糖
stupid	笨的	如此的	糖	夏天
such	如此的	糖	夏天	太陽
sugar	糖	夏天	太陽	星期日
summer	夏天	太陽	星期日	超級的
sun	太陽	星期日	超級的	晚餐
Sunday/Sun.	星期日	超級的	晚餐	確定
super	超級的	晚餐	確定	使驚奇
supper	晚餐	確定	使驚奇	甜的
sure	確定	使驚奇	甜的	游泳
surprise	使驚奇	甜的	游泳	短袖圓領運動衫
sweet	甜的	游泳	短袖圓領運動衫	桌子
swim	游泳	短袖圓領運動衫	桌子	尾隨;盯梢;變少,縮小
T-shirt	短袖圓領運動衫	桌子	尾隨;盯梢;變少,縮小	拿;帶;採用
table	桌子	尾隨;盯梢;變少,縮小	拿;帶;採用	故事,傳說;謊話
tail	尾隨;盯梢;變少,縮小	拿;帶;採用	故事,傳說;謊話	講話
take	拿;帶;採用	故事,傳說;謊話	講話	高的
tale	故事,傳說;謊話	講話	高的	嘗
talk	講話	高的	嘗	計程車
tall	高的	嘗	計程車	茶
taste	嘗	計程車	茶	教
taxicab/taxi/cab	計程車	茶	教	老師
tea	茶	教	老師	告訴
teach	教	老師	告訴	十
teacher	老師	告訴	十	比～
tell	告訴	十	比～	感謝
ten	十	比～	感謝	那;那個
than	比～	感謝	那;那個	這
thank	感謝	那;那個	這	他們的
that	那;那個	這	他們的	他們
the	這	他們的	他們	當時的
their	他們的	他們	當時的	在那裡
them	他們	當時的	在那裡	這些 (this 的複數)
then	當時的	在那裡	這些 (this 的複數)	他們
there	在那裡	這些 (this 的複數)	他們	事物;東西
these	這些 (this 的複數)	他們	事物;東西	想
they	他們	事物;東西	想	第三
thing	事物;東西	想	第三	十三
think	想	第三	十三	三十
third 	第三	十三	三十	這
thirteen	十三	三十	這	那些的;那
thirty	三十	這	那些的;那	雖然
this	這	那些的;那	雖然	思想
those	那些的;那	雖然	思想	千
though	雖然	思想	千	三
thought	思想	千	三	拋
thousand	千	三	拋	星期四
three	三	拋	星期四	然後
throw	拋	星期四	然後	車票
Thursday/Thurs./Thur.	星期四	然後	車票	領帶
thus	然後	車票	領帶	老虎
ticket	車票	領帶	老虎	時間
tie 	領帶	老虎	時間	微小的
tiger	老虎	時間	微小的	輪胎
time	時間	微小的	輪胎	到
tiny	微小的	輪胎	到	今天
tire 	輪胎	到	今天	一起
to	到	今天	一起	明天
today	今天	一起	明天	音色,音調;色調
together	一起	明天	音色,音調;色調	今晚
tomorrow	明天	音色,音調;色調	今晚	也是;過於
tone	音色,音調;色調	今晚	也是;過於	工具
tonight	今晚	也是;過於	工具	最高的
too	也是;過於	工具	最高的	總的
tool	工具	最高的	總的	碰
top	最高的	總的	碰	向
total	總的	碰	向	城市
touch	碰	向	城市	玩弄,戲耍;調情,調戲
toward	向	城市	玩弄,戲耍;調情,調戲	火車
town	城市	玩弄,戲耍;調情,調戲	火車	樹木
toy	玩弄,戲耍;調情,調戲	火車	樹木	旅行
train 	火車	樹木	旅行	麻煩;煩惱;費心
tree	樹木	旅行	麻煩;煩惱;費心	嘗試;努力
trip	旅行	麻煩;煩惱;費心	嘗試;努力	星期二
trouble	麻煩;煩惱;費心	嘗試;努力	星期二	肚子
try	嘗試;努力	星期二	肚子	轉
Tuesday/Tues./Tue.	星期二	肚子	轉	十二
tummy	肚子	轉	十二	二十
turn	轉	十二	二十	兩次
twelve	十二	二十	兩次	二
twenty	二十	兩次	二	叔叔
twice	兩次	二	叔叔	在下面
two	二	叔叔	在下面	了解
uncle	叔叔	在下面	了解	單位;單元;組件
under	在下面	了解	單位;單元;組件	直到
understand	了解	單位;單元;組件	直到	向上的;上行的
unit	單位;單元;組件	直到	向上的;上行的	樓上的
until/till	直到	向上的;上行的	樓上的	我們
up	向上的;上行的	樓上的	我們	利用
upstairs	樓上的	我們	利用	有用的
us	我們	利用	有用的	蔬菜
use	利用	有用的	蔬菜	很;非常
useful	有用的	蔬菜	很;非常	察看;將...看成是
vegetable	蔬菜	很;非常	察看;將...看成是	訪問
very 	很;非常	察看;將...看成是	訪問	(用言語)表達,說出
view	察看;將...看成是	訪問	(用言語)表達,說出	等候
visit	訪問	(用言語)表達,說出	等候	走路
voice	(用言語)表達,說出	等候	走路	用牆圍住
wait	等候	走路	用牆圍住	想要
walk	走路	用牆圍住	想要	戰爭
wall	用牆圍住	想要	戰爭	溫暖的
want	想要	戰爭	溫暖的	洗
war	戰爭	溫暖的	洗	浪費
warm	溫暖的	洗	浪費	手錶
wash	洗	浪費	手錶	水
waste	浪費	手錶	水	方法;路
watch 	手錶	水	方法;路	我們
water	水	方法;路	我們	虛弱的
way	方法;路	我們	虛弱的	穿著, 磨損, 使力竭
we	我們	虛弱的	穿著, 磨損, 使力竭	經受到;使風化;損壞
weak	虛弱的	穿著, 磨損, 使力竭	經受到;使風化;損壞	婚禮
wear	穿著, 磨損, 使力竭	經受到;使風化;損壞	婚禮	星期三
weather	經受到;使風化;損壞	婚禮	星期三	星期
wedding	婚禮	星期三	星期	度週末
Wednesday/Wed./Weds.	星期三	星期	度週末	稱重
week	星期	度週末	稱重	重量
weekend	度週末	稱重	重量	受歡迎的;令人愉快的;被允許的
weigh	稱重	重量	受歡迎的;令人愉快的;被允許的	好
weight	重量	受歡迎的;令人愉快的;被允許的	好	西方
welcome	受歡迎的;令人愉快的;被允許的	好	西方	什麼
well 	好	西方	什麼	何時
west	西方	什麼	何時	在哪兒
what	什麼	何時	在哪兒	是否
when	何時	在哪兒	是否	哪一個
where	在哪兒	是否	哪一個	在…的時候；與…同時
whether	是否	哪一個	在…的時候；與…同時	白色
which	哪一個	在…的時候；與…同時	白色	誰
while 	在…的時候；與…同時	白色	誰	完整的
white	白色	誰	完整的	代替人
who	誰	完整的	代替人	代替事物
whole	完整的	代替人	代替事物	為什麼
whom	代替人	代替事物	為什麼	寛的
whose	代替事物	為什麼	寛的	妻子
why	為什麼	寛的	妻子	將要
wide	寛的	妻子	將要	贏得
wife	妻子	將要	贏得	風
will 	將要	贏得	風	窗戶
win	贏得	風	窗戶	酒
wind 	風	窗戶	酒	冬天
window	窗戶	酒	冬天	祝福
wine	酒	冬天	祝福	跟
winter	冬天	祝福	跟	女人
wish	祝福	跟	女人	木材
with	跟	女人	木材	用言詞表達
woman	女人	木材	用言詞表達	工作,作品
wood	木材	用言詞表達	工作,作品	工人
word	用言詞表達	工作,作品	工人	世界
work	工作,作品	工人	世界	蠕動;潛行;鑽入
worker	工人	世界	蠕動;潛行;鑽入	擔心
world	世界	蠕動;潛行;鑽入	擔心	更壞的,更差的
worm	蠕動;潛行;鑽入	擔心	更壞的,更差的	最壞的;最差的
worry	擔心	更壞的,更差的	最壞的;最差的	寫
worse	更壞的,更差的	最壞的;最差的	寫	作家
worst	最壞的;最差的	寫	作家	錯誤的
write	寫	作家	錯誤的	山芋類植物
writer	作家	錯誤的	山芋類植物	年
wrong	錯誤的	山芋類植物	年	黃色
yam/sweet potato	山芋類植物	年	黃色	是的
year	年	黃色	是的	昨天
yellow	黃色	是的	昨天	尚未;但是
yes/yeah	是的	昨天	尚未;但是	你
yesterday	昨天	尚未;但是	你	年輕的
yet	尚未;但是	你	年輕的	你的
you	你	年輕的	你的	討人厭的;噁心的
young	年輕的	你的	討人厭的;噁心的	好吃的
your	你的	討人厭的;噁心的	好吃的	把...調整歸零
yucky 	討人厭的;噁心的	好吃的	把...調整歸零	動物園
yummy	好吃的	把...調整歸零	動物園	能力;專門技能
zero	把...調整歸零	動物園	能力;專門技能	在國外
zoo	動物園	能力;專門技能	在國外	缺席
