唱える (となえる)	to recite	proof	unmarried woman 	to propose
十字路 (じゅうじろ)	crossroads	astringent	to respect	to shorten
渋い (しぶい)	astringent	to respect	to shorten	setting a question 
重んじる (おもんじる)	to respect	to shorten	setting a question 	to be moist
縮まる (ちぢまる)	to shorten	setting a question 	to be moist	you 
出題 (しゅつだい)	setting a question 	to be moist	you 	particle
潤う (うるおう)	to be moist	you 	particle	going slowly
諸君 (しょくん)	you 	particle	going slowly	exception
助詞 (じょし)	particle	going slowly	exception	pediatrics
徐行 (じょこう)	going slowly	exception	pediatrics	to be in a hurry
除外 (じょがい)	exception	pediatrics	to be in a hurry	to take the name of
小児科 (しょうにか)	pediatrics	to be in a hurry	to take the name of	phenomenon
焦る (あせる)	to be in a hurry	to take the name of	phenomenon	to take over
称する (しょうする)	to take the name of	phenomenon	to take over	to board
象 (しょう)	phenomenon	to take over	to board	pity
乗っ取る (のっとる)	to take over	to board	pity	cane
乗り込む (のりこむ)	to board	pity	cane	to weave
情け (なさけ)	pity	cane	to weave	textile
杖 (つえ)	cane	to weave	textile	to cross each other
織る (おる)	to weave	textile	to cross each other	to invade
織物 (おりもの)	textile	to cross each other	to invade	to put to bed 
食い違う (くいちがう)	to cross each other	to invade	to put to bed 	heartening
侵す (おかす)	to invade	to put to bed 	heartening	helpless
寝かせる (ねかせる)	to put to bed 	heartening	helpless	double suicide
心強い (こころづよい)	heartening	helpless	double suicide	knowledge
心細い (こころぼそい)	helpless	double suicide	knowledge	to soak
心中 (しんじゅう)	double suicide	knowledge	to soak	to report to
心得 (こころえ)	knowledge	to soak	to report to	pearl
浸す (ひたす)	to soak	to report to	pearl	sincerity
申し出る (もうしでる)	to report to	pearl	sincerity	holiness
真珠 (しんじゅ)	pearl	sincerity	holiness	mystery
真心 (まごころ)	sincerity	holiness	mystery	dress
神聖 (しんせい)	holiness	mystery	dress	near oneself
神秘 (しんぴ)	mystery	dress	near oneself	gesture
身なり (みなり)	dress	near oneself	gesture	patience
身近 (みぢか)	near oneself	gesture	patience	edge 
身振り (みぶり)	gesture	patience	edge 	very
辛抱 (しんぼう)	patience	edge 	very	to be used up
刃 (は)	edge 	very	to be used up	to exhaust
はなはだ (甚だ)	very	to be used up	to exhaust	to hang
尽きる (つきる)	to be used up	to exhaust	to hang	guess
尽くす (つくす)	to exhaust	to hang	guess	reasoning
垂れる (たれる)	to hang	guess	reasoning	source of river
推測 (すいそく)	guess	reasoning	source of river	rinsing with water
推理 (すいり)	reasoning	source of river	rinsing with water	chic
水源 (すいげん)	source of river	rinsing with water	chic	to become weak
水洗 (すいせん)	rinsing with water	chic	to become weak	to accomplish
粋 (いき)	chic	to become weak	to accomplish	worship
衰える (おとろえる)	to become weak	to accomplish	worship	young bird
遂げる (とげる)	to accomplish	worship	young bird	to place 
崇拝 (すうはい)	worship	young bird	to place 	hem
ひよこ (雛)	young bird	to place 	hem	full name
据える (すえる)	to place 	hem	full name	conquest
裾 (すそ)	hem	full name	conquest	to consist of
姓名 (せいめい)	full name	conquest	to consist of	adult age
征服 (せいふく)	conquest	to consist of	adult age	standing in a row
成り立つ (なりたつ)	to consist of	adult age	standing in a row	constellation
成年 (せいねん)	adult age	standing in a row	constellation	fine weather 
整列 (せいれつ)	standing in a row	constellation	fine weather 	correct
星座 (せいざ)	constellation	fine weather 	correct	clean
晴天 (せいてん)	fine weather 	correct	clean	to grow
正解 (せいかい)	correct	clean	to grow	by nature
清らか (きよらか)	clean	to grow	by nature	lukewarm
生やす (はやす)	to grow	by nature	lukewarm	livelihood
生まれつき (うまれつき)	by nature	lukewarm	livelihood	life and death 
生ぬるい (なまぬるい)	lukewarm	livelihood	life and death 	smelling of fish
生計 (せいけい)	livelihood	life and death 	smelling of fish	physiology 
生死 (せいし)	life and death 	smelling of fish	physiology 	to swell
生臭い (なまぐさい)	smelling of fish	physiology 	to swell	grand
生理 (せいり)	physiology 	to swell	grand	iron manufacture
盛り上がる (もりあがる)	to swell	grand	iron manufacture	tax office
盛大 (せいだい)	grand	iron manufacture	tax office	to be frugal
製鉄 (せいてつ)	iron manufacture	tax office	to be frugal	to turn up 
税務署 (ぜいむしょ)	tax office	to be frugal	to turn up 	compromise
惜しむ (おしむ)	to be frugal	to turn up 	compromise	to prepare ahead of time 
折り返す (おりかえす)	to turn up 	compromise	to prepare ahead of time 	avalanche
折衷 (せっちゅう)	compromise	to prepare ahead of time 	avalanche	to die out
設ける (もうける)	to prepare ahead of time 	avalanche	to die out	the other day
雪崩 (なだれ)	avalanche	to die out	the other day	inborn
絶える (たえる)	to die out	the other day	inborn	wholly
先だって (せんだって)	the other day	inborn	wholly	specialization
先天的 (せんてんてき)	inborn	wholly	specialization	war damage
もっぱら (専ら)	wholly	specialization	war damage	to be dyed 
専修 (せんしゅう)	specialization	war damage	to be dyed 	to pierce
戦災 (せんさい)	war damage	to be dyed 	to pierce	to dye
染まる (そまる)	to be dyed 	to pierce	to dye	preface
しみる (染みる)	to pierce	to dye	preface	annihilation
染める (そめる)	to dye	preface	annihilation	dhyana 
前置き (まえおき)	preface	annihilation	dhyana 	to operate 
全滅 (ぜんめつ)	annihilation	dhyana 	to operate 	suitable
禅 (ぜん)	dhyana 	to operate 	suitable	confrontation
操る (あやつる)	to operate 	suitable	confrontation	to bury
相応 (そうおう)	suitable	confrontation	to bury	disaster
相対 (あいたい)	confrontation	to bury	disaster	hatred
葬る (ほうむる)	to bury	disaster	hatred	to urge
遭難 (そうなん)	disaster	hatred	to urge	restraint
憎しみ (にくしみ)	hatred	to urge	restraint	addition
促す (うながす)	to urge	restraint	addition	being very busy
束縛 (そくばく)	restraint	addition	being very busy	saliva
足し算 (たしざん)	addition	being very busy	saliva	physique
多忙 (たぼう)	being very busy	saliva	physique	outward appearance 
唾 (つば)	saliva	physique	outward appearance 	contrast
体格 (たいかく)	physique	outward appearance 	contrast	interview
体裁 (ていさい)	outward appearance 	contrast	interview	looking forward to
対比 (たいひ)	contrast	interview	looking forward to	appointment
対面 (たいめん)	interview	looking forward to	appointment	to wait eagerly for
待ち遠しい (まちどおしい)	looking forward to	appointment	to wait eagerly for	falling behind 
待ち合わせ (まちあわせ)	appointment	to wait eagerly for	falling behind 	dropping out of school
待ち望む (まちのぞむ)	to wait eagerly for	falling behind 	dropping out of school	extermination 
滞納 (たいのう)	falling behind 	dropping out of school	extermination 	speaking by proxy
退学 (たいがく)	dropping out of school	extermination 	speaking by proxy	substitution
退治 (たいじ)	extermination 	speaking by proxy	substitution	mess
代弁 (だいべん)	speaking by proxy	substitution	mess	flood
代用 (だいよう)	substitution	mess	flood	monotony
台無し (だいなし)	mess	flood	monotony	stretcher
大水 (おおみず)	flood	monotony	stretcher	master 
単調 (たんちょう)	monotony	stretcher	master 	quick temper
担架 (たんか)	stretcher	master 	quick temper	protein
旦那 (だんな)	master 	quick temper	protein	to forge
短気 (たんき)	quick temper	protein	to forge	platform
タンパク質 (タンパクしつ)	protein	to forge	platform	to spring
鍛える (きたえる)	to forge	platform	to spring	firmly
壇 (だん)	platform	to spring	firmly	value
弾む (はずむ)	to spring	firmly	value	intelligence
断然 (だんぜん)	firmly	value	intelligence	to feel ashamed
値打ち (ねうち)	value	intelligence	to feel ashamed	suffocation
知性 (ちせい)	intelligence	to feel ashamed	suffocation	living room 
恥じる (はじる)	to feel ashamed	suffocation	living room 	to start work 
窒息 (ちっそく)	suffocation	living room 	to start work 	to dress up
茶の間 (ちゃのま)	living room 	to start work 	to dress up	colouring
着手 (ちゃくしゅ)	to start work 	to dress up	colouring	taking a seat
着飾る (きかざる)	to dress up	colouring	taking a seat	slander
着色 (ちゃくしょく)	colouring	taking a seat	slander	neutralizing
着席 (ちゃくせき)	taking a seat	slander	neutralizing	matchmaker 
中傷 (ちゅうしょう)	slander	neutralizing	matchmaker 	advice
中和 (ちゅうわ)	neutralizing	matchmaker 	advice	striking
仲人 (なこうど)	matchmaker 	advice	striking	district of a town
忠告 (ちゅうこく)	advice	striking	district of a town	to learn by experience
著しい (いちじるしい)	striking	district of a town	to learn by experience	the sense of hearing
丁目 (ちょうめ)	district of a town	to learn by experience	the sense of hearing	lecture attendance
懲りる (こりる)	to learn by experience	the sense of hearing	lecture attendance	guts
聴覚 (ちょうかく)	the sense of hearing	lecture attendance	guts	butterfly
聴講 (ちょうこう)	lecture attendance	guts	butterfly	torii
腸 (ちょう)	guts	butterfly	torii	intuition
蝶 (ちょう)	butterfly	torii	intuition	sinking
鳥居 (とりい)	torii	intuition	sinking	exhibition
直感 (ちょっかん)	intuition	sinking	exhibition	to expel
沈没 (ちんぼつ)	sinking	exhibition	to expel	bank
陳列 (ちんれつ)	exhibition	to expel	bank	to become settled
追い出す (おいだす)	to expel	bank	to become settled	to decide
堤防 (ていぼう)	bank	to become settled	to decide	set meal
定まる (さだまる)	to become settled	to decide	set meal	mansion
定める (さだめる)	to decide	set meal	mansion	drop 
定食 (ていしょく)	set meal	mansion	drop 	suitable
邸宅 (ていたく)	mansion	drop 	suitable	aptitude
滴 (しずく)	drop 	suitable	aptitude	natural calamity
適宜 (てきぎ)	suitable	aptitude	natural calamity	moving
適性 (てきせい)	aptitude	natural calamity	moving	ignition
天災 (てんさい)	natural calamity	moving	ignition	electric line
転居 (てんきょ)	moving	ignition	electric line	to wager
点火 (てんか)	ignition	electric line	to wager	en route
電線 (でんせん)	electric line	to wager	en route	to stop
賭ける (かける)	to wager	en route	to stop	embankment
途上 (とじょう)	en route	to stop	embankment	hibernation
途絶える (とだえる)	to stop	embankment	hibernation	aim
土手 (どて)	embankment	hibernation	aim	the person concerned
冬眠 (とうみん)	hibernation	aim	the person concerned	pipe
当て (あて)	aim	the person concerned	pipe	by no means
当人 (とうにん)	the person concerned	pipe	by no means	to run away
筒 (つつ)	pipe	by no means	to run away	to escape
とうてい (到底)	by no means	to run away	to escape	flight
逃げ出す (にげだす)	to run away	to escape	flight	porcelain 
逃れる (のがれる)	to escape	flight	porcelain 	power
逃走 (とうそう)	flight	porcelain 	power	the same
陶器 (とうき)	porcelain 	power	the same	agreement
動力 (どうりょく)	power	the same	agreement	sympathy
同 (どう)	the same	agreement	sympathy	equality
同感 (どうかん)	agreement	sympathy	equality	enclosing 
同調 (どうちょう)	sympathy	equality	enclosing 	yearning
同等 (どうとう)	equality	enclosing 	yearning	trunk
同封 (どうふう)	enclosing 	yearning	trunk	dojo 
憧れ (あこがれ)	yearning	trunk	dojo 	special skill
胴 (どう)	trunk	dojo 	special skill	suddenly
道場 (どうじょう)	dojo 	special skill	suddenly	thickheaded
特技 (とくぎ)	special skill	suddenly	thickheaded	internal organs
突如 (とつじょ)	suddenly	thickheaded	internal organs	sunny place
鈍感 (どんかん)	thickheaded	internal organs	sunny place	boiling water
内臓 (ないぞう)	internal organs	sunny place	boiling water	name of an era
日向 (ひなた)	sunny place	boiling water	name of an era	senior
熱湯 (ねっとう)	boiling water	name of an era	senior	annual tree ring
年号 (ねんごう)	name of an era	senior	annual tree ring	to be sticky
年長 (ねんちょう)	senior	annual tree ring	to be sticky	farming
年輪 (ねんりん)	annual tree ring	to be sticky	farming	tearing up and discarding 
粘る (ねばる)	to be sticky	farming	tearing up and discarding 	damage
農耕 (のうこう)	farming	tearing up and discarding 	damage	explosion
破棄 (はき)	tearing up and discarding 	damage	explosion	Dear 
破損 (はそん)	damage	explosion	Dear 	sake cup
破裂 (はれつ)	explosion	Dear 	sake cup	arrangement
拝啓 (はいけい)	Dear 	sake cup	arrangement	umeboshi
杯 (さかずき)	sake cup	arrangement	umeboshi	to put on the market
配列 (はいれつ)	arrangement	umeboshi	to put on the market	confession
梅干し (うめぼし)	umeboshi	to put on the market	confession	feebleness
売り出す (うりだす)	to put on the market	confession	feebleness	vague
白状 (はくじょう)	confession	feebleness	vague	physical growth
薄弱 (はくじゃく)	feebleness	vague	physical growth	germination
漠然 (ばくぜん)	vague	physical growth	germination	attack 
発育 (はついく)	physical growth	germination	attack 	to omit
発芽 (はつが)	germination	attack 	to omit	to slip out
発病 (はつびょう)	attack 	to omit	to slip out	to accompany
抜かす (ぬかす)	to omit	to slip out	to accompany	remnant
抜け出す (ぬけだす)	to slip out	to accompany	remnant	to be contrary to
伴う (ともなう)	to accompany	remnant	to be contrary to	antipathy
半端 (はんぱ)	remnant	to be contrary to	antipathy	reflection
反する (はんする)	to be contrary to	antipathy	reflection	overflowing
反感 (はんかん)	antipathy	reflection	overflowing	to commit 
反射 (はんしゃ)	reflection	overflowing	to commit 	prosperity
氾濫 (はんらん)	overflowing	to commit 	prosperity	troublesome
犯す (おかす)	to commit 	prosperity	troublesome	to spend
繁盛 (はんじょう)	prosperity	troublesome	to spend	delinquency
煩わしい (わずらわしい)	troublesome	to spend	delinquency	smile
費やす (ついやす)	to spend	delinquency	smile	eyebrow
非行 (ひこう)	delinquency	smile	eyebrow	required 
微笑 (びしょう)	smile	eyebrow	required 	inevitable
眉 (まゆ)	eyebrow	required 	inevitable	motto
必修 (ひっしゅう)	required 	inevitable	motto	to drift
必然 (ひつぜん)	inevitable	motto	to drift	to fall ill
標語 (ひょうご)	motto	to drift	to fall ill	beach
漂う (ただよう)	to drift	to fall ill	beach	poor
病む (やむ)	to fall ill	beach	poor	poverty
浜辺 (はまべ)	beach	poor	poverty	sudden
貧弱 (ひんじゃく)	poor	poverty	sudden	ominous
貧乏 (びんぼう)	poverty	sudden	ominous	irregularity
不意 (ふい)	sudden	ominous	irregularity	to add 
不吉 (ふきつ)	ominous	irregularity	to add 	to be rich in
不順 (ふじゅん)	irregularity	to add 	to be rich in	support 
付け加える (つけくわえる)	to add 	to be rich in	support 	extramarital sex
富む (とむ)	to be rich in	support 	extramarital sex	insult
扶養 (ふよう)	support 	extramarital sex	insult	to dance 
浮気 (うわき)	extramarital sex	insult	to dance 	seal
侮辱 (ぶじょく)	insult	to dance 	seal	mask
舞う (まう)	to dance 	seal	mask	boiling
封 (ふう)	seal	mask	boiling	statue of Buddha
覆面 (ふくめん)	mask	boiling	statue of Buddha	idle curiosity
沸騰 (ふっとう)	boiling	statue of Buddha	idle curiosity	unsatisfied
仏像 (ぶつぞう)	statue of Buddha	idle curiosity	unsatisfied	body
物好き (ものずき)	idle curiosity	unsatisfied	body	division of labor
物足りない (ものたりない)	unsatisfied	body	division of labor	denominator
物体 (ぶったい)	body	division of labor	denominator	indignation
分業 (ぶんぎょう)	division of labor	denominator	indignation	fine powder
分母 (ぶんぼ)	denominator	indignation	fine powder	confusing
憤慨 (ふんがい)	indignation	fine powder	confusing	to disappear into
粉末 (ふんまつ)	fine powder	confusing	to disappear into	loss
紛らわしい (まぎらわしい)	confusing	to disappear into	loss	written language
紛れる (まぎれる)	to disappear into	loss	written language	listening comprehension
紛失 (ふんしつ)	loss	written language	listening comprehension	flat
文語 (ぶんご)	written language	listening comprehension	flat	normal
聞き取り (ききとり)	listening comprehension	flat	normal	square 
平たい (ひらたい)	flat	normal	square 	and 
平常 (へいじょう)	normal	square 	and 	arranging in a line
平方 (へいほう)	square 	and 	arranging in a line	dumbfounded
並びに (ならびに)	and 	arranging in a line	dumbfounded	reply
並列 (へいれつ)	arranging in a line	dumbfounded	reply	explanation 
閉口 (へいこう)	dumbfounded	reply	explanation 	reimbursement
返答 (へんとう)	reply	explanation 	reimbursement	discussion
弁解 (べんかい)	explanation 	reimbursement	discussion	to keep
弁償 (べんしょう)	reimbursement	discussion	to keep	retaining warmth
弁論 (べんろん)	discussion	to keep	retaining warmth	health preservation
保つ (たもつ)	to keep	retaining warmth	health preservation	pavement
保温 (ほおん)	retaining warmth	health preservation	pavement	to walk
保養 (ほよう)	health preservation	pavement	to walk	replenishment
舗装 (ほそう)	pavement	to walk	replenishment	supplement
歩む (あゆむ)	to walk	replenishment	supplement	to yearn for
補充 (ほじゅう)	replenishment	supplement	to yearn for	to inform
補足 (ほそく)	supplement	to yearn for	to inform	to lift up
慕う (したう)	to yearn for	to inform	to lift up	leaving as is
報じる (ほうじる)	to inform	to lift up	leaving as is	reward
捧げる (ささげる)	to lift up	leaving as is	reward	to visit
放置 (ほうち)	leaving as is	reward	to visit	abundant harvest
褒美 (ほうび)	reward	to visit	abundant harvest	saturation
訪れる (おとずれる)	to visit	abundant harvest	saturation	desirable
豊作 (ほうさく)	abundant harvest	saturation	desirable	spinning 
飽和 (ほうわ)	saturation	desirable	spinning 	fire prevention
望ましい (のぞましい)	desirable	spinning 	fire prevention	ruin
紡績 (ぼうせき)	spinning 	fire prevention	ruin	main building
防火 (ぼうか)	fire prevention	ruin	main building	instinct
没落 (ぼつらく)	ruin	main building	instinct	burying in the ground 
本館 (ほんかん)	main building	instinct	burying in the ground 	counter for flat objects 
本能 (ほんのう)	instinct	burying in the ground 	counter for flat objects 	full moon
埋蔵 (まいぞう)	burying in the ground 	counter for flat objects 	full moon	whole house
枚 (まい)	counter for flat objects 	full moon	whole house	taste
満月 (まんげつ)	full moon	whole house	taste	uncivilized
満場 (まんじょう)	whole house	taste	uncivilized	unripe
味覚 (みかく)	taste	uncivilized	unripe	lingering attachment
未開 (みかい)	uncivilized	unripe	lingering attachment	crowd
未熟 (みじゅく)	unripe	lingering attachment	crowd	pulse 
未練 (みれん)	lingering attachment	crowd	pulse 	nonsense
密集 (みっしゅう)	crowd	pulse 	nonsense	reticence
脈 (みゃく)	pulse 	nonsense	reticence	innocent
無意味 (むいみ)	nonsense	reticence	innocent	waste 
無口 (むくち)	reticence	innocent	waste 	ignorance
無邪気 (むじゃき)	innocent	waste 	ignorance	absurd
無駄遣い (むだづかい)	waste 	ignorance	absurd	safe 
無知 (むち)	ignorance	absurd	safe 	incompetence
無茶 (むちゃ)	absurd	safe 	incompetence	impolite
無難 (ぶなん)	safe 	incompetence	impolite	of course
無能 (むのう)	incompetence	impolite	of course	husband
無礼 (ぶれい)	impolite	of course	husband	famous
無論 (むろん)	of course	husband	famous	name plate
婿 (むこ)	husband	famous	name plate	remains
名高い (なだかい)	famous	name plate	remains	to name
名札 (なふだ)	name plate	remains	to name	direct hit
名残 (なごり)	remains	to name	direct hit	to pass 
名付ける (なづける)	to name	direct hit	to pass 	clear
命中 (めいちゅう)	direct hit	to pass 	clear	cheerful
明かす (あかす)	to pass 	clear	cheerful	downfall
明瞭 (めいりょう)	clear	cheerful	downfall	to face on
明朗 (めいろう)	cheerful	downfall	to face on	face
滅亡 (めつぼう)	downfall	to face on	face	exemplar
面する (めんする)	to face on	face	exemplar	imitation
面目 (めんぼく)	face	exemplar	imitation	blind spot
模範 (もはん)	exemplar	imitation	blind spot	to wake up
模倣 (もほう)	imitation	blind spot	to wake up	catalogue
盲点 (もうてん)	blind spot	to wake up	catalogue	to enquire
目覚める (めざめる)	to wake up	catalogue	to enquire	town hall
目録 (もくろく)	catalogue	to enquire	town hall	to be useful
問い合わせる (といあわせる)	to enquire	town hall	to be useful	oil painting
役場 (やくば)	town hall	to be useful	oil painting	brave
役立つ (やくだつ)	to be useful	oil painting	brave	ghost
油絵 (あぶらえ)	oil painting	brave	ghost	to own
勇敢 (ゆうかん)	brave	ghost	to own	the truth
幽霊 (ゆうれい)	ghost	to own	the truth	state
有する (ゆうする)	to own	the truth	state	beneficial
ありのまま (有りのまま)	the truth	state	beneficial	temptation
有様 (ありさま)	state	beneficial	temptation	evening glow
有益 (ゆうえき)	beneficial	temptation	evening glow	evening
誘惑 (ゆうわく)	temptation	evening glow	evening	presentiment
夕焼け (ゆうやけ)	evening glow	evening	presentiment	to swing
夕暮れ (ゆうぐれ)	evening	presentiment	to swing	Western style
予感 (よかん)	presentiment	to swing	Western style	business
揺らぐ (ゆらぐ)	to swing	Western style	business	far
洋風 (ようふう)	Western style	business	far	to support
用件 (ようけん)	business	far	to support	bathroom
はるか (遥か)	far	to support	bathroom	to entangle
養う (やしなう)	to support	bathroom	to entangle	fall
浴室 (よくしつ)	bathroom	to entangle	fall	dairy farming
絡む (からむ)	to entangle	fall	dairy farming	to throw out of order
落下 (らっか)	fall	dairy farming	to throw out of order	to be disordered
酪農 (らくのう)	dairy farming	to throw out of order	to be disordered	personal history
乱す (みだす)	to throw out of order	to be disordered	personal history	reason
乱れる (みだれる)	to be disordered	personal history	reason	inside out
履歴 (りれき)	personal history	reason	inside out	to lead
理性 (りせい)	reason	inside out	to lead	to stop by
裏返し (うらがえし)	inside out	to lead	to stop by	abbreviation
率いる (ひきいる)	to lead	to stop by	abbreviation	compatibility
立ち寄る (たちよる)	to stop by	abbreviation	compatibility	good sense
略語 (りゃくご)	abbreviation	compatibility	good sense	good quality
両立 (りょうりつ)	compatibility	good sense	good quality	to look out on
良識 (りょうしき)	good sense	good quality	to look out on	analogy 
良質 (りょうしつ)	good quality	to look out on	analogy 	to banter
臨む (のぞむ)	to look out on	analogy 	to banter	cruelty
類推 (るいすい)	analogy 	to banter	cruelty	cold storage
冷やかす (ひやかす)	to banter	cruelty	cold storage	cool
冷酷 (れいこく)	cruelty	cold storage	cool	to encourage
冷蔵 (れいぞう)	cold storage	cool	to encourage	to strive
冷淡 (れいたん)	cool	to encourage	to strive	to knead
励ます (はげます)	to encourage	to strive	to knead	to extend
励む (はげむ)	to strive	to knead	to extend	to line up
練る (ねる)	to knead	to extend	to line up	labour
連なる (つらなる)	to extend	to line up	labour	waste
連ねる (つらねる)	to line up	labour	waste	to age
労力 (ろうりょく)	labour	waste	to age	mild
浪費 (ろうひ)	waste	to age	mild	to soften
老いる (おいる)	to age	mild	to soften	to supply 
和やか (なごやか)	mild	to soften	to supply 	ability
和らげる (やわらげる)	to soften	to supply 	ability	to fry
賄う (まかなう)	to supply 	ability	to fry	wrinkle
腕前 (うでまえ)	ability	to fry	wrinkle	flower bud 
炒める (いためる)	to fry	wrinkle	flower bud 	amiability
しわ (皺)	wrinkle	flower bud 	amiability	tone color
蕾 (つぼみ)	flower bud 	amiability	tone color	donation
愛想 (あいそう)	amiability	tone color	donation	spurious article
音色 (ねいろ)	tone color	donation	spurious article	crossing without meeting 
寄贈 (きぞう)	donation	spurious article	crossing without meeting 	shamisen
偽物 (にせもの)	spurious article	crossing without meeting 	shamisen	duplication
行き違い (いきちがい)	crossing without meeting 	shamisen	duplication	convenient
三味線 (しゃみせん)	shamisen	duplication	convenient	palm 
重複 (ちょうふく)	duplication	convenient	palm 	public gaze
重宝 (ちょうほう)	convenient	palm 	public gaze	to drive in 
手のひら (てのひら)	palm 	public gaze	to drive in 	verbal message
人目 (ひとめ)	public gaze	to drive in 	verbal message	meagre
打ち込む (うちこむ)	to drive in 	verbal message	meagre	to be buried
伝言 (でんごん)	verbal message	meagre	to be buried	all people
乏しい (とぼしい)	meagre	to be buried	all people	all-purpose
埋まる (うまる)	to be buried	all people	all-purpose	lending 
万人 (ばんにん)	all people	all-purpose	lending 	fallen leaves
万能 (ばんのう)	all-purpose	lending 	fallen leaves	excuse 
融通 (ゆうずう)	lending 	fallen leaves	excuse 	war
落ち葉 (おちば)	fallen leaves	excuse 	war	negation
言い訳 (いいわけ)	excuse 	war	negation	to give birth
戦 (いくさ)	war	negation	to give birth	collar
打ち消し (うちけし)	negation	to give birth	collar	gentle
生む (うむ)	to give birth	collar	gentle	bet
襟 (えり)	collar	gentle	bet	unrequited love
温和 (おんわ)	gentle	bet	unrequited love	side
賭け (かけ)	bet	unrequited love	side	flower bed
片思い (かたおもい)	unrequited love	side	flower bed	perfect
傍ら (かたわら)	side	flower bed	perfect	effect
花壇 (かだん)	flower bed	perfect	effect	to be wounded
完璧 (かんぺき)	perfect	effect	to be wounded	whim
効き目 (ききめ)	effect	to be wounded	whim	chemical element
傷つく (きずつく)	to be wounded	whim	chemical element	attachment
気まぐれ (きまぐれ)	whim	chemical element	attachment	variety
元素 (げんそ)	chemical element	attachment	variety	to harm
執着 (しゅうちゃく)	attachment	variety	to harm	to be furnished with
種々 (しゅじゅ)	variety	to harm	to be furnished with	to sever
損なう (そこなう)	to harm	to be furnished with	to sever	even if
備わる (そなわる)	to be furnished with	to sever	even if	to pinch
断つ (たつ)	to sever	even if	to pinch	to penetrate
たとえ (仮令)	even if	to pinch	to penetrate	guidance
つまむ (摘む)	to pinch	to penetrate	guidance	precious
徹する (てっする)	to penetrate	guidance	precious	to value
手引き (てびき)	guidance	precious	to value	to break off
尊い (たっとい)	precious	to value	to break off	to sharpen
貴ぶ (たっとぶ)	to value	to break off	to sharpen	to stop
途切れる (とぎれる)	to break off	to sharpen	to stop	first of all
研ぐ (とぐ)	to sharpen	to stop	first of all	especially
留める (とどめる)	to stop	first of all	especially	to carry on shoulder
とりあえず (取り敢えず)	first of all	especially	to carry on shoulder	to gulp down
とりわけ (取り分け)	especially	to carry on shoulder	to gulp down	brilliant
担う (になう)	to carry on shoulder	to gulp down	brilliant	disclosure
飲み込む (のみこむ)	to gulp down	brilliant	disclosure	to pull up
華々しい (はなばなしい)	brilliant	disclosure	to pull up	to pull down
暴露 (ばくろ)	disclosure	to pull up	to pull down	left-handedness
引き上げる (ひきあげる)	to pull up	to pull down	left-handedness	sunburn
引き下げる (ひきさげる)	to pull down	left-handedness	sunburn	to go to ruin
左利き (ひだりきき)	left-handedness	sunburn	to go to ruin	in advance
日焼け (ひやけ)	sunburn	to go to ruin	in advance	anaesthesia
滅びる (ほろびる)	to go to ruin	in advance	anaesthesia	paralysis
前もって (まえもって)	in advance	anaesthesia	paralysis	plump
麻酔 (ますい)	anaesthesia	paralysis	plump	estimate
麻痺 (まひ)	paralysis	plump	estimate	to miss
丸々 (まるまる)	plump	estimate	to miss	remarkable
見積もり (みつもり)	estimate	to miss	remarkable	gradations 
見逃す (みのがす)	to miss	remarkable	gradations 	to let leak
目覚ましい (めざましい)	remarkable	gradations 	to let leak	staying up late
目盛り (めもり)	gradations 	to let leak	staying up late	to cut in
漏らす (もらす)	to let leak	staying up late	to cut in	to be worth
夜更かし (よふかし)	staying up late	to cut in	to be worth	to injure
割り込む (わりこむ)	to cut in	to be worth	to injure	to go under
値する (あたいする)	to be worth	to injure	to go under	to fall in love with
害する (がいする)	to injure	to go under	to fall in love with	long and large
くぐる (潜る)	to go under	to fall in love with	long and large	to support
恋する (こいする)	to fall in love with	long and large	to support	to make a mistake
長大 (ちょうだい)	long and large	to support	to make a mistake	parallelism
突っ張る (つっぱる)	to support	to make a mistake	parallelism	to reflect on 
間違う (まちがう)	to make a mistake	parallelism	to reflect on 	errand
平行 (へいこう)	parallelism	to reflect on 	errand	increasing 
省みる (かえりみる)	to reflect on 	errand	increasing 	amateur
お使い (おつかい)	errand	increasing 	amateur	alkali
アップ	increasing 	amateur	alkali	aluminum 
アマチュア	amateur	alkali	aluminum 	questionnaire
アルカリ (亜爾加里)	alkali	aluminum 	questionnaire	intellectual
アルミ	aluminum 	questionnaire	intellectual	inflation
アンケート	questionnaire	intellectual	inflation	virus 
インテリ	intellectual	inflation	virus 	opening 
インフレ	inflation	virus 	opening 	orange 
ウイルス	virus 	opening 	orange 	carpet
オープン	opening 	orange 	carpet	cameraman
オレンジ	orange 	carpet	cameraman	cheating 
カーペット	carpet	cameraman	cheating 	guide
カメラマン	cameraman	cheating 	guide	garage 
カンニング	cheating 	guide	garage 	quiz
ガイド	guide	garage 	quiz	graph
ガレージ	garage 	quiz	graph	corner 
クイズ	quiz	graph	corner 	commercial 
グラフ	graph	corner 	commercial 	communication
コーナー	corner 	commercial 	communication	contest
コマーシャル	commercial 	communication	contest	size
コミュニケーション	communication	contest	size	seat 
コンテスト	contest	size	seat 	system
サイズ	size	seat 	system	script
シート	seat 	system	script	shock 
システム	system	script	shock 	jeans
シナリオ	script	shock 	jeans	jazz
ショック	shock 	jeans	jazz	jump
ジーパン (Ｇパン)	jeans	jazz	jump	studio
ジャズ	jazz	jump	studio	strike 
ジャンプ	jump	studio	strike 	stress
スタジオ	studio	strike 	stress	speed
